zts1e	最棒的服務
zts8981e	打開寶箱獲得魔法越野腳踏車或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]2012世界球王巡禮[n]滑雪板禮盒[n]弧形滑板禮盒[n]魔法開篷車寶箱[n]大福神的守護[n]同伴卡片盒[n]同伴S卡重置卷II[n]防爆護符[n]等級固定解除護符[n]希魯安的泉水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts8982e	邁向S級技能的必需品！
zts8983e	可以指定一個同伴技能重置[n]重置後，潛力值提升為100%。[n][如何使用][n]雙擊同伴S卡重置卷並點擊選擇需要重置的技能。[n][注意事項][n]無法對S級的同伴技能使用。[n]重置後同伴卡片潛能值歸零。[n]
zts8984e	同伴S卡重置卷I
zts8985e	把一個同伴的所有技能重置[n]重置後，潛力值提升為100%。[n][如何使用][n]雙擊同伴S卡重置卷重置所有同伴技能。[n][注意事項][n]假如使用中的卡片沒有任何同伴技能，則無法使用此重置卷。[n]
zts8986e	交換同伴變身卡！
zts8994e	三本尾巴幼狐娃娃裝！
zts8999e	三本尾巴變身箱
zts9000e	打開寶箱獲得狐耳朵帽子、三本尾巴娃娃裝或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法毯子寶箱[n]魔法輕型車寶箱[n]狐耳朵帽子(永久)[n]三本尾巴娃娃裝(永久)[n]狐耳朵帽子(30天)[n]三本尾巴娃娃裝(30天)[n]特殊卡片盒[n]同伴卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9001e	飛行寵物-冰晶夜鷹登場
zts9002e	蛇年春節禮盒
zts9003e	打開寶箱獲得魔法飛龍箱子、冰晶夜鷹晶球、美少女海賊 寶珠或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法飛龍箱子[n]美少女海賊 寶珠[n]冰晶夜鷹晶球[n]赤丸晶球[n]夢古寶石箱[n]福鼠娘娘晶球[n]新年利是[n]大精靈之蛋[n]艾卡凱姆[n]勒特爾[n]帝蒙爾[n]尤米妮克[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n][n]
zts9005e	召喚之書
zts9011e	隨時隨地，召喚伙伴！
zts9012e	使用召喚之書，呼喚遠在迷你屋的伙伴！[n][如何使用][n]使用召喚之書可以呼喚迷你屋中的寵物或同伴，[n]使用這個方法召喚的寵物及同伴，[n]可在狀態視窗中確認特殊召喚的記號。[n][注意事項][n]無法召喚同行中的寵物及同伴。[n]使用過召喚之書的伙伴如被放入珠子，[n]召喚之書將會失效。[n]
zts9019e	烈焰仙狐降臨您身邊～
zts9020e	2013 復活節驚奇寶箱
zts9021e	打開寶箱獲得仙狐晶球、魔法筋斗雲寶箱、神聖天使蛋、超級吱喳雞蛋、蹦蹦、跳跳復活兔套裝(永久)，或其他豐富獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法筋斗雲寶箱[n]仙狐晶球[n]神聖天使蛋[n]超級吱喳雞蛋[n]蹦蹦復活兔套裝(永久)[n]跳跳復活兔套裝(永久)[n]復活節標牌[n]同伴S卡重置卷II[n]大福神的守護[n]S卡重置藥水[n]靈魂復活石[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n][n]
zts9060e	超～級道具降臨吧！
zts9061e	激運寶箱A(改)
zts9062e	開啟後隨機獲得以下物品：[n]蒙面俠護眼罩A、[n]蒙面俠護眼罩B、[n]蒙面俠護眼罩C、[n]火焰夢古晶球、[n]劍鬥士夢古晶球、[n]天青石晶球、[n]孔雀石晶球、[n]黑曜石晶球、[n]聰明寵物飼料、[n]防爆護符、 等級固定解除護符、Sp補充劑(大)等等[n]
zts9063e	激運寶箱B(改)
zts9064e	開啟後隨機獲得以下物品：[n]刺客面罩A、[n]刺客面罩B、[n]刺客面罩C、[n]火焰夢古晶球、[n]水著夢古晶球、[n]粉紅鑽晶球、[n]紅寶石晶球、[n]夢古晶球、[n]召喚之書、[n]防爆護符、 等級固定解除護符、Sp補充劑(大)等等[n]
zts9065e	激運寶箱C(改)
zts9066e	開啟後隨機獲得以下物品：[n]超能眼罩A、[n]超能眼罩B、[n]超能眼罩C、[n]火焰夢古晶球、[n]感冒夢古晶球、[n]石榴石晶球、[n]藍瑪瑙晶球、[n]夢古晶球、[n]寵物存放欄擴充球、[n]防爆護符、 等級固定解除護符、Sp補充劑(大)等等[n]
zts9067e	變身吧，超魔導士就是你！
zts9068e	超魔導士變身箱
zts9069e	不管是黑魔還是白魔，會放魔法的就是超魔導士？[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n][神聖]獨角幻獸箱子[n]黑魔導士寬邊帽(永久)[n]黑魔導士長法袍(永久)[n]白魔導士寬邊帽(永久)[n]白魔導士長法袍(永久)[n]黑魔導士寬邊帽(30天)[n]黑魔導士長法袍(30天)[n]白魔導士寬邊帽(30天)[n]白魔導士長法袍(30天)[n]S卡重置藥水[n]靈魂復活石[n]大福神的守護[n]創世女神的祝福[n]一副塔羅卡[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n][n]
zts9102e	立正！敬禮！艦長夢古登陸！
zts9103e	魔盜王秘寶 2013
zts9104e	打開寶箱獲得艦長夢古晶球、上校軍帽(永久)、上校軍服(永久)、美少女海賊寶珠、各種魔盜王 夢古晶球，或其他豐富獎品。[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]艦長夢古晶球[n]美少女海賊寶珠[n]魔盜王 夢古(水) 晶球[n]魔盜王 夢古(火) 晶球[n]魔盜王 夢古(光) 晶球[n]魔盜王 夢古(黑暗) 晶球[n]上校軍帽(永久)[n]上校軍服(永久)[n]上校軍帽(30天)[n]上校軍服(30天)[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9110e	魔法滑浪風帆乘風破浪！
zts9111e	滑浪風帆禮盒
zts9112e	打開寶箱獲得魔法滑浪風帆或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法滑浪風帆箱子[n]魔法毯子寶箱[n]魔法輕型車寶箱[n]可愛夢古衣服(永久)[n]可愛夢古帽子(永久)[n]同伴卡片盒[n]S卡重置藥水[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n] SP補充劑(大) [n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9121e	使用魔化機械之翼提升戰鬥力！
zts9122e	哈囉喂千翅萬變箱
zts9123e	打開哈囉喂千翅萬變箱獲得魔化機械之翼或各種物品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法掃把寶箱[n]南瓜夢古EX[n]魔化機械之翼[n]火焰之翼[n]冰霜之翼[n]哈囉喂積高帽子(永久)[n]迷幻南瓜帽子(永久)[n]哈囉喂變身護符[n]魔法神燈[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9131e	變身為滑板小子！
zts9132e	滾輪一族寶箱
zts9133e	打開寶箱獲得魔法滾軸滑板、魔法飛輪、越野腳踏車或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法滾軸滑板箱[n]魔法飛輪箱子[n]越野腳踏車寶箱[n]夢古寶石箱[n]特殊卡片盒[n]靈魂復活石[n]大福神的守護[n]防爆護符[n]等級固定解除護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]希魯安的泉水[n]創世女神的祝福[n]天使翅膀[n]
zts9177e	歡迎2014年！
zts9178e	冰天雪地聖誕箱2013
zts9179e	打開寶箱獲得滑雪板禮盒、弧形滑板禮盒、飄逸之雪箱子、冰晶夜鷹晶球、紅鼻子夢古晶球、聖誕夢古EX晶球、聖誕夢古的帽子(永久)、聖誕夢古扮裝(永久)或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]滑雪板禮盒[n]弧形滑板禮盒[n]飄逸之雪箱子[n]冰晶夜鷹晶球[n]紅鼻子夢古晶球[n]聖誕夢古EX晶球[n]聖誕夢古晶球[n]聖誕夢古的帽子(永久)[n]聖誕夢古扮裝(永久)[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9188e	色彩繽紛的魔法吉普車！
zts9189e	熱情吉普車寶箱
zts9190e	打開後，有機會獲得能在沙漠上如履平地的魔法吉普車(紅)及(黃)、夢古寶石箱、魔化機械之翼，或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]紅色魔法吉普車禮盒[n]黃色魔法吉普車禮盒[n]夢古寶石箱[n]魔化機械之翼[n]魔法神燈[n]靈魂復活石[n]同伴S卡重置卷II[n]大福神的守護[n]一副塔羅卡[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9191e	狂野吉普車寶箱
zts9192e	打開後，有機會獲得能在沙漠上如履平地的魔法吉普車(黑)及(紫)、夢古寶石箱、魔化機械之翼，或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]黑色魔法吉普車禮盒[n]紫色魔法吉普車禮盒[n]夢古寶石箱[n]魔化機械之翼[n]魔法神燈[n]靈魂復活石[n]同伴卡片盒[n]大福神的守護[n]一副塔羅卡[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]等級固定解除護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9193e	奔放吉普車寶箱
zts9194e	打開後，有機會獲得能在沙漠上如履平地的魔法吉普車(藍)及(綠)、夢古寶石箱、魔化機械之翼，或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]藍色魔法吉普車禮盒[n]綠色魔法吉普車禮盒[n]夢古寶石箱[n]魔化機械之翼[n]魔法神燈[n]S卡重置藥水[n]特殊卡片盒[n]大福神的守護[n]一副塔羅卡[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]希魯安的泉水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9202e	內有多款新年期間限定寶物喔！
zts9203e	馬年春節禮盒
zts9204e	打開後，有機會獲得限定新年騎寵、限定寵物晶球、三本尾巴套裝(永久)、大精靈之蛋、新年利是，或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法飛龍箱子[n][神聖]獨角幻獸箱子[n]美少女海賊 寶珠[n]冰晶夜鷹晶球[n]夢古寶石箱[n]福鼠娘娘晶球[n]新年利是[n]三本尾巴套裝(永久)[n]大精靈之蛋[n]艾卡凱姆[n]勒特爾[n]帝蒙爾[n]尤米妮克[n]同伴S卡重置卷II[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9219e	最佳情人節禮物！
zts9222e	情人節幸福禮盒 2014
zts9223e	打開後，有機會獲得舞會套裝、名偵探套裝、各種座騎，或其他珍貴獎品！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法毯子寶箱[n]魔法輕型車寶箱[n]【迷人粉紅】舞會套裝 (永久)[n]【可愛鮮黃】舞會套裝 (永久)[n]【高貴澄藍】舞會套裝 (永久)[n]【深棕色】名偵探套裝 (永久)[n]【酒紅色】名偵探套裝 (永久)[n]【芥綠色】名偵探套裝 (永久)[n]特殊卡片盒[n]同伴卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9269e	夢古半藏
zts9270e	忍法寶盒
zts9271e	打開後，有機會獲得夢古半藏晶球、魔法毯子寶箱、大精靈之蛋，或其他珍貴獎品！[n][獎品清單][n]夢古半藏晶球[n]魔法毯子寶箱[n]大精靈之蛋[n]可愛夢古衣服(永久)[n]可愛夢古帽子(永久)[n]同伴卡片盒[n]靈魂復活石[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9286e	有機會獲得西部牛仔夢古！
zts9287e	西部秘寶
zts9288e	打開後，有機會獲得西部牛仔晶球、魔法輕型車寶箱、大精靈之蛋，或其他珍貴獎品！[n][獎品清單][n]西部牛仔晶球[n]魔法輕型車寶箱[n]大精靈之蛋[n]狐耳朵帽子(永久)[n]三本尾巴娃娃裝(永久)[n]特殊卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9289e	提高移動速度的全新翅膀！
zts9290e	魔神翅膀寶箱
zts9291e	打開後，有機會獲得熾天使之翼、墜惡暗之翼、魔化機械之翼、泰拳夢古晶球，或其他珍貴獎品！[n][獎品清單][n]熾天使之翼[n]墜惡暗之翼[n]魔化機械之翼[n]火焰之翼[n]冰霜之翼[n]天使之翼[n]惡魔之翼[n]泰拳夢古晶球[n]魔法神燈[n]靈魂復活石[n]大福神的守護[n]一副塔羅卡[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9297e	化身足球明星，贏盡萬人喝采！
zts9298e	足球明星變身箱
zts9299e	化身足球明星，贏盡萬人喝采！
zts9300e	巴西世界杯要開始囉！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]越野腳踏車寶箱[n]魔法毯子寶箱[n]夢古寶石箱[n]足球明星帽子(永久)[n]足球明星著裝(永久)[n]魔法神燈[n]靈魂復活石[n]同伴卡片盒[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9322e	新翅膀！
zts9323e	烈焰之翼寶箱
zts9324e	燃燒千年的不滅之火！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]烈焰燃燒之翼[n]烈焰冰霜之翼[n]熾天使之翼[n]墜惡暗之翼[n]魔化機械之翼[n]艦長夢古晶球[n]美少女海賊寶珠[n]魔盜王夢古(水)晶球[n]魔盜王夢古(火)晶球[n]魔盜王夢古(光)晶球[n]魔盜王夢古(黑暗)晶球[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀
zts9331e	新夢古！
zts9332e	食人族寶藏
zts9333e	印地安納守護神！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]印弟安夢古晶球[n]魔法UFO禮盒[n]大精靈之蛋[n]水漾男孩水手服(永久)[n]水漾女孩水手服(永久)[n]水漾男孩水兵帽(永久)[n]水漾女孩貝蕾帽(永久)[n]特殊卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀
zts9341e	可愛的九尾妹妹！！
zts9342e	我的可愛九尾萬變箱
zts9343e	我的九尾哪有這麼可愛！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]可愛九尾狐卡片[n]魔法掃把寶箱[n]南瓜夢古EX[n]魔化機械之翼[n]哈囉喂積高帽子(永久)[n]迷幻南瓜帽子(永久)[n]哈囉喂變身護符[n]魔法神燈[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9350e	地獄炎赤丸再臨
zts9351e	地獄炎赤丸刻印箱
zts9352e	地獄炎赤丸再臨！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]赤丸晶球[n]魔法掃把寶箱[n]魔法滾軸滑板箱[n]越野腳踏車寶箱[n]夢古寶石箱[n]百變特殊卡盒[n]特殊卡片盒[n]靈魂復活石[n]S卡重置藥水[n]大福神的守護[n]防爆護符[n]等級固定解除護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]希魯安的泉水[n]創世女神的祝福[n]天使翅膀[n]
zts9353e	地表最強民族維京
zts9354e	維京傳奇寶盒
zts9355e	地表最強民族維京！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]維京勇士晶球[n]弧形滑板禮盒[n]大精靈之蛋[n]結婚禮服(永久)[n]結婚禮服頭部(永久)[n]同伴卡片盒[n]靈魂復活石[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9365e	給我年糕！不然我會吃了你！
zts9366e	冬日百年虎王寶藏
zts9367e	冬日百年虎王寶藏[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]百年虎王卡[n]滑雪板禮盒[n]弧形滑板禮盒[n]飄逸之雪箱子[n]冰晶夜鷹晶球[n]紅鼻子夢古晶球[n]聖誕夢古EX晶球[n]聖誕夢古晶球[n]聖誕夢古的帽子(永久)[n]聖誕夢古扮裝(永久)[n]魔法神燈[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9372e	化身成為可愛的老虎寶寶吧！
zts9373e	冬日可愛老虎禮盒
zts9374e	化身成為可愛的老虎寶寶！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]小可愛老虎外套 (永久)[n]小可愛老虎外套 (7 日)[n]毛毛絨白虎外套 (永久)[n]毛毛絨白虎外套 (7 日)[n]小可愛老虎頭飾 (永久)[n]小可愛老虎頭飾 (7 日)[n]毛毛絨白虎頭套 (永久)[n]毛毛絨白虎頭套 (7 日)[n]特殊卡片盒[n]同伴卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9384e	冬日可愛老虎禮盒 20個
zts9387e	一個來自星星的變身箱！
zts9388e	來自星星的變身箱
zts9389e	一個來自星星的變身箱！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法毯子寶箱[n]魔法輕型車寶箱[n]粉紅色韓國禮服(永久)[n]粉紅色韓國禮服(7日)[n]杜鵑韓服(永久)[n]杜鵑韓服(7日)[n]韓國公子帽(永久)[n]韓國公子帽(7日)[n]韓國傳統帽(永久)[n]韓國傳統帽(7日)[n]魔法神燈[n]靈魂復活石[n]同伴卡片盒[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]一副塔羅卡[n]神韻香水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9392e	來自星星的變身箱 20個
zts9395e	情人眼裡的貓咪寶箱
zts9396e	貓咪眼裡出西施寶箱
zts9397e	情人眼裡的貓咪寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]貓咪劍統士晶球[n][愛心]獨角幻獸箱子[n]大精靈之蛋[n]男生美國短毛貓帽子(永久)[n]男生美國短毛貓衣服(永久)[n]女生泰式貓帽子(永久)[n]女生泰式貓衣服(永久)[n]同伴卡片盒[n]靈魂復活石[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9398e	羊年精選限定禮盒
zts9399e	羊年春節禮盒
zts9400e	羊年精選限定禮盒[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法飛龍箱子[n][神聖]獨角幻獸箱子[n]維京勇士晶球[n]可愛九尾狐卡片[n]冰晶夜鷹晶球[n]福鼠娘娘晶球[n]新年利是[n]三本尾巴套裝(永久)[n]大精靈之蛋[n]艾卡凱姆[n]勒特爾[n]帝蒙爾[n]尤米妮克[n]同伴S卡重置卷II[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9410e	青‧兵衛變身卡！！！
zts9411e	小妖的藏寶箱
zts9412e	內藏青‧兵衛的珍貴變身卡[n]打開寶箱，可隨機獲得以下一項活動物品[n][獎品清單][n]青‧兵衛變身卡[n]仙狐晶球[n]神聖天使蛋[n]超級吱喳雞蛋[n]蹦蹦復活兔套裝(永久)[n]跳跳復活兔套裝(永久)[n]復活節標牌[n]魔法神燈[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9413e	忍法奧義！！！
zts9414e	新‧忍法寶盒
zts9415e	夢古半藏的新奧義寶箱[n]打開寶箱，可隨機獲得以下一項活動物品[n][獎品清單][n]夢古半藏晶球[n]魔法毯子寶箱[n]大精靈之蛋[n]可愛夢古衣服(永久)[n]可愛夢古帽子(永久)[n]同伴卡片盒[n]靈魂復活石[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9426e	大天使長！！
zts9427e	天使墮落的寶箱
zts9428e	埋藏著路西斐爾意識的箱子[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]大天使路西斐爾變身卡[n]西部牛仔晶球[n]魔法輕型車寶箱[n]大精靈之蛋[n]狐耳朵帽子(永久)[n]三本尾巴娃娃裝(永久)[n]特殊卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9435e	大天使路西斐爾變身卡
zts9436e	有機會得到白女巫雷娜變身卡
zts9437e	復仇者雷娜的寶箱
zts9438e	復仇者雷娜的寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]白女巫雷娜變身卡[n]魔法筋斗雲寶箱[n]黑色魔法吉普車禮盒[n]百變特殊卡盒[n]熾天使之翼[n]墜惡暗之翼[n]特殊卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9447e	惡魔監督者阿蒙變身卡
zts9448e	感受惡魔的力量吧！
zts9449e	地獄事典之寶箱
zts9450e	地獄事典之寶箱[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]惡魔監督者阿蒙變身卡x1個[n]魔法滾軸滑板箱x1個[n]紫色魔法吉普車禮盒x1個[n]百變特殊卡盒x1個[n]烈焰燃燒之翼x1個[n]烈焰冰霜之翼x1個[n]同伴卡片盒x1個[n]靈魂復活石x1個[n]大福神的守護x1個[n]防爆護符x3個[n]高等卡片防爆護符x2個[n]低等卡片防爆護符x3個[n]神韻香水x5個[n]創世女神的祝福x4個[n]守護天使之祝福x6個[n]天使翅膀x99個[n]
zts9466e	青澀兔小芒正在等待著主人的寵幸～
zts9467e	仲夏變身派對寶箱
zts9468e	仲夏變身派對寶箱。[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]青澀兔小芒變身卡[n]惡魔監督者[n]白女巫雷娜卡片[n]大天使路西斐爾變身卡[n]青‧兵衛變身卡[n]百年虎王卡[n]可愛九尾狐卡片[n]魔法滑浪風帆箱子[n]紅色魔法吉普車禮盒[n]狐耳朵帽子(永久)[n]三本尾巴娃娃裝(永久)[n]同伴卡片盒[n]靈魂復活石[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9475e	七夕情人節禮盒
zts9476e	送給你心愛的人吧。[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]魔法UFO禮盒[n]黃色魔法吉普車禮盒[n]【迷人粉紅】舞會套裝 (永久)[n]【可愛鮮黃】舞會套裝 (永久)[n]【高貴澄藍】舞會套裝 (永久)[n]【深棕色】名偵探套裝 (永久)[n]【酒紅色】名偵探套裝 (永久)[n]【芥綠色】名偵探套裝 (永久)[n]特殊卡片盒[n]同伴卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]創世女神的祝福[n]守護天使之祝福[n]神韻香水[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]天使翅膀[n]
zts9477e	魔導王VS魔盜王寶箱
zts9478e	魔導王決戰魔盜王！[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]黑魔導士寬邊帽(永久)[n]白魔導士寬邊帽(永久)[n]黑魔導士長法袍(永久)[n]白魔導士長法袍(永久)[n]魔化機械之翼[n]艦長夢古晶球[n]美少女海賊寶珠[n]魔盜王 夢古(水) 晶球[n]魔盜王 夢古(火) 晶球[n]魔盜王 夢古(光) 晶球[n]魔盜王 夢古(黑暗) 晶球[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9484e	超級角鬥場氣勢
zts9487e	超級角鬥場的門票
zts9489e	流亡者瓦芙變身卡
zts9490e	流亡者瓦芙的生存寶箱，埋藏著她的生存之道。
zts9491e	流亡者生存寶箱
zts9492e	流亡者瓦芙的生存寶箱，埋藏著她的生存之道。[n]打開此箱子時，你將隨機獲得以下任何一項禮物。[n][獎品清單][n]印弟安夢古晶球[n]魔法UFO禮盒[n]綠色魔法吉普車禮盒[n]水漾男孩水手服(永久)[n]水漾女孩水手服(永久)[n]水漾男孩水兵帽(永久)[n]水漾女孩貝蕾帽(永久)[n]特殊卡片盒[n]同伴S卡重置卷II[n]大福神的守護[n]防爆護符[n]高等卡片防爆護符[n]低等卡片防爆護符[n]神韻香水[n]創世女神的祝福[n]守護天使之祝福[n]天使翅膀[n]
zts9501e	超級角鬥場的貴賓門票
zts9502e	超級角鬥場的門票[n]在這裡成為東方魔伊的英雄吧！[n][注意事項][n]點擊後，道具將會被使用，[n]同時超級角鬥場的參加次數將會臨時增加1。[n]增加的次數會於重置時清除。[n]
zts9503e	超級角鬥場的貴賓獎勵
