zts1e	Negozio degli attrezzi di Teo
zts22024e	E io non posso permettermi di mandare rinforzi. Gli altri guerrieri devono occuparsi di proteggere il villaggio.
zts22025e	Per i rinforzi... Conta su di ME! Non preoccuparti, ci penso io.
zts22026e	Stai andando alla fattoria ricostruita?
zts22027e	Non lo so ancora. Perché mi fai una domanda simile?
zts22028e	La fattoria è tornata come nuova, ma ci sono dei problemi. I Troll e i Goblin-patata si sono avventati sul nostro raccolto. I nostri contadini sono spaventati e temono che i mostri si mangino tutto.
zts22029e	E io dovrei occuparmi di eliminarli, giusto?
zts22030e	Sì, aumentano sempre più. Devi sconfiggerne abbastanza da fare in modo che possiamo occuparci noi del resto. Ci aiuterai?
zts22031e	Ma certo, per il bene degli abitanti lo farò.
zts22032e	Lo farei volentieri, ma ho altro da fare.
zts22033e	Dialogo con Logota
zts22034e	Riconoscimento (quest secondaria)
zts22035e	Ehi, sei l'avventuriero che viene da ovest?
zts22036e	Sì. Hai bisogno di aiuto?
zts22037e	Sì, sono Logota, la figlia del capo Toffel.
zts22038e	Piacere di conoscerti.
zts22039e	Ho sempre desiderato diventare fabbro, ma mio padre è contrario. Vuole che diventi una grande guerriera e che segua le sue orme. Ma quello del fabbro è un mestiere così bello!
zts22040e	Hai proprio ragione. Ed è pure importante. Da quel che vedo, però, tu sei già un fabbro.
zts22041e	Io faccio quello che mi pare. Anche se non mi piace come la pensa mio padre, vorrei comunque la sua benedizione. Ma come dovrei fare?
zts22042e	Mostragli ciò di cui sei capace. Così gli dimostrerai che è la tua vera vocazione. Non è male come idea, no?
zts22043e	Hm, vale la pena di tentarci. Però mi servirebbe Titanio nero.
zts22044e	Per quello che vuoi dimostrare, è meglio così. Potrai far vedere ciò di cui sei capace anche in condizioni avverse.
zts22045e	Hm, capisco. Ah, ho un piano! Nella fattoria abbandonata a sud del villaggio ci sono degli scrigni con dentro armi rotte. Portamele, così potrò ripararle. Questo sì che impressionerà mio padre.
zts22046e	Ottima idea! Te le porto.
zts22047e	Sono Logota, la figlia del capo Toffel. Quello del fabbro è il mestiere migliore del mondo!
zts22048e	Dialogo con Orus
zts22049e	La chiave mancante (quest secondaria)
zts22050e	Ehi, avventuriero!
zts22051e	Finalmente io e mio fratello abbiamo trovato uno scrigno del tesoro!
zts22052e	Oh, davvero? Congratulazioni! E dov'era?
zts22053e	Non ci crederai. Era proprio sotto la nostra tenda!
zts22054e	E adesso? Tornerete a NosVille?
zts22055e	Non ancora. Dobbiamo scoprire cosa c'è dentro. Purtroppo non abbiamo la chiave per aprirlo. Ho tentato di scassinarlo ma ci ho guadagnato solo qualche attrezzo rotto. Forse è sigillato magicamente.
zts22056e	Allora dobbiamo trovare la chiave. Hai idea di dove potrebbe essere?
zts22057e	Mio fratello Irus ha provato a cercarla mentre io tentavo di scassinare lo scrigno. Da quando è tornato ho la sensazione che abbia scoperto qualcosa sulla chiave ma che non voglia dirmelo. Potresti chiederglielo?
zts22058e	Ok, ci parlo io.
zts22059e	Sto cercando tesori per conto dei Mercanti Akamur. Le mie ricerche mi hanno portato fin qui... Dopo il naufragio non avevo comunque altra scelta.
zts22060e	Dialogo con Tulito
zts22061e	Mostri ululanti (quest giornaliera)
zts22062e	Ginocchia scrocchianti (quest secondaria)
zts22063e	(Buuh, mi fa male tutto! E questi ululati mi fanno ammattire!)
zts22064e	Ehi, sbarbatello! Vieni qua.
zts22065e	Certo, anziano. Cosa posso fare per te?
zts22066e	Questi ululati non mi fanno dormire la notte.
zts22067e	Sì, li ho sentiti anche io.
zts22068e	Alla mia età il riposo è fondamentale. Chi dorme poco rischia di rimanerci secco! Potresti occuparti del problema nella foresta inquinata?
zts22069e	Certamente.
zts22070e	Ehi, sbarbatello! Quaggiù!
zts22071e	Hm? Parli con me?
zts22072e	E con chi sennò? Dovresti fare una cosa per me.
zts22073e	Ultimamente ho dolori a tutte le ossa. Mi sono addirittura rivolto a una strega... Mi ha consigliato di mangiare molto muschio.
zts22074e	Davvero? Non credo che aiuti molto...
zts22075e	Le streghe se ne intendono di rimedi casalinghi! Abbi rispetto! Sbrigati, va' a prendermi del muschio. Per ottenerlo devi sconfiggere Budini di muschio nella Foresta Spettrale.
zts22076e	(Che caratteraccio!) Certo, anziano, nessun problema.
zts22077e	Mi dispiace, ma ho da fare.
zts22078e	Dialogo con Churigo
zts22079e	Ago e inchiostro (quest secondaria)
zts22080e	Potresti farmi un favore?
zts22081e	Sto cercando un modo per migliorare i miei tatuaggi. Purtroppo non so come fare.
zts22082e	Cos'è che non funziona?
zts22083e	I nostri maghi vorrebbe potenziare la forza dei Loa con dei tatuaggi. È stata la tua magia a farci venire l'idea. Abbiamo provato diversi materiali magici, ma non riusciamo.
zts22084e	Tu sai forse perché?
zts22085e	Non esattamente. Sembra che la magia non basti. I materiali che si trovano su Morizios sono solo leggermente magici. Sai per caso dove potremmo trovare dei materiali più adatti?
zts22086e	Hm, temo di no.
zts22087e	Forse potrebbe saperlo Asgot. Lei è molto vicina ai Loa. Potresti chiederglielo?
zts22088e	Sì, lo farò.
zts22089e	Ho da fare. Magari più tardi.
zts22090e	Il muschio è indispensabile
zts22091e	Materiale per un nuovo incantesimo
zts22092e	Ehi, avventuriero! Potresti farmi un favore?
zts22093e	Le battaglie contro i mostri hanno esaurito le nostre scorte. Potresti procurarmi delle Pozioni di muschio degli Orchi?
zts22094e	Sì, non c'è problema.
zts22095e	Te le porto più tardi, ok?
zts22096e	Ehi, avventuriero! Scusa, mi serve il tuo aiuto.
zts22097e	Sto lavorando a un nuovo incantesimo per proteggerci dai mostri. Purtroppo mi manca il materiale adatto.
zts22098e	Che cosa ti serve?
zts22099e	Nella Caverna della Bestia c'è tutto quello che serve: Criniere di Orsogufo e Veleno di Scorpione con gli occhi rossi. Me li procureresti?
zts22100e	Sì, ci vado seduta stante.
zts22101e	Mi dispiace, ma ho da fare. Magari più tardi.
zts22102e	Se vuoi saperne di più sui tatuaggi, chiedi pure a me.
zts22103e	Cosa sono i tatuaggi? E come faccio ad averne uno?
zts22104e	A cosa servono i tatuaggi?
zts22105e	I tatuaggi sono raffigurazioni dei Loa che vengono tatuati sulla pelle con degli aghi. Il potere dei Loa permette di eseguire determinate skill.
zts22106e	Ah, capisco. E come faccio a procurarmene uno?
zts22107e	Innanzitutto ti serve un disegno. Ne esistono quattro: Loa orso, Loa leone, Loa serpente e Loa aquila. Portami un disegno e il materiale necessario, così potrò farti un tatuaggio.
zts22108e	L'effetto cambia in base al disegno?
zts22109e	Proprio così. Il Loa orso incrementa la difesa e l'elemento fuoco, il Loa leone incrementa l'attacco e l'elemento luce, il Loa aquila incrementa l'elusione, la precisione e l'elemento acqua e il Loa serpente incrementa la magia e l'elemento ombra. Inoltre, è possibile potenziare i tatuaggi.
zts22110e	Grazie a un tatuaggio è possibile eseguire potenti skill dei Loa. Dopo un tempo di ricarica più lungo del comune, è possibile eseguire nuovamente la skill.
zts22111e	Non male. Potresti dirmi qualcosa in più su queste skill?
zts22112e	I Loa sono in grado di incrementare la forza di attacco, la forza di difesa o altri valori, oltre che un elemento. Le skill vengono potenziate quando le si esegue in combinazione o quando si soddisfano determinati requisiti.
zts22113e	È possibile ottenere anche abilità di attacco grazie ai tatuaggi?
zts22114e	Certo. Ciascun Loa conferisce un'abilità di attacco. Il danno viene modificato da un determinato valore.
zts22115e	Devi spiegarmi meglio.
zts22116e	La Zampata dell'orso viene modificata dalla difesa contro attacchi ravvicinati di chi la esegue, mentre la Zampata del leone dipende dal valore di elusione. Nel caso del Loa aquila è la precisione a determinare il danno, invece nel caso del Loa serpente è la difesa magica.
zts22117e	Si torna alla prima pagina
zts22118e	Va bene. Grazie mille!
zts22119e	Avventuriero, mi servono altri Cristalli magici di Fernon. Potresti darmi una mano?
zts22120e	Sì, te li porto io.
zts22121e	Mi dispiace, ma ho da fare.
zts22122e	Dialogo con Proga
zts22123e	Rotta verso Morizios!
zts22124e	Siamo pronti? Per raggiungere Morizios prenderemo una scorciatoia.
zts22125e	Sì
zts22126e	No
zts22127e	Vengo da un'isola a est e sto cercando un eroe che ci aiuti.
zts22128e	Dialogo con Itura
zts22129e	Specialità regionali (quest giornaliera)
zts22130e	Ciao, avventuriero. Avresti un momento per scambiare due parole?
zts22131e	A volte viene gente da ovest per comprare le nostre specialità. In particolare cercano le Mele dolci e la Carne di Orsogufo.
zts22132e	Oh! Allora guadagnerete benissimo!
zts22133e	Sì, non posso lamentarmi. Solo che ci mancano le scorte.
zts22134e	Vuoi chiedermi di fare provviste, giusto?
zts22135e	Ahah, certo che ne hai di intuito! Potresti procurarmi Carne di Orsogufo e Mele dolci?
zts22136e	Sarà fatto.
zts22137e	Mi occupo delle provviste di cibo per il villaggio. Purtroppo le scorte stanno scarseggiando... Maledizione! Abbiamo più nemici che scorte!
zts22138e	Dialogo con Martas
zts22139e	Incisione runica di livello avanzato (quest secondaria)
zts22140e	Il Cristallo magico delle dee (quest giornaliera)
zts22141e	Avresti un momento per scambiare due parole?
zts22142e	Ci servono delle armi più forti per poter affrontare le orde di mostri e demoni in continua crescita. È per questo che ho iniziato a intagliare rune.
zts22143e	In teoria potenzio l'energia spirituale incidendo delle rune nei minerali magici o nelle pietre preziose. Purtroppo i miei test non stanno andando molto bene, perché il loro potere è più debole di quanto pensassi.
zts22144e	Qual è il problema?
zts22145e	Temo che il problema siano i materiali. Non sono abbastanza magici. Purtroppo non me ne intendo molto. Potresti chiedere consiglio allo Stregone Thrull?
zts22146e	Sì, insieme possiamo farcela.
zts22147e	Ora ho da fare, ma tornerò più tardi.
zts22148e	In qualità di fabbro, produco io tutti gli equipaggiamenti. C'è tantissimo lavoro e io non ho assistenti. Cosa posso fare per te?
zts22149e	Parlami delle rune e di come si possono intagliare.
zts22150e	A cosa servono le rune?
zts22151e	Le rune sono dei segni antichi e magici. Se le si incide sulle armi, queste ottengono dei poteri speciali. Tuttavia non è possibile prevedere il tipo di energia che si sprigiona.
zts22152e	Quanti tipi di energia possono contenere le rune?
zts22153e	Stando agli scritti antichi, ci sono 15 energie. Per ora ne abbiamo scoperte solo dieci. Ma non ho dubbi che scopriremo qualcosa anche sulle altre.
zts22154e	Ah, capisco. E come si intagliano le rune?
zts22155e	Le si può applicare solo all'arma principale. Servono 6 materiali. Un'arma si può incantare 15 volte al massimo. Ogni incantesimo conferisce nuovi poteri all'arma.
zts22156e	Okay. E l'arma può contenerne cinque al massimo?
zts22157e	No, è possibile conferire al massimo due energie a un'arma.
zts22158e	E se qualcosa va storto, cosa succede all'arma?
zts22159e	Quando l'intaglio fallisce, l'arma può danneggiarsi. Ma non ti preoccupare: l'arma non si rompe, ma i materiali vengono consumati. Quando l'arma è danneggiata, la si può portare all'Incudine runica per ripararla. In alternativa, basta attendere 5 ore.
zts22160e	Va bene. Grazie per la spiegazione.
zts22161e	Ho distrutto tutti gli Obelischi del male. Cottari starà bene?
zts22162e	Ho distrutto le fonti di quello strano fumo.
zts22163e	Sì. (25.000 unità d'oro)
zts22164e	Proprio così. Il Loa orso incrementa la difesa, il Loa leone incrementa l'attacco, il Loa aquila incrementa l'elusione e il Loa serpente incrementa la magia. Inoltre, è possibile potenziare i tatuaggi.
zts22165e	Grazie a un tatuaggio è possibile eseguire potenti abilità dei Loa. Dopo un tempo di ricarica più lungo del comune, si può eseguire nuovamente l'abilità, che consuma una quantità inferiore di mana.
zts22166e	I Loa sono in grado di incrementare la forza di attacco, la forza di difesa o altri valori, oltre a un elemento. Inoltre c'è la possibilità di sbloccare un'abilità speciale.
zts22167e	Certo. Ciascun Loa conferisce un'abilità di attacco. Grazie alla forza del Loa, infliggi più danni all'avversario.
zts22168e	Quando l'intaglio fallisce, l'arma può danneggiarsi. Non ti preoccupare: i materiali vengono consumati, ma l'arma non si rompe. Quando l'arma è danneggiata, la si può portare all'Incudine runica per ripararla. A quel punto puoi aggiungere nuove rune all'arma.
zts22169e	Più alto è il livello della runa, più forza essa conferisce all'arma. Ai livelli 3, 6, 9, 12 e 15 puoi aggiungere nuovi poteri delle rune. Inoltre, determinate abilità vengono potenziate.
zts22170e	Cosa sono i poteri delle rune?
zts22171e	Quando attacchi un avversario, è possibile che si attivi il potere della runa e che, ad esempio, vengano evocate meteore o bufere.
zts22172e	Mi potresti portare nuovamente il Cristallo magico delle dee? Devo decorare le armi delle guardie con delle rune.
zts22173e	Dialogo con Proga
zts22174e	Pesca senza stress (quest giornaliera)
zts22175e	Avrei bisogno del tuo aiuto.
zts22176e	Sì, non c'è problema.
zts22177e	Grazie mille! Da quando hai sconfitto il grande Tritone, i nostri pescatori hanno finalmente ricominciato a lavorare. Purtroppo, ci sono mostri che li attaccano in continuazione e gli rubano i pesci.
zts22178e	Intendi i mostri della Spiaggia Sud?
zts22179e	Esatto. Potresti eliminare i mostri della Spiaggia Sud e recuperare i pesci rubati?
zts22180e	Sarà fatto.
zts22181e	Spero che prima o poi i nostri pescatori possano lavorare in pace. Forse prima o poi succederà.
zts22182e	Dialogo con Toffel
zts22183e	Caccia ai demoni (quest giornaliera)
zts22184e	Potresti darmi una mano?
zts22185e	Unendo le forze siamo riusciti a sconfiggere Belial, ma i suoi seguaci sono ancora sull'isola. Lo Stregone e io temiamo che stiano raccogliendo energia oscura per far risorgere Belial. Potresti impedirlo? Se mi porterai un Ricordo del demone ti ricompenserò generosamente.
zts22186e	Certamente, me ne occupo io.
zts22187e	Sono il capo Toffel, il sovrano dell'Isola di Morizios. La cosa più importante per me è la sicurezza del popolo.
zts22188e	Dialogo con Cottari
zts22189e	Sono Cottari, il discendente del Principe Bestia. Insieme ai miei amici animali, combatto contro i mostri che ci sono sull'isola.
zts22190e	Abbiamo un grosso problema!
zts22191e	Il Re Bestia Carno teme che il male possa nuovamente corromperlo. Mi ha pregato di tenerlo d'occhio. Purtroppo è sparito da qualche giorno!
zts22192e	Quindi temi che il Re Bestia stia subendo nuovamente l'influsso di poteri maligni?
zts22193e	Non cederà senza combattere, ma non credo che riuscirà ad opporsi da solo. Dobbiamo aiutarlo!
zts22194e	Sono d'accordo.
zts22195e	Quindi aiuterai il Re Bestia?
zts22196e	Potresti darmi una mano?
zts22197e	I mostri nella Caverna della Bestia stanno aumentando. Il nostro villaggio è in pericolo! Potresti ridurre la quantità di mostri?
zts22198e	Sì, lo farò.
zts22199e	Dialogo con Datius
zts22200e	Ehilà! Sono Datius, discendente del crociato degli Orchi. Veglio su quest'isola con il potere della luce divina.
zts22201e	Avresti un momento per scambiare due parole?
zts22202e	Come sicuramente saprai, mi occupo di proteggere la Foresta Spettrale. Purtroppo, i fantasmi si stanno comportando in modo aggressivo.
zts22203e	È possibile che il Re Spettro si stato nuovamente corrotto dal male?
zts22204e	Sì, ma pare che stia cercando di opporsi. Forse possiamo ancora salvarlo. Potresti andare da lui e tentare di purificarlo?
zts22205e	Ah, eccoti. Ho una richiesta da farti.
zts22206e	E allora, di che si tratta?
zts22207e	Gli spettri aggressivi sono sempre di più: nessuno osa avventurarsi nel bosco, ormai! Potresti ridurre il numero di spettri aggressivi?
zts22208e	Certo. Me ne occuperò io, prima che la questione diventi un problema.
zts22209e	Dialogo con Thrull
zts22210e	Il ritorno di Belial (quest giornaliera)
zts22211e	Oh, abbiamo un grosso problema! È risorto!
zts22212e	Parli di Belial?
zts22213e	Sì. Come temevo, si è impadronito di un nuovo corpo. Tuttavia, non vi si è ancora abituato e quindi non ha riacquisito i suoi pieni poteri. Abbiamo ancora una possibilità di batterlo! Lotteresti nuovamente con noi per salvare la nostra isola?
zts22214e	Sono lo stregone Thrull. Sono il vice del capo.
zts22215e	Dialogo con il Gestiscifamiglia
zts22216e	Viaggio verso il Porto del Deserto di Mortaz
zts22217e	Viaggio verso la Piazza Porto Alveus
zts22218e	Vuoi andare al Porto del Deserto di Mortaz?
zts22219e	Vuoi andare alla Piazza Porto Alveus?
zts22220e	Sì. (30.000 unità di oro)
zts22221e	Sono Perkichan, guardia portuale di Morizios. Piacere di conoscerti. La nostra isola di solito è un paradiso terrestre, ma ci sono dei mostri che stanno creando grossi problemi.
zts22222e	Dialogo con il mercante Ben (Mortaz)
zts22223e	Il motivo della visita (quest principale — Atto 7)
zts22224e	Viaggio verso il Porto di Morizios
zts22225e	Vuoi andare sull'Isola di Morizios? Sicuro?
zts22226e	Dialogo con Asgot
zts22227e	Teniamo pulito il bosco (quest giornaliera)
zts22228e	Sono Asgot, discendente del potente sacerdote Boodoo. Dispongo del potere della maledizione.
zts22229e	Ma non preoccuparti, non userò il mio potere su di te! Che i Loa possano essere con te.
zts22230e	Ho del lavoro per te.
zts22231e	Cosa c'è?
zts22232e	Belial è stato sconfitto e l'Obelisco del Male nella Foresta Inquinata è stato distrutto. Tuttavia, la quantità di mostri e demoni continua ad aumentare. Se continua così, finiranno per invadere il nostro villaggio. Potresti sfoltirli un po'?
zts22233e	Dialogo con Taita
zts22234e	Dialogo con Lisuka
zts22235e	Dialogo con Kantrok
zts22236e	Sono un semplice contadino che non si augura altro che un ricco raccolto.
zts22237e	Dialogo con Kujantrok
zts22238e	Mio fratello è molto apprensivo e non parla molto con le altre persone. Mi fa preoccupare.
zts22239e	Dialogo con Tatika
zts22240e	Ho scoperto la causa della contaminazione del bosco, ma non posso fare nulla senza un aiuto. Spero che un forte guerriero mi dia una mano...
zts22241e	Dialogo con Irus
zts22242e	Sono Irus, fratello do Orus, cercatore di tesori per passione. Sono preoccupato perché mio fratello è una testa calda.
zts22243e	Dialogo con Rocha
zts22244e	Oh, il mio povero, vecchio marito! Ha sempre qualche preoccupazione... Ciò non può fare bene alla sua salute!
zts22245e	Dialogo con Taritus
zts22246e	Sono il guardiano della porta del villaggio. Non faccio passare quelli con un'aria strana!
zts22247e	Mio marito Logtas è una guardia del villaggio. Si offre sempre volontario per gli incarichi più pericolosi ed è molto orgoglioso.
zts22248e	Dialogo con la guardia
zts22249e	Ingresso al piano terra della Torre del Cielo
zts22250e	La Torre del Cielo è un luogo molto pericoloso. Si può entrare solo con il permesso del capo.
zts22251e	Puoi passare solo con il permesso del capo.
zts22252e	Oh, il capo ti ha dato il permesso di entrare? Allora prego.
zts22253e	Ingresso
zts22254e	Dialogo con l'Altare del Re Spettro
zts22255e	(Wow, che altare poderoso! Chissà a cosa serve.)
zts22256e	NosBazar di Morizios
zts22257e	Dopo la partenza di Proga, i lavori alla Torre del Cielo furono terminati... Tutto a un tratto, il cielo diventò cupo e comparvero mostri e demoni ovunque.  Io andai a nascondermi nella nave. Non appena la situazione si calmò, uscii allo scoperto e constatai che tanti di noi erano morti.
zts22258e	Ho saputo che il capo stesso era morto combattendo contro un demone. Di tutti gli Orchi che si trovavano ancora nella torre ne era sopravvissuto solo uno. Si trattava di Toffel, il nostro nuovo capo.
zts22259e	Sì: gli stregoni infusero la lancia con il potere dei Loa. A quel punto, Urgos scagliò la lancia verso il cielo. Pensavamo che questo avrebbe fatto cadere la pioggia, invece iniziarono a sgorgare demoni e mostri. Invasero tutta l'isola. Che stupidi che siamo stati!
zts22260e	Arrivò anche un demone enorme, probabilmente il loro capo... Urgos vi combatté con tutte le sue forze. Riuscì addirittura a sconfiggerlo, ma la battaglia lo lasciò mortalmente ferito. Mi ordinò di ritirarmi: furono le sue ultime parole. Gli altri tentarono di fuggire. Combattemmo contro i nemici che bloccavano le scale. Arrivato giù mi resi conto di essere l'unico sopravvissuto.
zts22261e	Si chiama Logtas. Stavamo cercando di scoprire l'origine del deterioramento della foresta. A un certo punto abbiamo trovato una caverna che emanava energia negativa. Abbiamo capito che era da lì che fuoriusciva il male. Abbiamo provato a entrare per scoprire di più, ma dovemmo battere in ritirata perché l'energia negativa proveniente dalle profondità della caverna era molto più forte di noi. Durante la ritirata ho perso di vista Logtas.
zts22262e	Volevo tornare a cercarlo, ma all'improvviso è comparsa un'intera orda di mostri. Ebbi troppa paura e corsi via. Mi vergogno molto di quello che ho fatto... Ti prego, salvalo!
zts22263e	È da parte di Proga: "Mi è successa una cosa terribile. Mio figlio Lipaga è scomparso. Erano già sparite delle persone, ma è la prima volta che succede a un bambino.
zts22264e	Ho già chiesto aiuto al capo e lui ha inviato delle guardie a cercarlo. Tuttavia, non sono ancora riusciti a trovarlo. Sei la mia unica speranza. Ti prego, aiutami!"
zts22265e	È iniziato tutto due settimane fa. Dovevamo consegnare il pesce al villaggio. Ci abbiamo messo più tempo del previsto a caricarlo e si è fatto buio. Dato che, grazie al tuo aiuto, non c'erano più così tanti mostri, abbiamo deciso di consegnare il pesce di notte.
zts22266e	Lipaga ha insistito per venire con me. All'inizio ero contrario, ma poi ho accettato. La strada, per la maggior parte, è stata sicura. Ma non appena siamo passati per la Strada del Bosco sono apparsi Tritoni, Sirene e Satiri che volevano rubarci i pesci.
zts22267e	Ho detto a Lipaga di nascondersi e io mi sono messo a combattere i mostri insieme alle guardie. Siamo riusciti a sconfiggerli tutti. A quel punto, però, mi sono accorto che Lipaga era sparito. Lo abbiamo cercato in lungo e in largo nel bosco, ma non l'abbiamo trovato. Non avrei dovuto permettergli di venire.
zts22268e	Accidenti! Mi avete messo con le spalle al muro! È la fine? Vi dirò tutto prima di morire. Il giorno in cui il cielo si squarciò, sulla nostra isola arrivarono moltissimi demoni. Uno di loro era il Dio dei demoni Belial. Urgos, il precedente capo, combatté contro di lui, ma non sopravvisse.
zts22269e	Era ovvio che Belial avrebbe portato la rovina sull'isola. Poi mi venne un'idea.  Pugnalai Urgos alle spalle per aiutare Belial.  Così giurai fedeltà al Dio dei demoni. Belial, dal canto suo, promise di risparmiare il villaggio e i suoi abitanti.
zts22270e	Io e mio fratello Irus abbiamo trovato una vecchia mappa del tesoro a NosVille. Sulla mappa è segnata questa isola a est, ma non è indicata la rotta per arrivarci. Quindi siamo andati a intuito.
zts22271e	Dopo qualche mese in mare, siamo stati colpiti da una tempesta e la nave è naufragata. Non appena ho ripreso conoscenza, ho visto gli occhi di un Orco. Il suo nome era...
zts22272e	Sono il guardiano della Caverna della Bestia. Al momento la zona è molto pericolosa e non stiamo facendo entrare nessuno.
zts22273e	Sono Taita, la discendente del druido del fuoco. Se non hai niente di importante da dirmi, ti prego di andartene. Ho da fare.
zts22274e	Rivolta nella Torre del Cielo
zts22275e	Salute a te, combattente! Liatiz mi ha detto di te.
zts22276e	Che è successo agli agenti segreti?
zts22277e	Purtroppo non ho risposte alla tua domanda. È da tanto che non ricevo loro notizie.
zts22278e	E ormai si diffondono dicerie e indiscrezioni di ogni tipo. La situazione non mi piace per niente.
zts22279e	Ho capito. Vedrò di farmi un giro nella torre.
zts22280e	È estremamente pericoloso... Ma chi ha sconfitto Belial è praticamente invincibile, no?
zts22281e	(Qui ci sono Orchi corrotti dappertutto. Devo sconfiggerli. Magari riuscirò pure a carpire delle informazioni.)
zts22282e	Resoconto spionistico
zts22283e	(Hm... una Parte del resoconto degli agenti segreti. Riuscirò a capire cos'è successo una volta che avrò recuperato le altre parti.)
zts22284e	Che sta succedendo lì?
zts22285e	Che bello rivederti! Che bello vederti tornare incolume! Hai trovato gli agenti segreti?
zts22286e	Purtroppo no. Però ho recuperato alcune parti del loro resoconto.
zts22287e	Meno male. Il resoconto è stato redatto dal loro capo, non c'è dubbio. Fammi vedere.
zts22288e	– Contenuto del resoconto –
zts22289e	"Negli ultimi tempi la Torre del Cielo sembra particolarmente trafficata. I Seguaci di Belial si spostano di continuo dai Sotterranei fino ai Piani Superiori.
zts22290e	Non ho idea di ciò che stia accadendo realmente.
zts22291e	Il pericolo è tangibile: incaricherò un agente per cercare di capire cosa sta succedendo.
zts22292e	– Fine del resoconto –
zts22293e	Nessun agente inviato nei Piani Superiori è tornato. Io sono l'unico rimasto. Scoprirò quali sono gli obiettivi di quei criminali, fosse l'ultima cosa che faccio!
zts22294e	Ce la farò, lo giuro sul mio onore!
zts22295e	A quanto pare gli agenti sono tutti morti...
zts22296e	Tuttavia, non sono morti invano. Ora sappiamo che nella Torre del Cielo si stanno compiendo delle efferatezze.
zts22297e	Sono d'accordo, però ci servono più informazioni. Andresti ad avvisare Toffel? Nel frattempo, discuterò con i miei soldati.
zts22298e	Wow, vedo che hai molta fretta!
zts22299e	Ci sono novità dalla Torre del Cielo. L'Armata di Belial sta tramando qualcosa nei Piani Superiori.
zts22300e	Sfortunatamente, tutti gli agenti che hanno scoperto qualcosa sono morti. Dovremmo rendere onore alla loro memoria ed escogitare un piano di contrattacco.
zts22301e	Non sono morti invano, questo è poco ma sicuro! Dobbiamo scoprire cosa sta succedendo...
zts22302e	Ci mancano ancora delle informazioni fondamentali. È probabile che si tratti di una trappola. Magari vogliono solo tenderci un agguato nella torre...
zts22303e	E quindi... Quale sarebbe il piano?
zts22304e	Dobbiamo costituire una truppa che si occupi del recupero delle informazioni.
zts22305e	E per farlo abbiamo bisogno del tuo aiuto.
zts22306e	Il resoconto perduto
zts22307e	Grazie mille! Con i pezzi del resoconto potremo recuperare di sicuro delle nuove informazioni. Mi rifarò sentire non appena avrò bisogno del tuo aiuto.
zts22308e	Rivolta nella Torre del Cielo (quest secondaria)
zts22309e	Il resoconto perduto (quest giornaliera)
zts22310e	Nonostante Belial abbia perso la sua battaglia, il numero dei suoi seguaci nella Torre del Cielo è in continuo aumento. Ho inviato i miei agenti segreti per recuperare delle informazioni. I loro resoconti mi sono arrivati sempre con una certa regolarità, ma adesso è da tempo che non ne ricevo.
zts22311e	Potresti cercare di capire costa sta succedendo? La Guardia della Torre del Cielo ti spiegherà tutto.
zts22312e	Ok, lo farò!
zts22313e	È probabile che i resoconti degli agenti si trovino ancora nella torre. Qualsiasi indizio, anche il più piccolo, potrebbe rivelarsi importante. Riusciresti a sottrarre le Parti del resoconto agli Orchi corrotti che si trovano nella torre?
zts22314e	Chiaro, te le consegnerò al più presto.
zts22315e	Recupero di informazioni (quest secondaria)
zts22316e	I Seguaci di Belial hanno ricevuto un documento che contiene degli ordini. Dobbiamo sottrarglielo per scoprire che i loro piani. Potresti sconfiggere i Seguaci di Belial e recuperare il documento con gli "Ordini di Belial"?
zts22317e	Sarà fatto.
zts22318e	Di cosa si tratta?
zts22319e	Ho sentito che mi stavi cercando. Che sta succedendo?
zts22320e	Mi faresti un favore? L'Opossum Toro dell'anno nuovo ha rubato i Sacchi dei regali e gli Amuleti della fortuna che avrei voluto regalare ai miei vicini.
zts22321e	Potresti ritrovare i Sacchi dei regali e gli Amuleti della fortuna rubati?
zts22322e	E dove lo trovo l'Opossum Toro dell'anno nuovo?
zts22323e	Incontrerai l'Opossum Toro dell'anno nuovo mentre darai la caccia ai mostri del tuo stesso livello.
zts22324e	Ma bisogna essere svelti! Quando ti vedrà, l'Opossum preferirà darsi alla fuga, piuttosto che affrontarti a viso aperto.
zts22325e	Se mi porti 5 Sacchi dei regali e 5 Amuleti della fortuna rubati, ti darò uno Scrigno regalo Anno Nuovo.
zts22326e	Il San Valentino di Amora
zts22327e	Ehi, <pname>!
zts22328e	Hai voglia di aiutarmi a portare l'amore nel mondo per renderlo un posto migliore? Non esiste occasione migliore di San Valentino!
zts22329e	Se mi aiuterai, anche il tuo cuore si riempirà d'amore... *occhiolino*
zts22330e	Certo!
zts22331e	Mi dispiace, ma in questo momento ho da fare.
zts22332e	Evento di San Valentino
zts22333e	Che bello, mi si è alleggerito il cuore... Presto, torna da Amora!
zts22334e	Grazie mille! Percepisco già più amore nell'aria.
zts22335e	Purtroppo, sto finendo le mie frecce magiche. Mi aiuteresti a realizzarne delle altre?
zts22336e	Per prima cosa, mi servono dei Cuori magici. Sono il cibo preferito di alcuni potenti mostri... Ciò, però, fa sì che venga sottratto amore al mondo.
zts22337e	Se ucciderai i mostri, riuscirai sicuramente a procurare alcuni cuori.
zts22338e	Ho recuperato tutti i Cuori magici. Amora, sto arrivando!
zts22339e	Wow, hai già finito? Mi hai portato un sacco di cuori! Che emozione!
