zts1e	Neuer Gegenstand
zts21645e	Gegrilltes Schweinefleisch mit Gemüse.[n]
zts21646e	Gegrillter Fisch und Piranha am Spieß.[n]
zts21647e	Gesunder Hamburger mit Bratling aus Sojabohnen.[n]
zts21648e	In süßer Marinade eingelegtes Grillfleisch.[n]
zts21649e	Gegrillter gemischter Piranha-Spieß.[n]
zts21650e	Knusprig gegrillter Karpfen.[n]
zts21651e	Ein gegrillter Karpfen-Spieß in Seestern-Soße.[n]
zts21652e	Köstliches Schweinekotelett.[n]
zts21653e	Hamburger mit Yakfußfleisch.[n]
zts21654e	Gemischtes Lamm- und Seewolf-Grillfleisch.[n]
zts21655e	Aus essbaren Würmern hergestelltes Steak.[n]
zts21656e	Räucherlachssteak.[n]
zts21657e	Aus den seltensten Zutaten von Lavatyrannen hergestelltes Fünf-Sterne-Gericht.[n][Achtung][n]Der Effekt dieses Gerichts endet, wenn du den Himmelsturm oder die Arena der Ehre betrittst.[n]
zts21658e	Gemischtes, gut durchgegrilltes Lamm- und Köhlerfleisch.[n]
zts21659e	Aus Rotlachs hergestelltes Räuchersteak.[n]
zts21660e	Ein großer Burger mit zwei Extra-Patties.[n]
zts21661e	Barbecue aus einem ganzen Huhnkönig.[n]
zts21662e	Aus Fafnirs starkem Herzmuskel hergestelltes Steak.[n]
zts21663e	Barbecue aus einem ganzen Riesen-Seewolf.[n]
zts21664e	Aus dem fettigen Fleisch eines Schokoladenhais hergestelltes Steak.[n]
zts21665e	Nahrhaftes Barbecue aus einem ganzen Quastenflosser.[n]
zts21666e	Mit Käse überbackener Pikanya-Fleisch-Eintopf.[n]
zts21667e	Moosbrei voller mystischer Energie.[n]
zts21668e	Gesunder Eintopf aus Eulenbär-Fleisch und frischem Moos.[n]
zts21669e	Nudeln mit Schildkröten- und Fischbrühe.[n]
zts21670e	Eintopf aus entgiftetem Igelfisch.[n]
zts21671e	Fischeintopf aus Karpfenfleisch.[n]
zts21672e	Moos-Eintopf mit der Runenkraft und Geistenergie von Morizios.[n]
zts21673e	Eintopf mit machtvollem Zorn als Zutat.[n]
zts21674e	Dicker Eintopf aus Seewolffleisch.[n]
zts21675e	Moosbrei aus Fluss-Grundel und dem Gift des Rotaugen-Skorpions.[n]
zts21676e	Eintopf aus Bacoom-Schwänzen.[n]
zts21677e	Kalter Eintopf für Wüstenbewohner.[n]
zts21678e	Würziger, fettiger Thunfisch-Eintopf.[n]
zts21679e	Nudeln mit Sumpfschildkrötenbrühe.[n]
zts21680e	Öliger Eintopf aus Spinnenkönig-Augen und Thunfisch.[n]
zts21681e	Eintopf aus Hühnerkönigfleisch.[n]
zts21682e	Nudeln mit Drachenhaut- und Arowana-Brühe.[n]
zts21683e	Ein Gourmet-Gericht aus dem Filet und der Flosse des Megalodon.[n]
zts21684e	Gut abgeschmeckte Suppe aus Frigus.[n][Achtung][n]Der Erfahrungsgewinn-Effekt dieses Gerichts ersetzt den Effekt des Erfahrungstranks.[n]
zts21685e	Kraken-Eintopf mit hochprozentigem Alkohol.[n][Achtung][n]Der Effekt dieses Gerichts endet, wenn du den Himmelsturm oder die Arena der Ehre betrittst.[n]
zts21686e	Gebratener Reis mit Qualle und Pikanya-Fleisch.[n]
zts21687e	Omelett aus Schweinekotelett und Mandragora.[n]
zts21688e	Gebratener Reis mit Kliffbeeren und Pikanya-Fleisch.[n]
zts21689e	Omelett mit zwei Apfelsorten.[n]
zts21690e	Heiß gebratenes Fischgericht vom roten Brillenkarpfen.[n]
zts21691e	Seestern-Pfannkuchen.[n]
zts21692e	Extrem scharf gewürztes Pfannengericht aus rotem Sonnenbarsch und einer feurigen Gewürzmischung.[n]
zts21693e	Gebratene Nudeln mit Bacoom-Schwänzen.[n]
zts21694e	Pfannkuchen aus Schweinefleisch und Köhler.[n]
zts21695e	Pfannengericht aus rotem Köhler und Igelfisch.[n]
zts21696e	Scharfe kalte Nudeln.[n]
zts21697e	Fantastischer Schnapper-Pfannkuchen, der niemals kalt wird.[n]
zts21698e	Gebratene Nudeln mit Steckerl- und Vampirfisch.[n]
zts21699e	Ganz besondere heiß-kalte Nudeln.[n]
zts21700e	Pfannkuchen aus Flammen-Stachelrochen mit süßem Apfelsaft.[n]
zts21701e	Gebratene Nudeln mit Quastenflosser und geronnenem Blut.[n]
zts21702e	Kalte gebratene Nudeln mit Rochen und Brotfisch.[n][Achtung][n]Der Erfahrungsgewinn-Effekt dieses Gerichts ersetzt den Effekt des Erfahrungstranks.[n]
zts21703e	Dieses merkwürdige Gericht ist das Resultat eines fehlgeschlagenen Kochversuchs.[n]
zts21704e	Leckeres Pfannengericht aus Anglerfisch.[n][Achtung][n]Der Erfahrungsgewinn-Effekt dieses Gerichts ersetzt den Effekt des Erfahrungstranks.[n]
zts21705e	Das perfekte Gericht aus den besten Fischen, die im Morizios-Fluss gefangen wurden.[n][Achtung][n]Der Effekt dieses Gerichts endet, wenn du den Himmelsturm oder die Arena der Ehre betrittst.[n]
zts21706e	Schneidbrett
zts21707e	Ein einfaches, von Terry hergestelltes Schneidebrett.[n]Du kannst nur eine bestimmte Menge pro Tag kaufen.[n]
zts21712e	Aus den seltensten Zutaten von Lavatyrannen hergestelltes Fünf-Sterne-Gericht.[n][Achtung][n]Der Effekt dieses Gerichts endet, wenn du den Himmelsturm oder die Arena der Ehre betrittst.[n]Der durch dieses Gericht verliehene Effekt [Energie der Lava] ersetzt den Effekt [Krakenenergie].[n]Besitzt du den Effekt [Energie des schwarzen Alligators], wird nur dessen Dauer durch [Energie der Lava] angepasst.[n]
zts21713e	Aus dem fettigen Fleisch eines Schokoladenhais hergestelltes Steak.[n][Achtung][n]Der durch dieses Gericht verliehene Effekt [Energie des Schokoladenhais] wird entfernt, wenn du den Effekt [Energie des Quastenflossers] erhältst.[n]
zts21714e	Nahrhaftes Barbecue aus einem ganzen Quastenflosser.[n][Achtung][n]Der durch dieses Gericht verliehene Effekt [Energie des Quastenflossers] ersetzt den Effekt [Energie des Schokoladenhais].[n]
zts21715e	Nudeln mit Drachenhaut- und Arowana-Brühe.[n][Achtung][n]Der durch dieses Gericht verliehene Effekt [Schmerzlinderung durch Sättigung] wird entfernt, wenn du den Effekt [Betäubungsmittel], [Proteinergänzung durch Sättigung (schwach)] oder [Proteinergänzung durch Sättigung] erhältst.[n]
zts21716e	Ein Gourmet-Gericht aus dem Filet und der Flosse des Megalodon.[n][Achtung][n]Der durch dieses Gericht verliehene Effekt [Betäubungsmittel] ersetzt den Effekt [Schmerzlinderung durch Sättigung].[n]Der Effekt wird entfernt, wenn du den Effekt [Proteinergänzung durch Sättigung (schwach)] oder [Proteinergänzung durch Sättigung] erhältst.[n]
zts21717e	Kraken-Eintopf mit hochprozentigem Alkohol.[n][Achtung][n]Der Effekt dieses Gerichts endet, wenn du den Himmelsturm oder die Arena der Ehre betrittst.[n]Der durch dieses Gericht verliehene Effekt [Krakenenergie] wird entfernt, wenn du den Effekt [Energie des schwarzen Alligators] oder [Energie der Lava] erhältst.[n]
zts21718e	Pfannkuchen aus Flammen-Stachelrochen mit süßem Apfelsaft.[n][Achtung][n]Der durch dieses Gericht verliehene Effekt [Proteinergänzung durch Sättigung] ersetzt die Effekte [Schmerzlinderung durch Sättigung], [Betäubungsmittel] und [Proteinergänzung durch Sättigung (schwach)].[n]
zts21719e	Gebratene Nudeln mit Quastenflosser und geronnenem Blut.[n][Achtung][n]Der durch dieses Gericht verliehene Effekt [Proteinergänzung durch Sättigung (schwach)] ersetzt die Effekte [Schmerzlinderung durch Sättigung] und [Betäubungsmittel].[n]Der Effekt wird entfernt, wenn du den Effekt [Proteinergänzung durch Sättigung] erhältst.[n]
zts21720e	Das perfekte Gericht aus den besten Fischen, die im Morizios-Fluss gefangen wurden.[n][Achtung][n]Der Effekt dieses Gerichts endet, wenn du den Himmelsturm oder die Arena der Ehre betrittst.[n]Der durch dieses Gericht verliehene Effekt [Energie des schwarzen Alligators] ersetzt den Effekt [Krakenenergie].[n]Besitzt du den Effekt [Energie der Lava], wird nur dessen Dauer durch [Energie des schwarzen Alligators] angepasst.[n]
zts21721e	Blumenflügel
zts21722e	Ändert die Flügel deines Spezialisten in Blumenflügel.[n][Anleitung][n]1. Verwandle dich in einen Spezialisten.[n]2. Benutze diesen Gegenstand, um deine Flügel zu ändern.[n][Effekt][n]Greifst du an, wird mit einer Wahrscheinlichkeit von 10% der Effekt [Blumengift] beim Ziel ausgelöst.[n]Mit 10% Wahrscheinlichkeit erhältst du keinen schlechten Effekt bis Level 4.[n]Bewegungsgeschwindigkeit +1[n]Sämtliche Angriffe sind um 5% erhöht.[n][Achtung][n]1. Du kannst Spezialistenflügel nur mit einer verbesserten Spezialistenkarte +1 oder höher ändern.[n]2. Die Flügel verschwinden, wenn du deine Spezialistenkarte in einen Kartenhalter legst.[n]
zts21727e	Gruseliges Teufelchen (Event)
zts21728e	Flederfuchs
zts21729e	Fabulös
zts21740e	Juwel des Ork-Helden
zts21741e	Mit diesem Juwel kannst du vier Spezialistenkarten des Typs "Ork-Held" verbessern.[n]
zts21748e	Flammendruide-Spezialistenkarte
zts21749e	Ein Druide des Feuerelements, der sich in einen Bären oder Leoparden verwandeln kann.[n]"Mit der Macht des Bären-Loa werde ich das Böse verbrennen und vernichten!"[n]
zts21750e	"Wasserfall-Axtkämpfer"-Spezialistenkarte
zts21751e	Ein Kämpfer des Wasserelements, der eine furchterregende Axt schwingt.[n] "Nicht einmal ein Wasserfall kann meine Wut abkühlen!"[n]
zts21752e	Sonnenjäger-Spezialistenkarte
zts21753e	Ein Jäger des Lichtelements, der stets von einem Wolf begleitet wird.[n]"Niemand kann sich vor der Sonne verbergen!"[n]
zts21754e	Voodoopriester-Spezialistenkarte
zts21755e	Ein Priester des Schattenelements, der mit Flüchen Schmerz und Furcht verbreitet.[n]"Wenn du stirbst, kümmere ich mich um deine Seele."[n]
zts21758e	Seele der Altehrwürdigen Helden
zts21759e	Mit dieser Seele kann die Macht der Altehrwürdigen Helden wiederhergestellt werden.[n]Sie scheint noch nicht völlig gereinigt zu sein.[n][Hinweis][n]SP-Schutzrollen wirken für dieses Material nicht.[n]
zts21760e	Strahlende Seele der Altehrwürdigen Helden
zts21761e	Mit dieser Seele kann die Macht der Altehrwürdigen Helden wiederhergestellt werden.[n]Sie ist völlig rein.[n][Hinweis][n]SP-Schutzrollen wirken für dieses Material nicht.[n]
zts21762e	Ork-Seelenstein
zts21763e	Edelstein, der ein wenig Energie der Altehrwürdigen Helden enthält.[n][Hinweis][n]SP-Schutzrollen wirken für dieses Material nicht.[n]
zts21764e	Seelentruhe des auferstandenen Paimon
zts21765e	Du kannst diese Raidbox nach einem Sieg über den auferstandenen Paimon erhalten.[n]Sie enthält Material zum Aufwerten von Orkhelden-Spezialisten.[n]
zts21766e	Morizios-Mineralwasser
zts21767e	Quellwasser, das Spuren magischer Mineralien enthält.[n]Prickelt noch mehr als Morizios-Sprudel.[n]
zts21768e	Untoter Geist
zts21769e	Ein schwacher Rachegeist.[n]Scheint unsterblich zu sein.[n]
zts21770e	Pikanya-Blut
zts21771e	Das rote Blut eines Pikanyas.[n]
zts21772e	Spezial-Kliffbeere
zts21773e	Eine seltene Kliffbeere, die noch süßer ist als die gewöhnliche.[n]
zts21774e	Besonderer süßer Apfel
zts21775e	Ein seltener süßer Apfel, der noch süßer ist als der gewöhnliche.[n]
zts21776e	Rituelles Gebräu
zts21777e	Von Ork-Magiern gebrauter ritueller Schnaps, der verwendet wird, um mit Loas in Kontakt zu treten.[n]Schmeckt leicht süßlich.[n]Verwende das Gebräu, um dich zum Traumlabyrinth-Timespace zu teleportieren.[n][Achtung][n]Dieses Item verschwindet, wenn der Timespace abgeschlossen wurde.[n]
zts21778e	Magisches Andenken
zts21779e	Diese Schriftrolle enthält eine magische Kraft, die deine Erinnerung zurückholt.[n]Wahrscheinlich brauchst du die irgendwann.[n]
zts21780e	Magische Andenken-Schriftrolle
zts21781e	Kann ein magisches Andenken erschaffen.[n]Enthält mysteriöse Kräfte.[n]
zts21782e	Uralte Feuermagie
zts21783e	Kristall voller starker Feuerenergie.[n]
zts21784e	Uralter Sandstein
zts21785e	Sandstein aus uralten Zeiten.[n]Enthält Sonnenlicht.[n]
zts21786e	Uralter Timespace-Splitter
zts21787e	Stein, der von der Hinterhof-Alchemistin gefertigt wurde.[n]Er strahlt starke magische Energie aus.[n]Verwende ihn, um dich zum Timespace "Uralte Erinnerungen" zu teleportieren.[n][Achtung][n]Dieses Item verschwindet, wenn der Timespace abgeschlossen wurde.[n]
zts21788e	Ring der Tochter
zts21789e	Ring von Thrulls Tochter.[n]Er enthält ihre magischen Kräfte.[n]Verwende ihn, um dich zum Timespace "Paimons zersplitterte Raumzeit" zu teleportieren.[n][Achtung][n]Dieses Item verschwindet, wenn der Timespace abgeschlossen wurde.[n]
zts21790e	Raidsiegel des auferstandenen Paimons
zts21791e	Du kannst den Raid über das Portal im Geisterwald betreten.[n]Empfohlenes Heldenlevel: 10-60[n]Mindestanzahl der Spieler: 15[n][Anleitung][n]Der Spieler wird Teamleiter.[n]Nachdem du Teamleiter geworden bist, kannst du andere Spieler einladen, indem du sie anklickst.[n]Gehe zum Raideingang. Wenn der Leiter eintritt, folgen alle anderen Mitglieder automatisch.[n][Achtung][n]Charaktere mit einem höheren Level als dem empfohlenen können zwar am Raid teilnehmen, erhalten jedoch eine Strafe.[n](Keine zusätzlichen Herzen, keine Raidbox, auch nicht bei Erfolg.)[n]
zts21794e	[Täglich] Den "Auferstandener Paimon"-Raid 5-mal abschließen
zts21795e	Schließe den "Auferstandener Paimon"-Raid 5-mal ab (1x tgl./Spieler).[n]
zts21798e	Gefrorener Speerfisch (30 Tage)
zts21799e	Dank diesem Skin wird niemand mehr behaupten, dein Fisch sei nicht frisch.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Riecht nach Meer und ist sehr scharf und spitz.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21800e	Gefrorener Speerfisch (unbegrenzt)
zts21801e	Dank diesem Skin wird niemand mehr behaupten, dein Fisch sei nicht frisch.[n]Riecht nach Meer und ist sehr scharf und spitz.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21802e	Hummerschere (30 Tage)
zts21803e	Mit diesem Skin machst du aus deinen Feinden Fischfutter.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Eine Hummerschere, die schon jemand leergegessen hat.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21804e	Hummerschere (unbegrenzt)
zts21805e	Mit diesem Skin machst du aus deinen Feinden Fischfutter.[n]Eine Hummerschere, die schon jemand leergegessen hat.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21806e	Krakenbogen (30 Tage)
zts21807e	Mit diesem Skin hast du in der Hitze des Gefechts immer einen Snack parat.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Ein Bogen aus biegsamen Krakententakeln.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21808e	Krakenbogen (unbegrenzt)
zts21809e	Mit diesem Skin hast du in der Hitze des Gefechts immer einen Snack parat.[n]Ein Bogen aus biegsamen Krakententakeln.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21810e	Korallenstab (30 Tage)
zts21811e	Dieser Skin ist nicht nur hübsch anzusehen, sondern tut auch verdammt weh.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Gib acht, dass die Korallen bei hoher Temperatur nicht verblassen.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21812e	Korallenstab (unbegrenzt)
zts21813e	Dieser Skin ist nicht nur hübsch anzusehen, sondern tut auch verdammt weh.[n]Gib acht, dass die Korallen bei hoher Temperatur nicht verblassen.[n][Effekt][n]Erhöht den PvP-Schaden um 3%.[n]
zts21814e	Dank diesem Skin wird niemand mehr behaupten, dein Fisch sei nicht frisch.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Riecht nach Meer und ist sehr scharf und spitz.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21815e	Dank diesem Skin wird niemand mehr behaupten, dein Fisch sei nicht frisch.[n]Riecht nach Meer und ist sehr scharf und spitz.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21816e	Mit diesem Skin machst du aus deinen Feinden Fischfutter.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Eine Hummerschere, die schon jemand leergegessen hat.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21817e	Mit diesem Skin machst du aus deinen Feinden Fischfutter.[n]Eine Hummerschere, die schon jemand leergegessen hat.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21818e	Mit diesem Skin hast du in der Hitze des Gefechts immer einen Snack parat.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Ein Bogen aus biegsamen Krakententakeln.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21819e	Mit diesem Skin hast du in der Hitze des Gefechts immer einen Snack parat.[n]Ein Bogen aus biegsamen Krakententakeln.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21820e	Dieser Skin ist nicht nur hübsch anzusehen, sondern tut auch verdammt weh.[n]Die Anwendungszeit beginnt, sobald du den Skin angelegt hast.[n]Gib acht, dass die Korallen bei hoher Temperatur nicht verblassen.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21821e	Dieser Skin ist nicht nur hübsch anzusehen, sondern tut auch verdammt weh.[n]Gib acht, dass die Korallen bei hoher Temperatur nicht verblassen.[n][Effekt][n]Sämtliche Angriffe sind um 3% erhöht.[n]
zts21822e	Honigbienenkostüm (30 Tage)
zts21823e	Mit diesem schicken Outfit wirst du zum Ehrenmitglied der königlichen Bienenfamilie.[n]Die Anwendungszeit beginnt, sobald du es angezogen hast.[n][Effekt][n]Sämtliche Elementresistenzen sind um 3 erhöht.[n]Sämtliche Verteidigungen sind um 5% erhöht.[n][Set-Effekt][n]Wenn du stirbst, während du das Honigbienenkostüm und die Honigbienenflügel trägst, wird die Menge der Heldenlevel-Erfahrungspunkte, die du verlierst, um 55% reduziert.[n]
zts21824e	Honigbienenkostüm (unbegrenzt)
zts21825e	Mit diesem schicken Outfit wirst du zum Ehrenmitglied der königlichen Bienenfamilie.[n][Effekt][n]Sämtliche Elementresistenzen sind um 3 erhöht.[n]Sämtliche Verteidigungen sind um 5% erhöht.[n][Set-Effekt][n]Wenn du stirbst, während du das Honigbienenkostüm und die Honigbienenflügel trägst, wird die Menge der Heldenlevel-Erfahrungspunkte, die du verlierst, um 55% reduziert.[n]
zts21826e	Honigbienenkrone (30 Tage)
zts21827e	Wer diese edle Krone trägt, wird bewundert und gefürchtet.[n]Die Anwendungszeit beginnt, sobald du sie aufgesetzt hast.[n][Effekt][n]Sämtliche Elemente sind um 10% erhöht.[n]Sämtliche Angriffe sind um 5% erhöht.[n][Set-Effekt][n]Bewegungsgeschwindigkeit +1, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]
zts21828e	Honigbienenkrone (unbegrenzt)
zts21829e	Wer diese edle Krone trägt, wird bewundert und gefürchtet.[n][Effekt][n]Sämtliche Elemente sind um 10% erhöht.[n]Sämtliche Angriffe sind um 5% erhöht.[n][Set-Effekt][n]Bewegungsgeschwindigkeit +1, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]
zts21830e	Honigbienenflügel (30 Tage)
zts21831e	Diese Flügel machen dich schnell und wendig.[n]Die Anwendungszeit beginnt, sobald du sie angelegt hast.[n][Effekt][n]Das Element der ausgerüsteten Fee ist um 5 erhöht.[n][Set-Effekt][n]Wenn du stirbst, während du das Honigbienenkostüm und die Honigbienenflügel trägst, wird die Menge der Heldenlevel-Erfahrungspunkte, die du verlierst, um 55% reduziert.[n]Bewegungsgeschwindigkeit +1, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]
zts21832e	Honigbienenflügel (unbegrenzt)
zts21833e	Honigbienen-Sonnenbrille (30 Tage)
zts21834e	Diese coole Sonnenbrille komplettiert das Honigbienen-Outfit.[n]Die Anwendungszeit beginnt, sobald du sie aufgesetzt hast.[n][Effekt][n]Durch kritische Treffer erlittener Schaden ist um 7% reduziert.[n]Sämtliche Elementresistenzen sind um 1 erhöht.[n]
zts21835e	Honigbienen-Sonnenbrille (unbegrenzt)
zts21836e	Diese coole Sonnenbrille komplettiert das Honigbienen-Outfit.[n][Effekt][n]Durch kritische Treffer erlittener Schaden ist um 7% reduziert.[n]Sämtliche Elementresistenzen sind um 1 erhöht.[n]
zts21839e	Honigbienen-Kostümset
zts21840e	Beim Öffnen des Pakets erhältst du folgende Items:[n]1x Honigbienenkostüm (unbegrenzt)[n]1x Honigbienenkrone (unbegrenzt)[n]
zts21841e	Diese Flügel machen dich schnell und wendig.[n][Effekt][n]Das Element der ausgerüsteten Fee ist um 5 erhöht.[n][Set-Effekt][n]Wenn du stirbst, während du das Honigbienenkostüm und die Honigbienenflügel trägst, wird die Menge der Heldenlevel-Erfahrungspunkte, die du verlierst, um 55% reduziert.[n]Bewegungsgeschwindigkeit +1, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]
zts21844e	Honigbienenkostüm (30 Tage)
zts21845e	Mit diesem schicken Outfit wirst du zum Ehrenmitglied der königlichen Bienenfamilie.[n]Die Anwendungszeit beginnt, sobald du es angezogen hast.[n][Effekt][n]Sämtliche Elementresistenzen sind um 3 erhöht.[n]Sämtliche Verteidigungen sind um 5% erhöht.[n]Erhöht die Bewegungsgeschwindigkeit um 1.[n][Set-Effekt][n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 15%, wenn du das Honigbienenkostüm und die Honigbienenflügel trägst.[n]
zts21846e	Honigbienenkostüm (unbegrenzt)
zts21847e	Honigbienenkrone (30 Tage)
zts21848e	Wer diese edle Krone trägt, wird bewundert und gefürchtet.[n]Die Anwendungszeit beginnt, sobald du sie aufgesetzt hast.[n][Effekt][n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 15%.[n]Sämtliche Angriffe sind um 3% erhöht.[n]Reduziert den erlittenen Schaden im PvP um 3%.[n][Set-Effekt][n]Mit 3% Wahrscheinlichkeit lösen deine Angriffe [Schock] aus, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]
zts21849e	Honigbienenkrone (unbegrenzt)
zts21850e	Wer diese edle Krone trägt, wird bewundert und gefürchtet.[n][Effekt][n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 15%.[n]Sämtliche Angriffe sind um 3% erhöht.[n]Reduziert den erlittenen Schaden im PvP um 3%.[n][Set-Effekt][n]Mit 3% Wahrscheinlichkeit lösen deine Angriffe [Schock] aus, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]
zts21851e	Honigbienenflügel (30 Tage)
zts21852e	Diese Flügel machen dich schnell und wendig.[n]Die Anwendungszeit beginnt, sobald du sie angelegt hast.[n][Effekt][n]Erleidest du Schaden durch Schattenelement-Angriffe, wird dieser mit 10% Wahrscheinlichkeit um 20% reduziert.[n][Set-Effekt][n]Mit 3% Wahrscheinlichkeit lösen deine Angriffe [Schock] aus, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 15%, wenn du das Honigbienenkostüm und die Honigbienenflügel trägst.[n]Mit 10% Wahrscheinlichkeit erhältst du keinen schlechten Effekt bis Level 4, wenn du die Honigbienen-Sonnenbrille und die Honigbienenflügel trägst.[n]
zts21853e	Honigbienenflügel (unbegrenzt)
zts21854e	Diese Flügel machen dich schnell und wendig.[n][Effekt][n]Erleidest du Schaden durch Schattenelement-Angriffe, wird dieser mit 10% Wahrscheinlichkeit um 20% reduziert.[n][Set-Effekt][n]Mit 3% Wahrscheinlichkeit lösen deine Angriffe [Schock] aus, wenn du die Honigbienenkrone und die Honigbienenflügel trägst.[n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 15%, wenn du das Honigbienenkostüm und die Honigbienenflügel trägst.[n]Mit 10% Wahrscheinlichkeit erhältst du keinen schlechten Effekt bis Level 4, wenn du die Honigbienen-Sonnenbrille und die Honigbienenflügel trägst.[n]
zts21855e	Honigbienen-Sonnenbrille (30 Tage)
zts21856e	Diese coole Sonnenbrille komplettiert das Honigbienen-Outfit.[n]Die Anwendungszeit beginnt, sobald du sie aufgesetzt hast.[n][Effekt][n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 5%.[n][Set-Effekt][n]Mit 10% Wahrscheinlichkeit erhältst du keinen schlechten Effekt bis Level 4, wenn du die Honigbienen-Sonnenbrille und die Honigbienenflügel trägst.[n]
zts21857e	Honigbienen-Sonnenbrille (unbegrenzt)
zts21858e	Diese coole Sonnenbrille komplettiert das Honigbienen-Outfit.[n][Effekt][n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 5%.[n][Set-Effekt][n]Mit 10% Wahrscheinlichkeit erhältst du keinen schlechten Effekt bis Level 4, wenn du die Honigbienen-Sonnenbrille und die Honigbienenflügel trägst.[n]
zts21859e	Honigbienen-Kostümset
zts21860e	Mit diesem schicken Outfit wirst du zum Ehrenmitglied der königlichen Bienenfamilie.[n][Effekt][n]Sämtliche Elementresistenzen sind um 3 erhöht.[n]Sämtliche Verteidigungen sind um 5% erhöht.[n]Erhöht die Bewegungsgeschwindigkeit um 1.[n][Set-Effekt][n]Erhöht die erhaltenen Heldenlevel-Erfahrungspunkte um 15%, wenn du das Honigbienenkostüm und die Honigbienenflügel trägst.[n]
zts21861e	5 BP
zts21862e	20 BP
zts21863e	50 BP
zts21864e	Premium-Battlepass
zts21865e	Mit diesem Gegenstand erhältst du während der aktuellen Battlepass-Saison zusätzliche Belohnungen.[n]Zusätzlich kannst du dir Battlepass-Münzen kaufen, die deine Battle-Punkte (BP) erhöhen.[n][Hinweis][n]Ist nur für die jeweils aktuelle Battlepass-Saison gültig.[n]
zts21866e	Premium-Battlepass-Münze
zts21867e	Verwende sie, um deine BP um 50 zu erhöhen.[n][Hinweis][n]Kann nur gekauft und verwendet werden, wenn du einen Premium-Battlepass besitzt.[n]
zts21868e	Battlepass 1. Stufe (0-50 BP)
zts21869e	Battlepass 2. Stufe (51-100 BP)
zts21870e	Battlepass 3. Stufe (101-150 BP)
zts21871e	Battlepass 4. Stufe (151-200 BP)
zts21872e	Battlepass 5. Stufe (201-250 BP)
zts21873e	Battlepass 6. Stufe (251-300 BP)
zts21874e	Battlepass 7. Stufe (301-350 BP)
zts21875e	Battlepass 8. Stufe (351-400 BP)
zts21876e	Battlepass 9. Stufe (401-450 BP)
zts21877e	Battlepass 10. Stufe (451-500 BP)
zts21878e	Battlepass 11. Stufe (501-550 BP)
zts21879e	Battlepass 12. Stufe (551-600 BP)
zts21880e	Battlepass 13. Stufe (601-650 BP)
zts21881e	Battlepass 14. Stufe (651-700 BP)
zts21882e	Battlepass 15. Stufe (701-750 BP)
zts21883e	Battlepass 16. Stufe (751-800 BP)
zts21884e	Battlepass 17. Stufe (801-850 BP)
zts21885e	Battlepass 18. Stufe (851-900 BP)
zts21886e	Battlepass 19. Stufe (901-950 BP)
zts21887e	Battlepass 20. Stufe (951-1.000 BP)
zts21888e	Battlepass 21. Stufe (1.001-1.050 BP)
zts21889e	Battlepass 22. Stufe (1.051-1.100 BP)
zts21890e	Battlepass 23. Stufe (1.101-1.150 BP)
zts21891e	Battlepass 24. Stufe (1.151-1.200 BP)
zts21892e	Battlepass 25. Stufe (1.201-1.250 BP)
zts21893e	Battlepass 26. Stufe (1.251-1.300 BP)
