zts1e	Новый предмет
zts19047e	Кристалл с сущностью пространства-времени
zts19048e	Кристалл, который можно собрать только в пространственно-временных камнях.[n]В нем содержится сила пространства-времени.[n]
zts19049e	Натуральная магическая бумага
zts19050e	Эта бумага покрыта странными отметками.[n]
zts19051e	Разорванный дневник
zts19052e	Дневник крестоносца.[n]Страницы в середине были вырваны.[n]
zts19053e	Разорванный свиток
zts19054e	Оторванная часть свитка.[n]
zts19055e	Комбинирование костюмов
zts19056e	Позволяет изменить внешний вид костюма.[n]Для этого нужно выбрать два костюма: один останется, а другой будет потрачен в процессе комбинирования.[n]
zts19057e	Пробужденное яйцо Зенас
zts19058e	В этом яйце находится фея Зенас.[n]Свет заполнил его.[n]С небольшим шансом можно вызвать фею.[n]
zts19059e	Пробужденное яйцо Эрении
zts19060e	В этом яйце находится фея Эрения.[n]Тьма заполнила его.[n]С небольшим шансом можно вызвать фею.[n]
zts19061e	Пробужденное яйцо Фернон
zts19062e	В этом яйце находится фея Фернон.[n]Свет и тьма сплелись вместе, заполнив его.[n]В случае выполнения всех условий можно вызвать фею.[n]
zts19063e	Запускает рейд Обессиленной Фернон на Храмовой площади.[n]Рекомендуемый уровень: 92-99[n]Рекомендуемое кол-во игроков: 8[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу. Когда лидер заходит в локацию рейда, остальные члены команды перемещаются в нее автоматически.[n][Внимание][n]Командная игра - ключ к победе![n]Возможности и способности карт специалиста тоже имеют большое значение.[n]
zts19064e	Мифриловая медаль
zts19065e	Медаль, которую можно получить на Боевой арене.[n]Только самые смелые воины удостаиваются такой чести.[n]
zts19066e	Пляжная шляпка (30 дней)
zts19067e	Эта пляжная шляпка подарит тебе летнее настроение.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает сопротивление огню на 5.[n]
zts19068e	Пляжная шляпка (вечная)
zts19069e	Эта пляжная шляпка подарит тебе летнее настроение.[n][Эффект][n]Повышает сопротивление огню на 5.[n]
zts19070e	Пляжный наряд (30 дней)
zts19071e	Этот пляжный наряд подарит тебе летнее настроение.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает шанс наложения эффекта Пляжное настроение на 5%.[n]
zts19072e	Пляжный наряд (вечный)
zts19073e	Этот пляжный наряд подарит тебе летнее настроение.[n][Защитный эффект][n]Повышает шанс наложения эффекта Пляжное настроение на 5%.[n]
zts19074e	Трус Лео
zts19075e	Крылья феи
zts19076e	Ты можешь надеть эти Крылья феи на свою карту специалиста.[n][Инструкция][n]1. Надень карту специалиста.[n]2. Нажми дважды на этот предмет, чтобы изменить крылья на надетой карте.[n][Эффект][n]3% шанс сброса времени перезарядки использованного атакующего навыка.[n]Повышение скорости передвижения на 1.[n][Внимание][n]1. Надеть крылья можно только на карту с улучшением от +1 и выше.[n]2. Крылья исчезнут, если ты поместишь карту в держатель.[n]
zts19077e	Пляжный комплект одежды (вечный)
zts19078e	В этом сундуке лежит пляжный комплект одежды.[n]Открой его, чтобы получить следующие предметы:[n]1x Пляжная шляпка (вечная)[n]1x Пляжный наряд (вечный)[n]
zts19090e	Стань легендой спорта с помощью облика оружия "Бейсбольная бита".[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19092e	Стань легендой спорта с помощью облика оружия "Бейсбольная бита".[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19094e	Попадай прямо в яблочко с помощью облика оружия "Изогнутый лук".[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19096e	Попадай прямо в яблочко с помощью облика оружия "Изогнутый лук".[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19098e	Улучши свою подачу с помощью облика оружия "Теннисная ракетка".[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19100e	Улучши свою подачу с помощью облика оружия "Теннисная ракетка".[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19102e	Разбуди своего внутреннего беса с помощью облика оружия "Дьявольская дубинка".[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19104e	Разбуди своего внутреннего беса с помощью облика оружия "Дьявольская дубинка".[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19106e	Наслаждайся охотой с помощью облика оружия "Цветочный лук".[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19108e	Наслаждайся охотой с помощью облика оружия "Цветочный лук".[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19110e	Заставь всех гейш завидовать тебе с помощью облика оружия "Веер учива".[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19112e	Заставь всех гейш завидовать тебе с помощью облика оружия "Веер учива".[n][Эффект][n]Повышает урон в ПвП на 2%.[n]
zts19113e	Ты можешь надеть эти Крылья феи на свою карту специалиста.[n][Инструкция][n]1. Надень карту специалиста.[n]2. Нажми дважды на этот предмет, чтобы изменить крылья на надетой карте.[n][Эффект][n]7% шанс сброса времени перезарядки использованного атакующего навыка.[n]Повышение скорости передвижения на 1.[n][Внимание][n]1. Надеть крылья можно только на карту с улучшением от +1 и выше.[n]2. Крылья исчезнут, если ты поместишь карту в держатель.[n]
zts19114e	Сундук мифрильной медали
zts19115e	Сундук мифрильной медали![n]Ты получишь один из следующих предметов:[n]1x Крылья Архангела[n]1x Крылья Архидемона[n]1x Титановые крылья[n]1x Ледяные крылья[n]1x Огненные крылья[n]99x Огромное зелье исцеления[n]2x Усилитель арены (Талантов)[n]1x Рубин совершенства[n]1x Сапфир совершенства[n]1x Обсидиан совершенства[n]1x Топаз совершенства[n]1x Маленький рубин совершенства[n]1x Маленький сапфир совершенства[n]1x Маленький обсидиан совершенства[n]1x Маленький топаз совершенства[n]1x Руна молнии[n]1x Руна волны[n]1x Руна облака[n]1x Руна ветра[n]1x Руна огня[n]
zts19124e	Облик оружия "Бейсбольная бита" (30 дней)
zts19125e	Облик оружия "Бейсбольная бита" (вечный)
zts19126e	Облик оружия "Изогнутый лук" (30 дней)
zts19127e	Облик оружия "Изогнутый лук" (вечный)
zts19128e	Облик оружия "Теннисная ракетка" (30 дней)
zts19129e	Облик оружия "Теннисная ракетка" (вечный)
zts19130e	Облик оружия "Дьявольская дубинка" (30 дней)
zts19131e	Облик оружия "Дьявольская дубинка" (вечный)
zts19132e	Облик оружия "Цветочный лук" (30 дней)
zts19133e	Облик оружия "Цветочный лук" (вечный)
zts19134e	Облик оружия "Веер учива" (30 дней)
zts19135e	Облик оружия "Веер учива" (вечный)
zts19138e	Полицейская фуражка (30 дней)
zts19139e	Поддерживай закон и порядок, надев эту полицейскую фуражку.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает эффективность восстанавливающих предметов на 5%.[n]
zts19140e	Полицейская фуражка (вечная)
zts19141e	Поддерживай закон и порядок, надев эту полицейскую фуражку.[n][Эффект][n]Повышает эффективность восстанавливающих предметов на 5%.[n]
zts19142e	Полицейская форма (30 дней)
zts19143e	Поддерживай закон и порядок, надев эту полицейскую форму.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]С 2% вероятностью снимает все негативные эффекты до 4 уровня.[n]
zts19144e	Полицейская форма (вечная)
zts19145e	Поддерживай закон и порядок, надев эту полицейскую форму.[n][Эффект][n]С 2% вероятностью снимает все негативные эффекты до 4 уровня.[n]
zts19146e	Комплект одежды полицейского (вечный)
zts19147e	Это полный комплект одежды полицейского.[n]Он состоит из:[n]1x Полицейской фуражки (вечной)[n]1x Полицейской формы (вечной)[n]
zts19162e	Головной убор кулинара (30 дней)
zts19163e	Порази всех гостей головным убором кулинара.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает элемент огня на 5.[n]
zts19164e	Головной убор кулинара (вечный)
zts19165e	Порази всех гостей головным убором кулинара.[n][Эффект][n]Повышает элемент огня на 5.[n]
zts19166e	Костюм кулинара (30 дней)
zts19167e	Порази всех гостей костюмом кулинара.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает эффективность восстанавливающих предметов на 10%.[n]Повышает скорость передвижения на 1.[n]
zts19168e	Костюм кулинара (вечный)
zts19169e	Порази всех гостей костюмом кулинара.[n][Эффект][n]Повышает эффективность восстанавливающих предметов на 10%.[n]Повышает скорость передвижения на 1.[n]
zts19170e	Комплект униформы кулинара (вечный)
zts19171e	В этом наборе находится полный комплект униформы кулинара.[n]Он состоит из:[n]1x Головной убор кулинара (вечный)[n]1x Костюм кулинара (вечный)[n]
zts19208e	Позволяет изменить внешний вид костюма.[n]Комбинировать можно только вечные костюмы одного типа (ограниченные с ограниченными, мужские с мужскими, женские с женскими, унисекс с унисекс). Кроме этого, комбинирование работает только на привязанных к персонажу костюмах. Оно стоит 1 000 000 золота.[n]
zts19209e	Позволяет изменить внешний вид костюма.[n]Для этого нужно выбрать два костюма: один останется, а другой будет потрачен в процессе комбинирования.[n][Внимание][n]1. Временные костюмы нельзя изменить.[n]2. Только привязанные к учетной записи костюмы могут быть изменены, и только один раз.[n]3. Один из костюмов исчезает в процессе комбинирования.[n]4. Комбинирование костюмов можно отменить с помощью Сброса комбинирования костюмов.[n]5. Получившемуся в итоге костюму не будут переданы свойства исчезнувшего костюма.[n]
zts19210e	Шлем викинга (30 дней)
zts19211e	Почувствуй благосклонность богов, надев этот шлем викинга.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает сопротивление воде на 10.[n]
zts19212e	Шлем викинга (вечный)
zts19213e	Почувствуй благосклонность богов, надев этот шлем викинга.[n][Эффект][n]Повышает сопротивление воде на 10.[n]
zts19214e	Броня викинга (30 дней)
zts19215e	Смотри, как твои враги дрожат от страха, увидев тебя в этой броне викинга.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Ты получаешь Благословение Одина.[n]Твоя скорость передвижения повышается на 1.[n]
zts19216e	Броня викинга (вечная)
zts19217e	Смотри, как твои враги дрожат от страха, увидев тебя в этой броне викинга.[n][Эффект][n]Ты получаешь Благословение Одина.[n]Твоя скорость передвижения повышается на 1.[n]
zts19218e	Комплект одежды викинга (вечный)
zts19219e	Ворвись на поле боя как буря, надев комплект одежды викинга.[n][Предметы][n]1x Шлем викинга (вечный)[n]1x Броня викинга (вечная)[n]
zts19250e	Ключ Фригг
zts19251e	Сделай Фригг своим партнером с помощью этого особого ключа.[n]
zts19252e	Ключ Рагнара
zts19253e	Сделай Рагнара своим партнером с помощью этого особого ключа.[n]
zts19262e	Древний волшебный прут
zts19263e	Отправляйся к секретному месту.[n][Использование][n]Волшебный прут найдет для тебя безопасное место, где ты не попадаешь под дыхание дракона.[n][n][Инструкции][n]1. Иди к тому месту, где спрятана безопасная зона.[n]2. Используй волшебный прут.[n]3. Если ты увидишь вопросительный знак, попробуй отойти чуть дальше и поискать в другом месте.[n]4. Если ты увидишь стрелку, иди туда, куда она показывает, время от времени используя волшебные пруты для точности.[n]
zts19264e	Шар слизи
zts19265e	Шар из слизи.[n]По всей видимости он полезен для людей.[n]
zts19266e	Знакомая маска
zts19267e	Эта маска выглядит удивительно знакомой.[n]
zts19268e	Сломанный ключ
zts19269e	Часть сломанного ключа.[n]
zts19270e	Дыхание дракона
zts19271e	Мощная энергия дракона.[n]
zts19272e	Сущность чистого огня
zts19273e	Настоящая энергия.[n]Чистая концентрированная энергия огня.[n]
zts19274e	Энергия Фафнира
zts19275e	Воплощение энергии Фафнира.[n]
zts19276e	Рог Фафнира
zts19277e	Рог Фафнира.[n]Он очень твердый и острый.[n]
zts19278e	Сердце Фафнира
zts19279e	В нем находится мана Фафнира.[n]Невероятно горячее![n]
zts19280e	Коренной зуб Фафнира
zts19281e	Коренной зуб Фафнира.[n]Очень острый.[n]
zts19282e	Чешуя Фафнира
zts19283e	Чешуя Фафнира.[n]Очень твердая.[n]
zts19284e	Мешочек с древними монетами
zts19285e	В этом мешочке находятся древние монеты.[n]
zts19286e	Горн Фафнира
zts19287e	Горн, сделанный из рога старого жадного дракона Фафнира.[n]Издает чудесный звук.[n]Используй его, чтобы вернуться в город.[n]Твое текущее местоположение будет сохранено. Ты сможешь вернуться назад, используя Амулет возвращения.[n]Можно использовать неограниченное количество раз.[n]
zts19288e	Ключ Эрдимиен
zts19289e	Сделай Эрдимиен своим партнером с помощью этого особого ключа.[n]
zts19290e	Украшение в виде крыла дракона
zts19291e	Это украшение можно создать, соединив Чешую Фафнира и Дыхание дракона.[n]
zts19292e	Костюм старого викинга (7 дней)
zts19293e	Смотри, как твои враги дрожат от страха, увидев тебя в этой броне викинга.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Ты получаешь Благословение Одина.[n]
zts19294e	Ключ от замка Ария
zts19295e	Запускает рейд в замке Ария.[n]Рекомендуемый уровень: 70-99[n]Рекомендуемое кол-во игроков: 10+[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу. Когда лидер заходит в локацию рейда, остальные члены команды перемещаются в нее автоматически.[n]
zts19296e	Костюм старого викинга (7 дней) - Набросок
zts19297e	На этом наброске указано, как сделать костюм старого викинга на 7 дней.[n]Собери все предметы, чтобы создать его.[n][Создание][n]1. Все материалы должны находиться в твоем инвентаре.[n]2. Нажми дважды на свиток, чтобы открыть окно создания.[n]3. Выбери предмет, который хочешь создать.[n]4. Перетяни материалы в открывшееся окно.[n]5. Нажми кнопку "Создать", чтобы получить желаемый предмет.[n]
zts19298e	Чертеж горна Фафнира
zts19299e	На этом чертеже указано, как сделать горн Фафнира.[n]Собери все предметы, чтобы создать его.[n][Создание][n]1. Все материалы должны находиться в твоем инвентаре.[n]2. Нажми дважды на свиток, чтобы открыть окно создания.[n]3. Выбери предмет, который хочешь создать.[n]4. Перетяни материалы в открывшееся окно.[n]5. Нажми кнопку "Создать", чтобы получить желаемый предмет.[n]
zts19300e	Жареный ужин Фафнира
zts19301e	Немедленно восстанавливает 20% от твоих ОЗ/ОМ.[n]Снимает негативные эффекты до 3 уровня.[n]Повышает ОС на 100.[n]
zts19302e	Запускает рейд в замке Ария.[n]Рекомендуемый уровень: 70-99[n]Рекомендуемое кол-во игроков: 10+[n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу. Когда лидер заходит в локацию рейда, остальные члены команды перемещаются в нее автоматически.[n]
zts19303e	На этом чертеже указано, как сделать горн Фафнира.[n]Собери все предметы, чтобы создать его.[n][Создание][n]1. Все материалы должны находиться в твоем инвентаре.[n]2. Нажми дважды на свиток, чтобы открыть окно создания.[n]3. Выбери предмет, который хочешь создать.[n]4. Перетяни материалы в открывшееся окно.[n]5. Нажми кнопку "Создать", чтобы получить желаемый предмет.[n]
zts19312e	Стимпанковский хроноклинок (вечный)
zts19313e	Выпусти немного пара с помощью этого великолепного стимпансковского облика оружия.[n][Эффект][n]С вероятностью 30% повышает наносимый урон на 10%, если уровень монстра выше, чем уровень персонажа.[n]
zts19314e	Стимпанковский заводной лук (вечный)
zts19315e	Стимпанковская механическая палочка (вечная)
zts19316e	Стимпанковский хроноклинок (30 дней)
zts19317e	Выпусти немного пара с помощью этого великолепного стимпансковского облика оружия.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]С вероятностью 15% повышает наносимый урон на 5%, если уровень монстра выше, чем уровень персонажа.[n]
zts19318e	Стимпанковский заводной лук (30 дней)
zts19319e	Стимпанковская механическая палочка (30 дней)
zts19328e	Добавление ячеек партнеров
zts19329e	Этот предмет навсегда добавит тебе 1 дополнительную ячейку партнера.[n]Таким образом ты сможешь иметь больше партнеров.[n][Внимание][n]С помощью Добавления ячеек партнеров ты сможешь увеличить количество ячеек партнеров 9 раз до 12 ячеек.[n]
zts19334e	Великолепный разноцветный желудь
zts19335e	Разноцветный желудь.[n]Есть его может быть опасно...[n]
zts19336e	Ключ Дженнифер
zts19337e	Сделай Дженнифер своим партнером с помощью этого особого ключа.[n]
zts19338e	Шляпа с пером Дженнифер
zts19339e	Шляпа со стильным пером.[n]Очень цепляет глаз.[n]Вопрос только в том, насколько она подходящая.[n]
zts19340e	Сундук с краденными предметами пышнохвостов
zts19341e	Сундук, в котором находятся различные собранные пышнохвостами предметы.[n]У него есть удобная ручка.[n]Можно обменять на три бронзовых желудя.[n]
zts19342e	Старый сундук викингов
zts19343e	Сундук, содержащий сокровища викингов.[n]Настоящий ли он?[n]Можно обменять на золотой желудь.[n]
zts19344e	Старый сундук готов
zts19345e	Сундук, содержащий сокровища готов.[n]Настоящий ли он?[n]Можно обменять на золотой желудь.[n]
zts19346e	Печать рейда Защиты короля пышнохвостов
zts19347e	Используй этот предмет, чтобы открыть рейд Защиты короля пышнохвостов.[n][Внимание][n]Количество игроков: 2 команды по 10-15 игроков. Максимум 30 игроков.[n]Принять участие могут только успешно присоединившиеся игроки. Остальные игроки будут участвовать в следующем раунде.[n]Для начала рейда необходимо как минимум 20 игроков.[n]При недостаточном количестве игроков рейд не начнется.[n]При отмене рейда печать будет использована.[n]Если рейд уже начался, печать нельзя будет использовать снова.[n]
zts19348e	Печать рейда Овцефермы
zts19349e	Используй этот предмет, чтобы открыть рейд Овцефермы.[n][Внимание][n]Количество игроков: 5-30 игроков.[n]Принять участие могут только успешно присоединившиеся игроки. Остальные игроки будут участвовать в следующем раунде.[n]Для начала рейда необходимо как минимум 20 игроков.[n]При недостаточном количестве игроков рейд не начнется.[n]При отмене рейда печать будет использована.[n]Если рейд уже начался, печать нельзя будет использовать снова.[n]
zts19350e	Печать рейда Уклонения от метеоритов
zts19351e	Используй этот предмет, чтобы открыть рейд Уклонения от метеоритов.[n][Внимание][n]Количество игроков: 10-50 игроков.[n]Принять участие могут только успешно присоединившиеся игроки. Остальные игроки будут участвовать в следующем раунде.[n]Для начала рейда необходимо как минимум 20 игроков.[n]При недостаточном количестве игроков рейд не начнется.[n]При отмене рейда печать будет использована.[n]Если рейд уже начался, печать нельзя будет использовать снова.[n]
zts19352e	Самый ценный предмет пышнохвостов.[n]
zts19353e	Желудь, сделанный из бронзы.[n]Понятия не имею, откуда пышнохвосты взяли его.[n]
zts19354e	Серебряный желудь
zts19355e	Желудь, сделанный из серебра.[n]Понятия не имею, откуда пышнохвосты взяли его.[n]
zts19356e	Желудь, сделанный из золота.[n]Понятия не имею, откуда пышнохвосты взяли его.[n]Очень подозрительно...[n]
zts19357e	Подарочная коробка волка в овечьей шкуре
zts19358e	Награда за побежденных монстров в рейде Овцефермы.[n]Не знаю, что может быть внутри. Выглядит очень подозрительно.[n]
zts19359e	Подарок от короля пышнохвостов.[n]Не знаю, что может быть внутри. Но выглядит красиво.[n]
zts19374e	Пустынный тюрбан (30 дней)
zts19375e	Не позволяй своей голове перегреваться с помощью этого пустынного тюрбана.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает сопротивление свету на 10.[n]
zts19376e	Пустынный тюрбан (вечный)
zts19377e	Не позволяй своей голове перегреваться с помощью этого пустынного тюрбана.[n][Эффект][n]Повышает сопротивление свету на 10.[n]
zts19378e	Цветочная корона (30 дней)
zts19379e	Наслаждайся завистливыми взглядами, которые ты будешь получать, надев эту цветочную корону.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает сопротивление огню на 10.[n]
zts19380e	Цветочная корона (вечная)
zts19381e	Наслаждайся завистливыми взглядами, которые ты будешь получать, надев эту цветочную корону.[n][Эффект][n]Повышает сопротивление огню на 10.[n]
zts19382e	Пустынный халат (30 дней)
zts19384e	Пустынный халат (вечный)
zts19386e	Костюм для танца живота (30 дней)
zts19387e	Удиви всех, надев этот потрясающий костюм для танца живота.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает скорость передвижения на 1.[n]
zts19388e	Костюм для танца живота (вечный)
zts19389e	Удиви всех, надев этот потрясающий костюм для танца живота.[n][Эффект][n]Повышает скорость передвижения на 2.[n]
zts19390e	Пустынный комплект одежды (вечный)
zts19391e	Не позволяй себе перегреваться с помощью этого пустынного комплекта одежды.[n][Предметы][n]1x Пустынный тюрбан (вечный)[n]1x Пустынный халат (вечный)[n]
zts19392e	Комплект одежды танцора (вечный)
zts19393e	Лови завистливые взгляды в этом великолепном наряде танцора.[n][Предметы][n]1x Цветочная корона (вечная)[n]1x Костюм для танца живота (вечный)[n]
zts19394e	Если ты отправляешься в жаркие места, этот халат поможет тебе справиться с перегревом.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Повышает скорость передвижения, когда ты прячешься.[n]
zts19395e	Если ты отправляешься в жаркие места, этот халат поможет тебе справиться с перегревом.[n][Эффект][n]Повышает скорость передвижения, когда ты прячешься.[n]Повышает скорость передвижения на 1.[n]
zts19412e	Сверкающий пергамент
zts19413e	Предмет для задания.[n]
zts19414e	Пергамент
zts19415e	Жемчужина короля пиратов Черноуса
zts19416e	Жемчужина адмирала Орлиный Глаз
zts19417e	Карта специалиста партнера костяного воина Рагнара
zts19418e	Карта специалиста партнера элемента тьмы.[n]Может использоваться Рагнаром.[n]Сила мертвых![n]
zts19419e	Волшебная палочка Йертиранда
zts19420e	Оружие, принадлежавшее величайшему викингу-магу.
zts19421e	Волшебная палочка порочного Йертиранда
zts19422e	Оружие, которое использует порочный Йертиранд.[n]Выпускает жуткую темную энергию.[n]
zts19423e	Перчатки Дженнифер
zts19424e	Эти перчатки Дженнифер носит для того, чтобы было удобнее стрелять из лука.[n]
zts19425e	Ключ Йертиранда
zts19426e	Сделай Йертиранда своим партнером с помощью этого особого ключа.[n]
zts19427e	Сумка алхимика
zts19428e	Предмет для задания.[n]Сумка с неизвестным содержимым.[n]
zts19429e	Магический костяной дракон
zts19430e	Используя этот предмет, ты можешь оседлать костяного дракона.[n]Он повысит твою скорость передвижения.[n]Используй предмет еще раз, чтобы слезть с него.[n]Никаких ограничений по уровню.[n][Свойства][n]Скорость: 21[n]Скорость в НосВилле и в порту Алвойс +1[n]Скорость в пустыне и в землях Пылающего Меча +2[n][С ускорителем][n]Перемещение в случайное место на локации.[n]
zts19431e	Сундук с магическим костяным драконом
zts19432e	В этом сундуке находится магический костяной дракон. [n][Внимание][n]Как только ты достанешь магического костяного дракона из коробки, его больше нельзя будет передавать другим игрокам.[n]
zts19433e	Рейдовая печать Древней башни слейдов
zts19434e	Запускает рейд Древней башни слейдов.[n]Рекомендуемый уровень: 70-99[n][n][Инструкция][n]Используй этот предмет, чтобы стать лидером команды.[n]После этого нажимай на других персонажей,[n]и затем на кнопку "Команда", чтобы пригласить их поучаствовать.[n]Когда вы будете готовы, отправляйся ко входу. Когда лидер заходит в локацию рейда, остальные члены команды перемещаются в нее автоматически.[n]
zts19435e	Сундук таинств мертвых
zts19436e	Этот ценный сундук Йертиранда пропитан темной магией.[n]Кто знает, что может быть внутри? Но выглядит он неплохо![n]
zts19437e	Перчатки наездника драконов
zts19438e	Эти перчатки носил драконий рыцарь, находясь в драконьем седле.[n]
zts19439e	Ожерелье мертвой энергии
zts19440e	Одна из реликвий, наполненных мертвой энергией.[n]Очень гротескная![n]
zts19441e	Кольцо мертвой энергии
zts19442e	Браслет мертвой энергии
zts19443e	Шлем наездника драконов
zts19444e	Этот великолепный шлем драконьи рыцари носили с гордостью.[n]
zts19445e	Ботинки наездника драконов
zts19446e	Эти перчатки носил драконий рыцарь, находясь в драконьем седле.[n]Их можно прикрепить к седлу для большей устойчивости.[n]
zts19461e	Зелье опыта феи повышает количество очков опыта, которые получает твоя фея, на 100% на целый час.[n]Подходит и для ограниченных фей.[n]
zts19462e	Сэр Мурсиваль
zts19463e	Я стану рыцарем добра![n]
zts19464e	Барон Царап
zts19465e	Меня назовут величайшим магом всех времен![n]
zts19466e	Вперед![n]
zts19467e	Уничтожение! Ограбление! Обогащение![n]
zts19482e	Магический усилитель транспорта (1 день)
zts19483e	Этот предмет можно использовать только на транспорте.[n]После использования скорость будет временно повышена до максимума.[n]Магическая сила этот предмета позволяет тебе использовать его без ограничения в течение определенного времени.[n]
zts19484e	Магический усилитель транспорта (3 дня)
zts19485e	Магический усилитель транспорта (7 дней)
zts19486e	10 (событие)
zts19487e	Медаль 10-летней годовщины
zts19494e	Набор усилителей транспорта
zts19495e	Используется для создания магических усилителей транспорта.[n]Усиливает эффект ускорителей.[n]
zts19496e	Испытуемый безумного профессора Макавити
zts19497e	Карта специалиста партнера элемента тьмы.[n]Подходит для партнеров ближнего боя.[n]
zts19498e	Маскировка белой ведьмы Лорены
zts19499e	Пушистые волчьи ушки, которые белая ведьма Лорена надевает для маскировки.[n]
zts19500e	Безумный профессор Макавити
zts19501e	Господство этих лицемерных людишек скоро закончится![n]
zts19502e	Нож для торта на 10-летнюю годовщину (10 дней)
zts19503e	Идеальный ножик для торта на 10-летнюю годовщину NosTale.[n]Осторожно, очень острый![n]Его нужно экипировать для использования.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Дает 10% шанс сброса перезарядок использованных навыков.[n]
zts19504e	Торт на 10-летнюю годовщину (10 дней)
zts19505e	Домашний тортик, испеченный к 10 годовщине игры. Выглядит очень аппетитно![n]Чтобы его эффект сработал, его надо экипировать.[n]Время действия предмета отсчитывается с момента первого использования.[n][Эффект][n]Дает 10% шанс сброса перезарядки использованных навыков.[n]
