zts1e	Nowy przedmiot
zts20175e	Wybawiciel NosVille
zts20176e	Gratulacje! Uda³o ci siê osi¹gn¹æ poziom 80 i teraz mo¿esz w NosMarkecie odebraæ specjalny tytu³.[n]
zts20177e	Niestrudzony
zts20178e	Gratulacje! Uda³o ci siê osi¹gn¹æ poziom 90 i teraz mo¿esz w NosMarkecie odebraæ specjalny tytu³.[n]
zts20179e	Niezrównany
zts20180e	Gratulacje! Uda³o ci siê osi¹gn¹æ poziom 99 i teraz mo¿esz w NosMarkecie odebraæ specjalny tytu³.[n]
zts20181e	Sztukmistrz
zts20182e	Darmowy tytu³ z NosMarketu dla magów, którzy osi¹gnêli poziom 50.[n]
zts20183e	Arcymag
zts20184e	Darmowy tytu³ z NosMarketu dla magów, którzy osi¹gnêli poziom 90.[n]
zts20185e	Czarnoksiê¿nik
zts20186e	Tytu³ premium dla magów, którzy osi¹gnêli poziom 90.[n]
zts20187e	Srebrny £uk
zts20188e	Darmowy tytu³ z NosMarketu dla ³uczników, którzy osi¹gnêli poziom 50.[n]
zts20189e	Robin Hood
zts20190e	Darmowy tytu³ z NosMarketu dla ³uczników, którzy osi¹gnêli poziom 90.[n]
zts20191e	Strzelec Wyborowy
zts20192e	Tytu³ premium dla ³uczników, którzy osi¹gnêli poziom 90.[n]
zts20193e	Najemnik
zts20194e	Darmowy tytu³ z NosMarketu dla wojowników, którzy osi¹gnêli poziom 50.[n]
zts20195e	Templariusz
zts20196e	Darmowy tytu³ z NosMarketu dla wojowników, którzy osi¹gnêli poziom 90.[n]
zts20197e	Wielki Miecznik
zts20198e	Tytu³ premium dla wojowników, którzy osi¹gnêli poziom 90.[n]
zts20199e	Czarny Pas
zts20200e	Darmowy tytu³ z NosMarketu dla Mistrzów Sztuk Walki, którzy osi¹gnêli poziom 50.[n]
zts20201e	Kosiarz
zts20202e	Darmowy tytu³ z NosMarketu dla Mistrzów Sztuk Walki, którzy osi¹gnêli poziom 90.[n]
zts20203e	Wejœcie Smoka
zts20204e	Tytu³ premium dla Mistrzów Sztuk Walki, którzy osi¹gnêli poziom 90.[n]
zts20205e	Tytu³ eventu
zts20206e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20207e	Anio³ Œmierci PvP
zts20208e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu PvP.[n]
zts20209e	Czempion PvP
zts20210e	Legenda PvP
zts20211e	Tytan PvP
zts20212e	Onyksowy Smok
zts20213e	Specjalny tytu³ premium z NosMarketu.[n]
zts20214e	Wyzwoliciel
zts20215e	Tytu³, który zostanie ci przyznany za zas³ugi podczas eventu zapieczêtowanego pojemnika.[n]
zts20216e	Dziecko Szczêœcia
zts20217e	Wyj¹tkowy tytu³ dla maniaków zakupów w NosMarkecie.[n]
zts20218e	Bystrzak
zts20219e	Bastion
zts20220e	Jasnowidz
zts20221e	Legendarny Bohater
zts20222e	Boski
zts20223e	Grabarz
zts20224e	Nekromanta
zts20225e	Influencer
zts20226e	Oœwiecony
zts20227e	¯ywa Legenda
zts20228e	Czysta Dusza
zts20229e	Astrolog
zts20230e	Lalkarz
zts20231e	Wybraniec
zts20232e	Bohater Opatrznoœci
zts20233e	Piêœæ Komety
zts20234e	Wynios³y
zts20235e	Si³a Natury
zts20236e	Herkules
zts20237e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20238e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20239e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20240e	Gratulacje! Po evencie otwarcia serwera nale¿ysz do 10 graczy z najlepsz¹ reputacj¹.[n]
zts20241e	Gratulacje! Po evencie otwarcia serwera nale¿ysz do 5 graczy z najlepsz¹ reputacj¹.[n]
zts20242e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20243e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20244e	Tytu³, który zostanie ci przyznany za zas³ugi podczas wyj¹tkowego eventu.[n]
zts20245e	Gratulacje! Po evencie otwarcia serwera nale¿ysz do 10 graczy swojej klasy z najwy¿szym poziomem.[n]
zts20246e	Gratulacje! Po evencie otwarcia serwera nale¿ysz do 5 graczy swojej klasy z najwy¿szym poziomem.[n]
zts20247e	Gratulacje! Jako jednemu z 10 graczy tego serwera uda³o ci siê zdobyæ 4. kartê specjalisty.[n]
zts20248e	Gratulacje! Jako jednemu z 10 graczy tego serwera uda³o ci siê zdobyæ 1. kartê specjalisty.[n]
zts20249e	Gratulacje! Jako jednemu z 10 graczy tego serwera uda³o ci siê zdobyæ 3. kartê specjalisty.[n]
zts20250e	Gratulacje! Jako jednemu z 10 graczy tego serwera uda³o ci siê zdobyæ 2. kartê specjalisty.[n]
zts20253e	Karta Zmiany Nazwy
zts20254e	Za jej pomoc¹ mo¿esz zmieniæ nazwê swojej aktualnej postaci.[n][Instrukcja][n] U¿yj przedmiotu podwójnym klikniêciem.[n]Po ponownym zalogowaniu siê mo¿esz zmieniæ nazwê.[n]
zts20255e	Tropikalny Zestaw Kostiumowy
zts20256e	Ten zestaw zawiera kompletny tropikalny kostium.[n][Zawartoœæ][n]1x Tropikalny Kapelusz (na sta³e)[n]1x Tropikalny Kostium (na sta³e)[n]
zts20257e	Tropikalny Kapelusz (30 dni)
zts20258e	Ten kapelusz pasuje doskonale do tropikalnej koszuli.[n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n][Efekt][n]Zwiêksza maks. P¯ o 600.[n]Zwiêksza odpornoœæ na œwiat³o o 3.[n][Efekt zestawu][n]Jeœli umrzesz z za³o¿onymi Skrzyd³ami Tropikalnego Kostiumu, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o 55%.[n]
zts20259e	Tropikalny Kapelusz (na sta³e)
zts20260e	Ten kapelusz pasuje doskonale do tropikalnej koszuli.[n][Efekt][n]Zwiêksza maks. P¯ o 600.[n]Zwiêksza odpornoœæ na œwiat³o o 3.[n][Efekt zestawu][n]Jeœli umrzesz z za³o¿onymi Skrzyd³ami Tropikalnego Kostiumu, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o 55%.[n]
zts20261e	Tropikalny Kostium (30 dni)
zts20262e	Tropikalna koszula i krótkie jeansy na ciep³y klimat.[n] Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n][Efekt][n]Zwiêksza ³¹czn¹ si³ê ataku o 5%.[n]Zwiêksza odpornoœæ na wodê o 3.[n][Efekt zestawu][n]Szybkoœæ poruszania siê +1, je¿eli nosisz Skrzyd³a Tropikalnego Kostiumu.[n]
zts20263e	Tropikalny Kostium (na sta³e)
zts20264e	Tropikalna koszula i krótkie jeansy na ciep³y klimat.[n][Efekt][n]Zwiêksza ³¹czn¹ si³ê ataku o 5%.[n]Zwiêksza odpornoœæ na wodê o 3.[n][Efekt zestawu][n]Szybkoœæ poruszania siê +1, je¿eli nosisz Skrzyd³a Tropikalnego Kostiumu.[n]
zts20265e	Skrzyd³a Tropikalnego Kostiumu (30 dni)
zts20266e	Uzupe³nij swoj¹ tropikaln¹ stylówê tymi odjechanymi skrzyd³ami![n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n][Efekt][n]Przy ataku ¿ywio³ wyposa¿onej wró¿ki zwiêksza siê z prawdopodobieñstwem 10% o 40.[n][Efekt zestawu][n]Jeœli umrzesz, maj¹c za³o¿ony Tropikalny Kapelusz, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o 55%.[n]Szybkoœæ poruszania siê +1, gdy nosisz tropikalny kostium.[n]
zts20267e	Skrzyd³a Tropikalnego Kostiumu (na sta³e)
zts20268e	Uzupe³nij swoj¹ tropikaln¹ stylówê tymi odjechanymi skrzyd³ami![n][Efekt][n]Przy ataku ¿ywio³ wyposa¿onej wró¿ki zwiêksza siê z prawdopodobieñstwem 10% o 40.[n][Efekt zestawu][n]Jeœli umrzesz, maj¹c za³o¿ony Tropikalny Kapelusz, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o 55%.[n]Szybkoœæ poruszania siê +1, gdy nosisz tropikalny kostium.[n]
zts20269e	Uzupe³nij swoj¹ tropikaln¹ stylówê tymi odjechanymi skrzyd³ami![n]Czas u¿ytkowania rozpoczyna siê w momencie za³o¿enia.[n][Efekt][n]Przy ataku ¿ywio³ wyposa¿onej wró¿ki zwiêksza siê z prawdopodobieñstwem 10% o 40.[n][Efekt zestawu][n]Jeœli umrzesz, maj¹c za³o¿ony Tropikalny Kapelusz, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o 55%.[n]Szybkoœæ poruszania siê +1, gdy nosisz tropikalny kostium.[n]
zts20270e	Uzupe³nij swoj¹ tropikaln¹ stylówê tymi odjechanymi skrzyd³ami![n][Efekt][n]Przy ataku ¿ywio³ wyposa¿onej wró¿ki zwiêksza siê z prawdopodobieñstwem 10% o 40.[n][Efekt zestawu][n]Jeœli umrzesz, maj¹c za³o¿ony Tropikalny Kapelusz, iloœæ punktów doœwiadczenia poziomu bohatera, które utracisz, zostanie zmniejszona o 55%.[n]Szybkoœæ poruszania siê +1, gdy nosisz tropikalny kostium.[n]
zts20291e	Karta Specjalisty Wojownika Demonów
zts20292e	Mœciciel z mroku![n]Wojownik Demonów[n]
zts20293e	12 (event)
zts20294e	Medal na 12. Urodziny
zts20295e	Bilet Rozszerzenia Ekwipunku (30 dni)
zts20296e	Je¿eli u¿yjesz biletu,[n]otrzymasz na 30 dni 60 dodatkowych slotów do kategorii "Wyposa¿enie", "G³ówne przedmioty" oraz "Inne".[n]
zts20297e	Bilet Rozszerzenia Ekwipunku (60 dni)
zts20298e	Je¿eli u¿yjesz biletu,[n]otrzymasz na 60 dni 60 dodatkowych slotów do kategorii "Wyposa¿enie", "G³ówne przedmioty" oraz "Inne".[n]
zts20299e	Bilet Rozszerzenia Ekwipunku (na sta³e)
zts20300e	Je¿eli u¿yjesz biletu,[n]otrzymasz na sta³e 60 dodatkowych slotów do kategorii "Wyposa¿enie", "G³ówne przedmioty" oraz "Inne".[n]
zts20301e	B³yszcz¹cy Klejnot
zts20302e	B³yszcz¹cy klejnot.[n]Przedmiot ten jest potrzebny, by ukoñczyæ misjê Mistrz Sztuk Walki Specjalista Mroku.[n]
zts20303e	B³yskawiczne Skrzyd³a
zts20304e	Fragment Czasoprzestrzeni (Sanktuarium Demonów)
zts20305e	Kamieñ Czasoprzestrzeni (Sanktuarium Demonów)
zts20306e	Za pomoc¹ tego kamienia mo¿esz teleportowaæ siê do Czasoprzestrzeni Sanktuarium Demonów.[n][Uwaga][n]Przedmiot znika, gdy czasoprzestrzeñ zostanie zakoñczona.
zts20307e	Znakomity Pierœcieñ
zts20308e	Przepiêkny pierœcieñ, który podarowa³a ci Catlotte.[n]Przedmiot ten jest potrzebny, by ukoñczyæ misjê Mistrz Sztuk Walki Specjalista Mroku.[n]
zts20309e	Skrzynia z Naszyjnikiem
zts20310e	Alpaka na 12. Urodziny
zts20311e	Dziêki temu przedmiotowi zamienisz siê w alpakê.[n]Twoja szybkoœæ poruszania siê wzroœnie.[n]Jeœli u¿yjesz przedmiotu ponownie, odzyskasz swoj¹ pierwotn¹ postaæ.[n]Brak ograniczenia poziomu.[n][W³aœciwoœci][n]Szybkoœæ poruszania siê: 15[n]Szybkoœæ poruszania siê na Kremu +2[n][Z dopalaczem prêdkoœci][n]Szybkoœæ poruszania siê +2[n]Czas trwania +4[n]
zts20312e	Alpaka Wyœcigowa na 12. Urodziny
zts20313e	Dziêki temu przedmiotowi zamienisz siê w wyj¹tkow¹ alpakê.[n]Twoja szybkoœæ poruszania siê wzroœnie.[n]Jeœli u¿yjesz przedmiotu ponownie, odzyskasz swoj¹ pierwotn¹ postaæ.[n]Brak ograniczenia poziomu.[n]Otrzymasz buff "Kud³ate Futerko".[n][W³aœciwoœci][n]Szybkoœæ poruszania siê: 20[n]Szybkoœæ poruszania siê na Kremu +3; Szybkoœæ poruszania siê na Glacernon +2[n][Z dopalaczem prêdkoœci][n]Szybkoœæ poruszania siê +3[n]Czas trwania +5[n]Usuwa wszystkie negatywne efekty poni¿ej poziomu 4.[n]Regeneruje (poziom x 10) P¯.[n]
zts20314e	Skrzynia z Alpak¹ na 12. Urodziny
zts20315e	Skrzynia ta zawiera zwyk³¹ alpakê z okazji 12. urodzin.[n][Uwaga][n]Po wyjêciu alpaki ze skrzyni, nie mo¿na ni¹ handlowaæ.[n]
zts20316e	Skrzynia z Alpak¹ Wyœcigow¹ na 12. Urodziny
zts20317e	Skrzynia ta zawiera wyj¹tkow¹ alpakê z okazji 12. urodzin.[n][Uwaga][n]Po wyjêciu alpaki ze skrzyni, nie mo¿na ni¹ handlowaæ.[n]
zts20318e	S³odkie Jab³ko
zts20319e	P¯: 800, PM: 300[n]P¯ i PM s¹ powoli regenerowane.[n]Korzysta na tym równie¿ twój NosKumpel.[n]Mo¿e byæ u¿yte tylko podczas wypoczynku.[n]
zts20320e	Klifowa Jagoda
zts20321e	S³odki Sok Jab³kowy
zts20322e	P¯: 1000, PM: 800[n]P¯ i PM s¹ powoli regenerowane.[n]Korzysta na tym równie¿ twój NosKumpel.[n]Mo¿e byæ u¿yte tylko podczas wypoczynku.[n]
zts20323e	Ruda Sekrazu
zts20324e	Najtwardsza ruda jak¹ mo¿na znaleŸæ na Wyspie Morizios.[n]Niestety równie¿ trudno j¹ przerobiæ.[n]
zts20325e	Œwie¿y Mech
zts20326e	Œwie¿y, czysty mech. Orki u¿ywaj¹ go do wielu potraw.[n]
zts20327e	Kiszony Mech
zts20328e	Smaczny, kiszony mech. Zapach ma trochê kwaœny.[n]
zts20329e	Mchowa Kaszka
zts20330e	Zielona papka z mchu. Wygl¹da obrzydliwie, ale pachnie bardzo smacznie.[n][Zdrowy Mech][n][Zwyczajny dobry efekt poziomu 2][n]Czas trwania: 30 sek.[n]Przy wszystkich atakach celnoœæ jest zwiêkszona o 2%.[n]Co 2 sek. PM zostan¹ uzupe³nione w wysokoœci poziomu dzia³ania.[n]
zts20331e	Rdzeñ Golema
zts20332e	Magiczny rdzeñ. Jego energia napêdza Skalne Golemy.[n]
zts20333e	Pami¹tka Demona
zts20334e	Znak Beliala, który nosz¹ przy sobie demony i potwory.[n]Zrobiony jest z fioletowego materia³u i uformowany w kszta³cie skrzyde³ demona.[n]
zts20335e	Magiczny Proszek z Koœci
zts20336e	Magiczne na³adowany proszek z koœci. Wzmacnia potwory i doprowadza ich do szaleñstwa.[n]
zts20337e	Pami¹tka Najwiêkszych Bohaterów wœród Orków
zts20338e	Z³ota pami¹tka, która zosta³a zrobiona ze wspomnieñ czterech bohaterów z plemienia Orków. Promieniuje on siln¹ magiczn¹ energi¹.[n]Jeœli u¿yjesz tego przedmiotu, otrzymasz umiejêtnoœæ treningow¹ "Energia Najwiêkszych Bohaterów wœród Orków" oraz tytu³ "Najwiêkszy Bohater wœród Orków".[n]
zts20339e	Nefrytowy Kamieñ
zts20340e	Zielone kamienie szlachetne, które s¹ œwiête dla Orków.[n]
zts20341e	Runowy Proch Loa
zts20342e	Pozosta³oœci po Loa, którego Orki czci³y.[n]
zts20343e	Fragment Króla Duchów
zts20344e	Ma³y od³amek kamienia z cia³a Króla Duchów.[n]
zts20345e	Fragment Rogu Króla Duchów
zts20346e	Kawa³ek rogu Króla Bestii.[n]
zts20347e	Skrzyd³a Satyrosa
zts20348e	Niewielkie skrzyd³a Satyrosa.[n]
zts20349e	Magiczna Mroczna Strza³a
zts20350e	Strza³y te u¿ywane s¹ przez Pod³ych Mrocznych Elfów.[n]Promieniuj¹ one mroczn¹ magi¹.[n]
zts20351e	Obsydian z Morizios
zts20352e	Ostrokanciasty, czarny kamieñ, z którego Orki wytwarzaj¹ sztylety i lekkie zbroje.[n]
zts20353e	Czarny Od³amek Tytanu
zts20354e	Od³amek tytanu z kawa³kami obsydianu.[n]Z od³amków tych mo¿na wytworzyæ czarn¹ tytanow¹ sztabkê.[n]
zts20355e	Czarna Sztabka Tytanu
zts20356e	Bardzo twardy, czarny metal.[n]
zts20357e	Pêkniêty Magiczny Miecz Beliala
zts20358e	[n]Olbrzymi, czarny miecz, który niegdyœ nosi³ przy sobie Belial.[n]
zts20359e	Skóra Zwierzêca z Morizios
zts20360e	Skóra, która zosta³a sporz¹dzona ze zwierzêcych skór na Wyspie Morizios.[n]
zts20361e	Ga³¹zka Lasu Duchów
zts20362e	Ga³¹zka z drzewa w Lesie Duchów. Mieszka w niej magiczna moc duchów.[n]
zts20363e	Fajerwerk Orków
zts20364e	Zapal go i podziwiaj przepych barw.[n]
zts20365e	Runiczny Kamieñ Beliala
zts20366e	Ten runiczny kamieñ zawiera moc Beliala. Mo¿na grawerowaæ z niego runy.[n]
zts20367e	Miêso SowoniedŸwiedzia
zts20368e	Miêso SowoniedŸwiedzia jest ³ykowate, ale smaczne.[n]
zts20369e	Grzywa SowoniedŸwiedzia
zts20370e	W grzywie SowoniedŸwiedzia nie zmarznie siê.[n]
zts20371e	Miêso Pikani
zts20372e	Miêciutkie, soczyste miêsko.[n]
zts20373e	Pióra Pikani
zts20374e	Orki przyozdabiaj¹ siê tymi piórami. U¿ywane s¹ równie¿ podczas wa¿nych uroczystoœci.[n]
zts20375e	Woda z Morizios
zts20376e	Naturalnie gazowana woda mineralna.[n]
zts20377e	Stek z SowoniedŸwiedzia
zts20378e	P¯: 2000, PM: 800[n]P¯ i PM s¹ powoli regenerowane.[n]Korzysta na tym równie¿ twój NosKumpel.[n]Mo¿e byæ u¿yte tylko podczas wypoczynku.[n]
zts20379e	Kawa³ki Pikani
zts20380e	Magiczny Kryszta³ Fernon
zts20381e	Kryszta³, który zawiera esencjê mocy Fernon.[n]
zts20382e	Magiczny Kryszta³ Bogiñ
zts20383e	Kryszta³, który zawiera esencjê mocy Zenas i Erenii.[n]
zts20384e	Miecz Wodza Orków
zts20385e	Miecz Lwa Loa
zts20386e	Magiczny Miecz Beliala
zts20387e	£uk Mistrza Strzeleckiego Orków
zts20388e	£uk Or³a Loa
zts20389e	Przeklêty £uk Beliala
zts20390e	Boska Laska Czarnoksiê¿nika
zts20391e	Laska Wê¿a Loa
zts20392e	Laska Króla Duchów
zts20393e	Opancerzone Rêkawice Sekrazu Orków
zts20394e	Opancerzone Rêkawice NiedŸwiedzia Loa
zts20395e	Opancerzone Rêkawice Króla Bestii
zts20396e	Kusza Wodza Orków
zts20397e	Kusza, której u¿ywaj¹ wodzowie Orków podczas walki.[n]Jest wprawdzie ma³a, dysponuje jednak wysok¹ si³¹ przebicia.[n]
zts20398e	Kusza Lwa Leo
zts20399e	Kusza, na której wygrawerowana jest runa Lwa Leo.[n]Podobno obdarza w³aœcicieli lwi¹ odwag¹.[n]
zts20400e	Pude³ko Rajdu Króla Bestii
zts20401e	Nagroda za ukoñczenie rajdu Króla Bestii.[n]Nikt nie wie, co ukrywa siê w skrzyni.[n]
zts20402e	Pude³ko Rajdu Króla Duchów
zts20403e	Nagroda za ukoñczenie rajdu Króla Duchów.[n]Nikt nie wie, co ukrywa siê w skrzyni.[n]
zts20404e	Pude³ko Rajdu Beliala
zts20405e	Nagroda za ukoñczenie rajdu Króla Demonów.[n]Nikt nie wie, co ukrywa siê w skrzyni.[n]
zts20406e	Kusza Króla Bestii
zts20407e	Kusza zrobiona z rogu Króla Bestii.[n]Róg ten podarowa³ król orkom i wype³niony jest jego moc¹.[n]
zts20408e	Sztylet Orkowych Asasynów
zts20409e	Sztylet, który nosz¹ przy sobie Orkowi Asasyni.[n]Mog¹ u¿ywaæ go ich ³ucznicy.[n]
zts20410e	Sztylet Nietoperza Loa
zts20411e	Sztylet Orkowych Asasynów, na którym wygrawerowane s¹ runy nietoperza Loa.[n]Energi¹ Loa mo¿na zwi¹zaæ przeciwników.[n]
zts20412e	Nó¿ Beliala
zts20413e	Ma³y sztylet, który zosta³ wykonany z od³amków miecza Beliala.[n]Zawiera moc Beliala.[n]
zts20414e	Orkowy Miotacz Zaklêæ
zts20415e	Miotacz zaklêæ, który zawiera moc Orka Maga.[n]Jest ju¿ stary, ale jeszcze dzia³a.[n]
zts20416e	Miotacz Zaklêæ Wê¿a Loa
zts20417e	Miotacz zaklêæ, na którym wygrawerowane s¹ runy wê¿a Loa.[n]Zawieraj¹ moc jadowitych wê¿y.[n]
zts20418e	Wieczne P³omienie Króla Duchów
zts20419e	Nefrytowa Odznaka Sekrazu
zts20420e	B³ogos³awiona Nefrytowa Odznaka Sekrazu
zts20421e	Odznaka NiedŸwiedzia Loa
zts20422e	Kamienna Zbroja Sekrazu
zts20423e	Zbroja, która zosta³a dawno temu wykonana z kamienia sekrazu.[n]Podobno zawiera bosk¹ moc.[n]
zts20424e	Kamienna Zbroja Sekrazu Lwa Loa
zts20425e	Kamienna zbroja sekrazu, na której wygrawerowana jest runa Lwa Loa.[n]Zwiêksza P¯ oraz unik.[n]
zts20426e	Koœciana Zbroja Orka Wojownika
zts20427e	Skórzana Zbroja Orka Mistrza £owców
zts20428e	Zbroja, która zosta³a wykonana z ró¿nych skór zwierzêcych i futer.[n]
zts20429e	Skórzana Zbroja Or³a Loa
zts20430e	Zbroja Orka Mistrza £owców, na której wygrawerowane s¹ runy or³a Loa.[n]
zts20431e	Skórzana Zbroja Smoczych £usek
zts20432e	Zbroja z ³usek czarnego smoka, który dawno temu nawiedza³ Wyspê Morizios.[n]
zts20433e	Strój Bojowy Orka Maga
zts20434e	Zbroja, w której wyruszaj¹ do walki Orki Magowie.[n]Bojowi Orkowie Magowie zak³adaj¹ tê zbrojê na swoje szaty.[n]
zts20435e	Strój Bojowy Wê¿a Loa
zts20436e	Strój bojowy Orka Maga, na którym wygrawerowane s¹ runy wê¿a Loa.[n]
zts20437e	Szata Królów
zts20438e	Szata, która zawiera moc Króla Duchów i Króla Bestii.[n]Królowie trzymaj¹ ochronn¹ rêkê nad tymi, którzy tê szatê nosz¹.[n]
zts20439e	Lekka Zbroja Sekraz
zts20440e	Lekka Zbroja NiedŸwiedzia Loa
zts20441e	Zbroja Gniewu Karlio
zts20442e	He³m Pradawnej Bestii
zts20443e	He³m zawieraj¹cy moc Pradawnej Bestii.[n]
zts20444e	He³m Ceremonii
zts20445e	He³m noszony podczas ceremonii Magów.[n]Nikt nie odwa¿y siê przeszkodziæ w takiej uroczystoœci.[n]
zts20446e	Rêkawice Pradawnej Bestii
zts20447e	Rêkawice Króla Duchów
zts20448e	Buty Pradawnej Bestii
zts20449e	Buty Króla Duchów
zts20450e	Bransoletka Wê¿a Loa
zts20451e	Bransoletka Króla Duchów
zts20452e	Nefrytowy Bransoletka
zts20453e	Kamienna Bransoletka Sekraz
zts20454e	Nefrytowy Pierœcieñ Duchów
zts20455e	Pierœcieñ, w którym mieszka czysta energia Morizios.[n]Zawiera ró¿ne moce ¿ywio³ów.[n]
zts20456e	Pierœcieñ Bohaterskiego Orka
zts20457e	Pierœcieñ, który zawiera moc Bohaterskiego Orka.[n]Jego si³a jest niesamowita.[n]
zts20458e	Nefrytowy Pierœcieñ
zts20459e	Pierœcieñ z nefrytu.[n]Zazwyczaj noszony jest przez starszych mê¿czyzn, poniewa¿ podobno posiada moc przed³u¿ania ¿ycia.[n]
zts20460e	Obsydianowy Pierœcieñ
zts20461e	Z³oty pierœcieñ z ozdobami z obsydianu.[n]Uwa¿aj, bo zranisz siê na ostrych od³amkach kamienia.[n]
zts20462e	Okultystyczny Naszyjnik
zts20463e	Tradycyjny orkowy naszyjnik, do którego zosta³ wpleciony czar.[n]Obdarza on niezwyk³¹ moc¹, ale nikt nie wie, jaki czar naszyjnik zawiera.[n]
zts20464e	Naszyjnik Serca Bestii
zts20465e	Naszyjnik zawieraj¹cy moc Pradawnej Bestii.[n]
zts20466e	Nefrytowy Naszyjnik
zts20467e	Naszyjnik z nefrytu.[n]Zazwyczaj noszony jest przez starszych mê¿czyzn, poniewa¿ podobno posiada moc przed³u¿ania ¿ycia.[n]
zts20468e	Obsydianowy Naszyjnik
zts20469e	Naszyjnik z ozdobami z obsydianu.[n]U¿ywany jest podczas walki, poniewa¿ obsydian posiada bardzo ostre kanty.[n]
zts20470e	Per³a Pikani
zts20471e	Amulet Pamiêci Tatua¿u
zts20472e	Zwój Produkcji "Maska Orka"
zts20473e	To pismo zawiera instrukcjê, jak stworzyæ maskê orka.[n]Zawiera formu³ê do produkcji maski.[n][Produkcja][n]1. Wszystkie materia³y musz¹ znajdowaæ siê w ekwipunku.[n]2. Otwórz okno produkcji i kliknij dwukrotnie na zwój.[n]3. Wybierz przedmiot, który chcesz wyprodukowaæ.[n]4. Umieœæ potrzebne przedmioty wyposa¿enia w oknie.[n]5. Naciœnij na przycisk produkcji, by zakoñczyæ proces.[n]
zts20474e	Zwój Produkcji "Orkowe Akcesoria Loa"
zts20475e	To pismo zawiera instrukcjê, jak stworzyæ orkowe akcesoria Loa.[n]Zawiera formu³ê do produkcji akcesorium.[n][Produkcja][n]1. Wszystkie materia³y musz¹ znajdowaæ siê w ekwipunku.[n]2. Otwórz okno produkcji i kliknij dwukrotnie na zwój.[n]3. Wybierz przedmiot, który chcesz wyprodukowaæ.[n]4. Umieœæ potrzebne przedmioty wyposa¿enia w oknie.[n]5. Naciœnij na przycisk produkcji, by zakoñczyæ proces.[n]
zts20476e	Zwój Produkcji "Orkowa Broñ Loa"
zts20477e	To pismo zawiera instrukcjê, jak stworzyæ orkow¹ broñ Loa.[n]Zawiera formu³ê do produkcji broni.[n][Produkcja][n]1. Wszystkie materia³y musz¹ znajdowaæ siê w ekwipunku.[n]2. Otwórz okno produkcji i kliknij dwukrotnie na zwój.[n]3. Wybierz przedmiot, który chcesz wyprodukowaæ.[n]4. Umieœæ potrzebne przedmioty wyposa¿enia w oknie.[n]5. Naciœnij na przycisk produkcji, by zakoñczyæ proces.[n]
zts20478e	Zwój Produkcji "Orkowa Broñ Drugorzêdna Loa"
zts20479e	To pismo zawiera instrukcjê, jak stworzyæ orkow¹ broñ drugorzêdn¹ Loa.[n]Zawiera formu³ê do produkcji broni drugorzêdnej.[n][Produkcja][n]1. Wszystkie materia³y musz¹ znajdowaæ siê w ekwipunku.[n]2. Otwórz okno produkcji i kliknij dwukrotnie na zwój.[n]3. Wybierz przedmiot, który chcesz wyprodukowaæ.[n]4. Umieœæ potrzebne przedmioty wyposa¿enia w oknie.[n]5. Naciœnij na przycisk produkcji, by zakoñczyæ proces.[n]
zts20480e	Zwój Produkcji "Orkowa Zbroja Loa"
zts20481e	To pismo zawiera instrukcjê, jak stworzyæ orkow¹ zbrojê Loa.[n]Zawiera formu³ê do produkcji zbroi.[n][Produkcja][n]1. Wszystkie materia³y musz¹ znajdowaæ siê w ekwipunku.[n]2. Otwórz okno produkcji i kliknij dwukrotnie na zwój.[n]3. Wybierz przedmiot, który chcesz wyprodukowaæ.[n]4. Umieœæ potrzebne przedmioty wyposa¿enia w oknie.[n]5. Naciœnij na przycisk produkcji, by zakoñczyæ proces.[n]
zts20482e	Skradziona Ryba
zts20483e	Ryba, któr¹ z³apali orkowi rybacy.[n]Jest jeszcze œwie¿a.[n]
zts20484e	Sprawna Broñ Orkowa
zts20485e	Broñ, która podczas niespodziewanego ataku potwora zosta³a upuszczona. Pomimo to jest w dobrym stanie.[n]
zts20486e	Zepsuta Broñ Orkowa
zts20487e	Broñ, która podczas niespodziewanego ataku potwora zosta³a upuszczona. Niestety nie nadaje siê ju¿ do niczego.[n]
zts20488e	List Wodza
