zts1e	Ausruhen
zts1917e	Befähigt zur Benutzung einer Stoßattacke nach dem Schießen.
zts1918e	Schauer der Rachegeister
zts1919e	Schießt Rachegeister in den Himmel. Fügt allem und jedem Schaden im Zielbereich zu.
zts1920e	Pendel der Rachegeister 1
zts1921e	Schießt vor und greift an. Kann maximal 3-mal verwendet werden.
zts1922e	Ansturm der Rachegeister
zts1923e	Versetzt die Munition mit rachsüchtigen Geistern und schießt sie auf den Feind. Verursacht großen Schaden und trifft das Ziel schwer.
zts1924e	Geist der Rage
zts1925e	Wird stärker, falls Schaden erlitten wird.
zts1926e	Geisterbeschwörung
zts1927e	Schießt Munition in gerader Linie ab, beschwört Geister und attackiert den Feind.
zts1928e	Geistesexplosion
zts1929e	Setzt übermächtige Geister frei. Betäubt den Gegner für eine kurze Zeit.
zts1930e	Besessenheit
zts1931e	Der Geist des Feindes ist besessen. Fügt für eine gewisse Zeit Schaden zu. Der Effekt überträgt sich auf den nächsten Feind in der Nähe nach Effektende.
zts1932e	Seelenschneide
zts1933e	Beschwört die Seelenschneide und greift mit hoher Reichweite an. Versetzt den Feind in eine Schockstarre.
zts1934e	Pendel der Rachegeister 2
zts1935e	Pendel der Rachegeister 3
zts1936e	Pendel des Mondschattens
zts1937e	Der Schatten greift den Feind an, während er den Weg kreuzt.
zts1938e	Sense des Sensenmannes
zts1939e	Greift den Feind mit einer Riesensense an.
zts1940e	Aufschlitzer
zts1941e	Schlitzt den Feind mit der scharfen Schneide der Sense in Stücke.
zts1942e	Blutsauger
zts1943e	Alle in nächster Nähe werden geschnitten und von ihnen wird eine bestimmte Menge an HP absorbiert.
zts1944e	Der Tod ist nah
zts1945e	Bewegt sich zum Feind und greift mit kurzer Reichweite an.
zts1946e	Seelenpreller
zts1947e	Schiebt die Feinde weg, die sich vorn und hinten befinden und verlangsamt sie.
zts1948e	Ultimativpanzer
zts1949e	Der Ultimativpanzer erhöht die Verteidigung und die Chance, erzwungenen Bewegung zu widerstehen. Dieser Effekt verschwindet nach einer gewissen Menge Schaden.
zts1950e	Geisterfänger
zts1951e	Zieht die Feinde in kurze Reichweite vor den Charakter. Tritt mit dem Effekt [Geistesabsorption] ein mit einer gewissen Wahrscheinlichkeit.
zts1952e	Sense des Todes
zts1953e	Wirft die Sense auf den Feind und hinterlässt das [Todeszeichen].
zts1954e	Schatten des Todes
zts1955e	Belegt die Feinde in großer Reichweite mit dem [Todesschatten] mit einer gewissen Wahrscheinlichkeit. Fügt Feinden mit dem Effekt [Todeszeichen] zusätzlichen Schaden zu. Versetzt Monster in Angst und Schrecken.
zts1956e	Zeitwandler
zts1957e	Verringert die Abklingzeit eines Skills um 20%. Wenn [Geistesabsorption] angewendet wird, wird die Abklingzeit von Skills um 80% verringert. Der Geist wird verschwinden.
zts1958e	Geistesspaltung
zts1959e	Springt hoch und hackt auf den Feind auf der aktuellen Position ein. Fügt nur einem Feind Schaden zu. Fügt Gegnern mit dem Effekt [Todeszeichen] zusätzlichen Schaden zu. Das [Todeszeichen] des Gegners und dein Effekt [Zeitwandler] werden verschwinden.
zts1970e	Sperrt den Feind in einen Stahlkäfig ein. Fügt Schaden zu, wenn der Käfig auseinander gebrochen wird.
zts1971e	Fügt Schaden zu, indem sich die Hände des Fluches auf den Feind legen.
zts1972e	Macht das Ziel zum Wirt und verbreitet den Geist auf Gegner in der Nähe.
zts1973e	Verringert die Abklingzeit eines Skills um 10%. Wenn [Geistesabsorption] angewendet wird, wird die Abklingzeit von Skills um 80% verringert. Der Geist wird verschwinden.
zts1979e	Süß & Sexy
zts1980e	Neun Schwänze!
zts1981e	Scharfes Geheul
zts1986e	Haiya
zts1987e	Durchdrehen
zts1988e	Herrschaft des Tigers
zts1989e	Schwertkinesis
zts1990e	Nutzt die durch Kinesis gewonnene Energie für den Angriff mit dem Schwert.
zts1991e	Einzelwurf
zts1992e	Wirft ein Schwert zum Angriff auf den Gegner.
zts1993e	Explosiv
zts1994e	Das Schwert fliegt zum Gegner und explodiert.
zts1995e	Schwertstrahl
zts1996e	Reflektiert das Licht der Klinge, blendet den Gegner und verursacht einen schlechten Effekt bei zusätzlichem Schaden.
zts1997e	Schattenpiekser
zts1998e	Das Ziel und sein Schatten werden fixiert, um Bewegungen zu verhindern.
zts1999e	Schlagfläche
zts2000e	Das Schwert steht auf dem Boden und greift die Gegner ununterbrochen an.
zts2001e	Beinknacker
zts2002e	Verlangsamt das Ziel, indem ein Schwert in dessen Bein geschossen wird.
zts2003e	Schwertwerfer
zts2004e	Mehrere Schwerter werden zum Angriff geworfen.
zts2005e	Schmetterklinge
zts2006e	Die Klinge wird Richtung Ziel geschleudert und verursacht eine große Explosion sowie eine Blutung beim Gegner.
zts2007e	Schwertbeben
zts2008e	Beschwört ein Riesenschwert, dass auf dem Boden steht und angreift.
zts2009e	9 Klingen
zts2010e	Beschwört neun Klingen, die auf das Ziel abgefeuert werden.
zts2024e	Tänzchen der Teufelchen
zts2025e	Teufelchens Klon
zts2026e	Teufelchens Hut
zts2027e	Leuchtendes Urteil
zts2028e	Mal des Lichts
zts2029e	Im Namen Gottes
zts2030e	Schwertmalerei
zts2031e	Attackiert den Gegner mit der ganzen Energie des Schwertes.
zts2032e	Flugschneide
zts2033e	Wirft das Schwert und fügt mehrfach Schaden zu.
zts2034e	Stichexplosion
zts2035e	Der Weg des Schwertes ist auch der Weg der Explosion.
zts2036e	Richtschwert
zts2037e	Das Schwert nutzt die Macht des Lichtes und fügt dem Gegner Schaden zu.
zts2038e	Schattenbindung
zts2039e	Bindet den Gegner durch die Nutzung des Schattens.
zts2040e	Blitzklinge
zts2041e	Steckt das Schwert in den Boden und verteilt Schaden drumherum.
zts2042e	Laufschneide
zts2043e	Hinterlässt eine Wunde am unteren Körper des Gegners, um die Bewegung zu verlangsamen.
zts2044e	Zauberfessel
zts2045e	Absorbiert die Kraft des Schwertes.
zts2046e	Meteorenstich
zts2047e	Wirft das Schwert zum Gegner und detoniert mit einem Lichtknall.
zts2048e	Götterschwert
zts2049e	Beschwört ein Riesenschwert, das sich in den Boden bohrt und Schaden austeilt.
zts2050e	Geisterspieß
zts2051e	Beschwört neun Klingen, um den Gegner mehrere Male zu schaden.
zts2052e	Flamme
zts2053e	Energie des Feuers
zts2054e	Eis
zts2055e	Energie des Wassers
zts2056e	Heiligenschein
zts2057e	Energie des Lichts
zts2058e	Finsternis
zts2059e	Energie des Schattens
zts2060e	Elementlos
zts2061e	Lichtzauber
zts2062e	Merkt sich den Zauberspruch, um den Gegner zu attackieren.
zts2063e	Lichtkatalysator
zts2064e	Verstreut das Leuchtpulver und lässt es explodieren. Hinterlässt somit eine Markierung am Ziel.
zts2065e	Unterdrückung
zts2066e	Verhüllt den gegnerischen Körper, um ihm zu schaden und ihn zu verlangsamen.
zts2067e	Heiliges Prisma
zts2068e	Verwendet ein gleißend helles Licht zum Angreifen.
zts2069e	Heilige Explosion
zts2070e	Schädigt den Gegner mit dem heiligen Licht. Fügt Gegnern, die mit Leuchtpulver markiert sind, zusätzlichen Schaden zu.
zts2071e	Überholspur
zts2072e	Maximiert die Fähigkeiten.
zts2073e	Zauberbuchmeister
zts2074e	Ermöglicht die höchsteffiziente Verwendung von Zaubereien.
zts2075e	Sakralnebel
zts2076e	Nur das heilige Kreuz zeigt den Weg im dichten Nebel.
zts2077e	Massenteleporter
zts2078e	Teleportiert die Mitglieder an den gespeicherten Ort.
zts2079e	Meteoritenhagel
zts2080e	Lässt mehrere Meteoriten auf den Gegner herabfallen.
zts2081e	Erleuchtung
zts2082e	Alle Mitglieder erhalten einen Segen.
zts2083e	Lichtschlag
zts2084e	Dornbusch
zts2085e	Duft des Fluches
zts2088e	Licht & Schatten
zts2089e	Attackiert mit der Macht des heiligen Schwertes und der Dämmerung.
zts2090e	Das heilige Schwert sticht zweimal rasch zu.
zts2091e	Urteil der Verdammnis
zts2092e	Erzeugt Wellenenergie, die alles durchdringt.
zts2093e	Gerechtigkeit
zts2094e	Beschwört das riesige heilige Schwert.
zts2095e	Doppelschlitzer
zts2096e	Bewegt sich vorwärts und schwingt das Schwert herum.
zts2097e	Heiligtum
zts2098e	Erzeugt eine leuchtende Barriere zum Angriff auf den Gegner.
zts2099e	Zündung
zts2100e	Maximiert den Angriffsschaden durch Nutzung der heiligen und dunklen Energie.
zts2101e	Kreuzklinge
zts2102e	Schwingt das heilige Schwert in enormem Tempo und durchschneidet den Raum.
zts2103e	Rückzündung
zts2104e	Maximiert die Verteidigung durch Nutzung der heiligen und dunklen Energie.
zts2105e	Verderbnis
zts2106e	Verursacht Angst und Schrecken bei den Gegnern mit Schattenelement.
zts2107e	Konvertieren
zts2108e	Die Waffe Gottes. Durchschneidet alles und jeden mit dem heiligen Schwert.
zts2112e	Brandbolzen
zts2113e	Sagenhaftes Beben
zts2114e	Kampfansage
zts2124e	Zerschlitzer
zts2125e	Aufstecher
zts2126e	Hüftschwung
zts2129e	Big Bang
zts2130e	Ein Schuss, der in den Himmel befördert.
zts2131e	Hilfsfeuer
zts2132e	Gebet von Ancelloan
zts2133e	Wird stärker im Bezug auf Körper und Geist durch Ancelloans Energie.
zts2134e	Ebene von Ancelloan
zts2135e	Bedrängt die Feinde durch Ancelloans Kraft.
zts2136e	Erscheinung von Ancelloan
zts2137e	Wird stärker im Bezug auf Körper und Geist durch Ancelloans Energie. Benutzt eine Ancelloanessenz.
zts2138e	Zorn von Ancelloan
zts2139e	Bedrängt die Feinde durch Ancelloans Kraft. Hat keinen Effekt auf Monster. Nur nach Verwendung von Erscheinung von Ancelloan benutzbar.
zts2143e	Frostspitze
zts2144e	Ballerblase
zts2145e	Blitzabkühlung
zts2146e	Frostgebunden
zts2147e	Eisregen
zts2148e	Schleier
zts2149e	Windschneider
zts2150e	Geisterschiff
zts2151e	Donneranker
zts2152e	[Einfach] PvP-Schadenserhöhung
zts2153e	Erhöht den PvP-Schaden um 1%.
zts2154e	[Mittel] PvP-Schadenserhöhung
zts2155e	Erhöht den PvP-Schaden um 2%.
zts2156e	[Fortgeschritten] PvP-Schadenserhöhung
zts2157e	Erhöht den PvP-Schaden um 3%.
zts2158e	[Hervorragend] PvP-Schadenserhöhung
zts2159e	Erhöht den PvP-Schaden um 5%.
zts2160e	[Einfach] PvP-Verteidigungserhöhung
zts2161e	Erhöht die Verteidigung im PvP um 5%.
zts2162e	[Mittel] PvP-Verteidigungserhöhung
zts2163e	Erhöht die Verteidigung im PvP um 2%.
zts2164e	[Fortgeschritten] PvP-Verteidigungserhöhung
zts2165e	Erhöht die Verteidigung im PvP um 3%.
zts2166e	[Hervorragend] PvP-Verteidigungserhöhung
zts2167e	Memorial des vergessenen Helden D (1)
zts2168e	Erhöht die Körperkraft um 80.
zts2169e	Memorial des vergessenen Helden S (1)
zts2170e	Erhöht die Geschicklichkeit um 80.
zts2171e	Memorial des vergessenen Helden J (1)
zts2172e	Erhöht die Geisteskraft um 80.
zts2173e	Memorial des vergessenen Helden M (1)
zts2174e	Erhöht die maximalen HP um 4000.
zts2175e	Memorial des unbekannten Helden (1)
zts2176e	Erhöht die maximalen MP um 4000.
zts2177e	Abwehrstrategie von Lord Cuarrys Rittern (1)
zts2178e	Erhöht die gesamte Verteidigungskraft um 30.
zts2179e	Angriffsstrategie von Lord Cuarrys Rittern (1)
zts2180e	Erhöht die gesamte Angriffskraft um 30.
zts2181e	Feenfreundschaft (1)
zts2182e	Erhöht alle Elementresistenzen um 10.
zts2183e	Aurelius Roshus Urgeschichte (1)
zts2184e	Erhöht den Erfahrungspunktegewinn um 3%.
zts2185e	Memorial der Akamurhändler (1)
zts2186e	Erhöht den Goldgewinn um 3%.
zts2220e	Erhöht die Verteidigung im PvP um 1%.
zts2221e	Teddytreffer
zts2222e	Attacke mit Anlauf
zts2223e	Gigantomanie
zts2224e	Todeszirkus
zts2225e	Zaubertricks
zts2226e	Verblüffung
zts2227e	Megablitz
zts2228e	Schadet dem Gegner durch Auslösen von mehreren gewaltigen Blitzen.
zts2229e	Megamandra
zts2230e	Fesseln
zts2231e	Platzwechsel
zts2232e	Schirmschlitzer
zts2233e	Blütenbombe
zts2234e	Schirmschild
zts2235e	Memorial des vergessenen Helden D (2)
zts2236e	Erhöht die Körperkraft um 100.
zts2237e	Memorial des vergessenen Helden S (2)
zts2238e	Erhöht die Geschicklichkeit um 100.
zts2239e	Memorial des vergessenen Helden J (2)
zts2240e	Erhöht die Geisteskraft um 100.
zts2241e	Memorial des vergessenen Helden M (2)
zts2242e	Erhöht die maximalen HP um 6000.
zts2243e	Memorial des unbekannten Helden (2)
zts2244e	Erhöht die maximalen MP um 6000.
zts2245e	Abwehrstrategie von Lord Cuarrys Rittern (2)
zts2246e	Erhöht die gesamte Verteidigungskraft um 50.
zts2247e	Angriffsstrategie von Lord Cuarrys Rittern (2)
zts2269e	Erhöht die gesamte Angriffskraft um 50.
zts2270e	Ruf des Wikingers
zts2271e	Wille des Kriegers
zts2272e	Segen des Racheengels
zts2273e	Seelenwächterin
zts2278e	Der Ruf des Wikingers verringert die Feindseligkeit deiner Gegner.
zts2279e	Ragnar, ein berühmter Wikinger, unterwirft seine Feinde mit der Kraft seines Willens.
zts2280e	Wer den Segen des Racheengels erhält, steht unter dem Schutz der Götter.
zts2281e	Es ist die Aufgabe des Racheengels, die Seelen der Gefallenen zu läutern und nach Walhalla zu geleiten.
zts2287e	Mutter Naturs Segen
zts2288e	Sie überträgt den Segen der Natur auf andere.
zts2289e	Manabrand
zts2290e	Wikinger, die ihr eigenes Mana kontrollieren, können das Mana ihrer Gegner erschöpfen.
zts2297e	Du kannst das gegnerische Monster angreifen. Drücke "A", um es zu verwenden.
zts2298e	Du kannst den gegnerischen Spieler angreifen.
zts2299e	Drücke "S", um es zu verwenden. Wenn der Körper durch einen Gegner eingefroren wurde, muss ein verbündeter Spieler den Körper innerhalb von 10 Sekunden auftauen. Ansonsten stirbt der Spieler.
zts2300e	Falle
zts2301e	Da sie eine Meisterschützin ist, kann Jennifer Fallen aufstellen, die Gegner überwältigen.
zts2302e	Fortschrittliche Blockade
zts2303e	Goten verfügen über eine Resistenz, die sie vor schlechten Effekten schützt.
zts2305e	Schlag des Gespenstes
zts2306e	Dunkelminderung
zts2307e	Stolz des Wikingers
zts2322e	Blitzableiter
zts2323e	Nachdem er die gewaltige Macht der Blitze studiert hatte, konnte er sie endlich beherrschen.
zts2324e	Verbotener Zauber
zts2325e	Seine eigenen Grenzen frustrierten Yertirand, denn er wollte mächtiger werden. So wurde er von dem verbotenen Zauber abhängig.
zts2327e	Irrer Spurt
zts2329e	Inspiration
zts2330e	Blutdurst
zts2331e	Verschwindibus
zts2332e	Kuaaa!
zts2333e	Du streckst fliehende Feinde mit nur einem Schlag nieder.
zts2334e	Zerschmettern
zts2335e	Schick deinen Gegner mit einem Schulterstoß auf die Matte!
zts2336e	Fahrkarte ins Land der Träume
zts2337e	Ein magischer Schlaf, dem sich keiner widersetzen kann.
zts2338e	Versuchsobjekt herbeirufen
zts2339e	Du rufst das Versuchsobjekt herbei, wodurch sich deine Bewegungsgeschwindigkeit erhöht.
zts2340e	Unerträglicher Durst
zts2341e	Elektrostatische Entladung
zts2342e	Einfacher Schlag
zts2343e	Ein Kampfkunst-Basisangriff mit der Hand.
zts2344e	Schlagserie
zts2345e	Mehrere Schläge in schneller Abfolge.
zts2346e	Handkanten-Schwalbenschlag
zts2347e	Greift mit einem mächtigen Schlag an.
zts2348e	Handkanten-Block
zts2349e	Reflektiert gegnerische Angriffe.
zts2350e	Seitentritt
zts2351e	Ein Kampfkunst-Basisangriff mit dem Fuß.
zts2352e	Trittserie
zts2353e	Mehrere Tritte in schneller Abfolge.
zts2354e	Halbkreistritt
zts2355e	Ein mächtiger Drehtritt.
zts2356e	Knöcheltritt
zts2357e	Schneller Tritt gegen den Unterkörper des Gegners, der einen schlechten Effekt verursacht.
zts2358e	Schockwelle
zts2359e	Schleudert dem Gegner mächtige Energie entgegen.
zts2360e	Energie-Erneuerung
zts2361e	Stellt durch angesparte Energie HP wieder her.
zts2362e	Kräftiger Körper
zts2363e	Erhöht die Angriffskraft durch den Einsatz von Energie.
zts2364e	Flinker Körper
zts2365e	Bewegt sich schneller durch den Einsatz von Energie.
zts2366e	Meditation
zts2367e	Sammelt durch Meditation Energie für den nächsten Angriff.
zts2368e	Schnelle Schritte
zts2369e	Schnelle Bewegung durch körperliches Training.
zts2370e	Lauerstellung
zts2371e	Kann Skill ohne Abklingzeit 3-mal einsetzen.
zts2372e	Verstärkter Handschuh Level 1
zts2373e	Erhöht die Nahangriffskraft des Basisangriffs.
zts2374e	Spezialisiert auf niedriglevelige Pflanzen
zts2375e	Erhöht die Nahangriffskraft gegen Pflanzen mit niedrigem Level.
zts2376e	Explosiver Schlag
zts2377e	Greift Gegner mit der Energie des Feuers an.
zts2378e	Verstärkte Arme
zts2379e	Erhöht Hitrate und Nahangriffskraft von Schlagserie.
zts2380e	Verbesserte Schlagserie
zts2381e	Erhöht die Nahangriffskraft von Schlagserie.
zts2382e	Schwachstellen finden
zts2383e	Das Aufdecken gegnerischer Schwachstellen erhöht für bestimmte Zeit die Chance auf kritische Treffer.
zts2384e	Schwachstellen treffen
zts2385e	Das Ausnutzen gegnerischer Schwachstellen erhöht den kritischen Schaden.
zts2386e	Stahlhaut
zts2387e	Wirft den gesamten Angriff auf den Gegner zurück.
zts2388e	Erhöht die Nahangriffskraft gegen Monster mit niedrigem Level.
zts2389e	Fantastischer Tritt
zts2390e	Verwirrt Gegner mit einem großartigen Tritt und verursacht Blackout.
zts2391e	Verstärkte Beine Level 1
zts2392e	Erhöht Hitrate und Nahangriffskraft von Trittserie.
zts2393e	Verbesserte Trittserie
zts2394e	Erhöht die Chance auf kritische Treffer von Trittserie.
zts2395e	Erhöht die Reichweite von Halbkreistritt.
zts2396e	Fügt dem Effekt von Knöcheltritt Blackout hinzu.
zts2397e	Fügt dem Effekt von Knöcheltritt Blutung hinzu.
zts2398e	Stößt Gegner zurück.
zts2399e	Unsichtbarer Stoß
zts2400e	Heftiger Angriff mit unsichtbarer Energie.
zts2401e	Erhöht die Reichweite von Schockwelle.
zts2402e	Speichert mehr Energie.
zts2403e	Verstärkter Handschuh Level 2
zts2404e	Verstärkte Handkanten
zts2405e	Erhöht die Angriffskraft von Handkanten-Schwalbenschlag.
zts2406e	Verstärkte Beine Level 2
zts2407e	Nachhallender Halbkreistritt
zts2408e	Verkürzt die Abklingzeit des Skills.
zts2409e	Spezialisiert auf niedriglevelige Tiere
zts2410e	Spezialisiert auf niedriglevelige Untote
zts2411e	Erhöht die Nahangriffskraft gegen Untote mit niedrigem Level.
zts2412e	Verbesserte kritische Treffer Level 1
zts2413e	Erhöht die Chance auf kritische Treffer von Schockwelle.
zts2414e	Verbesserte kritische Treffer Level 2
zts2415e	Verbesserte kritische Treffer Level 3
zts2416e	Geist
zts2417e	Fluch der Braut
zts2418e	Stoß
zts2419e	Unbewaffneter Stoß.
zts2420e	Bestienfaust
zts2421e	Angriff mit einer großen Bestienfaust.
zts2422e	Kratzer
zts2423e	Wilder Angriff mit den Krallen der Bestienfaust.
zts2424e	Griff
zts2425e	Ergreift den Gegner mit der Bestienfaust.
zts2426e	Haetaes Energie
zts2427e	Verleiht Haetaes Energie.
zts2428e	Haetae-Sprung
zts2429e	Ein schneller Satz nach hinten.
zts2430e	Ein heftiger Angriff mit der Bestienfaust.
zts2431e	Transformation
zts2432e	Wechselt zwischen dem Haetae-Stil und dem Drachen-Stil.
zts2433e	Flammen-Jo-Jo
zts2434e	Angriff mit Flammen in Form eines Jo-Jos.
zts2435e	Knöchelschlag
zts2436e	Verpasst dem Gegner einen schmerzhaften Schlag mit dem Fingerknöchel.
zts2437e	Flammender Hieb
zts2438e	Mit dem Schwung des Hiebs lodert eine Flamme auf.
zts2439e	Feuerpranke
zts2440e	Feuriger Angriff.
zts2441e	Energie des Drachen
zts2442e	Verleiht die Energie des Drachen.
zts2443e	Drachen-Sprung
zts2444e	Ein schneller Satz nach vorne.
zts2445e	Kreuzfeuer
zts2446e	Formt ein Kreuz und umhüllt den Gegner mit Feuer.
zts2447e	Letzte Flamme
zts2448e	Erledigt den Gegner mit einer Flamme.
zts2455e	Maschinengewehr
zts2456e	Erhöht die Nahangriffskraft gegen niedriglevelige Tiere.
zts2457e	Magischer Lichtkreis
zts2458e	Katzenkrallen
zts2459e	Herzensgüte
zts2460e	Handflächenschlag
zts2461e	Schockwelle
zts2462e	Ein blitzschneller Schlag in den Unterleib des Gegners.
zts2463e	Tausend Tritte
zts2464e	Teleportiere dich über deinen Gegner und tritt ihn in den Staub.
zts2465e	Ausfallschritt
zts2466e	Weiche Attacken mit einem Ausfallschritt aus.
zts2467e	Mondlichtinfusion
zts2468e	Wenn du einen Buff-Skill verwendest, während Erleuchtung aktiv ist, erhältst du einen zusätzlichen Buff, der sämtliche Angriffe um 20% erhöht. Außerdem erhöht sich die MP-Erholung um 30.
zts2469e	Blütenhaltung
zts2470e	Wenn du einen Buff-Skill verwendest, während Erleuchtung aktiv ist, erhältst du einen zusätzlichen Buff, der sämtliche Verteidigungen um 20% erhöht. Außerdem erhöht sich mit einer Wahrscheinlichkeit von 30% dein Schaden um 20%.
zts2471e	Wilder Sichelmondtanz
zts2472e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, erhältst du mit einer Wahrscheinlichkeit von 100% Sichelmondschatten.
zts2473e	Sichelmondschnitt
zts2474e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, stiehlst du 20% der MP des Gegners pro eigenem Level.
zts2475e	Macht des Mondlichts
zts2476e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, werden alle schlechten Effekte bis Level 4 aufgehoben.
zts2477e	Mondfinsternis
zts2478e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, erhält dein Gegner mit einer Wahrscheinlichkeit von 100% Mal des Vollmondes anstatt Mal des Mondes.
zts2479e	Lotusblütensprung
zts2480e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, wird die Abklingzeit von Lotusblütensprung zurückgesetzt, sodass du ihn erneut einsetzen kannst.
zts2481e	Lotussaat
zts2482e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, werden zwei weitere Lotusblüten beschworen.
zts2483e	Lotusfalle
zts2484e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, explodieren die Blüten beim Verschwinden und fügen Gegnern 10 zusätzlichen Schaden pro eigenem Level zu.
zts2485e	In voller Blüte
zts2486e	Wenn du diesen Skill verwendest, während Angriffsmöglichkeit aktiv ist, wird die Wahrscheinlichkeit, dass der Gegner Lotusblütenfluch erleidet, um 50% erhöht. Dies gilt nur, wenn der Gegner noch nicht mit diesem Debuff belegt ist. Ist der Lotusblütenfluch bereits aktiv, wird Blütenminen erneut ausgelöst.
zts2487e	Standhalten
zts2488e	Wenn du Standhalten während eines gegnerischen Angriffs verwendest, erhältst du den Effekt Angriffsmöglichkeit.
zts2493e	Ein Basisangriff mit der Handfläche.
zts2494e	Abwärtshieb
zts2495e	Berserkerrausch
zts2496e	Herzpfeil
zts2497e	Verschießt einen Pfeil mit herzförmiger Spitze.
zts2498e	Dreifacher Pfeil
zts2499e	Feuert drei Pfeile gleichzeitig ab.
zts2500e	Bogenmeisterschaft
zts2501e	Meistere den Bogen, um deine Angriffskraft zu erhöhen.
zts2502e	Basisangriff
zts2503e	Brautstrauß werfen
zts2504e	Antrag machen
zts2505e	Konfettiregen
zts2506e	Küssen
zts2507e	Aufregender Tanz
zts2508e	Paartanz
zts2509e	Fotopose
zts2510e	Herz aus Händen
zts2511e	Paarpose
zts2512e	Hübsche Pose
zts2513e	Der Buff ist nur verfügbar, wenn der Gegner die Hochzeitskostüm-Spezialistenkarte genutzt hat.
zts2518e	Verfaulte Eierbombe
zts2519e	Eggy-Bombe
zts2520e	Verrückte Eierbombe
zts2521e	Schleudert eine riesige verrückte Eierbombe auf den Gegner.
zts2522e	Schleudert eine riesige verfaulte Eierbombe auf den Gegner.
zts2523e	Verstärkte Willenskraft
zts2524e	Verleiht einen Effekt, der die Willenskraft des Spielers und seiner NosMates stärkt.
zts2525e	Einer starker Schlag, gefolgt von einem Tritt.
zts2526e	Tiefer Kick
zts2527e	Ein tiefer Kick aus der Drehung.
zts2528e	Sprungkick
zts2529e	Du machst einen Salto auf den Gegner zu und trittst ihn in die Luft.
zts2530e	Energieball
zts2531e	Du schlägst beide Hände zusammen und schleuderst deinem Gegner einen Energieball entgegen.
zts2532e	Wird zu [Ultimativer Energieball], wenn [Ultimativer Kampfstil] aktiv ist.
zts2533e	Benötigt 2.000 Ulti-Punkte.
zts2534e	Drehkick
zts2535e	Du springst aus dem Stand in die Luft, drehst dich dreimal und trittst dabei zu.
zts2536e	Wird zu [Ultimativer Drehkick], wenn [Ultimativer Kampfstil] aktiv ist.
zts2537e	Benötigt 1.000 Ulti-Punkte.
zts2538e	Aufwärtshaken
zts2539e	Du springst in die Luft und führst dabei einen Aufwärtshaken aus.
zts2540e	Wird zu [Ultimativer Aufwärtshaken], wenn [Ultimativer Kampfstil] aktiv ist.
zts2541e	Benötigt 3.000 Ulti-Punkte.
zts2542e	Abblocken
zts2543e	Du konzentrierst dich, um gegnerische Angriffe abzublocken.
zts2544e	Wenn du angegriffen wirst, während [Abblocken] aktiv ist, erhältst du 1.000 Ulti-Punkte.
zts2545e	Energieausstoß
zts2546e	Du stößt Wellen reinigender Energie aus, die deine Verbündeten stärken.
zts2547e	Ultimativer Kampfstil
zts2548e	Mit diesem Kampfstil kannst du Ulti-Skills ausführen.
zts2549e	[Energieball], [Drehkick], [Aufwärtshaken] und [Dreifach-Kombo] werden in ihrer Ulti-Variante ausgeführt, wenn dieser Kampfstil aktiv ist.
zts2550e	Wille des Wahrheitssuchers
zts2551e	Stärkt deinen Geist durch Meditation.
zts2552e	Dreifach-Kombo
zts2553e	Du führst hintereinander [Sprungkick], [Energieball] und [Aufwärtshaken] aus.
zts2554e	Wird zu [Ultimative Dreifach-Kombo], wenn [Ultimativer Kampfstil] aktiv ist.
zts2555e	Ultimativer Energieball
zts2556e	Ultimativer Drehkick
zts2557e	Ultimativer Aufwärtshaken
zts2558e	Ultimative Dreifach-Kombo
zts2559e	Flammenangriff
zts2560e	Flammenrüstung
zts2561e	Regenbogen-Smiley (Alt+-)
zts2562e	Du musst das Emoticon im Regenbogenladen kaufen, um es verwenden zu können.
zts2563e	Sushi-Party
zts2564e	Lockt Feinde mit köstlichem Sushi an.
zts2565e	Fischklatscher
zts2566e	Dieser Skill ist nach dem Einsatz von "Sushi-Party" 10 Sekunden lang verfügbar.
zts2567e	Klauenhieb
zts2568e	Ein wilder Angriff mit deinen scharfen Klauen.
zts2569e	Sturzflug
zts2570e	Du erhebst dich in die Lüfte, stürzt dich auf deinen Gegner und attackierst ihn mit deinen Klauen.
zts2571e	Fledermausschwarm
zts2572e	Du verwandelst dich in einen Fledermausschwarm und kannst dich so schneller bewegen.
zts2573e	Schattensturm
zts2574e	Du drehst dich im Kreis und beschwörst Fledermäuse, die alle Gegner um dich herum angreifen.
zts2575e	Dämonenfeuer
zts2576e	Du schießt einen roten Strahl aus deinen Augen.
zts2577e	Doppeldrehtritt
zts2578e	Du führst hintereinander einen gedrehten Sprungtritt und einen niedrigen Tritt aus.
zts2579e	Schwingenkonter
zts2580e	Du wehrst gegnerische Angriffe mit deinen Schwingen ab und reflektierst den Schaden zum Teil.
zts2581e	Blutketten
zts2582e	Du feuerst Blutketten, die deine Gegner umschlingen.
zts2583e	Tod von oben
zts2584e	Du attackierst von der Luft aus Gegner am Boden.
zts2585e	Dämonische Kräfte
