zts1e	Тренировка новых искателей приключений
zts2400e	Победи зимних монстров.
zts2402e	Успешно заверши рейд Снежной феи Флейк и Подозрительного тигра 5 раз.
zts2403e	История Аморы
zts2404e	Отправляйся к командиру Рэю Рамосу, стоящему у Аванпоста Фернон.
zts2405e	Просьба Рэя
zts2406e	Вернись к Рэю Рамосу.
zts2407e	Поговори с Аморой.
zts2408e	Разыщи офицера Криса в пространственно-временном камне.
zts2409e	Сбор ингредиентов для пирога (пасхальное событие)
zts2410e	Принеси Еве Энерджи 10 очищенных от гнили яиц.
zts2411e	Недостаточно ингредиентов! (Пасхальное событие)
zts2412e	Принеси Сорайе Стиль 10 очищенных от гнили яиц.
zts2413e	История Мартовского зайца (пасхальное событие)
zts2414e	Принеси Шлури кусочек пасхального пирога и послушай историю о Мартовском зайце.
zts2415e	Особая энергия
zts2416e	Узнай больше об особой энергии.
zts2417e	Поиск Мастера-волка
zts2418e	Встреча с Мастером-волком
zts2419e	Сражение со Старым красными волком
zts2420e	Последние слова Мастера-волка
zts2421e	Как будто одержимость
zts2422e	Получи награду за выполнение задания.
zts2423e	Поговори с Карвеном.
zts2424e	Поиск Святилища демонов
zts2425e	Найди Белую ведьму Розу, которая живет на втором уровне пещеры Шанера, и поговори с ней.
zts2426e	Найди Мерзкого копьеносца.
zts2427e	Победи Мерзкого копьеносца и получи Часть пространственно-временного портала (Святилище демонов).
zts2428e	Поговори с Кэтлоттой. Найти ее можно в Кошачьей комнате в Еловом лесу.
zts2429e	Появление нового героя
zts2430e	Поговори с Кэтлоттой.
zts2431e	Получи сверкающий драгоценный камень.
zts2432e	Отправляйся к следующему месту и победи Ужасного копьеносца.
zts2433e	Поговори с Кэтлоттой.
zts2434e	Задание нового героя было завершено.
zts2435e	Используй этот пространственно-временной камень для перемещения в Святилище демонов.
zts2436e	Причина прибытия
zts2437e	Поговори с Пропга, лидером орков с гавани пустыни Мортаз.
zts2438e	К новым берегам!
zts2439e	Поговори с Пропга в гавани пустыни Мортаз, чтобы попасть на орочий остров.
zts2440e	Страж гавани
zts2441e	Поговори с Перкичаном в порту Моритиус, чтобы узнать, что случилось.
zts2442e	Переживания Перкичана
zts2443e	Перкичан, кажется, что-то хочет сказать тебе. Найди его в порту Моритиус и поговори с ним снова.
zts2444e	Зачистка пляжа
zts2445e	Победи монстров на берегу, чтобы рыбаки могли вернуться к работе.
zts2446e	Дело сделано
zts2447e	Вернись к Перкичану в порт Моритиус и расскажи ему об успехах.
zts2448e	Подарки для жителей деревни
zts2449e	Раздобудь Мясо совомедведя, прежде чем отправишься в деревню.
zts2450e	Теперь собери Сладкие яблоки.
zts2451e	Проверка свежести
zts2452e	Отправляйся в деревню Олорун и покажи Таритусу Мясо совомедведя и Сладкие яблоки.
zts2453e	Атаман орков
zts2454e	Поговори с вождем Татором в деревне Олорун и заработай его доверие.
zts2455e	Испытание орка-воина
zts2456e	Отправляйся туда, где проходит испытание орков-воинов.
zts2457e	Пройди испытание, чтобы заработать доверие вождя.
zts2458e	Тебе удалось пройти испытание. Отправляйся к Татору.
zts2459e	Капитан стражи
zts2460e	Капитану стражи Литатизу нужна твоя помощь. Иди к северному порталу деревни Олорун.
zts2461e	Разведчик в беде
zts2462e	Найди разведчика Татирус рядом с Загрязненным путем.
zts2463e	Помощь уже близко
zts2464e	Татирус окружена монстрами. Спаси ее, победив монстров.
zts2465e	Пропавший разведчик
zts2466e	Узнай, что случилось с Татирус.
zts2467e	Поиск разведчика
zts2468e	Найди Логтаз, второго разведчика.
zts2469e	Жуткая пещера
zts2470e	Исследуй зловещую пещеру.
zts2471e	Сила зла
zts2472e	В пещере ощущается наличие злой энергии. Найди ее источник.
zts2473e	Отчет о миссии
zts2474e	Тебе удалось расправиться с обелиском, но не удалось прийти на помощь Логтазу. Сообщить Литатиз о судьбе Логтаза.
zts2475e	Печальные новости
zts2476e	Отнеси письмо Логтаза его жене в деревне Олорун.
zts2477e	Еда для поминок
zts2478e	Собери еду для поминок в деревне Олорун.
zts2479e	Сбалансированное питание
zts2480e	Раздобудь мясо совомедведя для поминок.
zts2481e	Собери Горных ягод для поминок.
zts2482e	Отнеси всю собранную еду Итурос в деревне Олорун.
zts2483e	Похороны орка
zts2484e	Передай еду жене Логтаз в деревне Олорун.
zts2485e	Оплакивая потерянного брата
zts2486e	Расскажи брату Логтаза о его смерти и похоронах.
zts2487e	Шаг за шагом
zts2488e	Отправляйся на ферму за деревней и найди сундук с оружием.
zts2489e	Победи монстров на ферме, прежде чем искать сундук с оружием.
zts2490e	Переработка
zts2491e	Собери брошенные сундуки с оружием.
zts2492e	Отнеси сундуки с оружием Мартасу, находящемуся в деревне Олорун.
zts2493e	На рыбалку
zts2494e	Итурос нужна твоя помощь. Иди в деревню Олорун и поговори с ней.
zts2495e	Поговори с главным рыбаком Пропга, который находится в порту Моритиус, о том, что происходит.
zts2496e	Некоторые рыбаки исчезли с пляжа. Отправляйся туда и поищи подсказки.
zts2497e	На рыбалку куда?
zts2498e	Поищи подсказки о местонахождении рыбаков.
zts2499e	Судьба рыбаков
zts2500e	Сообщи Пропга, находящемуся в порту Моритиус, о смерти рыбаков и об огромном монстре.
zts2501e	Поставки рыбы
zts2502e	Иди в деревню Олорун и расскажи Итурос о пещере и о том, почему рыба не была доставлена.
zts2503e	Просьба фермера
zts2504e	У фермера Качантрока есть просьба. Найди его в деревне Олорун и поговори с ним.
zts2505e	Пропавший фермер
zts2506e	Иди по следам Куджантрока.
zts2507e	Жутко!
zts2508e	На фермера напали призраки. Расправься с ними!
zts2509e	Спроси фермера, что он делает в Лесу Духов.
zts2510e	Фермер Куджантрок
zts2511e	Спроси Качантрока, вернулся ли его брат.
zts2512e	Безумные духи
zts2513e	Фермер сообщил, что духи стали необычайно агрессивными. Сходи в деревню Олорун и поговори с вождем Татором об этом.
zts2514e	Вождь говорит, что колдун должен знать причину странного поведения духов. Поговори с Пикидиром в деревне Олорун.
zts2515e	Призыв Короля Духов
zts2516e	Собери материалы для жертвоприношения Королю Духов на алтаре в Лесу Духов.
zts2517e	Отнеси материалы к алтарю. (Рейдовая миссия)
zts2518e	Поиск Короля Зверей
zts2519e	Спроси стража Лигтаса в Логове Зверя о местонахождении Короля Зверей.
zts2520e	Покажи, чего ты стоишь
zts2521e	Победи монстров, чтобы продемонстрировать свою силу.
zts2522e	Тебе удалось пройти испытание. Теперь спроси Лигтаса, где Король Зверей.
zts2523e	Охота начинается
zts2524e	Иди в Логово Короля Зверей.
zts2525e	Охотник или жертва?
zts2526e	Освободи Карно от злой энергии.
zts2527e	Потомки четырех героев
zts2528e	Коттари, потомок четырех героев, хочет поговорить с тобой в Логове Зверя.
zts2529e	Испытание доблести
zts2530e	Испытание должно пройти где-то в Логове Зверя.
zts2531e	Тебе нужно пройти Испытание доблести.
zts2532e	Поговори с Коттари в Логове Зверя, чтобы узнать больше о следующем испытании.
zts2533e	Поговори с Датитусом в Лесу Духов, чтобы начать следующее испытание.
zts2534e	Испытание терпения
zts2535e	Испытание должно пройти где-то в Лесу Духов.
zts2536e	Пройди Испытание терпения.
zts2537e	Поговори с Датитус в Лесу Духов, чтобы узнать больше о следующем испытании.
zts2538e	Поговорите с Тайтур в Лесном утесе, чтобы начать испытание азарта.
zts2539e	Испытание азарта
zts2540e	Испытание должно пройти рядом с Лесным утесом.
zts2541e	Пройди Испытание азарта.
zts2542e	Поговори с Тайтур в Лесном утесе, чтобы узнать больше о следующем испытании.
zts2543e	Поговорите с Асготи в Загрязненном лесу, чтобы начать финальное испытание.
zts2544e	Испытание мудрости
zts2545e	Пройди Испытание мудрости.
zts2546e	Все испытания успешно пройдены. Поговори с Асготи в Загрязненном лесу, чтобы узнать, что делать дальше.
zts2547e	Сила орков-героев
zts2548e	Попроси Пикидира изготовить реликвию.
zts2549e	Жажда мести
zts2550e	Отправляйся в пещеру Порочного Короля Зверей. (Пройди рейд.)
zts2551e	Все сделано
zts2552e	Иди в Логово Зверя и расскажи Лигтас, что было сделано.
zts2553e	Неожиданный результат
zts2554e	Сообщи вождю о Короле Зверей
zts2555e	Внезапное возвращение
zts2556e	Попрощайся с Пропга в порту Моритиус.
zts2557e	Поговори с Перкичаном.
zts2558e	Поговори с Перкичаном снова на борту.
zts2559e	Сообщи Тому в гавани пустыни Мотаз о своих приключениях на Моритиусе.
zts2560e	Маленькие подарки помогают заводить большую дружбу
zts2561e	Отправляйся в город Орлов и спроси Рорама о подарках.
zts2562e	Отправляйся в штаб Акамура и спроси Нефи о подарках.
zts2563e	Ты чувствуешь себя подавленно и апатично. Вернись в НосВилль, чтобы собраться с силами.
zts2564e	Поговори с Теоманом Топпом в НосВилле, чтобы узнать об оружии и доспехах орков.
zts2565e	Эта панацея действительно работает...? Спроси об этом Малкольма Микса.
zts2566e	Тебе нужно что-нибудь сладкое, чтобы избавиться от горького послевкусия от зелья. Спроси Еву Энерджи в НосВилле.
zts2567e	В срочном порядке
zts2568e	Тебе сообщили, что тебя ждет срочное сообщение.
zts2569e	Поговори с Пропга в гавани пустыни Мортаз.
zts2570e	Ликапга пропал
zts2571e	Поговори с Пропга в гавани пустыни Мортаз, когда сможешь отправляться.
zts2572e	Поговори с Пропга в гавани пустыни Мортаз, чтобы попасть на Моритиус.
zts2573e	Поговори с Пропга в порту Моритиус, чтобы узнать больше.
zts2574e	Поиск Ликапга
zts2575e	Иди на Лесную тропу и поищи Ликапга.
zts2576e	Ищи зацепки, которые могут привести к Ликапга.
zts2577e	Ищи зацепки, которые могут привести к Ликапга.
zts2578e	Следы Ликапга ведут глубже в Лес Духов. Продолжай поиски.
zts2579e	Вход
zts2580e	Следуй по следам.
zts2581e	Уничтожь духов, блокирующих твой путь.
zts2582e	В неизвестность
zts2583e	Войди в странное место.
zts2584e	Правда о тюрьме
zts2585e	Доставь Ликапга Пропга в порт Моритиус и сообщи о тюрьме.
zts2586e	Рука помощи
zts2587e	Попроси Тайтур в Лесном утесе помочь тебе спасти пленников.
zts2588e	Победи монстров и демонов, блокирующих твой путь.
zts2589e	Попроси Асготи в Загрязненном лесу помочь тебе.
zts2590e	Уничтожь странные статуи, удерживающие Асготи в плену.
zts2591e	Проверь, может ли Асготи двигаться.
zts2592e	Попроси Коттари в Логове Зверя помочь тебе.
zts2593e	Уничтожь странные курильницы, распространяющие ужасный дым.
zts2594e	Проверь, в порядке ли Коттари и животные.
zts2595e	Попроси Датитуса в Лесу Духов о помощи.
zts2596e	Уничтожь духов, блокирующих твой путь к тюрьме.
zts2597e	Спасительная миссия
zts2598e	Отправляйся в тюрьму Леса Духов.
zts2599e	Даже боги не непогрешимы
zts2600e	Собери Оскверненную сущность чистоты с монстров в Загрязненном лесу.
zts2601e	Используй Сущность чистоты для снятия Метки зла.
zts2602e	Собери Оскверненную сущность великодушия с монстров в Лесном утесе.
zts2603e	Используй Сущность великодушия для снятия Метки жадности.
zts2604e	Собери Оскверненную сущность безмятежности с монстров на Северном пляже.
zts2606e	Используй Сущность безмятежности для снятия Метки гнева.
zts2607e	Бой против Белиала
zts2608e	Спроси Татора в деревне Олорун, где можно найти Белиала.
zts2609e	Отправляйся в тронный зал Белиала и брось ему вызов.
zts2610e	Убийца богов
zts2611e	У тебя получилось! Возвращайся к Татору в деревню Олорун и расскажи ему обо всем.
zts2612e	Спаситель орков
zts2613e	Пикидир хочет тебе кое-что рассказать. Найди его в деревне Олорун и поговори с ним.
zts2614e	Пропавшие охотники за сокровищами
zts2615e	Поговори с Перкичаном, стражем гавани, в порту Моритиус.
zts2616e	Поговори с Орусом, охотником за сокровищами, на Северном пляже.
zts2617e	Мы так голодны!
zts2618e	Собери украденную рыбу и отдай ее голодным охотникам за сокровищами Орусу и Ирусу.
zts2619e	Письмо другу
zts2620e	Отнеси рыбу Орусу на северный пляж.
zts2621e	Перешли Перкичану в порт Моритиус письмо Оруса, которое он написал Тому.
zts2622e	Посмотри на предмет, который дал тебе Перкичан.
zts2623e	Идеально для обучения
zts2624e	Поймай пикань для тренировок стражей.
zts2625e	Отнеси пойманных пикань стражам в деревню Олорун.
zts2626e	Признание
zts2627e	Логотор в деревне Олорун требуется сломанное оружие орков, чтобы проявить себя перед отцом.
zts2628e	Доставь Логотор в деревню Олорун сломанное оружие, которое тебе удалось собрать.
zts2629e	Убеждая отца
zts2630e	Поговори с вождем Татором в деревне Олорун и покажи ему отремонтированное оружие орков.
zts2631e	Обратный комплимент
zts2632e	Сообщить Логотор в деревне Олорун что, сказал ее отец.
zts2633e	Посмотри на предмет, который дала тебе Логотор.
zts2634e	Пропавший ключ
zts2635e	Ирус, кажется, знает, где ключ от сундука с сокровищами. Иди на Северный пляж и спроси его о нем.
zts2636e	Таинственный сундук с сокровищами
zts2637e	Победи Большого водяного в пещере на Южном пляже и забери ключ.
zts2638e	Неутешительный результат
zts2639e	Отнеси ключ Орусу на Северный пляж.
zts2640e	Посмотри на предмет, который дал тебе Орус.
zts2641e	Скрипучие петли
zts2642e	Тудотито, деревенскому старейшине, нужно его лекарство. Он говорит, что Свежий мох хорошо воздействует на его стареющих суставы.
zts2643e	Каша из мха
zts2644e	Отнеси Рочапги в деревню Олорун маринованный мох, который дал тебе Тудотито.
zts2645e	Каша из мха для старых костей
zts2646e	Дай Тудотито, который находится в деревне Олорун, Кашу из мха.
zts2647e	Второе дыхание
zts2648e	Посмотри на предмет, который дал тебе Тудотито.
zts2649e	Иголка и чернила
zts2650e	Спроси Асготи, которая находится Загрязненном лесу, о материале, который усиливает лоа.
zts2651e	Кристалл Фернон
zts2652e	Победи Обессиленную Фернон в ее рейде, чтобы получить магический порошок.
zts2653e	Отнеси Магический порошок Фернон Асготи в Загрязненный лес.
zts2654e	Отнеси Необработанный магический кристалл Фернон Чурисго в деревню Олорун.
zts2655e	Хмм... Что можно сделать с этим кристаллом?
zts2656e	Продвинутое вырезание рун
zts2657e	Мартас ищет новые материалы для вырезания рун. Поговори с колдуном Пикидиром в деревне Олорун.
zts2658e	Божественный кристалл
zts2659e	Поговори с алхимиком Феликсом в Циллоане, чтобы узнать больше о материалах.
zts2660e	Победи Эрению и Зенас в рейдах, и получи магический порошок.
zts2661e	Магический порошок у тебя. Попроси алхимика Феликса в Циллоане сделать магический кристалл.
zts2662e	Один кристалл почти готов!
zts2663e	Доставь Необработанный божественный магический кристалл Мартасу в деревню Олорун.
zts2664e	Хмм... Что можно сделать с этим кристаллом?
zts2665e	Упреждающий удар (Ежедневное)
zts2666e	Победи монстров в Загрязненном лесу до того, как они нападут на деревню.
zts2667e	Расскажи Литатизу, который находится в деревне Олорун, о том, что произошло.
zts2668e	Посмотри на предмет, который дал тебе Литатиз.
zts2669e	Без зелья нет движенья (Ежедневное)
zts2670e	Начинающему колдуну Чурисго нужны Орочьи зелья из мха.
zts2671e	Дальний мост (Ежедневное)
zts2672e	Литатиз говорит, что мост возле Лесного утеса находится под нападением. Победи там монстров.
zts2673e	Расскажи Литатизу, который находится в деревне Олорун, о том, что произошло.
zts2674e	Местные деликатесы (Ежедневное)
zts2675e	Итурос, хозяйка магазина продуктов в Лесной тропе, поручила тебе собрать Сладкие яблоки и Мясо совомедведя.
zts2676e	Посмотри на предмет, который дала тебе Итурос.
zts2677e	Яд скорпиона (Ежедневное)
zts2678e	Собери Яд скорпиона и отнеси его Лигтасу, чтобы он мог использовать его в сражениях против монстров.
zts2679e	Воющие монстры (Ежедневное)
zts2680e	Иди в деревню Олорун и расскажи Тудотито, что тебе удалось заглушить воющих монстров.
zts2681e	Материалы для нового заклинания (Ежедневное)
zts2682e	Собери Гриву совомедведя и Яд красноглазого скорпиона для нового защитного заклинания.
zts2683e	Легкая рыбалка (Ежедневное)
zts2684e	Монстры на пляже мешают рыбакам делать свою работу. Разберись с ними и отбери у них украденную рыбу.
zts2685e	Сообщи Пропга, что тебе удалось победить монстров и забрать рыбу.
zts2686e	Посмотри на предмет, который дал тебе Пропга.
zts2687e	Оборони ферму! (Ежедневное)
zts2688e	Уничтожь Троллей-воинов и Гоблинов с мотыгами, крушащих ферму.
zts2689e	Расскажи Литатизу, что тебе удалось сократить количество монстров.
zts2690e	Охота на демонов (Ежедневное)
zts2691e	Собери Знаки демона и отнеси их вождю Татору.
zts2692e	2 раунд против Короля Зверей (Ежедневное)
zts2693e	Используй рейдовую печать Порочного Короля Зверей в Логове Короля Зверей и победи его вместе со своими союзниками.
zts2694e	Иди в Логово Зверя и сообщи Коттари, что тебе удалось победить Карно.
zts2695e	Посмотри на Фрагмент Короля Зверей.
zts2696e	2 раунд против Короля Духов (Ежедневное)
zts2697e	Используй рейдовую печать Порочного Короля Духов в Лесу Короля Духов и победи его вместе со своими союзниками.
zts2698e	Сообщи Датитусу в Лесу Духов, что тебе удалось победить Киролласа.
zts2699e	Посмотри на Фрагмент Короля Духов.
zts2700e	Возвращение Белиала (Ежедневное)
zts2701e	Тебе удалось победить Белиала! Отправляйся в деревню Олорун и сообщи вождю Татору хорошие новости.
zts2702e	Посмотри на предмет, который выпал с Белиала.
zts2703e	Создание магического кристалла (Ежедневное)
zts2704e	Отнеси Магический порошок Фернон Асготи в Загрязненный лес.
zts2705e	Отнеси Необработанный магический кристалл Фернон Чурисго в деревню Олорун.
zts2706e	Магический божественный кристалл (Ежедневное)
zts2707e	Попроси алхимика Феликса в Циллоане сделать магический кристалл.
zts2708e	Магия богинь
zts2709e	Доставь Необработанный божественный магический кристалл Мартасу в деревню Олорун.
zts2710e	Натиск зверей (Ежедневное)
zts2711e	Логово Зверя переполнено. Сократи количество монстров в нем.
zts2712e	Сообщи Коттари, находящемуся в Логове Зверя, что ряды монстров поредели.
zts2713e	Гнев духов (Ежедневное)
zts2714e	Лес Духов переполнен. Сократи количество монстров в нем.
zts2715e	Сообщи Датитус, находящемуся в Лесу Духов, что ряды монстров поредели.
zts2716e	Держи лес в чистоте (Ежедневное)
zts2717e	Загрязненный лес переполнен. Сократи количество монстров в нем.
zts2718e	Сообщи Асготи, находящейся в Загрязненном лесу, что ряды монстров поредели.
zts2719e	Большая рыба
zts2720e	Войди в пещеру на пляже и спаси рыбаков.
zts2721e	Брат Качантрока отправился собирать дрова в Лес Духов и исчез. Поищи его следы.
zts2722e	Следы ведут дальше, вглубь леса. Продолжай поиски.
zts2723e	Войди в пещеру, в которой живет Большой водяной.
zts2724e	Избавься от воющих монстров в Загрязненном лесу, которые мешают Тудотито спать.
zts2725e	Используй рейдовую печать Бога демонов Белиала в Тронном зале Белиала и победи его вместе со своими союзниками.
zts2726e	Порочный Король Духов
zts2727e	Короля Духов поглотило зло. Победи и освободи его. (Пройди рейд.)
zts2728e	Отправляйся в пещеру Порочного Короля Зверей. (Рейдовая миссия)
zts2729e	Утерянный отчет (Ежедневное)
zts2730e	Собери части отчета с побежденных оскверненных орков.
zts2731e	Отнести части отчета Литатизу в деревню Олорун.
zts2732e	Миссия выполнена
zts2733e	Сбор информации (Ежедневное)
zts2734e	Отнеси приказы Белиала, которые носят его послушники, Татору в деревню Олорун.
zts2735e	Заваруха в Небесной башне
zts2736e	Спроси стражей, стоящих у Небесной башни рядом с деревней Олорун, о секретных агентах.
zts2737e	Поищи подсказки в подвале Небесной башни.
zts2738e	Победи оскверненных орков и собери информацию.
zts2739e	Собери остальные части отчета.
zts2740e	Шпионский отчет
zts2741e	Отнести части отчета Литатизу в деревню Олорун.
zts2742e	Что там происходит?
zts2743e	Отправляйся в деревню Олорун и сообщи о событиях в Небесной башне Татору.
zts2744e	Новое задание
zts2745e	Поделись любовью!
zts2746e	Вручи кому-нибудь подарок ко дню святого Валентина.
zts2747e	Сообщи Аморе о завершении миссии.
zts2748e	Изготовление стрел 1
zts2749e	Собери Магические сердца с монстров.
zts2750e	Отнести Магические сердца Аморе.
zts2751e	Изготовление стрел 2
zts2752e	Собери Редкую древесину и сделай древки стрел.
zts2753e	Изготовление стрел 3
zts2754e	Собери Волшебную пыль с Воллетов в Кленовом лесу.
zts2755e	Отнеси Волшебную пыль Аморе.
zts2756e	Сверкающая волшебная пыль
zts2757e	Отнеси Аморе Золотые тычинки, собранные в Окраине кленового леса, чтобы она могла заставить Волшебная пыль сверкать.
zts2758e	Задание выполнено
zts2759e	Поговори с Теодором Топпом, когда завершишь рейд Куриного короля 3 раза.
zts2760e	Собрание
zts2761e	Приказы Белиала были расшифрованы. Сообщи об этом Татору.
zts2762e	Потомок огненной друиды
zts2763e	Поговори с Тайтур на Лесном утесе.
zts2764e	Так много демонов!
zts2765e	Расправься с демонами, снующими поблизости.
zts2766e	Узнай у Тайтур о трещине в небе.
zts2767e	Дети Повелителя зверей
zts2768e	Сходи к Коттари в Логово Зверя.
zts2769e	Безумие демонов
zts2770e	Отправляйся туда, где находятся Обелиски света.
zts2771e	Победи демонов, угрожающих обелискам.
zts2772e	Табу
zts2773e	Узнай у Коттари о трещине в небе.
zts2774e	Потомок вуду-жреца
zts2775e	Отправляйся к Асготи в Загрязненный лес.
zts2776e	Проблемные каменные статуи
zts2777e	Уничтожь статуи и победи монстров в Загрязненном лесу.
zts2778e	Потомок орка-крестоносца
zts2779e	Сходи к Датитусу на окраину Леса Духов.
zts2780e	Бушующие духи
zts2781e	Уничтожь бушующих духов.
zts2782e	Вернись к Датитусу и спроси его о трещине в небе.
zts2783e	Подношение
zts2784e	Собери материалы для Короля Духов. Его алтарь находится рядом со входом в рейд Короля Духов.
zts2785e	Алтарь Короля Духов
zts2786e	Отнеси материалы для подношения Королю Духов и положи их на алтарь в Лесу Духов.
zts2787e	Испытание Короля Духов
zts2788e	Пройди пространственно-временной камень рядом с алтарем.
zts2789e	Достойный герой
zts2790e	Отправляйся к алтарю Короля Духов, чтобы получить табличку.
zts2791e	Поля золота
zts2792e	Отправляйся в город Орлов и найди больше информации.
zts2793e	Игла в песках
zts2794e	Спроси Рорама об Игле.
zts2795e	Спроси торговца об Игле.
zts2796e	Заплати торговцу.
zts2797e	Поговори с председателем Ноем, который находится в лагере Акамура.
zts2798e	Отнеси председателю Ною черные титановые осколки.
zts2799e	Найди дерево, растущее в северной пустыне, рядом с которым закопана Игла.
zts2800e	Поиски Святой Нити
zts2801e	Поговори с Крестоносцем о Божьей воле.
zts2802e	Нить в небе
zts2803e	Отправляйся в Волю Анкеллоан.
zts2804e	Поговори с Крестоносцем шестого отряда о заброшенном храме.
zts2805e	Победи неизвестных злых духов.
zts2806e	Доложи обо всем Крестоносцу.
zts2807e	Отправляйся в Волю Анкеллоан 2.
zts2808e	В этих руинах тебе не удалось ничего найти.Попробуй продвинуться дальше.
zts2809e	Пройди через ворота, чтобы получить Нить.
zts2810e	Игла и Нить
zts2811e	Тебе удалось заполучить и Иглу, и Нить. Вернись в деревню Олорун и поговори с вождем Татором.
zts2812e	Побег из башни
zts2813e	Поговори с Пикидиром о Небесной башне.
zts2814e	Решение
zts2815e	Отправляйся к Асготи в Загрязненный лес.
zts2816e	Монстры в башне
zts2817e	Уничтожь каменные статуи и победи монстров в Загрязненном лесу.
zts2818e	Вернись к Асготи.
zts2819e	Обелиск света
zts2820e	Сходи к Датитусу на окраину Леса Духов.
zts2821e	Перенос энергии
zts2822e	Собери материалы для тотема на окраине Леса Духов.
zts2823e	Место для ритуала
zts2824e	Собери материалы для тотема.
zts2825e	Отправляйся к месту проведения ритуала.
zts2826e	Обеспечение безопасности во время ритуала
zts2827e	Защити Обелиск света во время проведения ритуала.
zts2828e	Поговори с Датитусом.
zts2829e	Сообщи Татор о тотеме.
zts2830e	Нижние уровни
zts2831e	Нейтрализуй силу зла на нижних уровнях с помощью тотема. (Открой меню Испытания Небесной башни у привратника.)
zts2832e	Сообщи Татору, что тебе удалось очистить нижние уровни от зла.
zts2833e	Поднимаясь наверх
zts2834e	Нейтрализуй силу зла на средних уровнях с помощью тотема. (Открой меню Испытания Небесной башни у привратника.)
zts2835e	Сообщи Татору, что тебе удалось очистить средние уровни от зла.
zts2836e	К вершине
zts2837e	Нейтрализуй силу зла на верхних уровнях с помощью тотема. (Открой меню Испытания Небесной башни у привратника.)
zts2838e	Сообщи Татору, что тебе удалось очистить верхние уровни от зла.
zts2839e	Ради мира во всем мире
zts2840e	Испытания героев
zts2841e	В Бесконечную Небесную башню
zts2842e	Поговори с Татором.
zts2843e	Испытание Небесной башни (Ежедневное)
zts2844e	Очистка Небесной башни (задание Бесконечной Небесной башни). Награды: очки чемпионского опыта, монета Бесконечности
zts2845e	Поговори с Татором и забери свою награду.
zts2846e	Миссия выполнена.
zts2847e	Монстры Паймона
zts2848e	Победи монстров Паймона в башне (задание Бесконечной Небесной башни). Награды: рейдовая печать Паймона, очки репутации
zts2849e	Сообщи Татору, что тебе удалось победить монстров.
zts2850e	Очистка Небесной башни (Ежедневное)
zts2851e	Победи монстров Паймона в башне (задание Бесконечной Небесной башни). Награды: рейдовая печать Паймона, очки репутации
zts2852e	Сообщи Татору, что тебе удалось победить монстров.
zts2853e	Тень Паймона
zts2854e	Победи духа Паймона. Поговори с привратником Небесной башни, если хочешь войти в рейд. Награды: лучший корм для питомцев, билет сброса Небесной башни
zts2855e	Сообщи Пикидиру, что тебе удалось победить Паймона.
zts2856e	Упорство Паймона (Ежедневное)
zts2857e	Победи духа Паймона. Поговори с привратником Небесной башни, если хочешь войти в рейд. Награда: Магический кристалл Фернон
zts2858e	Сообщи Пикидиру, что тебе удалось победить Паймона.
zts2859e	Бушующие духи
zts2860e	Пройди рейд Короля Духов и вернись к Датитусу.
zts2861e	Финальная битва
zts2862e	Запечатай трещину в небе и сообщи об этом Татору. (Открой меню Испытания Небесной башни у привратника.)
zts2863e	Конец ужасам
zts2864e	Поговори с Татором о том, что случилось.
zts2865e	Пройди испытание Бесконечной Небесной башни (задание Бесконечной Небесной башни). Награды: очки чемпионского опыта, лекарство партнера, случайная коробка Небесной башни, билет сброса Небесной башни
zts2866e	Проклятые 13
zts2867e	Пройди все 3 Хэллоуинских рейда 13 раз.
zts2868e	Проклятие мерлинга
zts2869e	Выслушай историю Уэйда.
zts2870e	Поищи самую вкусную в мире рыба.
zts2871e	О вкусах не спорят
zts2872e	Расскажи Уэйду, что тебе удалось узнать.
zts2873e	Свежая рыба? Фу!
zts2874e	Спроси Еву Энерджи, нет ли у нее еды, у которой закончился срок годности.
zts2875e	Спроси Мими Ментор, что случилось.
zts2876e	Нестерпимое зловоние
zts2877e	Исследуй дурно пахнущее место.
zts2878e	Вернись к Мими Ментор и сообщи ей, что проблема решена.
zts2879e	Мерлинг, кушать подано
zts2880e	Отнеси гнилую еду Уэйду.
zts2881e	Перехитри Арку, чтобы спасти Уинстона.
zts2882e	Воссоединение
zts2883e	Отведи Уинни к его брату.
zts2884e	Учимся ловить рыбу!
zts2885e	Отличный день для рыбалки, не правда ли? (Ежедневное)
zts2886e	Пойдем ловить рыбу!
zts2887e	Рыбалка в НосВилле (Ежедневное)
zts2888e	Порыбачим-ка в НосВилле! (Уровень 1)
zts2889e	Рыбалка в Порту Алвойс (Ежедневное)
zts2890e	Порыбачим-ка в Порту Алвойс! (Уровень 5)
zts2891e	Рыбалка в Кленовом лесу (Ежедневное)
zts2892e	Порыбачим-ка в Кленовом лесу! (Уровень 10)
zts2893e	Рыбалка в Гавани пустыни Мортаз (Ежедневное)
zts2894e	Порыбачим-ка в Гавани пустыни Мортаз! (Уровень 15)
zts2895e	Рыбалка в Тарт Хапендам (Ежедневное)
zts2896e	Порыбачим-ка в Тарт Хапендам! (Уровень 20)
zts2897e	Рыбалка в Оазисе (Ежедневное)
