zts1e	Özel saldýrý
zts1782e	[Akkor] efekti etkinken, hedefin %s alan çapýndaki rakipler bir yerde toplanýr.
zts1786e	"Kutsal Enerji" çubuðu %%%s oranýnda doldurulur.
zts1787e	"Kutsal Enerji" çubuðu %%%s oranýnda boþaltýlýr.
zts1788e	Kullanýcýnýn maksimum YP'sinin %%%s kadarýný YP olarak yeniler.
zts1789e	Kullanýcýnýn maksimum YP'sinin %%%s kadarýný YP olarak yeniler. Bu etki kullanýcýnýn kendisinde iþlemez.
zts1790e	En üst düzey becerilerin hasarý %%%s artýrýlýr.
zts1792e	Hedef kendi YP'sinin %%%s oranýndan daha azýna sahipse, "Kutsal Enerji" çubuðu %%%s dolar.
zts1793e	%s Alan içerisindeki müttefiklere her saniye [%s] etkisini saðlar.
zts1794e	%s Alan içerisindeki rakipler her 1,5 saniyede %s hasar alýr.
zts1795e	%s Alan içerisindeki rakipler her 1,5 saniyede %s acý çeker.
zts1796e	%s Alan içerisindeki müttefikler her 1,5 saniyede [%s] alýr.
zts1797e	Hedef kendi YP'sinin %%%s oranýndan daha azýna sahipse, "Kutsal Enerji" çubuðu %%%s dolar (NosMateler için geçerli deðil).
zts1799e	%%100 olasýlýkla canavarlar [%s] ve oyuncular [%s] edinir.
zts1801e	Uzmanýnýn tüm beceri puaný %s yükseldi.
zts1804e	Evcil hayvanýn eðitim tecrübesi %%%s arttý.
zts1805e	%s (Veya daha düþük) yýldýzlý evcil hayvanlarýn esansýný çýkarýrsan %%%s olasýlýkla bir tane daha alýrsýn.
zts1807e	Evcil hayvan eðitmeni uzmanýnýn tecrübe kazanýmý %%%s yükseldi.
zts1810e	%s Yýldýzlý evcil hayvaný %%%s olasýlýkla ehlileþtirir.
zts1811e	%s yýldýzlý evcil hayvanlarýn esansýný çýkarýrsan %%%s olasýlýkla bir tane daha esans alýrsýn.
