zts1e	Yeni nesne
zts21038e	Yaprak balýðý
zts21039e	Yaprak þeklindeki küçük bir balýk.[n]Tadý pek yok ama güzel görünüyor.[n]
zts21040e	Vampir balýðý
zts21041e	Güçlü bir çeneye ve keskin diþlere sahip tehlikeli bir balýk.[n]
zts21042e	Balýkçý balýðý
zts21043e	Nehirlerde yaþayan balýkçý balýðý.[n]Morizios Adasý'ndaki Orklar bu balýðýn uðursuzluk getirdiðine inanýr.[n]
zts21044e	Kutsanmýþ balýkçý balýðý
zts21045e	Hayeletlerin kutsal saydýðý balýkçý balýðý.[n]Bu kutsal balýk, diðer türdeþlerinin aksine uðursuzluk getirmez.[n]
zts21046e	Dev kurt balýðý
zts21047e	Dev bir kurt balýðý[n]Büyür, büyür, sonunda ölür.[n]
zts21048e	Nehir canavar balýðý
zts21049e	Nehirlerde görülen en saldýrgan ve yýrtýcý balýk.[n]Yakýnlaþan balýklara hemen saldýrýr.[n]
zts21050e	Aravana
zts21051e	Kýrmýzý pullu dev aravana.[n]Güzel görünümüyle herkesi kendine çeker.[n]
zts21052e	Boynuzlu mersin balýðý
zts21053e	Bu mersin balýðý sert ve sivri bir boynuza sahip.[n]Bununla kara titandan yapýlmýþ zýrhlarý bile delebilir.[n]
zts21054e	Kara lekeli mersin balýðý
zts21055e	Pullarýnda siyah noktalar olan mersin balýðý.[n]Bu mutasyon geçirmiþ olan balýk sýradan mersinlere göre daha saldýrgandýr.[n]
zts21056e	Bekçi balýðý
zts21057e	Hayaletler Ormaný'ndaki nehre bekçilik eden balýk.[n]Nehri kirletenin baþý onunla belaya girer.[n]
zts21058e	Kara aligator
zts21059e	Siyah bir deriye sahip aligator.[n]Kendini onun uzun, güçlü çenesinden koru.[n]
zts21060e	Balon balýðý
zts21061e	Düþmanlarýndan korunmak için çok sayýda dikene sahiptir.[n]Yýrtýcý balýklarý korkutmak için vücudunu þiþirir.[n]Sevimli bir görünüme sahiptir.[n]
zts21062e	Kýrmýzý balon balýðý
zts21063e	Kýrmýzý pullu balon balýðý.[n]Zehri sýradan balon balýklarýna göre daha güçlüdür.[n]
zts21064e	Moli balýðý
zts21065e	Güzel kuyruyuðundan dolayý sevilen bir süs balýðýdýr.[n]
zts21066e	Kýrmýzý deniz yýldýzý
zts21067e	Denizin her yerinde bulunabilen sýradan deniz yýldýzý.[n]Kozmetik ürünler imalatýnda kullanýlýr.[n]
zts21068e	Mavi deniz yýldýzý
zts21069e	Kýrmýzý deniz yýldýzýnýn mutasyon geçirmiþ hali.[n]Bu nedenle daha nadir görülür.[n]
zts21070e	Kýrmýzý yarasa deniz yýldýzý
zts21071e	Kollarý sýradan deniz yýldýzýndan daha kýsadýr.[n]Yenilebilir.[n]
zts21072e	Mavi yarasa deniz yýldýzý
zts21073e	Sýradan yarasa deniz yýldýzýnýn mavi türü.[n]Kýrmýzý yarasa deniz yýldýzýndan daha lezzetlidir.[n]
zts21074e	Çakýrkeyif kömür balýðý
zts21075e	Bedeninde alkol üretir.[n]Bu nedenle genellikle çakýrkeyifken tüketilir.[n]
zts21076e	Mürekkep balýðý
zts21077e	Genellikle tropik denizlerde görülür.[n]Iþýða gider, bu nedenle balýkçýlar onu ýþýkla çeker.[n]Göründüðünden daha lezzetlidir.[n]
zts21078e	Beta balýðý
zts21079e	Ýpek gibi bir kuyruk bu balýðýn en belirgin özelliðidir.[n]Çok sevilen bir süs balýðýdýr.[n]
zts21080e	Etli kömür balýðý
zts21081e	Tadý ete benzer ve avlamasý kolaydýr.[n]Etinin dokusu "orijinalinden" çok daha farklý olduðu için sadece özel günlerde yenir.[n]
zts21082e	Kýrmýzý kömür balýðý
zts21083e	Kýrmýzý pullara sahip kömür balýðý.[n]Sýradan bir kömür balýðýndan daha büyüktür ve eti daha aromatiktir.[n]
zts21084e	Derin deniz kömür balýðý
zts21085e	Sadece en derin denizlerde görülür.[n]Net þekilde en leziz kömür balýðýdýr.[n]
zts21086e	Tropik kömür balýðý
zts21087e	Ton balýðý
zts21088e	Derin deniz balýðýdýr.[n]Lezzetiyle meþhurdur.[n]Ancak onu tutmasý çok zordur.[n]
zts21089e	Kaya deniz kaplumbaðasý
zts21090e	Kabuðu kaya kadar serttir.[n]Kýzartmasý çok lezzetli olur.[n]
zts21091e	Mor renkli kaya deniz kaplumbaðasý
zts21092e	Mor renkli bir kabuða sahip kaya deniz kaplumbaðasý.[n]
zts21093e	Megalodon
zts21094e	Köpek balýklarýnýn atasýdýr.[n]Aslýnda soyu tükenmiþ olduðu var sayýlýr ancak hala bir kaç örneði vardýr.[n]
zts21095e	Çikolata köpek balýðý
zts21096e	Siyah derili bir köpek balýðý.[n]Ýsmi seni aldatmasýn, bu balýk hiç de tatlý deðil.[n]
zts21097e	Frigus
zts21098e	Friguslar en saldýrgan katil köpek balýklarýdýr.[n]Tecrübeli balýkçýlar bile bu acýmasýz hayvanlara kurban gider.[n]
zts21099e	Kraken
zts21100e	Eski destanlar ve efsanelerde adý geçen dev bir ahtapot.[n]Çok saldýrgan olarak geçer ama aslýnda sadece meraklýdýr.[n]
zts21101e	Deniz fosili
zts21102e	En eski koelakantlardan biridir.[n]Dev gibidir, büyür, büyür, sonunda ölür.[n]
zts21103e	Mavi koelakant
zts21104e	Mavi pullu koelakant.[n]Okyanusun derinliklerinde görülür.[n]
zts21105e	Ekmek balýðý
zts21106e	Bu balýk lav bölgesinde yaþar.[n]Tadý kýzarmýþ ekmeðe benzer.[n]
zts21107e	Baharatlý ekmek balýðý
zts21108e	Tadý kýzarmýþ acýlý ekmeðe benzer.[n]Baharatý sevenler bu yiyeceðe bayýlýr.[n]
zts21109e	Kömürleþmiþ ekmek balýðý
zts21110e	Yaþadýðý bölgedeki lavlardan dolayý kapkara olan bir balýk.[n]Yenilecek gibi deðil ama mürekkep üretiminde kullanýlýr.[n]
zts21111e	Lav kýrlangýç balýðý
zts21112e	Lavlarda yaþayan kýrlangýç balýðý.[n]Ateþ kýrmýzýsý bir yüzgeci vardýr.[n]
zts21113e	Mavi alev kýrlangýç balýðý
zts21114e	Mavi aleve benzeyen bir yüzgece sahip kýrlangýç balýðý.[n]Yaþý ilerledikçe yüzgeci kýrmýzýdan maviye döner.[n]
zts21115e	Kara lav kýrlangýç balýðý
zts21116e	Kara pullara sahip lav kýrlangýç balýðý.[n]Lav kýrlangýç balýðý pullarýný istediði zaman siyaha boyayabilir.[n]
zts21117e	Lav köpek balýðý
zts21118e	Lavda yaþayan yýrtýcý bir balýk.[n]Bu dev köpek balýðý çok dayanýklý pullara, jilet gibi keskin diþlere ve güçlü bir çeneye sahiptir.[n]
zts21119e	Mavi lav köpek balýðý
zts21120e	Pullarý zamanla maviye dönüþen bir lav köpek balýðý.[n]Sadece yaþlý köpek balýklarý mavi yüzgece sahip olduðu için ve köpek balýklarý kendi aralarýnda daimi bir savaþ verdikleri için bu deniz sakinleri çok enderdir.[n]
zts21121e	Lav nal yengeci
zts21122e	Lavda yaþayan nal yengeci.[n]Kalýn kabuðu onlarý düþmanlardan korur.[n]
zts21123e	Kýrmýzý lav nal yengeci
zts21124e	Kýrmýzý kabuða sahip nal yengeci.[n]Kýrmýzý kabuðu sayesinde lavda düþmanlarýndan saklanabilir.[n]
zts21125e	Lav deniz salyangozu
zts21126e	Lavda yaþayan deniz salyangozu.[n]Tehlikeli durumlarda kalýn kabuðuna çekilir.[n]
zts21127e	Kýrmýzý lav deniz salyangozu
zts21128e	Kýrmýzý kabuða sahip deniz salyangozu.[n]Kýrmýzý kabuðu sayesinde lavda düþmanlarýndan saklanabilir.[n]
zts21129e	Alev dikenli vatoz
zts21130e	Kýrmýzý kuyruklu dev vatoz.[n]Kuyruðunda yüksek ateþ yapan çok yakýcý bir zehir bulunur.[n]
zts21131e	Alev dikenli mavi vatoz
zts21132e	Mavi kuyruklu dev vatoz.[n]Zehri, sýradan alev dikenli vatozun zehrinden daha etkilidir.[n]
zts21133e	Lav canavar balýðý
zts21134e	Tüm yýrtýcý balýklarýn en tehlikelisi lavlarda yaþar.[n]Kabuðu yaþlandýkça daha da sertleþir.[n]
zts21135e	Ruh ýþýltýsý rastgele kutusu
zts21136e	Bu sandýk uzman kartý geliþtirmesi için çeþitli malzemeler içeriyor.[n]Þu eþyalardan birini almak için kutuyu aç:[n]dolunay kristali[n]melek kanadý[n]ýþýldayan yeþil ruh[n]ýþýldayan kýrmýzý ruh[n]ýþýldayan mavi ruh[n]
zts21137e	Kusursuzluðun deðerli taþ rastgele kutusu
zts21138e	Bu sandýk kusursuzluðun çeþitli taþlarýný içerir.[n]Þu eþyalardan birini almak için kutuyu aç:[n]kusursuzluðun yakutu[n]kusursuzluðun safiri[n]kusursuzluðun obsidyeni[n]kusursuzluðun topazý[n]
zts21139e	Kusursuzluðun küçük deðerli taþ rastgele kutusu
zts21140e	Bu sandýk kusursuzluðun çeþitli küçük taþlarýný içerir.[n]Þu eþyalardan birini almak için kutuyu aç:[n]kusursuzluðun küçük yakutu[n]kusursuzluðun küçük safiri[n]kusursuzluðun küçük obsidyeni[n]kusursuzluðun küçük topazý[n]
zts21141e	Usta Balýkçý
zts21142e	Bu unvaný tüm balýk tutma yerlerinde her çeþit balýðý tuttuðun zaman alýrsýn.[n]
zts21143e	Gölet Gezgini
zts21144e	Bu unvaný 1 seviyeli tüm balýk tutma yerlerinde (NosVille, Maden Bozkýrý, Güneþli Çayýrlar) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21145e	Sýrtüstü Yüzücü
zts21146e	Bu unvaný 5 seviyeli tüm balýk tutma yerlerinde (Alveus Limaný Meydaný, Alveus Pazarý) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21147e	Balýkçý Temel
zts21148e	Bu unvaný 10 seviyeli Akçaaðaç Ormaný'ndaki balýk tutma yerinde tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21149e	Okyanus Balýkçýsý
zts21150e	Bu unvaný 15 seviyeli tüm balýk tutma yerlerinde (Mortaz Çölü Limaný) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21151e	Çikolata Köpek Bl.
zts21152e	Bu unvaný 20 seviyeli tüm balýk tutma yerlerinde (Tart Hapendam) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21153e	Kuru Balýk
zts21154e	Bu unvaný 25 seviyeli tüm balýk tutma yerlerinde (Akamur Kampý, Vaha) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21155e	Kraken
zts21156e	Bu unvaný 30 seviyeli tüm balýk tutma yerlerinde (Morizios Limaný, Kuzey Sahili, Güney Sahili) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21157e	Aligator
zts21158e	Bu unvaný 35 seviyeli tüm balýk tutma yerlerinde (Orman Yolu, Orman Kayalýðý, Olorun Çiftliði) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21159e	Kokan Balýk
zts21160e	Bu unvaný 40 seviyeli tüm balýk tutma yerlerinde (Salgýn Ormaný) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21161e	Deniz Kýzý
zts21162e	Bu unvaný 45 seviyeli tüm balýk tutma yerlerinde (Hayaletler Ormaný Kenarý, Hayaletler Ormaný) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21163e	Cillop Balýk
zts21164e	Bu unvaný 50 seviyeli tüm balýk tutma yerlerinde (Valakus'un Pençesi, Feniks Kanatlarý, Katol'un Caddesi) tüm balýk çeþitlerini tuttuðun zaman alýrsýn.[n]
zts21165e	Yaprak balýðý
zts21166e	Uzman kartýnýn görünümünü deðiþtirmek için bu görünümü kulan.[n]Su Adam'dan profesyonel balýkçýya - kariyer sýçrayýþý diye buna derim ben![n]Uzman kartýný bir kart tutucusuna koyduðunda görünüm kaybolur.
zts21167e	Ýksirli ton balýðý
zts21168e	Bu ton balýðý suya dikkatsizce atýlmýþ büyülü iksirlerden bolca içmiþ.[n]Ancak bunlarý hazmedemediði için midesinde artýklarý kalmýþ.[n]
zts21169e	Malzemeci yýlan balýðý
zts21170e	Büyülü malzeme yemeye bayýlan bir yýlan balýðý.[n]Ancak bunlarý hazmedemediði için malzemeler hala midesinde.[n]
zts21171e	Uzunlarýn Uzunu
zts21172e	Walter'in "büyük balýk avý" görevinin tamamlanmasýnda verilen unvan.[n]Yeterince yüksek seviyeli canavar alt ederek daha çok güçlenirsin.[n]
zts21173e	Yeþil pullu pirana.[n]Sýcaðý sever ve tatlý suda yaþar.[n]Büyüklüðü: 2,5-20cm[n]
zts21174e	Gümüþ pullu pirana.[n]Sýradan bir tatlý su balýðý.[n]Büyüklüðü: 2,5-20cm[n]
zts21175e	Mavi pullu pirana.[n]En çok temiz tatlý suyu sever.[n]Büyüklüðü: 2,5-20cm[n]
zts21176e	Kýrmýzý pullu güneþ levreði.[n]Genellikle sýcak tatlý suda rastlanýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21177e	Yeþil pullu güneþ levreði.[n]Genellikle akýntýnýn tersine yüzer.[n]Büyüklüðü: 2,5-20cm[n]
zts21178e	Gözlük takan tuhaf bir sazan.[n]Belki de balýklar tahminizden daha kültürlüdür.[n]Büyüklüðü: 2,5-20cm[n]
zts21179e	Kýrmýzý pullarý dýþýnda sýradan bir gözlüklü sazana benziyor.[n]Büyüklüðü: 2,5-20cm[n]
zts21180e	Tatlý suda yaþayan kýrmýzý pullu bir Lepistes.[n]En büyük özelliði eteðe benzeyen kuyruðudur.[n]Büyüklüðü: 2,5-20cm[n]
zts21181e	Güçlü çene kemiklerine sahip etçil bir balýk.[n]Lezzetlidir![n]Büyüklüðü: 30-70cm[n]
zts21182e	Kýrmýzý pullu yýlanbaþ balýðý.[n]Genellikle tatlý suda rastlanýr.[n]Büyüklüðü: 30-70cm[n]
zts21183e	Karný yaðlý lezzetli bir sazan.[n]Büyüklüðü: 2,5-20cm[n]
zts21184e	Yaðlý, sarý bir sazan.[n]Tadý nedense yaðlý.[n]Büyüklüðü: 2,5-20cm[n]
zts21185e	Ýnce, uzun bir balýk.[n]Tadý uskumru turnasýna benziyor.[n]Büyüklüðü: 30-70cm[n]
zts21186e	Kan kýrmýzýsý pullarý çok dikkat çekicidir.[n]Süs balýðýdýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21187e	Gümüþ pullu bir vatoz.[n]Pýrýldayan pullarý çok beðenilir.[n]Büyüklüðü: 2,5-20cm[n]
zts21188e	Bir kurt balýðýna benziyor.[n]Genelde süs balýðý olarak tutulur.[n]Büyüklüðü: 2,5-20cm[n]
zts21189e	Sýradan somon.[n]Yumurtlama için doðduðu sulara geri döner.[n]Büyüklüðü: 30-70cm[n]
zts21190e	Kýrmýzý pullu somon.[n]Sýcak sularý sever. Eti yumuþak ve lezzetlidir.[n]Büyüklüðü: 30-70cm[n]
zts21191e	Pis sularý sever.[n]Büyük ölçüde ölü balýklarla beslenir.[n]Büyüklüðü: 30-70cm[n]
zts21192e	Temiz nehirlerin dibinde yaþar.[n]Kumda bulduðu canlýlarla beslenir.[n]Büyüklüðü: 30-70cm[n]
zts21193e	Sadece aþýrý sýcak bölgelerde görülür.[n]Çok saldýrgan ve vahþidir.[n]Büyüklüðü: 30-70cm[n]
zts21194e	Özellikle býyýklarý göze çarpar.[n]Tatlý sularda avlanan saldýrgan ve yýrtýcý bir balýktýr.[n]Büyüklüðü: 30-70cm[n]
zts21195e	Yeþil pullu bir kurt balýðý.[n]Sadece en temiz sularda görülür.[n]Büyüklüðü: 30-70cm[n]
zts21196e	Suyun dýþýnda da nefes alabilir.[n]Ancak su olmadan yaþayamaz.[n]Büyüklüðü: 30-70cm[n]
zts21197e	Yeþil pullu bir nehir kaya balýðý.[n]Sadece temiz suya sahip tropik bölgelerde görülür.[n]Büyüklüðü: 30-70cm[n]
zts21198e	Tatlý suda görülen özel bir vatoz.[n]Kuyruðu zehirli deðildir.[n]Büyüklüðü: 30-70cm[n]
zts21199e	Adý üzerinde, sýrtý sarý lekelerle bezelidir.[n]Büyüklüðü: 30-70cm[n]
zts21200e	Sýradan bir bataklýk kaplumbaðasý.[n]Söylenenlere göre eti çok saðlýklýymýþ.[n]Büyüklüðü: 30-70cm[n]
zts21201e	Kabuðunda mavi mavi noktalar bulunur.[n]Sýradan bataklýk kaplumbaðalarýndan daha uzun yaþar.[n]Büyüklüðü: 30-70cm[n]
zts21202e	Yaprak þeklindeki küçük bir balýk.[n]Tadý pek yok ama güzel görünüyor.[n]Büyüklüðü: 2,5-20cm[n]
zts21203e	Güçlü bir çeneye ve keskin diþlere sahip tehlikeli bir balýk.[n]Büyüklüðü: 30-70cm[n]
zts21204e	Nehirlerde yaþayan balýkçý balýðý.[n]Morizios Adasý'ndaki Orklar bu balýðýn uðursuzluk getirdiðine inanýr.[n]Büyüklüðü: 150-400cm[n]
zts21205e	Hayeletlerin kutsal saydýðý balýkçý balýðý.[n]Bu kutsal balýk, diðer türdeþlerinin aksine uðursuzluk getirmez.[n]Büyüklüðü: 150-400cm[n]
zts21206e	Dev bir kurt balýðý[n]Büyür, büyür, sonunda ölür.[n]Büyüklüðü: 150-400cm[n]
zts21207e	Nehirlerde görülen en saldýrgan ve yýrtýcý balýk.[n]Yakýnlaþan balýklara hemen saldýrýr.[n]Büyüklüðü: 150-400cm[n]
zts21208e	Kýrmýzý pullu dev aravana.[n]Güzel görünümüyle herkesi kendine çeker.[n]Büyüklüðü: 150-400cm[n]
zts21209e	Bu mersin balýðý sert ve sivri bir boynuza sahip.[n]Bununla kara titandan yapýlmýþ zýrhlarý bile delebilir.[n]Büyüklüðü: 150-400cm[n]
zts21210e	Pullarýnda siyah noktalar olan mersin balýðý.[n]Bu mutasyon geçirmiþ olan balýk sýradan mersinlere göre daha saldýrgandýr.[n]Büyüklüðü: 150-400cm[n]
zts21211e	Hayaletler Ormaný'ndaki nehre bekçilik eden balýk.[n]Nehri kirletenin baþý onunla belaya girer.[n]Büyüklüðü: 150-400cm[n]
zts21212e	Siyah bir deriye sahip aligator.[n]Kendini onun uzun, güçlü çenesinden koru.[n]Büyüklüðü: 150-400cm[n]
zts21213e	Düþmanlarýndan korunmak için çok sayýda dikene sahiptir.[n]Yýrtýcý balýklarý korkutmak için vücudunu þiþirir.[n]Sevimli bir görünüme sahiptir.[n]Büyüklüðü: 2,5-20cm[n]
zts21214e	Kýrmýzý pullu balon balýðý.[n]Zehri sýradan balon balýklarýna göre daha güçlüdür.[n]Büyüklüðü: 2,5-20cm[n]
zts21215e	Güzel kuyruyuðundan dolayý sevilen bir süs balýðýdýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21216e	Denizin her yerinde bulunabilen sýradan deniz yýldýzý.[n]Kozmetik ürünler imalatýnda kullanýlýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21217e	Kýrmýzý deniz yýldýzýnýn mutasyon geçirmiþ hali.[n]Bu nedenle daha nadir görülür.[n]Büyüklüðü: 2,5-20cm[n]
zts21218e	Kollarý sýradan deniz yýldýzýndan daha kýsadýr.[n]Yenilebilir.[n]Büyüklüðü: 2,5-20cm[n]
zts21219e	Sýradan yarasa deniz yýldýzýnýn mavi türü.[n]Kýrmýzý yarasa deniz yýldýzýndan daha lezzetlidir.[n]Büyüklüðü: 2,5-20cm[n]
zts21220e	Bedeninde alkol üretir.[n]Bu nedenle genellikle çakýrkeyifken tüketilir.[n]Büyüklüðü: 2,5-20cm[n]
zts21221e	Genellikle tropik denizlerde görülür.[n]Iþýða gider, bu nedenle balýkçýlar onu ýþýkla çeker.[n]Göründüðünden daha lezzetlidir.[n]Büyüklüðü: 2,5-20cm[n]
zts21222e	Ýpek gibi bir kuyruk bu balýðýn en belirgin özelliðidir.[n]Çok sevilen bir süs balýðýdýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21223e	Tadý ete benzer ve avlamasý kolaydýr.[n]Etinin dokusu "orijinalinden" çok daha farklý olduðu için sadece özel günlerde yenir.[n]Büyüklüðü: 30-70cm[n]
zts21224e	Kýrmýzý pullara sahip kömür balýðý.[n]Sýradan bir kömür balýðýndan daha büyüktür ve eti daha aromatiktir.[n]Büyüklüðü: 30-70cm[n]
zts21225e	Sadece en derin denizlerde görülür.[n]Net þekilde en leziz kömür balýðýdýr.[n]Büyüklüðü: 30-70cm[n]
zts21226e	Derin deniz balýðýdýr.[n]Lezzetiyle meþhurdur.[n]Ancak onu tutmasý çok zordur.[n]Büyüklüðü: 30-70cm[n]
zts21227e	Kabuðu kaya kadar serttir.[n]Kýzartmasý çok lezzetli olur.[n]Büyüklüðü: 30-70cm[n]
zts21228e	Mor renkli bir kabuða sahip kaya deniz kaplumbaðasý.[n]Büyüklüðü: 30-70cm[n]
zts21229e	Köpek balýklarýnýn atasýdýr.[n]Aslýnda soyu tükenmiþ olduðu var sayýlýr ancak hala bir kaç örneði vardýr.[n]Büyüklüðü: 150-400cm[n]
zts21230e	Siyah derili bir köpek balýðý.[n]Ýsmi seni aldatmasýn, bu balýk hiç de tatlý deðil.[n]Büyüklüðü: 150-400cm[n]
zts21231e	Friguslar en saldýrgan katil köpek balýklarýdýr.[n]Tecrübeli balýkçýlar bile bu acýmasýz hayvanlara kurban gider.[n]Büyüklüðü: 150-400cm[n]
zts21232e	Eski destanlar ve efsanelerde adý geçen dev bir ahtapot.[n]Çok saldýrgan olarak geçer ama aslýnda sadece meraklýdýr.[n]Büyüklüðü: 150-400cm[n]
zts21233e	En eski koelakantlardan biridir.[n]Dev gibidir, büyür, büyür, sonunda ölür.[n]Büyüklüðü: 150-400cm[n]
zts21234e	Mavi pullu koelakant.[n]Okyanusun derinliklerinde görülür.[n]Büyüklüðü: 150-400cm[n]
zts21235e	Bu balýk lav bölgesinde yaþar.[n]Tadý kýzarmýþ ekmeðe benzer.[n]Büyüklüðü: 2,5-20cm[n]
zts21236e	Tadý kýzarmýþ acýlý ekmeðe benzer.[n]Baharatý sevenler bu yiyeceðe bayýlýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21237e	Yaþadýðý bölgedeki lavlardan dolayý kapkara olan bir balýk.[n]Yenilecek gibi deðil ama mürekkep üretiminde kullanýlýr.[n]Büyüklüðü: 2,5-20cm[n]
zts21238e	Lavlarda yaþayan kýrlangýç balýðý.[n]Ateþ kýrmýzýsý bir yüzgeci vardýr.[n]Büyüklüðü: 30-70cm[n]
zts21239e	Mavi aleve benzeyen bir yüzgece sahip kýrlangýç balýðý.[n]Yaþý ilerledikçe yüzgeci kýrmýzýdan maviye döner.[n]Büyüklüðü: 30-70cm[n]
zts21240e	Kara pullara sahip lav kýrlangýç balýðý.[n]Lav kýrlangýç balýðý pullarýný istediði zaman siyaha boyayabilir.[n]Büyüklüðü: 30-70cm[n]
zts21241e	Lavda yaþayan yýrtýcý bir balýk.[n]Bu dev köpek balýðý çok dayanýklý pullara, jilet gibi keskin diþlere ve güçlü bir çeneye sahiptir.[n]Büyüklüðü: 30-70cm[n]
zts21242e	Pullarý zamanla maviye dönüþen bir lav köpek balýðý.[n]Sadece yaþlý köpek balýklarý mavi yüzgece sahip olduðu için ve köpek balýklarý kendi aralarýnda daimi bir savaþ verdikleri için bu deniz sakinleri çok enderdir.[n]Büyüklüðü: 30-70cm[n]
zts21243e	Lavda yaþayan nal yengeci.[n]Kalýn kabuðu onlarý düþmanlardan korur.[n]Büyüklüðü: 30-70cm[n]
zts21244e	Kýrmýzý kabuða sahip nal yengeci.[n]Kýrmýzý kabuðu sayesinde lavda düþmanlarýndan saklanabilir.[n]Büyüklüðü: 30-70cm[n]
zts21245e	Lavda yaþayan deniz salyangozu.[n]Tehlikeli durumlarda kalýn kabuðuna çekilir.[n]Büyüklüðü: 30-70cm[n]
zts21246e	Kýrmýzý kabuða sahip nal yengeci.[n]Kýrmýzý kabuðu sayesinde lavda düþmanlarýndan saklanabilir.[n]Büyüklüðü: 30-70cm[n]
zts21247e	QKýrmýzý kuyruklu dev vatoz.[n]Kuyruðunda yüksek ateþ yapan çok yakýcý bir zehir bulunur.[n]Büyüklüðü: 150-400cm[n]
zts21248e	Mavi kuyruklu dev vatoz.[n]Zehri, sýradan alev dikenli vatozun zehrinden daha etkilidir.[n]Büyüklüðü: 150-400cm[n]
zts21249e	Tüm yýrtýcý balýklarýn en tehlikelisi lavlarda yaþar.[n]Kabuðu yaþlandýkça daha da sertleþir.[n]Büyüklüðü: 150-400cm[n]
zts21250e	Bilinmeyen balýk
zts21251e	Böyle bir balýk daha önce hiç tutulmadý.[n]
zts21256e	Balýk tutmak için kullanýlýr.[n]Balýk tutmaya baþladýðýnda harcanmýþ olur.[n]
zts21257e	Profesyonel balýkçýnýn el kitabý
zts21258e	Bu kitabý tüm balýk tutma yerlerinde (1-50 basamaklarý arasýndaki) tüm balýklarý tutan balýkçýlar kazanýr.[n]Bu eþyayý þu bonuslarý kazanmak için kullan:[n][Efekt][n]Tüm saldýrýlar 50 yükselir.[n]Tüm savunmalar 50 yükselir.[n][Not][n]Bu eþya sadece seviye 80 ve üstü karakterler tarafýndan kullanýlabilir.[n][n]
zts21259e	Aðaç ev
zts21260e	Minik Ülke'ne bir aðaç ev kur![n]Bu yapý Mini Ülke'de kurulduktan sonra terasý çeþitli eþyalarla dekore edilebilir.[n]Mini Ülke'ne 25 kiþi girebilir.[n]
zts21261e	Cüce deposu (30 gün)
zts21262e	Süslü bir sürahi þekline sahip 30 günlük bir depo inþa et! [n]98 yer[n][Not][n]Ayný hesap içerisindeki karakterlerin eþya deðiþtirebilmesi ve korumasý içindir.[n](Ýki karakterin de deposunun bulunmasý gerekir.)[n]Karakter baþýna sadece bir depo kurulabilir.[n]
zts21263e	Cüce deposu (sýnýrsýz)
zts21264e	Süslü bir sürahi þekline sahip bir depo inþa et! [n]98 yer[n][Not][n]Ayný hesap içerisindeki karakterlerin eþya deðiþtirebilmesi ve korumasý içindir.[n](Ýki karakterin de deposunun bulunmasý gerekir.)[n]Karakter baþýna sadece bir depo kurulabilir.[n]
zts21265e	Yýlbaþý aðacý
zts21266e	Mini Ülke'nin bahçe dekorasyonunda kullanýlabilecek süslü bir yýlbaþý aðacý.[n]
zts21267e	Kardan adam ailesi
zts21268e	Mini Ülke'nin bahçe dekorasyonunda kullanýlabilecek sevimli bir kardan adam ailesi.[n]
zts21269e	Yýlbaþý aðacý yüklü araba
zts21270e	Mini Ülke'nin bahçe dekorasyonunda kullanýlabilecek yýlbaþý aðaçlarýyla yüklü bir araba.[n]
zts21273e	Aðaç ev paketi
zts21274e	Paketi açarken þu eþyayý alýrsýn:[n]1x aðaç ev[n]
zts21275e	Yýlbaþý aðacý paketi
zts21276e	Paketi açarken þu eþyayý alýrsýn:[n]1x yýlbaþý aðacý[n]
zts21277e	Kardan adam ailesi paketi
zts21278e	Paketi açarken þu eþyayý alýrsýn:[n]1x kardan adam ailesi[n]
zts21279e	"Yýlbaþý aðacý yüklü araba" paketi
zts21280e	Paketi açarken þu eþyayý alýrsýn:[n]1x yýlbaþý aðacý yüklü araba[n]
zts21281e	Cüce deposu paketi (30 gün)
zts21282e	Paketi açýnca þu eþyayý alýrsýn:[n]1x cüce deposu (30 gün)[n]
zts21283e	Cüce deposu paketi (sýnýrsýz)
zts21284e	Paketi açýnca þu eþyayý alýrsýn:[n]1x cüce deposu (sýnýrsýz)[n]
zts21285e	"Bayram dekorasyonu 2020" paketi (30 gün)
zts21286e	Paketi açýnca þu eþyalarý alýrsýn:[n]1x aðaç ev[n]1x cüce deposu (30 gün)[n]1x yýlbaþý aðacý[n]1x kardan adam ailesi[n]1x yýlbaþý aðacý yüklü araba[n]
zts21287e	"Bayram dekorasyonu 2020" paketi (sýnýrsýz)
