zts1e	General Effect
zts20631e	Magic Armour +3
zts20632e	Magic Armour +4
zts20633e	Magic Armour +5
zts20634e	Magic Armour +6
zts20635e	Magic Armour +7
zts20636e	Magic Armour +8
zts20637e	Magic Armour +9
zts20638e	Curse Power
zts20639e	Your elements are increased when you are affected by negative effects.
zts20640e	Curse Power +1
zts20641e	Curse Power +2
zts20642e	Curse Power +3
zts20643e	Curse Power +4
zts20644e	Curse Power +5
zts20645e	Curse Power +6
zts20646e	Curse Power +7
zts20647e	Curse Power +8
zts20648e	Curse Power +9
zts20649e	Snakebite
zts20650e	Those who understand how to live in harmony with nature can embrace the power of the snake loa.
zts20651e	Snakebite +1
zts20652e	Snakebite +2
zts20653e	Snakebite +3
zts20654e	Snakebite +4
zts20655e	Snakebite +5
zts20656e	Snakebite +6
zts20657e	Snakebite +7
zts20658e	Snakebite +8
zts20659e	Snakebite +9
zts20660e	You burn with Apocalypse Power.
zts20661e	You reflect damage with Reflection Power.
zts20662e	The elements are weakened by Wolf Power.
zts20663e	Strengthens your attacks with Kickback Power.
zts20664e	Fire resistance is reduced by Explosion Power.
zts20665e	Agility Power (Level 1)
zts20666e	You are more agile and move faster thanks to Agility Power.
zts20667e	Agility Power (Level 2)
zts20668e	Agility Power (Level 3)
zts20669e	Agility Power (Level 4)
zts20670e	Agility Power (Level 5)
zts20671e	Lightning Power reduces the light element with electric shocks.
zts20672e	Curse Power makes you sluggish.
zts20673e	Defence is reduced by Bear Power.
zts20674e	Deals Frost Power damage to opponents around you.
zts20675e	Orc Heroes Energy
zts20676e	You have the power of the orc heroes and deal even more damage to monsters.
zts20677e	Bully Bushtail's New Year's Blessing
zts20678e	Groggy
zts20679e	You feel dazed after being hit by a ball.
zts20680e	Mr Trickle's Blessing
zts20681e	Increases attack and defence.
zts20682e	Champion Protection
zts20683e	You lose no champion experience if you die.
zts20684e	Turtle Shell
zts20685e	Dizzy
zts20686e	You cannot move for a certain amount of time as you are dizzy from your copter ride.
zts20687e	Lupine Vision
zts20688e	The Frost Wolf's fantastic eyesight allows you to identify your opponents' weak spots and attack accordingly.
zts20689e	You receive this buff from the Turtlecopter.
zts20690e	Barbed Armour
zts20691e	This armour's aura inflicts damage on attackers.
zts20692e	Improved Barbed Armour
zts20693e	This armour's strong aura inflicts damage on attackers.
zts20694e	Perfect Barbed Armour
zts20695e	This armour's powerful aura inflicts damage on attackers.
zts20696e	Improved Suit of Armour
zts20697e	A strong yet heavy suit of armour.
zts20698e	Self-Healing
zts20699e	Your wounds close up.
zts20700e	Feint
zts20701e	You concentrate solely on evasion.
zts20702e	Adulterated Blood of the Immortal
zts20703e	The blood of an immortal demon lends you a little new energy.
zts20704e	Blood of the Immortal
zts20705e	The blood of an immortal demon lends you renewed energy.
zts20706e	Concentrated Blood of the Immortal
zts20707e	The blood of an immortal demon lends you an abundance of renewed energy.
zts20708e	Curse of Blindness
zts20709e	Evil forces render you blind.
zts20710e	Curse of Dotage
zts20711e	Your body is altered by Paimon's curse. Your attack power and all your defences are reduced.
zts20712e	Spirit King's Weak Blessing
zts20713e	Your elements and elemental resistances are increased.
zts20714e	Beast King's Fighting Spirit
zts20715e	The Beast King's Fighting Spirit increases your attack power and allows ranged attacks.
zts20716e	Owlbear's Howl
zts20717e	The Owlbear's howling increases morale and strengthens melee attacks.
zts20718e	Dark Elf's Command
zts20719e	The dark elf lends you support and strengthens your ranged attacks.
zts20720e	Moss Gloop Energy
zts20721e	Moss Gloop Energy increases your magic attacks and defences.
zts20722e	Little Death Lancer's Blessing
zts20723e	Sealed Rift in the Sky
zts20724e	Paimon is unable to summon any underlings for a period of time. His attack power is increased to compensate.
zts20725e	Spooky Spectacle
zts20726e	Increases attack power and all defences.
zts20727e	Glacial Cage
zts20728e	You're unable to move while you're locked inside the cage.
zts20729e	Custodian
zts20730e	Your NosMates are protected from damage.
zts20731e	Soul Protection
zts20732e	You won't lose any HP while 'Soul Protection' is active.
zts20733e	Heart of the Beast
zts20734e	The Heart of the Beast increases your attack power and all your defences.
zts20735e	Bushtail Blessing
zts20737e	Cat Blessing
zts20739e	Blessing of Light
zts20741e	Blessing of Shadow
zts20743e	Blessing of Water
zts20745e	Blessing of Fire
zts20747e	Swordsman's Blessing
zts20748e	Strengthens melee attacks.
zts20749e	Mage's Blessing
zts20750e	Strengthens magic attacks.
zts20751e	Archer's Blessing
zts20752e	Strengthens ranged attacks.
zts20753e	Ninja Blessing
zts20755e	Blessing of Evolution
zts20757e	Rainbow Blessing
zts20759e	Robot Blessing
zts20760e	Increases chance of critical hits.
zts20761e	Pirate Blessing
zts20762e	Increases critical damage.
zts20763e	Spooky Blessing
zts20765e	Ice Cold Blessing
zts20767e	Wolf's Blessing
zts20769e	Jelly Blessing
zts20771e	Celestial Spire Blessing
zts20773e	Beast Blessing
zts20775e	Spirit Blessing
zts20778e	Spirit King's Blessing
zts20780e	Beast King's Blessing
zts20782e	Paimon's Shadow Energy
zts20783e	The power of Paimon's shadow penetrates you and conjures an elite Shadow Knight.
zts20784e	Paimon's Shadow Energy +1
zts20785e	Paimon's Shadow Energy +2
zts20786e	Paimon's Shadow Energy +3
zts20787e	Paimon's Shadow Energy +4
zts20788e	Paimon's Shadow Energy +5
zts20789e	Paimon's Shadow Energy +6
zts20790e	Paimon's Shadow Energy +7
zts20791e	Paimon's Shadow Energy +8
zts20792e	Paimon's Shadow Energy +9
zts20793e	Apocalypse Power (Level 6)
zts20794e	Reflection Power (Level 6)
zts20795e	Wolf Power (Level 6)
zts20796e	Kickback Power (Level 6)
zts20797e	Explosion Power (Level 6)
zts20798e	Agility Power (Level 6)
zts20799e	Lightning Power (Level 6)
zts20800e	Curse Power (Level 6)
zts20801e	Bear Power (Level 6)
zts20802e	Frost Power (Level 6)
zts20803e	Mysterious Healing
zts20804e	Increases the max. HP and defences of NosMates who are currently active.
zts20805e	Increases the max. MP and attack power of NosMates who are currently active.
zts20806e	Increases your max. HP and defences, as well as those of your NosMates who are currently active.
zts20807e	Increases your max. MP and attack power, as well as those of your NosMates who are currently active.
zts20808e	If a monster is defeated, your NosMates' HP will be restored.
zts20809e	Your fighting capabilities are increased by the power of fire.
zts20810e	When you defeat a monster, Mysterious Healing will be cast on you.
zts20811e	If one of your NosMates is defeated, your HP will be restored.
zts20812e	If one of your NosMates is defeated, your HP as well as the HP of all your NosMates will be restored.
zts20813e	If you defeat a monster, Spooky Spectacle will be cast on you.
zts20814e	If you're defeated, Glacial Cage will be cast on all nearby opponents.
zts20815e	If your NosMates defeat a monster, your attack power will be increased.
zts20816e	If your NosMates defeat a monster, your defences will be increased.
zts20817e	If you defeat a monster, your NosMates' HP will be restored.
zts20818e	If you defeat a monster, the attack power of all NosMates will increase.
zts20819e	If you defeat a monster, the defences of all NosMates will increase.
zts20820e	If you're defeated, Invincibility will be cast on all NosMates nearby.
zts20821e	When you're defending, there's a certain chance that a spectre of the Spirit King will appear. When this effect ends, you are blessed with Soul Protection.
zts20822e	When you're defending, there's a certain chance that a spectre of the Beast King will appear. When this effect ends, you are blessed with Heart of the Beast.
zts20823e	Cold Feet
zts20824e	The cold reduces your movement speed.
zts20825e	Summon First Squad
zts20826e	Summons the First Squad in the Celestial Spire.
zts20827e	Summon Second Squad
zts20828e	Summons the Second Squad in the Celestial Spire.
zts20829e	Summon Third Squad
zts20830e	Summons the Third Squad in the Celestial Spire.
zts20831e	Summon Fourth Squad
zts20832e	Summons the Fourth Squad in the Celestial Spire.
zts20833e	Summon Fifth Squad
zts20834e	Summons the Fifth Squad in the Celestial Spire.
zts20835e	Blocks negative effects and increases damage to monsters in the Land of Death.
zts20836e	Sylvan Spirit Restoration
zts20837e	The Sylvan Spirits heal your wounds with their energy.
zts20838e	Lightning Power reduces the light element with electric shocks. You're unable to attack for a period of time.
zts20839e	Defence power and defence level are reduced by Bear Power.
zts20840e	Summons a spectre of the Spirit King. When this effect ends, you are blessed with Soul Protection.
zts20841e	Summons a spectre of the Beast King. When this effect ends, you are blessed with Heart of the Beast.
zts20842e	Your fighting capabilities are increased by the power of fire.
zts20843e	When you defeat a monster, Mysterious Healing will be cast on you.
zts20844e	When you defeat a monster, Spooky Spectacle will be cast on you.
zts20845e	Immortality
zts20846e	You briefly lose no HP.
zts20847e	Bomberman
zts20848e	Spawns a bomb on the ground. Enemies within 5 spaces suffer damage and receive a Blackout.
zts20849e	Electric Shock
zts20850e	Electrical energy protects your body. Enemies who attack you receive an Electric Shock.
zts20851e	Swift and Nimble
zts20852e	Reduces the cooldown of skills and increases movement speed.
zts20853e	Blood of the Immortal
zts20854e	The Blood of the Immortal makes you lose no HP for a short time.
zts20855e	You are invisible and regenerate HP and MP.
zts20856e	When you defeat a monster, you become invisible and regenerate HP and MP for a short time.
zts20857e	All NosMates' dodge and defence are increased in the Celestial Spire.
zts20858e	All NosMates' hit rate and attack power are increased in the Celestial Spire.
zts20859e	You and your NosMates' HP and MP are restored in the Celestial Spire and your defences are increased.
zts20860e	Your NosMates' attack power is increased. Any time a monster is killed, your attack power increases.
zts20861e	Your NosMates' attack power is increased. Any time a monster is killed, your defence increases.
zts20862e	Fear of the Dark
zts20863e	The Blessing of Shadow makes your enemies shudder and sends them fleeing.
zts20864e	Beast King Avatar's Blessing
zts20865e	Effect granted by the Beast King's Avatar.
zts20866e	Spirit King Avatar's Blessing
zts20867e	Effect granted by the Spirit King's Avatar.
zts20868e	Celestial Spire Energy
zts20869e	The spire invigorates your NosMates with great power.
zts20870e	Shadow Shield
zts20871e	The energy from the summoned shadow protects its master Paimon.
zts20872e	Enhanced Power of Evil
zts20873e	The evil energy remnant after the rift was torn in the sky now strengthens monsters in the spire.
zts20874e	Life Shield
zts20875e	Lacerations (F)
zts20876e	Lacerations (E)
zts20877e	Lacerations (D)
zts20878e	Lacerations (C)
zts20879e	Lacerations (B)
zts20880e	Lacerations (A)
zts20881e	Lacerations (S)
zts20882e	Plague Carrier (F)
zts20883e	Plague Carrier (E)
zts20884e	Plague Carrier (D)
zts20885e	Plague Carrier (C)
zts20886e	Plague Carrier (B)
zts20887e	Plague Carrier (A)
zts20888e	Plague Carrier (S)
zts20889e	Spectral Plague (F)
zts20890e	Spectral Plague (E)
zts20891e	Spectral Plague (D)
zts20892e	Spectral Plague (C)
zts20893e	Spectral Plague (B)
zts20894e	Spectral Plague (A)
zts20895e	Spectral Plague (S)
zts20896e	Curse of the Pharaoh (F)
zts20897e	Curse of the Pharaoh (E)
zts20898e	Curse of the Pharaoh (D)
zts20899e	Curse of the Pharaoh (C)
zts20900e	Curse of the Pharaoh (B)
zts20901e	Curse of the Pharaoh (A)
zts20902e	Curse of the Pharaoh (S)
zts20903e	Akhenaton's Aura (F)
zts20904e	Akhenaton's Aura (E)
zts20905e	Akhenaton's Aura (D)
zts20906e	Akhenaton's Aura (C)
zts20907e	Akhenaton's Aura (B)
zts20908e	Akhenaton's Aura (A)
zts20909e	Akhenaton's Aura (S)
zts20910e	The target will become a plague host, spreading it to nearby enemies.
zts20911e	Enhanced Power
zts20912e	Your NosMates are strengthened by Teamwork Buffs.
zts20913e	The target will become a plague host with a 50% chance of spreading it to nearby enemies.
zts20915e	Blade Wings
zts20916e	You receive this buff through the Blade Wings.
zts20917e	Shield of Blades
zts20918e	A swarm of blades surrounds you, dealing damage to attackers.
zts20919e	13th Anniversary Buff
zts20920e	Golden Gloopy Cake Blessing
zts20921e	Magic Cake
zts20922e	This little guy can heal your wounds and increased your defence.
zts20923e	Gloopy Cake Blessing
zts20924e	Gecko Checko
zts20925e	The Gecko Paladin's special defensive ability.
zts20926e	Gecko Paladin Blessing
zts20927e	Fishing Line Care Kit
zts20928e	Fish Loa's Blessing
zts20929e	Bait Fishing
zts20930e	Covert Fishing
zts20931e	Teleport to Fishing Spot
zts20932e	Fishing
zts20933e	I'm waiting for something to bite.
zts20934e	You can use this to repair your fishing line and make it more durable.
zts20935e	The Fish Loa's Blessing increases the amount of experience points you receive.
zts20936e	When you cast your fishing line, no bait will be consumed. This effect ends once the line has been cast.
zts20937e	You're invisible to aggressive monsters so you can fish in peace.
zts20938e	You'll be transported to the fishing spot you selected earlier.
zts20939e	You're invisible to monsters so you can fish in peace.
zts20940e	When you cast your fishing line, no bait will be consumed. The cooldown of this effect cannot be reduced.
zts20941e	Crystal Wings
zts20942e	Crystal Wings Effect
zts20943e	Raging Bull
zts20944e	The bull's massive body reduces incoming damage.
zts20945e	Red Flag
zts20946e	It would be wise to get out of the way of an angry bull!
