zts1e	Teos Werkzeugladen
zts23742e	Fürchtest du etwa den Kampf?
zts23743e	*seufz* ... Anscheinend kommen wir hier nicht weiter. Hey, Fremder! Entscheide du, welchen Weg wir einschlagen.
zts23744e	Ich? Aber ich kenne mich doch hier überhaupt nicht aus ...
zts23745e	Das ist egal. Ich vertraue dir, du wirst die richtige Entscheidung treffen.
zts23746e	Hm, ich entscheide mich für ...
zts23748e	Seht ihr? Ich habe doch gesagt, dass das eine Abkürzung ist!
zts23749e	Richtig, eine Abkürzung ... direkt in die Arme unserer Feinde! Passt auf!
zts23751e	Puh, das war ein harter Kampf ...
zts23752e	Wir hätten den rechten Weg nehmen sollen! Wir wären fast draufgegangen! Und das nur, weil du Dickkopf unbedingt einen Kampf anzetteln wolltest.
zts23753e	Aber wir haben sie doch besiegt, oder etwa nicht? Alles andere ist egal.
zts23754e	Ach, du alter Grobian ... Ruhen wir uns ein wenig aus, bevor wir weiterziehen.
zts23756e	Danke für euer Vertrauen. Ich werde euch nicht enttäuschen.
zts23757e	*grummel* Reine Zeitverschwendung ist das!
zts23758e	Ruhe! Es sind Feinde in der Nähe.
zts23759e	Wir müssen uns an ihnen vorbeischleichen und ins feindliche Lager eindringen.
zts23761e	Die meisten Feinde haben wir wohl gemieden.
zts23762e	Passt auf! Da kommt ihr Anführer!
zts23763e	Grrrrrrrrr! Zu den Waffen!
zts23765e	Puh, wir haben es geschafft!
zts23766e	Ja, ein Kinderspiel, wenn man die Schwächen seiner Gegner kennt.
zts23767e	Pah, die paar Schwächlinge hätte ich auch allein geschafft! Das war gerade mal ein Aufwärmtraining.  Harharhar!
zts23769e	(Jetzt erst bemerkst du, dass ein paar Magier zu einem Versteck rennen.)
zts23770e	Feiglinge! Ihr werdet meine Axt zu spüren bekommen!
zts23771e	Oh, nein! Wir haben zu viel Zeit verschwendet. Sie werden entkommen!
zts23772e	Los, verfolgen wir sie!
zts23773e	Ja. Beeilen wir uns!
zts23775e	(Als du den Raum betrittst, bemerkst du, wie die Luft bläulich zu schimmern beginnt.)
zts23776e	Wir sind zu spät. Sie haben bereits begonnen, eine uralte Bestie zu beschwören.
zts23777e	Ggggggggggrrrrrrrrrrrrrrrr!
zts23778e	Aufpassen!
zts23780e	(Als du das riesige Biest niederstreckst, beginnt der Boden zu beben.)
zts23781e	Was geschieht hier?
zts23782e	Krieger! Krieger, wach auf!
zts23783e	Nein ... noch nicht ... zu früh ... Muss sie fragen ...
zts23784e	Ich möchte euch wiedersehen!
zts23785e	"Wiedersehen"? Hahaha ...
zts23786e	Du musst doch inzwischen bemerkt haben, was hier los ist, kleiner Krieger. Wir haben uns noch nie zuvor gesehen, oder?
zts23787e	Das alles ist schließlich nur ein Traum.
zts23788e	Nein, das kann nicht sein ... Es muss einen Weg geben!
zts23789e	Wir haben keine Zeit. Nun spann ihn doch nicht so auf die Folter.
zts23790e	Nun denn ... Wenn du uns treffen möchtest, suche die Alchemistin in der Wüste Mortaz auf.
zts23791e	Sie ist eine Freundin, die uns damals bei einer wichtigen Mission geholfen hat. Wenn jemand eine Möglichkeit kennt, mit uns in Kontakt zu treten, dann sie.
zts23792e	Eine Alchemistin also? Wo finde ich sie?
zts23793e	Du wirst einen Weg finden. Aber dafür musst du dich an uns erinnern. Tust du es nicht, waren all unsere Bemühungen vergebens.
zts23794e	Er hat recht. Du musst dich an uns erinnern.
zts23795e	(Ihre Körper verblassen, als du langsam zu dir kommst ...)
zts23797e	(Du blickst dich um und siehst mehrere Lavalachen. Einige der Wege sind durch diese blockiert.)
zts23798e	(Hm, wie komme ich am besten da durch?)
zts23800e	(Als du dich näherst, hörst du das Klirren von Waffen, die aufeinanderprallen und ... das Gebrüll eines Bären?!)
zts23801e	*roar* Aus dem Weg!
zts23802e	Ggggggggggrrrrrrrrrrrrrrrr!
zts23803e	Da kommen noch mehr! Der da sieht gefährlich aus. Passt auf, ihr zwei!
zts23804e	I... Ich? Hey, ich bin doch nicht euer Feind!
zts23805e	Keine Gnade! Angriff!
zts23807e	*winsel*
zts23808e	Ich habe doch gesagt, dass ich nicht euer Feind bin!
zts23809e	Wer bist du dann? Und warum siehst du so seltsam aus?
zts23810e	Hehe, das könnte ich dich auch fragen ...
zts23811e	Du sprichst von meiner Bärengestalt? In dieser Form schütze ich mich und alle, die mir lieb sind.
zts23812e	Wir sollten uns alle erst einmal etwas beruhigen. Also, wer bist du? Und was hast du in einer so gefährlichen Gegend zu suchen?
zts23813e	Ich bin auf der Suche nach den Altehrwürdigen Helden. Eine Alchemistin hat mich hierher geschickt, aber anscheinend ist dies der falsche Ort ...
zts23814e	Nun, das stimmt so nicht ganz.
zts23815e	Wie meinst du das?
zts23816e	Nun ... Wir gehören auch zu den Altehrwürdigen Helden. Hm, du siehst verwirrt aus. Wurden deine Erwartungen etwa nicht erfüllt?
zts23817e	Oder macht dir mein kleiner Wolf Angst? Der tut nichts, der will nur spielen.
zts23818e	(Der Wolf hechelt dich erwartungsvoll an und wedelt fröhlich mit der Rute.)
zts23819e	Ich weiß auch nicht ... Eigentlich dachte ich, ich würde hier auf einen riesigen Muskelprotz mit einer großen Axt und eine Voodoopriesterin mit violetter Haut und einem ausladenden Haarschmuck treffen. So sind sie mir zumindest in meinem Traum erschienen.
zts23820e	Ein Traum? Hast du dir im Kampf vielleicht den Kopf gestoßen?
zts23821e	Nein, die Leute aus dem Dorf haben mir geholfen. Thrull, der Alchemist des Dorfes hat ein spezielles Gebräu zubereitet, damit ich die Helden treffen kann.
zts23822e	Thrull hat dich geschickt?!
zts23823e	Ja. Kennst du ihn?
zts23824e	Ähm, ja ... Aber lass uns erst mal weitergehen. Wir haben noch einen weiten Weg vor uns. Auf geht's!
zts23826e	Hier gabelt sich der Weg. Wenn wir hier raus wollen, müssen wir die Gebiete in einer bestimmten Reihenfolge von Monstern befreien.
zts23827e	Woher weißt du das?
zts23828e	Nun, ich bin ein Flammendruide. In diesen Gegenden kenne ich mich aus. Zunächst sollten wir Richtung Osten gehen und dann ...
zts23829e	Okay. Dann mal los Richtung Osten.
zts23831e	(Im Süden hat sich ein Ausgang geöffnet.)
zts23833e	(Im Norden hat sich ein Ausgang geöffnet.)
zts23835e	(Im Westen hat sich ein Ausgang geöffnet.)
zts23837e	(Im Osten hat sich ein Ausgang geöffnet.)
zts23839e	(Im Norden hat sich ein Ausgang geöffnet.)
zts23841e	Also …
zts23842e	Du sagtest, du hast eine Voodoopriesterin und einen Axtkämpfer getroffen, richtig?
zts23843e	Ja, aber nur in einem Traum ...
zts23844e	Ich glaube nicht, dass es nur ein Traum war. Die Personen, die du erwähnt hast, sind unsere Freunde. Du bist aufgetaucht, als wir uns gerade mit ihnen treffen wollten.
zts23845e	In unserem Dorf gab es einen Notfall, deshalb habe ich mich an meinen Freund, den Flammendruiden, gewandt.
zts23846e	Oh, er lebt hier?
zts23847e	Natürlich! Die Hitze hier liegt mir einfach. Leider gibt es einen solchen Ort nicht auf unserer Insel.
zts23848e	Warum hat dich Thrull geschickt? Ist der Voodoopriesterin etwas zugestoßen?
zts23849e	Ich glaube nicht, dass ich euch alle Einzelheiten berichten sollte. Aber ja, sie schwebt möglicherweise in Gefahr.
zts23850e	Warum fragst du nach ihr?
zts23851e	Weil Thrull dich geschickt hat.
zts23852e	Und was hat das mit der Voodoopriesterin zu tun?
zts23853e	Thrull ist ihr Vater. Hast du das etwa nicht gewusst?
zts23854e	!!! ... (Warum hat er mir nicht davon erzählt?!)
zts23855e	Aber jetzt erzähl mal ... Was ist hier los? Weißt du etwas über Paimon?
zts23856e	Dazu wollte ich euch befragen. Wisst ihr, wie m...
zts23857e	Pssst! Hört ihr das?
zts23858e	(Du wolltest gerade zu deiner Frage ansetzen, als plötzlich der Boden zu beben beginnt.)
zts23859e	Wir können später reden. Uns läuft die Zeit davon. Wir müssen uns beeilen!
zts23861e	Uff ... Was hatte denn diese uralte Bestie hier verloren? Und warum hat sie uns angegriffen?
zts23862e	Ich habe nicht die geringste Ahnung. Vielleicht haben sie dunkle Mächte hierher beschworen?
zts23863e	Krieger, uns bleibt nicht mehr viel Zeit. Wir müssen uns auf den Kampf gegen Paimon vorbereiten.
zts23864e	Ich möchte euch helfen. Kann ich irgendetwas tun?
zts23865e	Du wärst keine große Hilfe. Wir müssen uns zunächst mit den anderen im Dorf treffen und von da an unsere nächsten Schritte planen.
zts23866e	Ich wollte euch noch etwas fragen. Wisst ihr, wie man Paimon versiegeln kann?
zts23867e	Ich bin mir nicht sicher, ob es einen Weg gibt, um ihn endgültig zu versiegeln. Viele unserer Kameraden haben bereits mit ihrem Leben gezahlt, um ihn von unserem Dorf fern zu halten.
zts23868e	Um eine so mächtige Kreatur wie ihn aufzuhalten, bräuchte es wahrlich ein Wunder.
zts23869e	Aber ich möchte euch doch helfen, die Welt zu retten!
zts23870e	Und du möchtest die Voodoopriesterin wiedersehen, nicht wahr?
zts23871e	Geh und rede mit ihrem Vater.
zts23872e	Weil sie immer alles verliert, hat sie ihre Besitztümer mit Zaubern belegt. Eine Art unsichtbares Band. Wenn du also einen Gegenstand von ihr findest, wird er dich zu ihr führen.
zts23873e	Ihren Ring hat sie besonders geliebt. Mit diesem Ring wirst du sie sicher finden.
zts23874e	Geh jetzt, kleiner Krieger. Unsere Zeit hier ist um.
zts23875e	Werden wir uns wiedersehen?
zts23876e	Haha, keine Sorge. Wenn du einen Weg findest, mit ihr in Kontakt zu treten, werden wir an ihrer Seite sein.
zts23877e	Wir zählen auf dich.
zts23879e	Oh, sieh nur, unser kleiner Krieger!
zts23880e	Ich grüße dich, <pname>! Meine Freundin hat mir alles über dich erzählt.
zts23881e	Du kommst mir bekannt vor. Haben wir uns schon einmal getroffen? Nein, das kann nicht sein ...
zts23882e	Schön, dich wiederzusehen! Wir nehmen jede Hilfe, die wir kriegen können.
zts23883e	Ich freue mich so, euch alle wiederzusehen! Wie wollen wir jetzt vorgehen?
zts23884e	Nun, unser Plan hat sich nicht groß verändert. Wir konnten die Stelle orten, an der die dunkle Energie austritt, und haben nun vor, Paimon zu stellen.
zts23885e	Wenn wir unsere Kräfte vereinen, hat er keine Chance!
zts23886e	Das mag stimmen, wir dürfen aber nicht leichtsinnig werden. Dies wird unsere härteste Schlacht.
zts23887e	Wir werden alles geben. Enttäusche uns nicht!
zts23888e	Wir zählen auf dich, <pname>!
zts23889e	Wir schaffen das! Jetzt werden wir diesem Paimon zeigen, aus welchem Holz wahre Helden geschnitzt sind!
zts23891e	Warte! Hier drüben stinkt es erbärmlich.
zts23892e	Grrrrrrrrr
zts23893e	Das sind Paimons Elite-Truppen.
zts23894e	Pah, wir werden alles niedermetzeln, was sich uns in den Weg stellt. Nicht wahr, <pname>?
zts23895e	Wir könnten sie umgehen, aber dann werden wir von zwei Seiten aus angegriffen. Es hilft nichts, wir müssen sie bekämpfen.
zts23896e	Dann ist es entschieden.
zts23897e	Beeilen wir uns!
zts23899e	(Die Erde bebt vor dunkler Energie, als sich deine Gruppe den Feinden nähert.)
zts23900e	Es ist so weit! Der Moment, auf den wir alle so lange gewartet haben, ist endlich gekommen!
zts23901e	Zu den Waffen, Freunde!
zts23902e	Du wirst für deine Taten bezahlen, Paimon!
zts23903e	Die Loas werden dir niemals vergeben!
zts23904e	(Ich habe ein ungutes Gefühl ... Als ob gleich etwas Schreckliches passieren wird.)
zts23906e	Meine Axt kann nichts gegen Paimon ausrichten! Das geht nicht mit rechten Dingen zu.
zts23907e	Warte. Das ist seltsam ... Wo sind wir denn jetzt?
zts23908e	Dumme Frage! Das ist der Dimensionsriss, den Paimon verursacht hat.
zts23909e	Also sind wir am Ziel.
zts23910e	Das klingt einleuchtend. Ich habe mich schon gewundert, warum meine Kräfte nichts dagegen ausrichten können.
zts23911e	Ha, ihr dummen Orks. Dies ist meine Zuflucht, in der ich meine Kräfte wiedererlange.
zts23912e	Hm? He, Mensch! Dich kenne ich doch. Du hast mich auf dem Himmelsturm niedergestreckt. Willkommen in meinem Reich!
zts23913e	(Paimon beginnt, einen seltsamen Zauber zu wirken.)
zts23914e	Nein! <pname>!
zts23915e	Wage es nicht, meine Freunde anzurühren!
zts23916e	Wir haben keine Wahl! Wir müssen fliehen, bevor Paimon seinen Zauber vollendet.
zts23917e	Wo sollen wir denn hin?
zts23918e	Ich spüre, dass sich hinter Paimon ein Portal befindet. Ich werde ihn ablenken. Los, geht schon!
zts23919e	Lauft!
zts23921e	Geht es allen gut?
zts23922e	Ja, alles in Ordnung.
zts23923e	Meinem pelzigen Freund geht es auch gut.
zts23924e	Zum Glück ist meinen Äxten nichts passiert!
zts23925e	Hm, dieser Ort wirkt vertraut. Nicht wahr, Freunde?
zts23926e	Ja. Wir sind irgendwo in Morizios.
zts23927e	Wenn das Portal nach Morizios führt ...
zts23928e	... Dann will Paimon die Insel erneut angreifen!
zts23929e	Ha, endlich kann ich mich rächen!
zts23930e	Es wird nicht leicht, Paimon in seiner Dimension zu besiegen.
zts23931e	Aber wenn er sich herauswagt, haben wir eine Chance.
zts23932e	Okay. Wir sollten das Dorf warnen, dass Paimon hierher unterwegs ist.
zts23933e	Das ist eine gute Idee. Beeilt euch!
zts23938e	(Als du den Wald betrittst, kommt dir die Umgebung immer vertrauter vor.)
zts23939e	Ha, das hier ist der Geisterwald!
zts23940e	Hier wird Paimon seine Invasion starten. Er wird wieder den Geisterwald korrumpieren.
zts23941e	Wir werden den heiligen Wald verteidigen!
zts23942e	Wir sollten uns auf die Ankunft Paimons vorbereiten.
zts23943e	Richtig. Auf zum Dorf!
zts23944e	Ich kann seine dunkle Energie spüren. Er ist nahe.
zts23945e	Oje! Sind wir etwa zu spät?
zts23946e	Hm, die dunkle Energie hat nicht an Intensität zugenommen. Er hat seine Macht also noch nicht vollständig zurückerlangt.
zts23947e	Meine Äxte dürsten nach Paimons Blut!
zts23954e	Endlich habe ich meine Kräfte wieder. Ihr sterblichen Maden wollt euch mir entgegenstellen? Ihr Narren! Ich bin jetzt unbesiegbar!
zts23955e	Wir haben keine andere Wahl ...
zts23956e	Hm?
zts23957e	Ihr wisst, was zu tun ist.
zts23958e	(Der Wolf lässt die Schnauze hängen und winselt. Er weiß, welches Schicksal ihn erwartet ...)
zts23959e	Um Paimon zu versiegeln, müssen wir...
zts23960e	Wenn wir Paimon in dieser Dimension festhalten können, wird er unserem Dorf keinen Schaden zufügen können. Nutze die Zeit, um zu fliehen, <pname>!
zts23961e	Was? Aber ich will bei euch bleiben!
zts23962e	(Sie lächelt.) Wir werden uns wiedersehen, das verspreche ich.
zts23963e	Dies ist unser Schicksal. Dabei hätte ich Papa so gerne noch Lebewohl gesagt. Rette dich, damit unser Opfer nicht vergebens ist.
zts23964e	Wir werden immer an deiner Seite sein und über dich wachen. Bis in alle Ewigkeit. Die Loas werden dich beschützen.
zts23965e	Pass auf dich auf, kleiner Krieger. Und jetzt lauf zum Portal im Wald!
zts23966e	(Gerade als Paimon seinen verheerenden Zauber beendet, wirst du in gleißendes Licht getaucht. Das Licht hüllt dich ein wie ein Schutzschild.)
zts23967e	Questen der Altehrwürdigen Helden
zts23968e	Wähle eine Quest.
zts23969e	Die Suche nach den Altehrwürdigen Helden (Spezialistenkarten-Quest)
zts23970e	Rückkehr des Bösen (täglich)
zts23971e	Paimon wurde in der letzten Schlacht zwar geschwächt, doch er lebt noch.
zts23972e	Er versucht erneut, den Geisterwald zu erobern.
zts23973e	Verwende die Macht der Altehrwürdigen Helden, um ihn zu versiegeln.
zts23974e	Ja. Ich werde den Geisterwald verteidigen. (Annehmen)
zts23975e	Questen der Altehrwürdigen Helden (9. Spezialist)
zts23976e	Paimon wurde in der letzten Schlacht zwar geschwächt, doch er lebt noch.
zts23977e	Er versucht erneut, den Geisterwald zu erobern.
zts23978e	Verwende die Macht der Altehrwürdigen Helden, um ihn zu versiegeln.
zts23979e	Ja. Ich werde den Geisterwald verteidigen. (Annehmen)
zts23980e	Event zum 14. Jahrestag
zts23981e	NosTale wird 14 Jahre alt und das haben wir euch zu verdanken! *applaudier*
zts23982e	Deswegen gibt's zum 14. Jahrestag das beste Geschenk überhaupt!
zts23983e	Wenn du mir die Items "N", "O", "S", "14", "Y", "E", "A" und "R" bringst, verwandle ich sie in dein Geschenk.
zts23984e	Medaille des 14. Jahrestages eintauschen
zts23985e	Buff des 14. Jahrestages erhalten
zts23986e	Die Medaille des 14. Jahrestages besitzt viele Shopitem-Funktionen.
zts23987e	"N", "O", "S", "14", "Y", "E", "A" und "R" – du benötigst alle Buchstaben und die Zahl. Möchtest du sie eintauschen?
zts23988e	Der Buff des 14. Jahrestages erhöht 3.200 Sekunden lang deine maximalen HP und MP.
zts23989e	Du benötigst "14", "Y", "E", "A" und "R". Möchtest du den Buff erhalten?
zts23990e	Das Licht, das vom Himmel fiel (Akt 8)
zts23991e	He, <pname>. Würdest du mir einen Gefallen tun?
zts23992e	Du guckst so ernst. Was ist denn passiert?
zts23993e	Gestern Nacht ist in der Nähe des Gipfels des Krem mit lautem Getöse ein Licht vom Himmel gestürzt.
zts23994e	Ich habe gleich allen befohlen, dass sie nicht dorthin gehen sollen, aber die Warnung wird sie wohl nicht lange davon abhalten ...
zts23995e	Ich möchte, dass du nachsiehst, was dort geschehen ist. Würdest du das für mich tun?
zts23996e	In Ordnung. Ich schau mir die Sache mal an. (Annehmen)
zts23999e	Tägliche Quests
zts24000e	Nebenquests
zts24001e	Ich heiße Ain und bin die weltbeste Erfinderin!
zts24002e	Eine neue Energiequelle
zts24003e	Die Folgen von Asgobas' Angriff
zts24004e	Das Drakonium schmieden, solange es heiß ist
zts24005e	Instabile Energiequelle
zts24006e	Ich benötige mehr Drakonium, damit ich Waffen für den Kampf gegen Asgobas' Armee fertigen kann.
zts24007e	Um die Legierung herzustellen, brauche ich Schuppen von Asgobas. Kannst du mir welche besorgen?
zts24008e	In Ordnung. Ich kümmere mich darum. (Annehmen)
zts24009e	Tut mir leid, aber ich habe momentan zu tun. (Ablehnen)
zts24010e	Ich habe einen kritischen Fehler in meiner neuen Energiequelle gefunden. Um den Fehler zu beheben, benötige ich einige Materialien.
zts24011e	Könntest du die für mich besorgen?
zts24012e	<pname>, schau dir mal diesen Entwurf an!
zts24013e	(Der Entwurf zeigt den Bauplan einer kompliziert aussehenden Maschine.)
zts24014e	Was soll das denn sein? Eine Maschine? Wofür ist die gut?
zts24015e	Ich nenne sie die Magische Megamaschine.
zts24016e	Was genau ist diese "Magische Megamaschine"?
zts24017e	Diese Maschine wird von der Magie der Drachen angetrieben.
zts24018e	Die Magie setzt die Zylinder in Bewegung, wodurch die Mechanik die Kraft auf die Zahnräder übertragt und die Maschine in Gang gesetzt wird.
zts24019e	Und dann fährt sie!
zts24020e	Ah, das ist also was ganz Tolles. Hab ich recht?
zts24021e	Absolut! Wenn wir diese Maschine in Massenproduktion fertigen könnten, würde das die alten Karren überflüssig machen.
zts24022e	Oh, das ist ja der Hammer!
zts24023e	Allerdings benötige ich einige Materialien, um sie herzustellen. Könntest du mir einen Gefallen tun?
zts24024e	Ich habe versucht, Waffen mithilfe der Schuppen von Asgobas zu verbessern, aber leider hat das nicht so geklappt wie geplant.
zts24025e	Also habe ich eine spezielle Legierung erdacht.
zts24026e	Allerdings benötige ich viele Materialien, um zu testen, ob sie wirklich funktioniert. Kannst du mir helfen?
zts24028e	Nach Himmelsnest reisen
zts24029e	<pname>! Bist du bereit, nach Himmelsnest zu reisen?
zts24030e	Die reise kostet dich aber eine Kleinigkeit!
zts24031e	Nach Himmelsnest reisen (25.000 Gold)
zts24033e	Familienmanager
zts24034e	Familienerweiterungen erwerben.
zts24036e	Arenaliste
zts24037e	Individuelle Arena
zts24038e	Arena der Ehre
zts24039e	Untoter Eisdrache
zts24040e	Zombiedrache
zts24041e	Aggressiver Triceratops
zts24042e	Den Transportweg sichern
zts24043e	Die letzten Drakov
zts24044e	Die öffentliche Ordnung aufrechterhalten
zts24045e	Rekrutentraining
zts24046e	Nie endende Kälte
zts24047e	Nie endender Tod
zts24048e	Wie du weißt, tobt der Krieg gegen Asgobas' Schergen erbarmungslos weiter. Deshalb habe ich meine Elite-Kundschafter ausgesandt, um ihre Truppenbewegungen zu beobachten.
zts24049e	Sie begeben sich in große Gefahr, um uns Informationen zu liefern.
zts24050e	Vor Kurzem habe ich einen Trupp zum Eiskerker ausgesandt, doch bisher ist keiner zurückgekehrt.
zts24051e	Kannst du sie suchen gehen?
zts24052e	Laut den Berichten der Kundschafter nahm die Zahl der Monster in der Drachenhöhle sehr plötzlich zu.
zts24053e	Es muss etwas mit der Macht der Toten zu tun haben.
zts24054e	Das kann nichts Gutes bedeuten.
zts24055e	Kannst du die Monster dort beseitigen und herausfinden, was da los ist?
zts24056e	Die letzten Drakov verschanzen sich in ihrem Versteck.
zts24057e	Du musst sie vernichten, bevor sie ihren Plan in die Tat umsetzen.
zts24058e	Unsere Leute trauen sich nicht mehr nach draußen, weil sich in der Nähe der Stadt viele gefährliche Monster herumtreiben.
zts24059e	Würdest du uns helfen und diese Monster beseitigen?
zts24060e	Wir brauchen mehr tapfere Krieger, die uns im Kampf gegen Asgobas' Armee zur Seite stehen.
zts24061e	Wärst du bereit, neue Rekruten auszubilden? Das wäre fantastisch!
zts24062e	Meine Kundschafter haben mir berichtet, dass der Eisdrache Alzanor wiederbelebt wurde.
zts24063e	Wenn das wahr ist ... Würdest du dich dem Drachen stellen?
zts24064e	Meine Kundschafter haben mir berichtet, dass der Zombiedrache Valehir wiederbelebt wurde.
zts24065e	Wenn das wahr ist ... Würdest du dich dem Drachen stellen?
zts24066e	<pname>, es gibt Probleme bei der Drachenranch.
zts24067e	Würdest du dorthin gehen und Emily helfen?
zts24068e	Bei der Lieferung von Dratanium gab es Probleme.
zts24069e	Bitte geh zum Transportaufseher Pavio und hilf ihm.
zts24071e	Pfeilladen
zts24072e	Religiöse Fanatiker
zts24073e	Mineralienknappheit
zts24074e	<pname>! Einige unserer Waffen und Rüstungen sind verschwunden.
zts24075e	Ich hatte an einer der von Ain hergestellten Waffen einen Peilsender angebracht. Gestern Nacht wurde uns dann Ausrüstung gestohlen, darunter auch die besagte Waffe.
zts24076e	Wir können sie also orten. Allerdings befindet sich die gestohlene Ausrüstung laut den Daten des Peilsenders in einem sehr gefährlichen Gebiet.
zts24077e	Würdest du uns helfen, die Ausrüstung zurückzuholen?
zts24078e	He, <pname>. Aufgrund des hohen Monsteraufkommens fehlen uns die nötigen Mineralien zur Herstellung von Waffen.
zts24079e	Würdest du die Monster beseitigen?
zts24082e	Supermarkt
zts24083e	Nahrungsknappheit
zts24084e	Ärger auf der Ranch
zts24085e	Ein voller Bauch ist das A und O für unsere Soldaten.
zts24086e	Allerdings gehen uns langsam die Nahrungsmittel aus. Würdest du uns Nahrung besorgen?
zts24087e	Unsere Ranch wird von aggressiven Monstern bedroht.
zts24088e	Ich brauche deine Hilfe, <pname>.
zts24090e	NosBasar
zts24091e	Accessoire-Laden
zts24092e	Gefährlicher Transportweg
zts24093e	Unser Konvoi ist in Gefahr.
zts24094e	Bitte hilf uns, <pname>!
zts24096e	Alchemistenladen
zts24097e	Potentere Tränke
zts24098e	Nachschub an Giftwiderstand-Tränken
zts24099e	Nachschub an Kältewiderstand-Tränken
zts24100e	He, <pname>. Könntest du mir zur Hand gehen?
zts24101e	Im Kampf gegen die Drachen wurden viele Soldaten verwundet.
zts24102e	Uns fehlt es an Heilmitteln und die Zahl der schwer Verwundeten nimmt stetig zu.
zts24103e	Wir brauchen potentere Heilmittel, um ihre Wunden zu versorgen.
zts24104e	Ich habe ein neues Heilmittel entwickelt.
zts24105e	Allerdings benötige ich zur Herstellung einige Materialien. Würdest du mir die besorgen, <pname>?
zts24106e	Wir haben Soldaten zur Beobachtung des Zombiedrachens ausgesandt. Für diese Aufgabe benötigen sie Giftwiderstand-Tränke. Leider fehlt uns das nötige Material zur Herstellung.
zts24107e	Könntest du mir die Materialien bringen?
zts24108e	Wir haben Soldaten zur Beobachtung des Eisdrachens ausgesandt. Für diese Aufgabe benötigen sie Kältewiderstand-Tränke. Leider fehlt uns das nötige Material zur Herstellung.
zts24110e	Teleportationsturm [Drachenruh]
zts24111e	Zum Port Alveus-Platz (25.000)
zts24112e	Nach NosVille (25.000)
zts24113e	Zum Westlichen Krem (25.000)
zts24115e	Oha! Ist das ... ein Drache? Dann war dieses Licht, das aus dem Himmel gefallen ist, also ein Drache.
zts24116e	(Du berührst vorsichtig den Körper des Drachen.)
zts24117e	Hm, kein Herzschlag. Der Drache ist beim Sturz wohl umgekommen.
zts24118e	(Du siehst einen Sattel auf dem Rücken des Drachen.)
zts24119e	Ein Sattel? Das bedeutet, dass jemand diesen Drachen geritten hat. Aber wo ist der Reiter?
zts24120e	Hm? Moment mal ... Ist das da unter der rechten Schwinge ein Mensch?
zts24121e	(Du schaffst es, den Flügel des Drachen anzuheben. Zum Vorschein kommt ein seltsam aussehendes Mädchen.)
zts24122e	Oh, sie hat Hörner auf dem Kopf. So etwas habe ich noch nie gesehen. Hey, aufwachen!
zts24123e	Wahrscheinlich ist sie durch den Sturz ohnmächtig geworden. Ich bringe sie besser zu Carven. Er wird sich gut um sie kümmern.
zts24125e	Onkel Carven, ich brauche deine Hilfe!
zts24126e	Wer ist denn das Mädchen da auf deinem Rücken? Sie ist ja ganz blass. Schnell, leg sie hierhin. Ich untersuche sie.
zts24127e	(Du legst sie aufs Bett und Carven beginnt, sie zu untersuchen.)
zts24128e	Ihr Puls ist schwach, aber sie lebt.
zts24129e	Sie scheint keinerlei Verletzungen zu haben.
zts24130e	Ich weiß nicht, warum sie nicht aufwacht. Hast du sie im besagten Gebiet gefunden? War da noch etwas?
zts24131e	Sie lag unter dem Flügel eines toten Drachen.
zts24132e	Ich glaube, sie hat den Drachen geritten.
zts24133e	Ein gehörntes Mädchen und ein Drache ... Hm ... Dieses Licht letzte Nacht ... Das war also ein Drache. Hm, das ergibt Sinn.
zts24134e	Nun, wir müssen sie irgendwie wecken. Vielleicht hat sie innere Verletzungen. Dafür kann ich ein Heilmittel herstellen. Würdest du mir die nötigen Zutaten bringen?
zts24135e	Natürlich!
zts24137e	(So, ich habe alles beisammen. Hoffentlich wirkt die Medizin.)
zts24139e	Hier, bitte. Wie geht es ihr?
zts24140e	Ihr Zustand hat sich nicht verändert.
zts24141e	Ich werde jetzt das Heilmittel herstellen. Warte bitte kurz.
zts24142e	(Carven bereitet die Zutaten vor und macht sich dann daran, das Heilmittel herzustellen.)
zts24143e	So, fertig. Verabreichen wir ihr die Medizin.
zts24144e	Ich hoffe, sie wirkt.
zts24145e	(Er flößt ihr vorsichtig die Medizin ein.)
zts24146e	Es wird etwas dauern, bis die Medizin wirkt. Bitte komm später wieder.
zts24147e	Verstanden. Hoffentlich wirkt das Heilmittel.
zts24149e	Wie geht es ihr, Onkel Carven?
zts24150e	Sie ist immer noch bewusstlos.
zts24151e	Ihr Körper scheint unversehrt zu sein. Vielleicht hat ihre Seele Schaden genommen ...
zts24152e	Ihre Seele? Oh, da kenne ich jemanden, der uns vielleicht helfen kann!
zts24153e	Wirklich? Ein Glück! Dann such diese Person auf. Aber beeil dich, bevor sich ihr Zustand verschlechtert!
zts24154e	Bin schon unterwegs. Bis bald!
zts24155e	(Ich muss nach Morizios reisen und Thrull aufsuchen.)
zts24157e	Thrull, ich brauche deine Hilfe!
zts24158e	Oh, lange nicht gesehen, <pname>! Was verschafft mir die Ehre?
zts24159e	Also, es geht um Folgendes ...
zts24160e	(Du berichtest Thrull, was am Mount Krem passiert ist.)
zts24161e	Eine Drachenreiterin mit Hörnern? Interessant. Ich habe in alten Aufzeichnungen von einem Volk gelesen, das mit Drachen verwandt ist.
zts24162e	Unsere Vorfahren pflegten einst gute Beziehungen zu diesem Volk, doch dann ist es plötzlich verschwunden.
