zts1e	Teo's Tool Shop
zts21150e	Of course. I'll go to the cave.
zts21151e	Act 7 - The Eerie Cave
zts21152e	(Oh... Unfortunately, Logtas is already dead. I should have come more quickly. But I will find the source of this terrible energy.)
zts21153e	Act 7 - The Power of Evil
zts21154e	(Oh, this cave is already contaminated to a great extent.
zts21155e	I must remove the source of the contamination. Otherwise, it could spread to the village.)
zts21156e	Act 7 - Mission Report
zts21157e	(I've destroyed the Obelisk of Evil but... Logtas' death is really affecting me. I should report to the guard captain now. Off to see Litatiz.)
zts21158e	Act 7 - Sad News
zts21159e	(You report to Litatiz about the cave, and explain where Tatirus and Logtas are.)
zts21160e	So Logtas is dead, then. He was one of the best guards. He was only recently married. I shouldn't have sent him there.
zts21161e	It's not your fault. I should have saved him.
zts21162e	Don't blame yourself. At least you have avenged his death. Incidentally, Tatirus hasn't come back yet. I should look for her first. Could you take care of something important for me? Here is Logtas' letter. It's a tradition of ours to write down our last wishes before a dangerous mission. Could you deliver this letter to his wife? You can refuse my request if you're not prepared to do it.
zts21163e	I'll do it.
zts21164e	Act 7 - Food for the Funeral
zts21165e	Hello, are you Logtas' wife?
zts21166e	Yes. What brings you here?
zts21167e	I'm sorry, but I'm to give you Logtas' letter.
zts21168e	So that means he's dead. Right?
zts21169e	I'm sorry that I couldn't save him.
zts21170e	You don't need to apologise. These days there are lots of missing and dead soldiers. Such sad news was only to be expected. But even so I can't stop crying.
zts21171e	I am so sorry...
zts21172e	Thank you for bringing me my husband's letter. That can't have been easy. Could you perhaps do me one more favour?
zts21173e	Yes, of course.
zts21174e	I need various foods for Logtas' funeral ceremony. Could you fetch them from the grocery store for me? There's still so much I need to do for the ceremony.
zts21175e	Yes. I'll bring you the food.
zts21176e	Go to Ituros, the grocery store belongs to her. You'll recognise her by her white apron. She knows what I need.
zts21177e	Act 7 - A Balanced Meal
zts21178e	(This woman looks like the owner of the grocery store.) Hello.
zts21179e	Hello! What can I do for you? You're not from here.
zts21180e	Yes, I come from the Far West. I need food for a funeral.
zts21181e	Oh... someone has died, then?
zts21182e	Yes, a guard called Logtas. He died on a mission.
zts21183e	How sad. Unfortunately, we don't have enough food for funerals because so many are dying these days. Owlbear Meat and Hill Strawberries in particular are sold out.
zts21184e	I need these foods for his wife. Can I help you get them?
zts21185e	That's very kind of you. You can get meat from the Owlbears close to the Woodland Path. And you can find Hill Strawberries on the Forest Cliff.
zts21186e	Okay.
zts21187e	Watch out for demons and monsters in the forest.
zts21188e	(I've got the meat and the berries. Back to Ituros, then.)
zts21189e	Act 7 - An Orc Funeral
zts21190e	Here you are.
zts21191e	Wow! Fresh meat and berries. Now I can give you what you need.
zts21192e	Act 7 - Mourning a Lost Brother
zts21193e	I'm back. Here you are. Do you need anything else?
zts21194e	The food is enough. But I've forgotten something important.
zts21195e	I'm listening.
zts21196e	According to an orc tradition, close relatives are invited to the funeral.
zts21197e	Logtas only has an older brother called Martas. Out of sheer grief, I've forgotten to inform him. Could you ask him to come?
zts21198e	No problem.
zts21199e	Thank you! Martas is a blacksmith. He wears a leather apron and holds a hammer in his hand.
zts21200e	Act 7 - One Step at a Time
zts21201e	Hello, are you Martas, Logtas' older brother?
zts21202e	Yes. Are you here about Logtas?
zts21203e	How did you know that?
zts21204e	Whenever someone comes here, they usually ask whether I'm a blacksmith. But you've come looking for Logtas' brother. What's happened to my little brother?
zts21205e	I'm afraid he died on a mission. His wife invites you to come to his funeral.
zts21206e	Oh... the little guy was much to young to die. Although I was against him becoming a guard, I couldn't change his mind. He was so proud. I would like to come. But I have too much to do because my chief has ordered a lot of weapons for tomorrow. So it won't be possible for me to attend the funeral.
zts21207e	Can I help you in some way, so that you can finish your work earlier?
zts21208e	Your hands don't seem to be made for the hammer. But perhaps there is something you can do.
zts21209e	Which would be?
zts21210e	There are lots of weapons chests that have been left behind on the farm. There are still weapons in some of the chests. If you bring them to me, I'll just need to sharpen them.
zts21211e	That's a good idea. I'll take care of it and be back soon.
zts21212e	(There are lots of monsters here. I had better deal with them before searching through the weapons chests.)
zts21213e	Act 7 - Recycling
zts21214e	(Now I've decimated the monsters, I can get the weapons out of the chests.)
zts21215e	(It's done. Now I just have to take the weapons to Martas.)
zts21216e	Act 7 - Gone Fishin'
zts21217e	What do you think of the weapons?
zts21218e	Let's see... Oh, they're in good condition. Thanks to you, I can now go to my brother's funeral. Thanks.
zts21219e	By the way... Ituros was looking for you.
zts21220e	The owner of the grocery store? I'll go and see her in her shop.
zts21221e	Were you looking for me?
zts21222e	You've arrived just at the right time. I need your help.
zts21223e	The fishermen are supposed to send me fish every day. But in the last few days, not a single one has got here. I would go myself but I can't just close my shop. Could you go to the beach and see what's going on?
zts21224e	Of course, no problem. Who should I look out for?
zts21225e	Propga is the fishermen's leader. Maybe he knows something.
zts21226e	That's convenient. He's my friend. I'll go to him, then.
zts21227e	Act 7 - Gone Fishin' Where?
zts21228e	(Here's the beach where Propga's supposed to be. But I can't see any fishermen here. I'll have a look around.)
zts21229e	(The fishing net and fish trap are broken. What happened here?)
zts21230e	(The cart is broken as well. The fishermen and fish boxes have disappeared.)
zts21231e	(Oh... that looks like bloodstains. The fishermen seem to be in danger. I have to follow the bloodstains quickly.)
zts21232e	Act 7 - Big Fish
zts21233e	(This cave seems suspicious. I'll have a look around inside.)
zts21234e	Act 7 - Fate of the Fishermen
zts21235e	(That was an enormous and brutal merling. The poor fishermen. But I've avenged their deaths. May they rest in peace. I should inform Propga.
zts21236e	Act 7 - Fish Deliveries
zts21237e	You're back. Did you find out anything?
zts21238e	I came across a cave with a Large Merling inside. I dealt with him but the fishermen inside the cave were already dead. I'm very sorry. Here are their fish boxes.
zts21239e	Thank you for seeing to their murderer. I am indeed very sad about their deaths, but now I've got to work even harder to supply the village with fish.
zts21240e	Okay...
zts21241e	Act 7 - A Farmer's Request
zts21242e	What happened on the South Beach?
zts21243e	I encountered a Large Merling in a cave. He killed the fishermen and stole their fish. Then I defeated the merling. Propga is trying to deliver fish again.
zts21244e	Oh, it's so sad that even more of us had to die. Thank you very much for your efforts.
zts21245e	I hope this tragedy doesn't repeat itself.
zts21246e	Yes. I hope so, too... By the way, have you met Kachantrok yet?
zts21247e	No, who's that?
zts21248e	An extraordinary farmer from our village. He was looking for you a while ago. He wears a white, cone-shaped hat and holds a sickle in his hand.
zts21249e	A white, cone-shaped hat? Then he should be easy to find.
zts21250e	Act 7 - The Missing Farmer
zts21251e	Are you Kachantrok, the extraordinary farmer here in the village?
zts21252e	Yes. But I'm not so keen on the title.
zts21253e	Oh, sorry. I didn't know. Why are you looking for me?
zts21254e	My brother wanted to go and fetch some wood but hasn't come back.
zts21255e	I see. How long has he been gone?
zts21256e	About half a day.
zts21257e	Where did he go?
zts21258e	I think he wanted to go to the Spirit Forest because of the particularly high number of trees there.
zts21259e	The Spirit Forest. I'll go there now, then.
zts21260e	Thanks!
zts21261e	(Maybe he's left a trail. I should look for that first.)
zts21262e	(There are footprints and wood splinters there. Someone's passed through here.)
zts21263e	(A piece of wood is lying on the ground there. But where is he? I'll look around a bit more.)
zts21264e	(His tracks lead deeper into the forest.)
zts21265e	Act 7 - Spooky!
zts21266e	(An orc is under attack by ghosts. It seems to be Kachantrok's brother. I should defeat the spirits first.)
zts21267e	(That was close! The spirits were pretty hostile!)
zts21268e	Act 7 - Farmer Kujeantrok
zts21269e	Are you Kachantrok's brother?
zts21270e	Yes! Do you know my younger brother?
zts21271e	Yes. He asked me to look for you in this forest.
zts21272e	Are you sure? He's really too shy to ask anyone for anything. His courage impresses me. Haha.
zts21273e	Is he really that shy?
zts21274e	Yes. He wouldn't even ask me for anything. He works very hard and never accepts help. And so he became an extraordinary farmer in the village.
zts21275e	Sounds logical. What are you doing here exactly?
zts21276e	Collecting wood. There's high-quality wood in this forest. The spirits have lived here for a long time, but they never used to be aggressive. I have no idea why that's changed.
zts21277e	I see. Your brother is worried about you. Go back to the village.
zts21278e	Yes. Thank you for your help. Come on, let's go!
zts21279e	After you. (I must find out why the spirits have become vicious.)
zts21280e	Act 7 - Mad Spirits
zts21281e	Is Kujeantrok back?
zts21282e	Yes. He's fallen asleep already. Thank you for your help.
zts21283e	You're welcome. By the way... do you know anyone who knows about spirits?
zts21284e	Just one: our chief.
zts21285e	Thanks. Then I'll go and see him again.
zts21286e	Long time no see. I've been hearing about your remarkable activities.
zts21287e	You give me too much credit. I would like to know a bit about spirits. Why have they become so aggressive?
zts21288e	They are normally very peaceful. Something's not right there.
zts21289e	They attacked Kujeantrok and I for no apparent reason.
zts21290e	Perhaps something has happened to the Spirit King, then. Ask my warlock for advice. He's a little dour. But I'll give you a letter to take with you that will help. Here you are.
zts21291e	Act 7 - Summoning the Spirit King
zts21292e	Excuse me. Are you the warlock?
zts21293e	Yes! I'm the warlock Pikidir. You must be the stranger from the West. What are you doing here? I didn't send for you.
zts21294e	I need your help. The forest spirits have suddenly become aggressive. I want to find out why.
zts21295e	I'm busy at the moment. Find out on your own.
zts21296e	Your chief gave me a letter to bring with me.
zts21297e	What? I'm not willing to help you but I must obey my chief's orders.
zts21298e	Will you help me, then?
zts21299e	Listen carefully. I won't say this twice. There is Spirit King in the forest. I'm certain something bad has happened to him. You should look for him.
zts21300e	How do I find the Spirit King?
zts21301e	The Spirit King has a separate altar deep in the forest. If you take a Spirit Forest Branch, a Golem Core and a Jade Stone to this altar, you will reach him.
zts21302e	Thank you very much. (I wonder what the Spirit King looks like.)
zts21303e	(At last, I've got all the materials. Off to the altar.)
zts21304e	Act 7 - The Twisted Spirit King
zts21305e	(Oh no! The Spirit King has already been corrupted. There's no other way, I'll have to fight him.)
zts21306e	Did you help me? You're my saviour!
zts21307e	You've now been cleansed of evil. What happened to you?
zts21308e	As more and more demons and monsters spread across Moritius Island, the evil also spread to this forest. At first I could cleanse myself with my own power. But soon the evil energy was stronger than me.
zts21309e	And that's how you were corrupted? Is that right?
zts21310e	Yes. And of that I'm deeply ashamed. I tried to heal myself during periods of consciousness but I didn't succeed. I owe you one. Thanks!
zts21311e	You're welcome. So your spirits won't attack the orcs anymore, right?
zts21312e	They obviously did that to protect me. But first I must regain my full power to be able to control them.  And that will take some time.
zts21313e	I see. I'll let the orcs know that they should be careful for a while longer.
zts21314e	Wait. There's something else on my mind.
zts21315e	Before I took leave of my senses, I asked my friend, the Beast King Carno, for help. But he didn't reply. I suspect he's been corrupted as well. Please cleanse him, too. I can't fight all the demons and monsters on this island alone.
zts21316e	I see. Where do I need to go?
zts21317e	Go to the Beast's Lair. You'll find him there.
zts21318e	Okay. I'll set off there right away.
zts21319e	Act 7 - Show Your Worth
zts21320e	Hello, are you a solider responsible for the guard here?
zts21321e	Yes. That's me. May I ask what brings you here?
zts21322e	I'm looking for the Beast King.
zts21323e	There is no Beast King anymore. He's just a depraved beast now.
zts21324e	I understand what you mean. I'm here to cleanse the beast. Where is it, exactly?
zts21325e	I can't tell you that because the king is too strong. No one can defeat him. That's why I'm here. I cannot allow anyone to enter the cave.
zts21326e	I'm strong enough to try.
zts21327e	You're very brave. Very well. But first prove to me how strong you really are. Can you defeat the demons and monsters here?
zts21328e	Child's play. I'll be back soon.
zts21329e	(The monsters were strong, but not strong enough for me. Now I'll find out where the Beast King is.)
zts21330e	Act 7 - The Hunt Begins
zts21331e	I've passed your test.
zts21332e	You're stronger than I thought! I'll keep my promise.
zts21333e	Carno is resting after the orc heroes' attacks.
zts21334e	Orc heroes?
zts21335e	Strictly speaking, they are the orc heroes' descendants. In the then war between light and shadow, there were four powerful orc heroes. Their direct descendants are now fighting against the Twisted Beast King.
zts21336e	I see. And where is the Beast King's resting place?
zts21337e	Somewhere deep inside the Beast's Lair.
zts21338e	Understood. I'll make my way inside.
zts21339e	Act 7 - Hunter or Hunted?
zts21340e	I think I'm very close to the king's resting place. I can feel his bad energy. It's even stronger than that of the Spirit King. I should be careful.
zts21341e	Act 7 - The First Descendant of the Four Heroes
zts21342e	Thank you for your help. Who are you?
zts21343e	I am Cottari, a descendant of the Beast Overlord. Carno could come back.
zts21344e	Let's meet on the north side of the Beast's Lair.
zts21345e	Act 7 - Test of Courage
zts21346e	I've been waiting for you.
zts21347e	Ligtas has told me about you. You're one of the descendants of the four heroes, aren't you?
zts21348e	That's correct. We were born with the heroes' talent. And, nevertheless, we train body and mind to fulfil the wishes of our forefathers.
zts21349e	I must defeat Carno.
zts21350e	As far as I can tell, you have the potential to defeat him. But you're not quite ready yet. You should further strengthen your power beforehand.
zts21351e	And how do I do that?
zts21352e	Firstly, you'll need the four relics of the orc heroes. For each test of the elements that you pass, you'll receive a relic. Once you have four relics, you will obtain true power.
zts21353e	I understand. I'll try it now.
zts21354e	Why don't you try the 'Beast Overlord's Test of Courage' near here?
zts21355e	(This is the Test of Courage. I'll pass it for sure.)
zts21356e	(Done. The test was really difficult. Now I should go to Cottari.)
zts21357e	Act 7 - The Second Descendant of the Four Heroes
zts21358e	I knew it. You must be the chosen one. Now you have three more tests to face.
zts21359e	Where do I need to go?
zts21360e	The next test is the 'Test of Patience'. In the Spirit Forest there is an orc with a big hammer. His name is Datitus. Go to him with the Relic of the Water Hero.
zts21361e	Act 7 - Test of Patience
zts21362e	Are you Datitus, one of the descendants of the orc heroes?
zts21363e	Yes. What can I do for you?
zts21364e	(You show him the Relic of the Water Hero.)
zts21365e	Hahaha, you're the one Cottari's chosen. You've earned the right to take the next test, the 'Test of Patience'. If you pass it, you'll receive the Relic of the Light Hero.
zts21366e	(This is the Test of Patience. I'll definitely pass it.)
zts21367e	(Evidently the tests get harder and harder. But I've already passed half of them. I should return to Datitus now.)
zts21368e	Act 7 - The Third Descendant of the Four Heroes
zts21369e	Fantastic! Now you can take the third test, the 'Test of Passion'. Find Taitur, an orc woman by the Forest Cliff who has claws on both hands. Show her the Relic of the Light Hero.
zts21370e	Okay. Do you know anything else about her?
zts21371e	She's very fierce. Bear that in mind.
zts21372e	I will. Thanks!
zts21373e	Act 7 - Test of Passion
zts21374e	Hello, are you...
zts21375e	Who are you? Come on, speak!
zts21376e	(You show her the Relic of the Light Hero.)
zts21377e	Are you the one Cottari's chosen? You seem rather too weak to me. Regardless, try your hand at the 'Test of Passion'. You'd better be quick.
zts21378e	Yes. I will. (She seems very impatient.)
zts21379e	(This is the Test of Passion. As Taitur said, I should be quick.)
zts21380e	(I've passed the third test. Taitur will be surprised.)
zts21381e	Act 7 - The Fourth Descendant of the Four Heroes
zts21382e	Did you really pass it? Then you must be very strong. You've earned this. Now there's only one test left. Go to Asgothi in the Polluted Forest.
zts21383e	I'm glad you recognise my power! I'll go to Asgothi now.
zts21384e	Act 7 - Test of Wisdom
zts21385e	Are you...
zts21386e	Psssst... I know all about you. The loa told me. So you want to face the final test, the Test of Wisdom?
zts21387e	How did you know that?
zts21388e	The loa know everything and they share their knowledge with me. The Test of Wisdom is completely different to the other tests. May the loa be with you.
zts21389e	In what way is this test different to the others?
zts21390e	(At last, I've passed all four tests. Now I can fight the Beast King.)
zts21391e	Act 7 - The Power of the Orc Heroes
zts21392e	You did it!
zts21393e	Did you know that beforehand as well?
zts21394e	Of course. The loa told me.
zts21395e	Why is nothing happening although I now have all four relics?
zts21396e	They must be brought together as the Relic of the Great Orc Heroes. Only a warlock is able to do that. So go and see Pikidir.
zts21397e	Okay. I'll go back to the village, then.
zts21398e	Act 7 - Revenge
zts21399e	You're late! What happened?
zts21400e	Yes. I've experienced a lot! (You tell him everything.)
zts21401e	Is it true that you met the heroes' descendants and passed all the tests?
zts21402e	Yes, it's true. Here you are. (You show him the four relics.)
zts21403e	Very impressive! I will make the Relic of the Great Orc Heroes out of them. Wait a moment.
zts21404e	(He utters a strange spell over the relics.)
zts21405e	Done. If you use this, you can cleanse the Beast King. Go now.
zts21406e	Yes. Thank you for your help.
zts21407e	I can feel the heroes' power in this Relic of the Great Orc Heroes. Maybe I can really win this fight.
zts21408e	Act 7 - It Is Done
zts21409e	(I've finally defeated Carno. I should tell Ligtas. He will be very happy.)
zts21410e	Act 7 - An Unexpected Result
zts21411e	I can't believe it! You did it.
zts21412e	Yes. The power of the great heroes helped me.
zts21413e	My chief will also be very pleased. Please tell him about it personally.
zts21414e	Okay, I will.
zts21415e	Thank you again for your service.
zts21416e	Act 7 - Sudden Return
zts21417e	I would like to talk with the chief.
zts21418e	Ah, the brave adventurer. You are our hero. You've saved our island. Thank you!
zts21419e	My pleasure.
zts21420e	Now you can return home.
zts21421e	But I'd like to stay a little longer and help.
zts21422e	We orcs will manage the rest on our own. We don't like strangers doing our work. It's a question of honour. I will be sure to reward you generously for your actions.
zts21423e	Okay. I understand. I will comply with your wish and return home.
zts21424e	Take my letter to Perkichan in the harbour. He'll take you home then. Farewell!
zts21425e	Farewell, Propga.
zts21426e	What do you mean? You're going again?
zts21427e	Yes. Your chief has ordered me to leave the island. He said the orcs will take on what's left to do.
zts21428e	He's probably right. Honour is very important to orcs. Nevertheless, we have you to thank for everything. Please accept this small gift as a thank-you from me.
zts21429e	Thank you! Will we see each other again one day?
zts21430e	Yes, I think we'll meet again.
zts21431e	Do you want to go to NosVille? I happened to hear what you said.
zts21432e	Yes. Please take me home.
zts21433e	I guarantee you'll get home safely. Did you get a chance to try Cherry Apples?
zts21434e	Not yet. Haha.
zts21435e	But I said you should try them. Here you are. Try it.
zts21436e	This ship will depart soon. Come aboard quickly!
zts21437e	Act 7 - Sudden Return
zts21438e	(I'm pleased to be home again. But something's weighing on my mind. I need to know what's happened while I've been away. I should speak to Harbour Guard Tom first.)
zts21439e	Act 7 - Small Gifts Make Great Friends
zts21440e	Hello, how are you?
zts21441e	You're back again from the new world? You haven't even been gone all that long?
zts21442e	I wanted to stay longer but the island's ruler sent me back. The orcs wanted to see to the rest of their problems by themselves.
zts21443e	I see. And, how did you like this new island?
zts21444e	Apart form the monsters and demons, it's a beautiful island. There are interesting animals, plants and ores there. You should go there once all the monsters and demons have gone.
zts21445e	Okay. I'll do that.
zts21446e	The orcs gave me a few gifts to take with me. Do you know what these things are? (You show him what you've brought back from the island with you.)
zts21447e	That all looks very interesting but I have no idea what it is. Why don't you ask Roram or the Akamur Merchants in Desert Eagle City? Maybe they will know.
zts21448e	Hello, could you tell me what this is?
zts21449e	Show me what you've got there.
zts21450e	I've got all sorts of things. (You show him all of the items.)
zts21451e	Hmm. Only one of the things seems familiar to me, namely this clay statue.
zts21452e	Okay.
zts21453e	The statue holds a very old magic. And it has a strange pattern. It's worth examining it more closely. Can I have it? I would pay for it, of course. How about 2,000 Gold?
zts21454e	3,000 would be better.
zts21455e	Okay. Then we have a deal.
zts21456e	Thanks. (Damn, I should have named a higher price.) Off to the Akamur Quarter next.
zts21457e	Hello, I've brought back a few strange items from a new island.
zts21458e	I've heard. Do you mean the island in the East?
zts21459e	Yes. You already know about it? The orcs from the island gave me a few things as a gift.
zts21460e	Okay. May I have a look at these orcish items?
zts21461e	Here. (You show the items.)
zts21462e	Hmm. I'm interested in the gold coins. They're very attractive to collectors. How about 5,000 Gold?
zts21463e	The gold coins were worth more on the island. I was thinking more of 8,000 Gold.
zts21464e	How about 6,000, then?
zts21465e	7,500 would be better.
zts21466e	7,000 Gold is my final offer.
zts21467e	Okay. Very well.
zts21468e	That was a good deal. Tell me, are there many valuable resources on the island?
zts21469e	There are delicious fruits, new types of animals, and minerals that are stronger than iron there.
zts21470e	If that's true, I would gladly trade with the inhabitants.
zts21471e	Unfortunately, that's not possible at the moment because there are still lots of demons and monsters causing trouble there.
zts21472e	Oh, really? I hope the situation on the island stabilises as soon as possible. And where are you off to next?
zts21473e	I don't have anything to do at the moment. I should go to NosVille and rest a bit.
zts21474e	I see. Well, have a good rest in the city.
zts21475e	(I'm back in NosVille. I've missed the city.)
zts21476e	(I still have a few orcish items. Are orcish weapons and armour valuable? Teoman Topp might know.)
zts21477e	Hello, how are you?
zts21478e	Oh, long time no see. Where have you been?
zts21479e	I was on Moritius Island. Orcs live there.
zts21480e	Lords? Noble folk?
zts21481e	No, orcs. They're a mysterious tribe. I've got weapons and armour from them. You're interested in such things, aren't you?
zts21482e	Show me the weapons and armour. I can't imagine they're better than my works.
zts21483e	(You give Teoman the weapons and armour.)
zts21484e	Hmm. The style is very coarse. But they're very functional.
zts21485e	What do you mean?
zts21486e	Their construction is more lavish and practical than it appeared at first glance. It's worth examining them more closely. But they don't measure up to my works, of course.
zts21487e	I see. Then take them all. I don't need them anymore.
zts21488e	Oh, really? Fantastic! Thanks. Here's a little something in return.
zts21489e	Thank you! Maybe you could also make use of a panacea from Moritius?
zts21490e	I don't drink such strange potions. But maybe Malcolm Mix would be interested.
zts21491e	You could be right. Bye for now.
zts21492e	Hello, I've got a mysterious potion from the island in the East.
zts21493e	Oh, may I see this potion?
zts21494e	(You give him the panacea.)
zts21495e	Hmmm... well, yes...
zts21496e	Is it a real panacea?
zts21497e	Never.
zts21498e	Really?
zts21499e	It's watered down. It won't have the slightest effect.
zts21500e	Oh... Then I've been taken for a ride. What's it made of, then?
zts21501e	I reckon fruit, moss...
zts21502e	Ah, so it's a kind of drink. I'll drink it.
zts21503e	W... Wait.
zts21504e	(You've drunk the potion.) Oops. The taste was strange.
zts21505e	The potion also contains the urine of an unknown animal.
zts21506e	Seriously?! Ugh! Why are you only telling me this now? I'd better quickly eat something sweet after that. Bye!
zts21507e	Act 7 - Matters of Urgency
zts21508e	Hello, I'm looking for something tasty to eat.
zts21509e	Welcome. There's lots of delicious food here. Where have you been lately? I haven't seen you for a while.
zts21510e	I've just come back from a new island called Moritius.
zts21511e	Oh, maybe you brought me back a present? Hehe.
zts21512e	Wait... I've got one of the local specialities. Here you are. (You give her a Cherry Apple.)
zts21513e	I've never seen an apple like this. Does it taste sweet?
zts21514e	Yes, very sweet and a little sour. It's called a 'Cherry Apple'.
zts21515e	Thank you! I'll try it later. You can have a few dishes for free in return.
zts21516e	Thank you! I should eat something tasty to get rid of the taste in my mouth.
zts21517e	Oh, I forgot to tell you something. Mimi Mentor was looking for you a while ago. She looked as if it was urgent.
zts21518e	Mimi Mentor? Then I had better go to her.
zts21519e	You've received an express letter from Mortaz. I think it's about something urgent.
zts21520e	Thank you! Who sent me this letter, I wonder? (You open the letter and read it.)
zts21521e	It's from Propga: 'Some terrible things have happened to me. My son Licapga has disappeared. Lots of people have disappeared, but this is the first time it has happened to a child. I already asked our chief for help, and he sent out the guards to search for Licapga. But they didn't find my son. You are my only hope now. Please help me!'
zts21522e	Oh, that really is urgent. I must go to Mortaz Desert Harbour.
zts21523e	I understand. Take care.
zts21524e	Thanks. Bye!
zts21525e	(I've arrived at Mortaz Desert Harbour. I should find Propga before anything else.)
zts21526e	Act 7 - Licapga Is Missing
zts21527e	Hello, Propga. Is it true what you wrote to me about?
zts21528e	Oh. I've been waiting for you. Thank you for coming. Yes, unfortunately it is true.
zts21529e	We've no time to lose. Tell me everything on the way.
zts21530e	Yes. Hurry!
zts21531e	Okay. Let's go.
zts21532e	Yes. Hurry!
zts21533e	(We're back on Moritius Island. I need to know exactly what happened.)
zts21534e	Act 7 - The Search for Licapga
zts21535e	Can you describe to me in a bit more detail what happened with your son?
zts21536e	It was about two weeks ago... We were supposed to deliver fish to the village that day. Loading the fish boxes on to the carts took longer than usual and it was already getting dark. As there weren't so many monsters, thanks to you, we decided to deliver the fish at night. Licapga insisted on coming along. I was against it at first, but I allowed him to in the end. The majority of the journey was safe. But when we turned onto the Woodland Path, merlings, sirens and satyri appeared, wanting to take our fish. I ordered Licapga to hide, and fought the monsters together with our guards. Eventually, we had defeated them all. But then I noticed that Licapga had disappeared. We searched the entire forest for him, but we couldn't find him. I should never have allowed him to accompany me.
zts21537e	Don't blame yourself. He's bound to be somewhere safe. I'll go to the Woodland Path and look for tracks.
zts21538e	Thank you very much. I'll wait here in case my son comes back on his own.
zts21539e	Yes. That's a good idea.
zts21540e	(I'd better look around for clues relating to Licapga first.)
zts21541e	(There are a few small footprints here. It's clear that they belong to Licapga. But there are also larger footprints here, too. Whose can they be? Someone must have been with Licapga.)
zts21542e	(I've found footprints belonging to Licapga and someone else.  Where were they going, I wonder?)
zts21543e	(Perhaps they were heading to the Spirit Forest. I'm worried about him as the spirits are still dangerous.)
zts21544e	(Based on the tracks, I assume that the unknown person knows where the spirits are.)
zts21545e	Act 7 - The Entrance
zts21546e	(This doll looks like Licapga's. Why has he come so deep into the forest?)
zts21547e	(There are no more footprints here. He must be close by. I'll have a look around here as soon as I've defeated the spirits blocking my way.)
zts21548e	Act 7 - Into the Unknown
zts21549e	(There's a crack with a draft coming from it near the ground. It must be a secret door. I'll just go through it.)
zts21550e	Act 7 - The Strange Prison
zts21551e	(Why are orcs standing guard here? That's strange. Anyway, I've got to find Licapga.)
zts21552e	Are you Licapga?
zts21553e	Yes. Who are you?
zts21554e	I'm a friend of your father's. Let's get out of here.
zts21555e	Thanks. But there are more of us here.
zts21556e	We'll talk about that later. Enemies are approaching.
zts21557e	Okay. Please rescue them later.
zts21558e	Yes. I promise.
zts21559e	Act 7 - The Truth about the Prison
zts21560e	At last, we're out of the cave. Let's go to Propga before the strange orcs come.
zts21561e	Act 7 - A Helping Hand
zts21562e	Dad!
zts21563e	Oh, thank the heavens! Are you okay, son?
zts21564e	Yes. Your friend is very strong. He saved me.
zts21565e	You saved my son's life.  Thank you, I appreciate it.
zts21566e	You're welcome. Oh, by the way, there's a cave in the forest that's being used as a prison. It's being guarded by orcs. Licapga was held there, and there are more prisoners.
zts21567e	Yes, I know. My aunt and uncle who live in the house next door are also locked up there. The orcs there beat them.
zts21568e	That means... that some orcs are communicating with the demons.
zts21569e	Yes. I think so, too. If it's true, I won't manage all of them alone. I'll need help. But we can't trust anyone in the village. Not even your chief.
zts21570e	Who's going to help us, then?
zts21571e	Ah! The heroes' descendants are independent of the village. Or not?
zts21572e	That's right. All that interests them is their training and the safety of Moritius.
zts21573e	Yes. I'll ask them for help. First, I'll go and see Taitur not far from here.
zts21574e	Taitur, we need your help.
zts21575e	Forget it. I've got enough to do fighting the monsters and demons.
zts21576e	Some orcs are in cahoots with the demons and are kidnapping your people.
zts21577e	Really? That's nasty. Where are they?
zts21578e	Deep in the Spirit Forest.
zts21579e	Datitus is responsible for that region. How could he let this happen? Let's go.
zts21580e	Wait! The monsters and demons are coming!
zts21581e	Damn it! We need to take care of them first.
zts21582e	Yes. With our powers combined.
zts21583e	I'll go straight to the prison. Bring the others here.
zts21584e	Yes. Understood.
zts21585e	I need your help, Asgothi.
zts21586e	Is this about the Spirit Forest?
zts21587e	Yes. So you know already. But why haven't you mentioned the prison?
zts21588e	I didn't know because the loa didn't tell me. That means even the loa haven't picked up on it. The prison must be protected by powerful magic. Only high-ranking angels or demons, as well as the Demon God, can use this magic. As demons are spreading across our island, the Demon God could be behind it.
zts21589e	That sounds logical. But first we have to rescue the people in the prison.
zts21590e	You're right... Wait! Can you feel this strange energy, too?
zts21591e	Yes. I can feel a very unpleasant energy.
zts21592e	It's a kind of binding magic! I can't move an inch. What about you?
zts21593e	I can move. What should I do?
zts21594e	Demons have left magical objects here to bind me. Find and destroy them.
zts21595e	Understood. I'll hurry.
zts21596e	(I've destroyed all of the strange objects. Hopefully Asgothi will be able to move again.)
zts21597e	Can you move now?
zts21598e	Yes. Great work! Thank you for your help. I'll go to the prison now.
zts21599e	Okay. I'll ask Cottari and Datitus for help.
zts21600e	Cottari. We have serious problems.
zts21601e	Get your breath back first. What's happened?
zts21602e	Some orcs are joining forces with the Demon God and demons. They've kidnapped people from the village and locked them up in the Spirit Forest. We must rescue the villagers.
zts21603e	That's really nasty. Let's go right away.
zts21604e	Hmm? Where's the smoke coming from?
zts21605e	My animals are getting restless. The smoke is obviously making them aggressive.
zts21606e	Please find out what's causing the smoke and put a stop to it. I'll try to calm my animals down.
zts21607e	Understood. Be careful until I get back.
