zts1e	Odpoczynek
zts1791e	Trzy wichury z ró¿nych kierunków ³¹cz¹ siê w jeden gigantyczny tajfun.
zts1792e	Wielki trójz¹b
zts1793e	Wielki trójz¹b wytwarza pole magnetyczne.
zts1794e	B³ogos³awieñstwo oceanu
zts1795e	B³ogos³awieñstwo oceanu obdarza graczy œwiêt¹ aur¹.
zts1796e	B³yskawica
zts1797e	B³yskawica spala twojego wroga, a dodatkowo uderza w niego piorun.
zts1798e	Czas karmienia
zts1799e	Wypuœæ swojego g³odnego rekina. Pop³ynie on prosto na przeciwnika, nawet jeœli jest on w oddali, i z wielkim smakiem wbije w niego swoje szczêki.
zts1800e	Olbrzymi wir
zts1801e	Olbrzymi wir mo¿na wywo³aæ w wybranym miejscu. Przeciwnicy zostan¹ poddani wirowaniu i przez to stan¹ siê powolniejsi.
zts1802e	Pieœñ syren
zts1803e	Pieœñ syren omamia przeciwników i zapadaj¹ oni w g³êboko sen.
zts1804e	Tsunami
zts1805e	Przeciwnicy zostan¹ sp³ukani przez potworn¹ falê.
zts1806e	Bañka wodna
zts1807e	Za pomoc¹ tej umiejêtnoœci mo¿esz wytworzyæ bañkê wodn¹, która ochroni ciê przed atakami przeciwnika. Efekt ten znika po otrzymaniu okreœlonej iloœci obra¿eñ.
zts1808e	Uwaga, p³etwal b³êkitny!
zts1809e	P³etwal b³êkitny spada z nieba na przeciwnika.
zts1810e	Podwójna b³yskawica
zts1811e	Przez podwójn¹ b³yskawicê przeciwnik doznaje poparzeñ.
zts1812e	Atak ¿ywio³ów to podstawowy atak kusz¹.
zts1813e	Pikuj¹cy sokó³
zts1814e	Sokó³ otrzymuje od ciebie rozkaz ataku. Umiejêtnoœæ ta aktywuje z pewnym prawdopodobieñstwem najwy¿szy poziom obrotowej strza³y.
zts1815e	Ruchoma pu³apka
zts1816e	Zastawiasz ruchom¹ pu³apkê na przeciwnika.
zts1817e	Szpieguj
zts1818e	Sokó³ rozpoczyna poœcig za wybranym przez ciebie celem.
zts1819e	Unik
zts1820e	Zaatakuj wroga i szybko wycofaj siê.
zts1821e	Witalnoœæ
zts1822e	Wzmocnij swoj¹ witalnoœæ za pomoc¹ energii lasu.
zts1823e	Strza³a mgielna
zts1824e	Strza³a mgielna sprawia, ¿e twoi wrogowie ton¹ w ob³oku pary, co ogranicza ich pole widzenia.
zts1825e	Wyostrzony zmys³ soko³a
zts1826e	Dziêki swoim wyostrzonym zmys³om sokó³ jest w stanie zidentyfikowaæ i zaatakowaæ najs³abszego przeciwnika. W wyniku ataku zostanie on oznaczony.
zts1827e	B³yskawiczne ³adowanie
zts1828e	Dziêki tej umiejêtnoœci mo¿esz z niezwyk³¹ szybkoœci¹ ponownie za³adowaæ strza³ê. Dziêki temu masz du¿¹ szansê na aktywowanie umiejêtnoœci ³¹czenia. B³yskawiczne ³adowanie mo¿na jednak po³¹czyæ tylko piêæ razy.
zts1829e	Zasadzka
zts1830e	Teleportujesz siê do wybranego miejsca i przez pewien czas pozostajesz w ukryciu, aby móc zaatakowaæ cel z zasadzki.
zts1831e	Snajper
zts1832e	Zaatakuj przeciwnika ze znacznej odleg³oœci i zadaj mu krytyczne obra¿enia, zmieniaj¹c siê w [Snajpera] strzelaj¹cego z [Zasadzki].
zts1833e	Obrotowa strza³a - poziom 1
zts1834e	Wystrzeliwujesz za pomoc¹ kuszy obrotow¹ strza³ê, która przebija wszystkich wrogów w prostej linii.
zts1835e	Obrotowa strza³a - poziom 2
zts1836e	Wystrzeliwujesz za pomoc¹ kuszy obrotow¹ strza³ê, która przebija wszystkich wrogów w linii prostej. Po tej umiejêtnoœci otrzymujesz efekt, który znakomicie przygotuje ciê do umiejêtnoœci [Zasadzka].
zts1837e	Obrotowa strza³a - najwy¿szy poziom
zts1838e	Umiejêtnoœæ obrotowa strza³a - najwy¿szy poziom jest porównywalna do œmiertelnego uderzenia. Istnieje du¿e prawdopodobieñstwo, ¿e przeciwnik otrzyma krytyczne obra¿enia.
zts1840e	Sokó³ szpieg
zts1841e	W po³¹czeniu z umiejêtnoœci¹ [Szpieguj] sokó³ bêdzie œledzi³ twojego wroga.
zts1842e	Sokó³ myœliwski
zts1843e	W kombinacji z umiejêtnoœci¹ [Szpieguj] twój wróg bêdzie œcigany i atakowany przez soko³a z powietrza.
zts1853e	Pieœñ syren omamia wrogów i pogr¹¿a ich w g³êbokim œnie. W walce PvP czas trwania efektu zostaje skrócony o po³owê.
zts1854e	Polowanie na owce
zts1855e	Przywo³aj uczestnika nr 2
zts1856e	2. uczestnik zostaje przywo³any na arenê i mo¿esz z nim walczyæ przez 30 sekund.
zts1857e	Przywo³aj uczestnika nr 3
zts1858e	3. uczestnik zostaje przywo³any na arenê i mo¿esz z nim walczyæ przez 30 sekund.
zts1859e	Zmieñ podgl¹d
zts1860e	Zamienia w³asny podgl¹d na podgl¹d walcz¹cego uczestnika. Po ponownym u¿yciu powrócisz do pierwotnego podgl¹du.
zts1861e	Przywo³aj uczestnika numer 1
zts1862e	1. uczestnik zostaje przywo³any na arenê i mo¿esz z nim walczyæ przez 30 sekund.
zts1866e	Rzucanie ¿o³êdziem
zts1867e	Przeszkadzanie
zts1868e	Pchniêcie no¿em
zts1869e	Piorun
zts1870e	Sztylet do rzucania
zts1871e	Taniec p³omieni
zts1872e	B³yskawiczny atak
zts1873e	Bieg ciemnoœci
zts1874e	Szkic
zts1875e	Fascynacja
zts1876e	Potêga ciemnoœci
zts1877e	Czarodziejska kula
zts1878e	Wystrzeliwuje mroczn¹ czarodziejsk¹ kulê.
zts1879e	Zamêt
zts1880e	Unicestwia umys³ przeciwnika, który podczas zamêtu przez pewien czas otrzymuje obra¿enia.
zts1881e	Klatka œmierci
zts1882e	Zamyka wroga w ciemnym wiêzieniu. Przeciwnik odczuwa strach i nie mo¿e przeprowadziæ ¿adnej akcji. Zadaje mu obra¿enia po zniszczeniu klatki.
zts1883e	Migniêcie
zts1884e	Szybko teleportuje do przodu. Zostaje zastosowane krótkie wzmocnienie.
zts1885e	Rêce kl¹twy
zts1886e	Zadaje obra¿enia poprzez na³o¿enie r¹k kl¹twy na przeciwnika.
zts1887e	Iluzja
zts1888e	Zmienia efekt lecz¹cy wroga w debuff. Dotyczy to tak¿e eliksirów lecz¹cych. Kierowanie postaci¹ zostaje odwrócone. Potwory zaczynaj¹ odczuwaæ strach.
zts1889e	Ekstrakcja many
zts1890e	Z pewnym prawdopodobieñstwem zadaje obra¿enia i kradnie celowi PM.
zts1891e	Mentalna absorpcja
zts1892e	Przemienia kolejne otrzymane przez wroga obra¿enia we w³asne P¯. Przywrócone P¯ znikaj¹ po 10 sekundach. Gdy wszystkie P¯ zostan¹ zu¿yte, na koniec mimo wszystko pozostanie 1 P¯, dlatego nie jest to efekt œmiertelny.
zts1893e	Konwerter ostrza
zts1894e	Przemienia czarodziejskie kule w ostrza, którymi bez przerwy siê strzela.
zts1895e	Strata czasu
zts1896e	Zwiêksza czas odnowy umiejêtnoœci przeciwnika. Jeœli zastosowanie umiejêtnoœci siê powiedzie, twój czas ponownego u¿ycia umiejêtnoœci zostanie skrócony.
zts1897e	Super Abrakadabra
zts1898e	Gigantyczny czar zakazanej magii. Uwalnia wszystkie magiczne super si³y.
zts1907e	Szybko teleportuje naprzód. Z pewnym prawdopodobieñstwem umiejêtnoœæ tê mo¿na stosowaæ bez przerwy.
zts1912e	Diabelski strza³
zts1913e	Atakuje przeciwnika w formie ataku podstawowego ³owcy demonów.
zts1914e	Grad kul
zts1915e	Celuje w przeciwnika i raptownie odpala rewolwer.
zts1916e	Ostrze miotane
zts1917e	Po oddaniu strza³u umo¿liwia atak w formie uderzenia.
zts1918e	Przera¿aj¹cy deszcz
zts1919e	Wyrzuca w niebo duchy furii. Zadaje ka¿demu celowi w zasiêgu obra¿enia.
zts1920e	Wahad³o grozy 1
zts1921e	Strzela i atakuje. Mo¿na go u¿yæ maksymalnie 3 razy.
zts1922e	Upiorny strza³
zts1923e	£aduje amunicjê z ¿¹dnymi zemsty duchami i wystrzeliwuje j¹ w kierunku wroga. Zadaje powa¿ne obra¿enia i ciê¿ko go rani.
zts1924e	Duch furii
zts1925e	Bêdzie silniejszy w przypadku odniesienia obra¿eñ.
zts1926e	Przywo³anie duchów
zts1927e	Wystrzeliwuje amunicjê w linii prostej, przyzywa duchy i atakuje wroga.
zts1928e	Duchowa eksplozja
zts1929e	Uwalnia przepotê¿ne duchy. Na krótki czas og³usza przeciwnika.
zts1930e	Opêtanie
zts1931e	Duch wroga zosta³ opêtany. Przez pewien czas zadaje obra¿enia. Po zakoñczeniu efektu zostaje on przeniesiony na nastêpnego przeciwnika w pobli¿u.
zts1932e	Rozp³atanie duszy
zts1933e	Przyzywa rozp³atanie duszy i atakuje z du¿ego dystansu. Wróg ulega szokowemu stê¿eniu.
zts1934e	Wahad³o grozy 2
zts1935e	Wahad³o grozy 3
zts1936e	Wahad³o nowiu ksiê¿yca
zts1937e	Mrok atakuje przeciwnika, gdy ten znajdzie siê na drodze.
zts1938e	Kosa kosiarza
zts1939e	Atakuje przeciwnika za pomoc¹ gigantycznej kosy.
zts1940e	Rozpruwacz
zts1941e	Szatkuje przeciwnika za pomoc¹ ostrej klingi kosy na kawa³ki.
zts1942e	Krwiopijca
zts1943e	Wszyscy w pobli¿u zostaj¹ poszatkowani, a pewna iloœæ P¯ zostaje z nich wyssana.
zts1944e	Œmieræ jest blisko
zts1945e	Rusza w kierunku wroga i atakuje z ma³ej odleg³oœci.
zts1946e	Rêbacz dusz
zts1947e	Odpiera przeciwników znajduj¹cych siê z przodu i z ty³u i spowalnia ich.
zts1948e	Ultymatywny pancerz
zts1949e	Ultymatywny pancerz zwiêksza obronê i szansê oprzeæ siê wymuszonym ruchom. Efekt ten znika po otrzymaniu okreœlonej iloœci obra¿eñ.
zts1950e	£owca duchów
zts1951e	Przyci¹ga wrogów w kr¹g zasiêgu postaci. Z pewnym prawdopodobieñstwem u¿ywa efektu [duchowej absorbcji].
zts1952e	Kosa œmierci
zts1953e	Rzuca w przeciwnika kos¹ i pozostawia na nim [znak œmierci].
zts1954e	Mrok œmierci
zts1955e	Z pewnym prawdopodobieñstwem nak³ada na przeciwników znajduj¹cych siê w oddali [znak œmierci]. Przeciwnikom z efektem [znak œmierci] zadaje dodatkowe obra¿enia. Potwory zaczynaj¹ odczuwaæ strach.
zts1956e	Konwerter czasu
zts1957e	Zmniejsza czas odnowy umiejêtnoœci o 20%. Gdy u¿yta zostanie [duchowa absorpcja], czas ponownego u¿ycia umiejêtnoœci zmniejszy siê o 80%. Duch zniknie.
zts1958e	Duchowe rozszczepienie
zts1959e	Wyskakuje wysoko w górê i zahacza o wroga w pozycji, w której ten siê aktualnie znajduje. Zadaje obra¿enia tylko jednemu przeciwnikowi. Przeciwnikom z efektem [znak œmierci] zadaje dodatkowe obra¿enia. [Znak œmierci] wroga oraz twój efekt [konwerter czasu] znikn¹.
zts1970e	Zamyka wroga w stalowej klatce. Zadaje obra¿enia, gdy klatka siê rozleci.
zts1971e	Zadaje obra¿enia, k³ad¹c rêce kl¹twy na wrogu.
zts1972e	Sprawia, ¿e cel staje siê gospodarzem, a duch przenosi siê na przeciwników w pobli¿u.
zts1973e	Zmniejsza czas odnowy umiejêtnoœci o 10%. Gdy u¿yta zostanie [duchowa absorpcja], czas ponownego u¿ycia umiejêtnoœci zmniejszy siê o 80%. Duch zniknie.
zts1979e	S³odka i Urocza
zts1980e	Dziewiêæ Ogonków!
zts1981e	Przenikliwe zawodzenie
zts1986e	Haiya
zts1987e	Szaleñstwo
zts1988e	Panowanie tygrysa
zts1989e	Mieczokineza
zts1990e	Wykorzystuje pozyskan¹ przez kinezê energiê do ataku mieczem.
zts1991e	Pojedynczy rzut
zts1992e	Rzuca mieczem, atakuj¹c przeciwnika.
zts1993e	Wybuchowy
zts1994e	Miecz leci do przeciwnika i wybucha.
zts1995e	Promieñ miecza
zts1996e	Odbija œwiat³o ostrza, oœlepia przeciwnika i wywo³uje negatywny efekt przy dodatkowych obra¿eniach.
zts1997e	Ciapacz cieni
zts1998e	Cel i jego cieñ zostaj¹ osadzane w miejscu, w celu unieruchomienia.
zts1999e	Powierzchnia uderzenia
zts2000e	Miecz stoi na ziemi i nieustannie atakuje przeciwników.
zts2001e	£amacz nóg
zts2002e	Spowalnia cel, wbijaj¹c miecz w jego nogê.
zts2003e	Miotacz mieczy
zts2004e	Wiele mieczy wyrzuconych zostaje do ataku.
zts2005e	Bij¹ce ostrze
zts2006e	Ostrze zostaje wyrzucone w kierunku celu i powoduje du¿y wybuch oraz krwawienie u przeciwnika.
zts2007e	Trzêsienie mieczy
zts2008e	Przywo³uje olbrzymi miecz, który stoi na ziemi i atakuje.
zts2009e	9 ostrzy
zts2010e	Przywo³uje dziewiêæ ostrzy, które s¹ wypuszczane w kierunku celu.
zts2024e	Taniec diabe³ka
zts2025e	Klon diabe³ka
zts2026e	Kapelusz diabe³ka
zts2027e	Jaœniej¹cy Wyrok
zts2028e	Znak Œwiat³a
zts2029e	W Imiê Boga
zts2030e	Mieczowy Malunek
zts2031e	Atakuje przeciwnika ca³¹ energi¹ miecza.
zts2032e	Lataj¹cy Brzeszczot
zts2033e	Rzuca mieczem i zadaje wielokrotne obra¿enia.
zts2034e	K³uj¹cy Wybuch
zts2035e	Droga miecza to tak¿e droga eksplozji.
zts2036e	Miecz Sprawiedliwoœci
zts2037e	Miecz u¿ywa mocy œwiat³a i zadaje przeciwnikowi obra¿enia.
zts2038e	Cienisty Splot
zts2039e	Oœlepia przeciwnika przy u¿yciu cienia.
zts2040e	B³yskawiczne Ostrze
zts2041e	Wbija miecz w ziemiê i zadaje naoko³o obra¿enia.
zts2042e	Tnij i Zwiewaj
zts2043e	Na dolnej czêœci cia³a przeciwnika pozostawia ranê, która spowalnia jego ruchy.
zts2044e	Czarodziejskie Okowy
zts2045e	Absorbuje moc miecza.
zts2046e	Meteorowe Uk³ucie
zts2047e	Rzuca miecz w kierunku przeciwnika i detonuje go z œwietlistym hukiem.
zts2048e	Miecz Bogów
zts2049e	Przywo³uje olbrzymi miecz, który potrafi wwiercaæ siê w ziemiê i zadawaæ obra¿enia.
zts2050e	Duchowa Dzida
zts2051e	Przywo³uje dziewiêæ ostrzy, które wielokrotnie rani¹ przeciwnika.
zts2052e	P³omieñ
zts2053e	Energia Ognia
zts2054e	Lód
zts2055e	Energia Wody
zts2056e	Aureola
zts2057e	Energia Œwiat³a
zts2058e	Zaæmienie
zts2059e	Energia Cienia
zts2060e	Bez ¿ywio³u
zts2061e	Œwietlne Zaklêcie
zts2062e	Zapamiêtuje zaklêcie, by zaatakowaæ wroga.
zts2063e	Katalizator Œwiat³a
zts2064e	Rozsypuje Œwiec¹cy Proszek, który nastêpnie eksploduje. W ten sposób oznacza cel.
zts2065e	Ucisk
zts2066e	Osnuwa cia³o przeciwnika, zadaj¹c mu obra¿enia i spowalniaj¹c go.
zts2067e	Œwiêty Pryzmat
zts2068e	Wykorzystuje mieni¹ce siê œwiat³o do ataku.
zts2069e	Œwiêta Eksplozja
zts2070e	Rani przeciwnika za pomoc¹ œwiêtego œwiat³a. Zadaje przeciwnikom oznaczonych Œwiec¹cym Proszkiem dodatkowe obra¿enia.
zts2071e	Pas do wyprzedzania
zts2072e	Maksymalizacja umiejêtnoœci.
zts2073e	Mistrz Czarodziejskich Ksi¹g
zts2074e	Umo¿liwia bardzo wydajne u¿ycie czarów.
zts2075e	Sakralna Mg³a
zts2076e	Tylko œwiêty krzy¿ wska¿e drogê poœród gêstej mg³y.
zts2077e	Masowy Teleporter
zts2078e	Teleportuje cz³onków do zapamiêtanego miejsca.
zts2079e	Grad meteorów
zts2080e	Sprawia, ¿e na przeciwnika spada grad meteorów.
zts2081e	Oœwiecenie
zts2082e	Wszyscy cz³onkowie otrzymuj¹ b³ogos³awieñstwo.
zts2083e	Uderzenie Œwiat³a
zts2084e	Cierniogon
zts2085e	Zapach kl¹twy
zts2088e	Œwiat³o & Mrok
zts2089e	Atakuje moc¹ œwiêtego miecza i zmierzchu.
zts2090e	Œwiêty miecz zadaje podwójn¹ ranê k³ut¹.
zts2091e	Wyrok Potêpienia
zts2092e	Wytwarza energiê falow¹, która jest w stanie przenikn¹æ wszystko.
zts2093e	Sprawiedliwoœæ
zts2094e	Przywo³uje olbrzymi œwiêty miecz.
zts2095e	Podwójny Rozpruwacz
zts2096e	Porusza siê naprzód, wymachuj¹c przy tym mieczem.
zts2097e	Œwiêtoœæ
zts2098e	Stwarza œwiec¹c¹ barierê do ataku na przeciwnika.
zts2099e	Zap³on
zts2100e	Maksymalizuje obra¿enia od ataku poprzez u¿ycie œwiêtej i mrocznej energii.
zts2101e	Krzy¿owe Ostrze
zts2102e	Wymachuje œwiêtym mieczem w zawrotnym tempie i przecina przestrzeñ.
zts2103e	Antyzap³on
zts2104e	Maksymalizacja obrony poprzez u¿ycie œwiêtej i mrocznej energii.
zts2105e	Zepsucie
zts2106e	Wywo³uje strach i trwogê u przeciwników z elementem cienia.
zts2107e	Konwersja
zts2108e	Boska broñ. Potrafi rozp³ataæ wszystko i wszystkich za pomoc¹ œwiêtego miecza.
zts2112e	Bolec Zapalny
zts2113e	Legendarne Zatrzêsienie
zts2114e	ZapowiedŸ Walki
zts2124e	Rozp³atanie
zts2125e	Uk³ucie
zts2126e	Wymach Biodrem
zts2129e	Big Bang
zts2130e	Strza³, który posy³a pod niebiosa.
zts2131e	Ogieñ wspomagaj¹cy
zts2132e	Modlitwa Ancelloan
zts2133e	Stajesz siê mocniejszy na duchu i ciele poprzez dzia³anie energii Ancelloan.
zts2134e	Poziom Ancelloan
zts2135e	Wypiera wroga za pomoc¹ mocy Ancelloan.
zts2136e	Pojawienie siê Ancelloan
zts2137e	Stajesz siê mocniejszy na duchu i ciele poprzez dzia³anie energii Ancelloan. U¿ycie esencji Ancelloan.
zts2138e	Z³oœæ Ancelloan
zts2139e	Wypiera wroga za pomoc¹ mocy Ancelloan. Bez efektu na potwory. Tylko po u¿yciu Pojawienia siê Ancelloan.
zts2143e	Apogeum Mrozu
zts2144e	Wybuchowa Bañka
zts2145e	B³yskawiczne Och³odzenie
zts2146e	Zwi¹zanie Mrozem
zts2147e	Lodowaty Deszcz
zts2148e	Zas³ona
zts2149e	Krojczy Wiatru
zts2150e	Statek Duchów
zts2151e	Kotwica Grzmotu
zts2152e	[Pocz¹tkuj¹cy] Zwiêkszenie obra¿eñ w PvP
zts2153e	Zwiêksza obra¿enia w PvP o 1%.
zts2154e	[Œredni] Zwiêkszenie obra¿eñ w PvP
zts2155e	Zwiêksza obra¿enia w PvP o 2%.
zts2156e	[Zaawansowany] Zwiêkszenie obra¿eñ w PvP
zts2157e	Zwiêksza obra¿enia w PvP o 3%.
zts2158e	[Mistrz] Zwiêkszenie obra¿eñ w PvP
zts2159e	Zwiêksza obra¿enia w PvP o 5%.
zts2160e	[Pocz¹tkuj¹cy] Zwiêkszenie obrony w PvP
zts2161e	Zwiêksza obronê w PvP o 5%.
zts2162e	[Œredni] Zwiêkszenie obrony w PvP
zts2163e	Zwiêksza obronê w PvP o 2%.
zts2164e	[Zaawansowany] Zwiêkszenie obrony w PvP
zts2165e	Zwiêksza obronê w PvP o 3%.
zts2166e	[Mistrz] Zwiêkszenie obrony w PvP
zts2167e	Memoria³ zapomnianego bohatera D (1)
zts2168e	Zwiêksza si³ê fizyczn¹ o 80.
zts2169e	Memoria³ zapomnianego bohatera S (1)
zts2170e	Zwiêksza zrêcznoœæ o 80.
zts2171e	Memoria³ zapomnianego bohatera J (1)
zts2172e	Zwiêksza bystroœæ o 80.
zts2173e	Memoria³ zapomnianego bohatera M (1)
zts2174e	Zwiêksza maks. P¯ o 4000.
zts2175e	Memoria³ zapomnianego bohatera (1)
zts2176e	Zwiêksza liczbê maks. PM o 4000.
zts2177e	Strategia obrony Rycerzy Lorda Cuarry (1)
zts2178e	Zwiêksza ca³¹ si³ê obrony o 30.
zts2179e	Strategia ataku Rycerzy Lorda Cuarry (1)
zts2180e	Zwiêksza ca³¹ si³ê ataku o 30.
zts2181e	PrzyjaŸñ wró¿ek (1)
zts2182e	Zwiêksza odpornoœci na ¿ywio³y o 10.
zts2183e	Historia Aureliusa Roshu (1)
zts2184e	Zwiêksza pozyskiwanie punktów doœwiadczenia o 3%.
zts2185e	Memoria³ handlarzy Akamur (1)
zts2186e	Zwiêksza pozyskiwanie z³ota o 3%.
zts2220e	Zwiêksza obronê w PvP o 1%.
zts2221e	Uderzenie Misia
zts2222e	Atak z Rozbiegu
zts2223e	Gigantomania
zts2224e	Cyrk œmierci
zts2225e	Czarodziejska sztuczka
zts2226e	Zaskoczenie
zts2227e	Wielki Grom
zts2228e	Uderza we wroga w formie kilku gwa³townych piorunów.
zts2229e	Megamandra
zts2230e	Pêta
zts2231e	Zmiana Miejsca
zts2232e	Niszczyciel Os³ony
zts2233e	Bomba kwiatowa
zts2234e	Tarcza ochronna
zts2235e	Memoria³ zapomnianego bohatera D (2)
zts2236e	Zwiêksza si³ê fizyczn¹ o 100.
zts2237e	Memoria³ zapomnianego bohatera S (2)
zts2238e	Zwiêksza zrêcznoœæ o 100.
zts2239e	Memoria³ zapomnianego bohatera J (2)
zts2240e	Zwiêksza bystroœæ o 100.
zts2241e	Memoria³ zapomnianego bohatera M (2)
zts2242e	Zwiêksza maks. P¯ o 6000.
zts2243e	Memoria³ zapomnianego bohatera (2)
zts2244e	Zwiêksza maks. PM o 6000.
zts2245e	Strategia obrony Rycerzy Lorda Cuarry (2)
zts2246e	Zwiêksza ca³¹ si³ê obrony o 50.
zts2247e	Strategia ataku Rycerzy Lorda Cuarry (2)
zts2269e	Zwiêksza ca³¹ si³ê ataku o 50.
zts2270e	Reputacja wikinga
zts2271e	Wola wojownika
zts2272e	B³ogos³awieñstwo Anio³a Zemsty
zts2273e	Stra¿niczka Dusz
zts2278e	Reputacja wikinga zmniejsza wrogoœæ twoich wrogów.
zts2279e	Ragnar, s³awy wiking, ujarzmia swych wrogów si³¹ woli.
zts2280e	Kto otrzyma b³ogos³awieñstwo Anio³a Zemsty, tego bogowie bior¹ w ochronê.
zts2281e	Zadaniem Anio³a Œmierci jest oczyœciæ dusze poleg³ych i zanieœæ je do Walhalli.
zts2287e	B³ogos³awieñstwo Matki Natury
zts2288e	Przenosi b³ogos³awieñstwo natury na innych.
zts2289e	Po¿ar many
zts2290e	Wikingowie, kontroluj¹cy w³asn¹ manê, mog¹ zu¿ywaæ manê swoich przeciwników.
zts2297e	Mo¿esz zaatakowaæ wrogiego potwora. Aby u¿yæ, wciœnij 'A'.
zts2298e	Mo¿esz zaatakowaæ przeciwnika.
zts2299e	Aby u¿yæ, wciœnij 'S'. Jeœli cia³o zostanie zamro¿one wskutek ataku przeciwnika, sprzymierzony gracz musi je rozmroziæ w ci¹gu 10 sekund. W przeciwnym razie gracz zginie.
zts2300e	Pu³apka
zts2301e	Jennifer, bêd¹ca doskona³ym strzelcem, potrafi ustawiæ pu³apki, które obezw³adni¹ przeciwnika.
zts2302e	Ulepszona blokada
zts2303e	Gotowie dysponuj¹ odpornoœci¹, która chroni ich przed negatywnymi efektami.
zts2305e	Uderzenie Upiora
zts2306e	Zmniejszenie Ciemnoœci
zts2307e	Duma Wikinga
zts2322e	Odgromnik
zts2323e	Po tym jak zbada³ potê¿n¹ moc piorunów, by³ w stanie siê w koñcu opanowaæ.
zts2324e	Zakazany Czar
zts2325e	Yertirand by³ sfrustrowany swoimi w³asnymi granicami, poniewa¿ chcia³ staæ siê mocniejszy. W ten sposób sta³ siê zale¿ny od zakazanego czaru.
zts2327e	B³êdny Pêd
zts2329e	Inspiracja
zts2330e	¯¹dza Krwi
zts2331e	Wynochobus
zts2332e	Kuaaa!
zts2333e	Powalasz uciekaj¹cych wrogów jednym ciosem.
zts2334e	Zgruchotanie
zts2335e	Powal wroga uderzeniem ramieniem na ziemiê!
zts2336e	Bilet do Krainy Snów
zts2337e	Magiczny sen, któremu nikt nie mo¿e siê oprzeæ.
zts2338e	Przywo³aj obiekt doœwiadczalny
zts2339e	Przywo³ujesz obiekt doœwiadczalny, przez co zwiêksza siê jego szybkoœæ poruszania siê.
zts2340e	Przemo¿ne pragnienie
zts2341e	Elektrostatyczne wy³adowanie
zts2342e	Zwyk³y cios
zts2343e	Rêczny atak podstawowy mistrza sztuk walki.
zts2344e	Seria ciosów
zts2345e	Kilka szybko nastêpuj¹cych po sobie ciosów.
zts2346e	Cios karate
zts2347e	Atak w postaci potê¿nego ciosu.
zts2348e	Blok krawêdzi¹ rêki
zts2349e	Odpiera ataki przeciwników.
zts2350e	Kopniêcie boczne
zts2351e	No¿ny atak podstawowy mistrza sztuk walki.
zts2352e	Seria kopniêæ
zts2353e	Kilka szybko nastêpuj¹cych po sobie kopniêæ.
zts2354e	Kopniêcie z pó³obrotu
zts2355e	Potê¿ne kopniêcie obrotowe.
zts2356e	Kopniêcie w kostkê
zts2357e	Szybkie kopniêcie w doln¹ czêœæ cia³a przeciwnika daj¹ce negatywny efekt.
zts2358e	Fala uderzeniowa
zts2359e	Uderza przeciwnika potê¿n¹ fal¹ energii.
zts2360e	Odzyskanie energii
zts2361e	Przywraca P¯ za pomoc¹ nagromadzonej energii.
zts2362e	Potê¿ne cia³o
zts2363e	Zwiêksza si³ê ataku za pomoc¹ energii.
zts2364e	Zwinne cia³o
zts2365e	Zwiêksza szybkoœæ ruchu za pomoc¹ energii.
zts2366e	Medytacja
zts2367e	Kumuluje energiê do nastêpnego ataku za pomoc¹ medytacji.
zts2368e	Szybkie kroki
zts2369e	Szybkie ruchy dziêki æwiczeniom fizycznym.
zts2370e	Przyczajenie
zts2371e	Pozwala 3-krotnie u¿yæ umiejêtnoœci bez odczekiwania czasu regeneracji.
zts2372e	Wzmocniona rêkawica poziom 1
zts2373e	Zwiêksza si³ê podstawowego ataku krótkodystansowego.
zts2374e	Specjalizacja na roœliny niskiego poziomu
zts2375e	Zwiêksza si³ê ataku krótkodystansowego przeciwko roœlinom niskiego poziomu.
zts2376e	Wybuchowy cios
zts2377e	Atakuje przeciwnika za pomoc¹ energii ognia.
zts2378e	Wzmocnione ramiona
zts2379e	Zwiêkszaj¹ celnoœæ i si³ê ataku krótkodystansowego serii ciosów.
zts2380e	Ulepszona seria ciosów
zts2381e	Zwiêksza si³ê ataku krótkodystansowego serii ciosów.
zts2382e	Identyfikacja s³abych punktów
zts2383e	Odkrycie s³abych punktów przeciwnika zwiêksza na okreœlony czas szansê na zadanie ciosu krytycznego.
zts2384e	Trafienie s³abych punktów
zts2385e	Wykorzystanie s³abych punktów przeciwnika zwiêksza obra¿enia krytyczne.
zts2386e	Stalowa skóra
zts2387e	Odbija w przeciwnika ca³y jego atak.
zts2388e	Zwiêksza si³ê ataku krótkodystansowego przeciwko potworom niskiego poziomu.
zts2389e	Fantastyczne kopniêcie
zts2390e	Efektowne kopniêcie powoduj¹ce zamroczenie przeciwnika.
zts2391e	Wzmocnione nogi poziom 1
zts2392e	Zwiêkszaj¹ celnoœæ i si³ê ataku krótkodystansowego serii kopniêæ.
zts2393e	Ulepszona seria kopniêæ
zts2394e	Zwiêksza szansê na zadanie ciosu krytycznego przez seriê kopniêæ.
zts2395e	Zwiêksza zasiêg kopniêcia z pó³obrotu.
zts2396e	Dodaje kopniêciu w kostkê efekt zamroczenia.
zts2397e	Dodaje kopniêciu w kostkê efekt krwawienia.
zts2398e	Odpycha przeciwnika.
zts2399e	Niewidzialny cios
zts2400e	Potê¿ny atak za pomoc¹ niewidzialnej energii.
zts2401e	Zwiêksza zasiêg fali uderzeniowej.
zts2402e	Gromadzi wiêcej energii.
zts2403e	Wzmocniona rêkawica poziom 2
zts2404e	Wzmocniony cios karate
