zts1e	Attacco Speciale
zts1750e	Il consumo di MP delle abilità (compresa la magia) si riduce (-%s%%), quando si attiva [%s].
zts1751e	Quando si attiva [%s], aumenta l'elemento acqua del seguente valore: %s%%.
zts1752e	Quando si attiva [%s], tutte le resistenze agli elementi aumentano del seguente valore: %s%%.
zts1753e	Perdi %s MP e ottieni %s punti carburante.
zts1754e	Utilizzi %s punti carburante. il danno aumenta (+%s%%).
zts1761e	Utilizzi %s punti carburante. L'elemento ombra aumenta (+%s%%).
zts1762e	Utilizzi %s punti carburante e ottieni l'effetto [%s].
zts1763e	Utilizzi %s punti carburante. Il tempo di attesa dell'abilità utilizzata potrebbe essere resettato (probabilità: %s%%).
zts1764e	Utilizzi %s punti carburante e ottieni l'effetto [%s%%].
zts1765e	Ottieni %s punti calore.
zts1766e	Perdi%s punti calore.
zts1770e	Dopo ogni attacco di base i Punti Grav vengono ridotti (-%s).
zts1771e	Dopo ogni attacco di base i Punti Antigrav vengono ridotti (-%s).
zts1772e	Non sono disponibili alcune abilità Gravitazione.
zts1773e	Non sono disponibili alcune abilità Antigravitazione.
zts1774e	I Punti Grav si riducono (-%s).
zts1775e	I Punti Antigrav si riducono (-%s).
zts1778e	Quando [%s] è già attivo, viene innescato [%s].
zts1779e	L'elemento di una fata equipaggiata incrementa di %s, quando si attiva [%s].
zts1780e	Perdi %s punti carburante e infliggi [%s] al bersaglio.
zts1781e	Perdi una percentuale degli MP max. (%s%%) e ottieni %s punti carburante.
zts1782e	Se l'effetto [Incandescente] è attivo, i nemici presenti in un'area di %s campi attorno al bersaglio vengono raggruppati in un unico punto.
zts1786e	La barra dell'Energia sacra si ricarica della seguente percentuale di energia: %s%%.
zts1787e	La barra dell'Energia sacra perde la seguente percentuale di energia: %s%%.
zts1788e	Ripristina una quantità di HP calcolata sulla base di questa formula: %s%% degli HP di chi l'ha in uso.
zts1789e	Ripristina una quantità di HP calcolata sulla base di questa formula: %s%% degli HP di chi l'ha in uso. L'effetto non influisce su chi la usa.
zts1790e	Aumenta il danno delle abilità definitive (+%s%%).
zts1792e	Se il bersaglio ha una quantità di HP inferiore a questa percentuale, %s%%, la barra dell'Energia sacra si riempe della seguente percentuale: %s%%.
zts1793e	Tutti gli avversari presenti nello spazio di %s campo/i ottengono l'effetto [%s] ogni secondo.
zts1794e	Gli avversari che si trovano all'interno di %s campo/i subiscono %s di danno ogni 1,5 secondi.
zts1795e	Gli avversari che si trovano all'interno di %s campo/i subiscono %s ogni 1,5 secondi.
zts1796e	Gli avversari che si trovano all'interno di %s campo/i ricevono [%s] ogni 1,5 secondi.
zts1797e	Se il bersaglio ha una quantità di HP inferiore a questa percentuale, %s%%, la barra dell'Energia sacra si riempe della seguente percentuale: %s%% (non si applica ai NosMate).
zts1799e	I mostri e i giocatori hanno il 100%% di probabilità di ottenere rispettivamente [%s] e [%s].
zts1801e	I punti abilità del tuo Specialista incrementano del seguente valore: %s.
zts1804e	L'esperienza di addestramento del pet è incrementata del seguente valore: %s%%.
zts1805e	Se estrai l'essenza di un pet a %s stelle (o inferiore), ne ottieni una in più con una certa probabilità (%s%%).
zts1807e	Il guadagno di esperienza dello Specialista Allenatore di pet incrementa del seguente valore: %s%%
zts1810e	Addomestica un animale a %s stella/e con una certa probabilità %s%%.
zts1811e	Sussiste una certa probabilità (%s%%) di ottenere un'essenza extra quando estrai l'essenza da un pet a %s stelle.
