zts1e	Магазин инструментов Тео (использование)
zts20090e	В ней было много запрещенных заклинаний смерти и тьмы.
zts20091e	Я принялся изучать ее.
zts20092e	Некоторые заклинания были очень полезны.
zts20093e	Я попробовал одно заклинание на могущественном воине Рагнаре.
zts20094e	В нежить он не превратился...
zts20095e	...Но стал слушаться моих приказов!
zts20096e	Удивительное заклинание!
zts20097e	С его помощью я смог контролировать героя.
zts20098e	Моя одержимость новыми возможностями все росла и росла...
zts20099e	И тьма поглотила меня!
zts20100e	Так появилось мое альтер эго.
zts20101e	Второе я, которое жаждало власти, ненавидело все живое.
zts20102e	И когда это злое второе я заполучило контроль над моим телом...
zts20103e	... Я понял, что делаю не так.
zts20104e	Что я был глупцом.
zts20105e	И все это - моя вина. Надеюсь, ты сможешь исправить мои ошибки.
zts20106e	(Йертиранд растворяется в воздухе.)
zts20107e	Порочный Йертиранд
zts20108e	(Через какое-то время появляется окруженное темной энергией альтер эго Йертиранда.)
zts20109e	Хаха! Кто это тут у нас?
zts20110e	Посетители!
zts20111e	Превосходно! Хахаха!
zts20112e	С вашей помощью я заполучу полный контроль над этим телом.
zts20113e	И весь мир склонится передо мной на колени!
zts20114e	(Этот темный Йертиранд злобно смеется и затем исчезает без следа.)
zts20115e	Быстрее! Нужно остановить его до того, как он прочтет заклинание!
zts20116e	Подожди секунду...
zts20117e	За силу, которая не принадлежит нам, нужно платить ужасную цену.
zts20118e	Да упокоится Йертиранд с миром.
zts20119e	У тебя получилось!
zts20120e	Это было совсем непросто.
zts20121e	Как мне отплатить тебе?
zts20122e	Я хочу, чтобы готы и викинги отныне жили в мире.
zts20123e	Хорошо. Мы попробуем.
zts20124e	А! Пока тебя не было, сюда приходил молодой викинг по имени Барни.
zts20125e	Он попросил меня попросить тебя отправиться в НосВилль.
zts20126e	Барни?
zts20127e	Хорошо, конечно. Спасибо тебе!
zts20128e	Спасибо за все, что ты делаешь.
zts20129e	(Дженнифер прикасается к своей шляпе в знак приветствия и, улыбаясь, кивает.)
zts20130e	Прощай.
zts20131e	Барни...
zts20132e	Викинг Барни
zts20133e	Давно не виделись!
zts20134e	Благодаря тебе мою семью пустили в Вальхаллу!
zts20135e	Я никогда не забуду этого.
zts20136e	(Тело Барни начинает светиться и затем медленно исчезает.)
zts20137e	Пришло время попрощаться навсегда. Спасибо за все. Прощай.
zts20138e	Прощай. Передавай приветы семье.
zts20139e	(Свет исчезает, и ты остаешься в одиночестве.)
zts20140e	Что ж... Тогда я, пожалуй, пойду искать того, кому нужна моя помощь.
zts20141e	Без проблем!
zts20142e	У меня есть все, что тебе нужно!
zts20143e	Пройди тесты и ищи правду...
zts20144e	Я ищу Камень Мудреца.
zts20145e	Порочный Йертиранд (Начало ПвП)
zts20146e	Давай сыграем в небольшую игру. Жить или умереть - выбор за тобой!
zts20147e	Порочный Йертиранд (Победа в ПвП)
zts20148e	Поздравляю, тебе удалось выжить! Не все умеют ценить свою жизнь. А ты теперь будешь.
zts20149e	Порочный Йертиранд (Время вышло)
zts20150e	Я никого никогда не убивал. Они сами этого хотели!
zts20152e	Событие на 10-летнюю годовщину
zts20153e	NosTale празднует свою 10-летнюю годовщину, и за это мы должны благодарить всех вас! *Аплодисменты*
zts20154e	Поэтому мы приготовили для всех наших игроков отличный подарок.
zts20155e	Принеси мне буквы N, O, S, Y, E, A, R и цифру 10, и я отдам тебе его!
zts20156e	Обменять на Медаль 10-летней годовщины
zts20157e	Обменять на Положительный эффект 10-летней годовщины
zts20158e	Медаль 10-летней годовщины обладает множеством функций для торговли.
zts20159e	Тебе нужны буквы N, O, S, Y, E, A, R и цифра 10. Ты хочешь обменять их?
zts20160e	Положительный эффект 10-летней годовщины повышает максимальное количество твоих ОЗ и ОМ на 3200 секунд.
zts20161e	Тебе нужны буквы Y, E, A, R и цифра 10. Ты хочешь получить этот положительный эффект?
zts20168e	Подарок на 10-летнюю годовщину
zts20169e	У меня для тебя есть подарок, который всегда будет напоминать таким бесстрашным мечникам, как ты, о 10-летней годовщине NosTale! Он такой забавный, хаха!
zts20170e	Этот меч...
zts20171e	...этот поистине легендарный меч может пробить любую броню.
zts20172e	И разрезать тортик он тоже сможет!
zts20173e	Может, сыграем?
zts20174e	Хехехе!
zts20175e	Давай же, один раз живем!
zts20176e	Поздравляю с 10-летней годовщиной. Хахаха!
zts20177e	Спасибо, конечно, но я не очень люблю азартные игры...
zts20178e	У меня подготовлен особый подарок на 10-летнюю годовщину NosTale для всех проворных лучников НосВилля.
zts20179e	Это торт! (И это не ложь!)
zts20180e	Он выглядит тааааак восхитительно!
zts20181e	Свежая клубничка, нежнейший крем... Невероятно нежный тортик, не находишь?
zts20182e	Наслаждайся им и ни о чем не думай.
zts20183e	А! Поздравляю с 10-летней годовщиной!
zts20184e	Спасибо, Ева Энерджи! Выглядит очень аппетитно.
zts20185e	Да, у меня есть особый подарок, ага. Для великих магов на 10-летнюю годовщину NosTale.
zts20186e	Хм. Итак...
zts20187e	Это крутой фейерверк!
zts20188e	Он может навести шороху... Да, так что будь осторожнее с ним.
zts20189e	Поздравляю с 10-летней годовщиной!
zts20190e	Спасибо, Малкольм. Быстрее бы запустить его!
zts20191e	Профессор Макавити
zts20192e	Путь к древним катакомбам
zts20193e	Меня зовут прррофессор Макавити. Мяу.
zts20194e	Я ррработаю над совмещением магических тайн и научных открытий.
zts20195e	Моя цель - освободить всех несчастных питомцев, живущих под людским гнетом. Мррр.
zts20196e	Не хочешь прррисоединиться к моей гррруппе сопррротивления, мяу?
zts20197e	Наш лагерррь ррразбит в дррревних катакомбах, мяу.
zts20198e	Мы готовимся изменить миррр, мррр!
zts20199e	Не можешь вспомнить, как туда добррраться, мяу?
zts20200e	Ничто не дается пррросто так, мррр.
zts20201e	Злая белая ведьма Лорена
zts20202e	Украденная палочка
zts20203e	Кто стащил мою палочку?
zts20204e	Как только поймаю вора, превращу его в жабу!
zts20205e	Куда делся тот кот? Сбежал же, мелкий пакостник!
zts20206e	Ты сможешь вернуть мне пою палочку?
zts20207e	Это все?
zts20208e	Это что, шутка? Мррр?
zts20209e	(Ты дрожишь от ярости.)
zts20210e	Ничто не дается пррросто так, мяу.
zts20211e	Все эти исследования... Они не совсем дешевые, а у меня пррроблемы с ликвидностью. И если ты пррроявишь желание поддеррржать мой пррроект финансово, нам обоим будет выгодно, мяу!
zts20212e	Научные эксперррименты - дорррогое удовольствие! Мяу!
zts20213e	Если не будешь жадничать, я рррасскажу тебе то, что ты хочешь узнать, мяу.
zts20214e	(Ты даешь профессору Макавити золото.)
zts20215e	Отлично! Спасибо. Мррр.
zts20216e	Вот, деррржи. Тут показан путь, мррр.
zts20218e	Банковские услуги
zts20219e	Услуги для VIP-клиентов
zts20220e	Добро пожаловать в банк Куарри, дорогой клиент!
zts20221e	Как понятно из названия, этот банк основала благородная семья Куарри. Поэтому у нас твои деньги всегда в полной безопасности!
zts20222e	Мы не взимаем плату за хранение денег в нашем банке, но когда ты захочешь забрать деньги, тебе придется заплатить определенную сумму золота, размер которой будет зависеть от твоего клиентского статуса.
zts20223e	Клиентские статусы подразделяются на VIP, алмазный, золотой, серебряный или бронзовый.
zts20224e	Узнать, какой у тебя статус в настоящее время, ты можешь, заглянув в наш банк.
zts20225e	Спасибо за сотрудничество!
zts20226e	Приветствую, дорогой клиент, и добро пожаловать в банк Куарри!
zts20227e	Такой важной персоне необходимо соответствующее обслуживание.
zts20228e	Если ты используешь медаль, ты станешь VIP-клиентом.
zts20229e	И тогда ты освободишься от всех уплат!
zts20230e	Только не забудь, что медаль действует ограниченное количество времени.
zts20231e	Создание сберегательной книги
zts20232e	Бедствия Мими Ментор
zts20233e	С новым годом! Хочу пожелать тебе всего самого лучшего в грядущем году!
zts20234e	Слушай, можно попросить тебя об одолжении? Один кролик-воришка украл мешки с подарками и счастливые амулеты, которые я хотела подарить соседям.
zts20235e	Он растерял их, так что они должны попадаться тебе на пути в твоих приключениях. Можешь пособирать их для меня?
zts20236e	Где мне найти кролика-воришку?
zts20237e	Что такое свиток костюма пышнохвоста?
zts20238e	Обменять новогоднюю подарочную коробку (Событие)
zts20239e	Охотясь на монстров приблизительно своего уровня ты сможешь собрать потерянные кроликом-воришкой подарки.
zts20240e	Но помни, что он их тоже собирает, а если вы столкнетесь, он предпочтет просто удрать!
zts20241e	Все понятно.
zts20242e	В новогодней подарочной коробке упакованы свитки костюмов пышнохвостов. Используй их, чтобы превратиться в Милого кролика или пышнохвоста.
zts20243e	Превратившись в Милого кролика, ты получишь Большое новогоднее благословение. Превратившись в пышнохвоста, ты получишь Новогоднее благословение. Это благословение повысит количество получаемых тобой очков опыта.
zts20244e	Нажми на свиток еще раз, чтобы отменить трансформацию. На это действие свиток не тратится. Если ты погибнешь или выйдешь из игры, трансформация будет отменена автоматически.
zts20245e	Если ты принесешь мне 5 украденных мешков с подарками и 5 украденных счастливых амулетов, я дам тебе новогоднюю подарочную коробку.
zts20246e	В ней находятся очень классные вещи, так что ты не пожалеешь о таком обмене!
zts20247e	Мешки с подарками и счастливые амулеты у меня!
zts20248e	Я вернусь позже.
zts20255e	Мне нужно узнать больше о боевых искусствах.
zts20256e	Может, мне удастся найти что-нибудь в библиотеке лорда Куарри?
zts20257e	Хмм... Тааак, боевые искусства... (Ты находишь книгу.)
zts20258e	Ага, что-то есть! "Освоение боевых искусств"!
zts20259e	В боевые искусства входят как защитные, так и атакующие техники.
zts20260e	В бою используется оружие и тело.
zts20261e	Хмм...
zts20262e	У разных стилей боевых искусств свои предназначения.
zts20263e	Но они очень похожи и в них используются одни и те же части тела.
zts20264e	В боевых искусствах есть множество путей.
zts20265e	Но они все служат для того, чтобы человек, овладевший ими, становился лучше и сильнее.
zts20266e	Поэтому основные принципы практически идентичны.
zts20267e	Серьезно?
zts20268e	Дуэль на кулаках - часть того, что понимают под боевыми искусствами.
zts20269e	Но еще более важных их аспект - оттачивание навыков.
zts20270e	Главное - не победа, а совершенствование себя.
zts20271e	Бла бла бла.
zts20272e	Книжка довольно сложная.
zts20273e	В наших краях сейчас есть два известных мастера боевых искусств, Джерико и Тей Кен.
zts20274e	Они оба очень талантливы.
zts20275e	Хмм... Нужно сходить к Джерико и попросить его поучить меня.
zts20276e	О! Рад тебя видеть. Так значит ты хочешь изучить боевые искусства?
zts20277e	Да, я хочу узнать о них как можно больше.
zts20278e	Принципы боевых искусств просты, но таят в себе много мудрых истин.
zts20279e	Если будешь придерживаться их, тебе все будет по плечу.
zts20280e	Начать обучение нам поможет тренировочный столб.
zts20281e	*Пыхтение*
zts20282e	В боевых искусствах тренировки лишними не бывают.
zts20283e	Но принципы очень важны, не забывай их.
zts20284e	Еще раз!
zts20285e	Ох, это так тяжело... И скучно.
zts20286e	Отлично! У тебя очень хорошо получается.
zts20287e	Продолжай в том же духе.
zts20288e	Пришло время для настоящей тренировки. Твой соперник не так силен, но будь начеку.
zts20289e	Эмм? Это было проще, чем можно было ожидать.
zts20290e	Конечно это было просто, ведь теперь ты знаешь основы.
zts20291e	Но не переоценивай свои силы. Не все соперники такие слабые.
zts20292e	(Ты теряешься в мыслях.)
zts20293e	Но если ты запомнишь все, что было на тренировке, ты будешь знать, как одолеть любого.
zts20294e	А если ты надумаешь получить продвинутые навыки, загляни к Тей Кену, который обитает на Групповой Арене.
zts20295e	Он может многому научить.
zts20296e	Тей Кен...
zts20297e	Ну что? Вы готовы, любители? Хотите показать, чего вы стоите, на Арене талантов? Хаха!
zts20298e	О, ты отличаешься от других. Ты уже явно знаешь что-то о боевых искусствах.
zts20299e	Это довольно редкое явление. Может быть, ты хочешь стать моим учеником?
zts20300e	Нет, спасибо. Я хочу стать таким же великим мастером боевых искусств, как ты сам.
zts20301e	Хаха, неплохо! Смело. Мне это нравится.
zts20302e	У тебя много амбиций! Как и должно быть у любого мастера боевых искусств.
zts20303e	Итак, что ты хочешь изучить?
zts20304e	Хочу научиться более сложным вещам.
zts20305e	Хмм... Сейчас подумаю...
zts20306e	Вся суть боевых искусств заключается в силе тела.
zts20307e	Если хочешь узнать, как можно усилить свои руки, сходи к тренеру из НосВилля.
zts20308e	Если хочешь заняться ногами - поговори с учителем в порту Алвойс.
zts20309e	А прочие навыки можно получить в пещере НосЛагеря.
zts20310e	О, это очень полезная информация. Спасибо!
zts20311e	Тогда я пойду. Пока.
zts20312e	Стой, это еще не все.
zts20313e	К изучению каждого навыка нужно готовиться. Не старайся ухватиться за все сразу.
zts20314e	И еще кое-что.
zts20315e	Ты знаешь о старых мастерах, ставших известными за свой талант в боевых искусствах?
zts20316e	Старых мастерах?
zts20317e	Да, о старых мастерах. Когда-то давно жили четыре известных мастера боевых искусств.
zts20318e	Они уже стерлись из воспоминаний большинства людей, но мы своих героев не забываем.
zts20319e	О них можно почитать в библиотеке лорда Куарри.
zts20320e	О нет! Ненавижу книги!
zts20321e	Ну ладно... Старые мастера, да...
zts20322e	(Ты видишь предложение "Верни книгу обратно, когда прочитаешь ее.")
zts20323e	Что это за книга?
zts20324e	"Проклятый клоун" - Автор неизвестен
zts20325e	Много-много лет назад здесь жил популярный клоун.
zts20326e	Он очень гордился своей способностью заставлять людей смеяться.
zts20327e	Но он хотел добиться того, чтобы их смех звучал дольше и был громче, поэтому его шутки становились все грубее и жестче.
zts20328e	Людям они перестали нравиться и от него все отвернулись.
zts20329e	Клоун попытался прибегнуть к магии, чтобы восстановить свою репутацию.
zts20330e	Но, к сожалению, он не знал, что использовал черную магию.
zts20331e	Хмм. Кажется, это не та книга.
zts20332e	(Ты находишь книгу с очень красивой обложкой.)
zts20333e	"Правда о Войне Богов" - Автор неизвестен
zts20334e	Ангелы и демоны: когда начался их конфликт? И почему?
zts20335e	Нам удалось узнать, что на самом деле тогда произошло.
zts20336e	(Ты читаешь дальше...)
zts20337e	Мы хотели написать правду в этой книге, но не смогли.
zts20338e	Это бы навлекло большую опасность на нас.
zts20339e	Но любой, кто сможет найти нас, узнает правду.
zts20340e	Это тоже не та книга.
zts20341e	"Поимка - это просто" - Ловец Зверей
zts20342e	Поймать можно любых существ начиная от овец и куриц и заканчивая жуткими монстрами.
zts20343e	Самый простой способ это сделать...
zts20344e	(Ты обнаруживаешь очень старую книгу.)
zts20345e	"История забытых мастеров" - Автор неизвестен
zts20346e	Эврика! Вот и она!
zts20347e	(Ты открываешь книгу. В ней четыре главы, но три из них пустые.)
zts20348e	Хмм... Это странно.
zts20349e	Почему эти страницы пусты? Эта книга недописана?
zts20350e	"История забытых мастеров"
zts20351e	Первый мастер, Драконий кулак, Герой Огня
zts20352e	Драконий кулак - очень могущественный мастер боевых искусств, который повелевает пламенем.
zts20353e	Его сила исходит из звериной руки, которая светится красным, когда он создает огонь.
zts20354e	Несмотря на то, что его тело достаточно большое и гротескное, он очень ловок.
zts20355e	И его огню сложно противостоять.
zts20356e	На первый взгляд он кажется варваром, но на самом деле он чист, как дитя.
zts20357e	Согласно легендам, Драконий кулак однажды бросил вызов богам.
zts20358e	Он путешествовал по всему свету с другими мастерами, чтобы узнать правду о Войне Богов.
zts20359e	(Ты читаешь дальше...)
zts20360e	В последний раз их видели в Туманном лесу под Каменным утесом. А после... Никогда.
zts20361e	Туманный лес? Война Богов?
zts20362e	Где находится Туманный лес? И что такое Война Богов? Мне уже доводилось слышать о ней раньше.
zts20363e	Мне нужно найти этот лес.
zts20364e	Кто бы мог подумать, что здесь будет подобный лес.
zts20365e	Такой густой туман... Ничего не вижу.
zts20366e	Это закрытая территория. Я накажу тебя за незаконное проникновение сюда.
zts20367e	Прошу прощения? Что здесь делает ангел?
zts20368e	Что?! Не понимаю, что здесь делает этот ангел.
zts20369e	Не думаю, что у меня есть шанс выстоять против ангела...
zts20370e	Но мне нужно идти дальше несмотря на опасности.
zts20371e	Хехе, человек, прямо здесь, как давно вас не было! Я тебя поймаю! Мвахаха!
zts20372e	Это был демон?
zts20373e	Это так опасно!
zts20374e	Мне нужно выбраться отсюда.
zts20375e	Что, интересно, ангел и демон здесь охраняют?
zts20376e	Секундочку... Война Богов как-то связана с ангелами и демонами.
zts20377e	Именно, война была между ангелами и демонами.
zts20378e	Но почему они оба утверждают, что зачинщиком были не они?
zts20379e	Что Драконьему кулаку нужно было в лесу?
zts20380e	Воу!
zts20381e	Что это было?
zts20382e	Не ангел и не демон!
zts20383e	Кажется, оно собирается напасть на меня...
zts20384e	*Хрип*
zts20385e	Еще чуть-чуть и... Что это была за атака?
zts20386e	Хмм? Там кто-то есть.
zts20387e	Хаха! Я снова здесь! Да!
zts20388e	Кто ты?
zts20389e	О. Спасибо за спасение!
zts20390e	Тебе не встречалась кукла, которая выглядела точно как я?
zts20391e	А! На меня напала какая-то кукла и пришлось ей накостылять.
zts20392e	Что ж, я хочу поблагодарить тебя за помощь. И спросить, где мои друзья?
zts20393e	А мир! Что в мире нового? Зенас и Эрения все те же, что и раньше?
zts20394e	Боже! Не могу поверить!
zts20395e	Враг пламени исчез. Значит, Зенас и Эрения страдают.
zts20396e	У меня нет времени! Что же мне делать, что же мне делать, что же мне делать?
zts20397e	Пожалуйста, успокойся!
zts20398e	Я не могу! Прошли века и мне наконец удалось выбраться! А, да. Действительно.
zts20399e	Мне нужно успокоиться. Ей не понравится, если я потеряю самообладание.
zts20400e	Но от одной мысли о ней меня трясет. Она мне не нравится, но мне так одиноко.
zts20401e	Прошу прощения, но... Кто ты? Что ты здесь делаешь? А кто эти ангел и демон?
zts20402e	Ты не знаешь, кто я? О нет!
zts20403e	(Внезапно он встает в странную позу.)
zts20404e	Позволь мне представиться. Я жаркое пламя! Я величественная слава! Человек огня! Я Драконий кулак! Эмм... Это правильная поза?
zts20405e	А... В любом случае, кажется, тут полно ангелов и демонов.
zts20406e	Тебе стоит быть осторожнее!
zts20407e	Особенно остерегайся Зенас и Эрению... Они стоят за всем. Они поклялись...
zts20408e	?!?
zts20409e	О нет! Я исчезаю! Времени больше нет. А мне столько еще нужно сделать...
zts20410e	Эй! Твое тело превращается в дым.
zts20411e	Время на исходе.
zts20412e	Быстрее, найди моих друзей! Как только ты найдешь нас всех, мы будем освобождены. А еще тебе нужно узнать правду.
zts20413e	Кто они? В чем заключается правда? Скажи мне!
zts20414e	Книга! Найди книгу, в которой описаны воспоминания мастера. Тогда ты все поймешь.
zts20415e	Слушай. Ты слышишь меня?
zts20416e	Что? Я тебя не понимаю!
zts20417e	О нет... Я исчезаю... Печать не была разрушена...
zts20418e	Я наделю тебя энергией хэтэ, чтобы у тебя получилось найти моих друзей... Пожалуйста, используй ее... Чтобы найти их...
zts20419e	!!!
zts20420e	(Он исчезает, оставляя за собой только белый дым.)
zts20421e	О! Что это было?
zts20423e	Приветствую. Я страж Тарт Хапендам.
zts20424e	Веками мы, готы, сражались со злыми колдунами, древними драконами и другими злодеями.
zts20425e	Чтобы выжить, нам пришлось придумать собственные эффективные боевые приемы.
zts20426e	Наши боевые искусства отлично подходят юным искателям приключений.
zts20427e	Поэтому наши стражи путешествуют по миру, чтобы обучать их.
zts20429e	Боевые искусства Тарт Хапендам
zts20430e	Искатели приключений от 1 до 80 уровня могут научиться боевым искусствам Тарт Хапендам.
zts20431e	Все искатели приключений от 1 до 80 уровня могут научиться боевым искусствам Тарт Хапендам.
zts20435e	Событие на 11-летнюю годовщину
zts20436e	NosTale празднует свою 11-летнюю годовщину, и за это мы должны благодарить вас! *Аплодисменты*
zts20437e	Поэтому мы приготовили для всех наших игроков отличный подарок.
zts20438e	Принеси мне буквы N, O, S, Y, E, A, R и цифру 11, и я отдам тебе его!
zts20439e	Обменять на Медаль 11-летней годовщины
zts20440e	Обменять на Положительный эффект 11-летней годовщины
zts20441e	Медаль 11-летней годовщины обладает множеством функций для торговли.
zts20442e	Тебе нужны буквы N, O, S, Y, E, A, R и цифра 11. Ты хочешь обменять их?
zts20443e	Положительный эффект 11-летней годовщины повышает максимальное количество твоих ОЗ и ОМ на 3200 секунд.
zts20444e	Тебе нужны буквы Y, E, A, R и цифра 11. Ты хочешь получить этот положительный эффект?
zts20449e	Получи в подарок Красноносого оленя.
zts20450e	Сооруди сани с Красноносым оленем.
zts20451e	Почему бы не добавить Красноносого оленя к твоим Магическим саням?
zts20452e	Чтобы соорудить Магические сани с Красноносым оленем, тебе понадобится Жемчужина с красноносым оленем.
zts20453e	Сооруди Магические сани с Красноносым оленем.
zts20454e	Тебе доводилось слышать о Красноносом олене?
zts20455e	Сани, в которые впряжен Красноносый олень, легко опережают любые другие. А еще они гораздо безопаснее.
zts20456e	Если ты поможешь мне избавиться от злодеев, которые хотят испортить нам эту зиму, я подарю тебе красноносого оленя.
zts20457e	Дети, которые хорошо себя ведут, заслуживают хороших подарков, хохохо!
zts20458e	Хорошо, я расправлюсь со злодеями.
zts20459e	Мастер боевых искусств - Водная героиня
zts20460e	Итак, мастер поделился с тобой силой. Другие бойцы будут тебе завидовать.
zts20461e	За это мне следует сказать тебе спасибо.
zts20462e	Я научил тебя лишь основам. Мне и самому-то больше тренироваться нужно.
zts20463e	А теперь... Куда ты?
zts20464e	Хмм? Хочу вернуться в библиотеку.
zts20465e	Не могу забыть последние слова мастера...
zts20466e	Новая информация
zts20467e	Опять эта книга, "История забытых мастеров".
zts20468e	(Ты открываешь книгу. Находишь страницу, на которой написано: "Глава 2 из 4".)
zts20469e	О! Эти страницы же были пустыми, а теперь я вижу вторую главу!
zts20470e	Как странно...
zts20471e	"Второй мастер, Мистик, была Водной героиней.
zts20472e	Мир забыл о ней, но эта книга хранит все.
zts20473e	Все они были странниками с Востока, каждый из них обладал огромной жаждой познания. Они обладали таинственными навыками, и в каждом было что-то свое: Драконий кулак был известен своей силой, а Мистик - спокойствием и благоразумием.
zts20474e	Но горе было тому, кто ее провоцировал!
zts20475e	Она затуманивает взоры соперников, подбрасывая лепестки лотоса, и затем совершает стремительную атаку.
zts20476e	Ее боевое искусство прекрасно и смертельно.
zts20477e	Она считает технику Драконьего кулака грубой и варварской, и предпочитает иметь собственный стиль.
zts20478e	Это бесит Драконьего Кулака, но он старается это не показывать. Но искра недопонимания между ними все равно разгорелась.
zts20479e	Согласно легенде, если пересечь Туманный лес и затем пройти по обочине дороги, то ты выйдешь к огромной горе. Говорят, именно там их и можно найти.
zts20480e	Но до сих пор Мистика никто не видел."
zts20481e	Мистик? Это так зовут второго мастера?
zts20482e	Драконий кулак попросил меня разыскать его друзей.
zts20483e	Мистик - второй мастер. А в книге четыре главы...
zts20484e	Да, точно! Мастеров же тоже будет четыре!
zts20485e	И третья глава скорее всего появится сразу после того, как я найду Мистик!
zts20486e	Хмм...
zts20487e	(Ты листаешь книгу.)
zts20488e	Секундочку... На последних страницах что-то есть!
zts20489e	"В давние времена, когда свет и тьма еще были едины, в этом мире жило существо, Эго, которое обладало обеими силами.
zts20490e	Тогда люди страдали от гнета демонов и молились о спасении.
zts20491e	Эго заметил, что когда сила света стала мощнее, тьма стала ослабевать.
zts20492e	И когда людей перестали угнетать демоны, они стали сражаться между собой.
zts20493e	Это была непрекращающаяся война...
zts20494e	Но были и другие времена: когда сила света затухала, а сила тьмы - наоборот разгоралась. Их результат был тот же.
zts20495e	Эго долго думал и решил следующее:
zts20496e	"Когда свет овладевает силой, ослабевает тьма. А когда тьма получает свою мощь, иссякает свет.
zts20497e	Я могу существовать только в мире, где есть обе силы. Если не будет баланса - не будет меня.
zts20498e	Я обязан создать этот баланс, если не хочу вскоре увидеть свою кончину."
zts20499e	И после этого обе силы были разделены."
zts20500e	И тогда... Хмм? Следующая страница пустая!
zts20501e	Значит, свет и тьма были едины... Но кто или что такое этот Эго?
zts20502e	Этих строк тут не было. Кто их написал?
zts20503e	Ладно, для начала найду Мистик. Надо пойти спросить Тей Кена.
zts20504e	Привет! Мне уже встречался первый мастер, Драконий кулак.
zts20505e	Правда? Тебе действительно довелось увидеть легендарного мастера боевых искусств?
zts20506e	Он один из самых великих воинов в истории. Какой он? Что он говорил?
zts20507e	Мы говорили совсем немного, потому что он еще запечатан.
zts20508e	Он попросил меня найти других мастеров. И у меня уже есть идея, где начинать искать.
zts20509e	Прекрасно! Это просто прекрасно!
zts20510e	Еще никому не удавалось их найти, но ты, судя по всему, уже знаешь, что делать. Должно быть, это твоя судьба.
zts20511e	Да, моя судьба...
zts20512e	(Тей Кен достает что-то из кармана.)
zts20513e	Вот, мой наставник дал мне это, когда я был молод.
zts20514e	Я не знаю, зачем эта штука нужна, но она всегда была при мне.
zts20515e	Он тогда сказал, что это какой-то знак Старых мастеров, но, не знаю, он ничего не делает.
zts20516e	Может, у тебя получится разобраться, для чего он.
zts20517e	Это...
zts20518e	Как я и сказал, я понятия не имею, что это, но это как-то связано с мастерами.
zts20519e	Найди старых мастеров и расскажи мне о своих успехах.
zts20520e	Это будет для меня огромная честь.
zts20521e	(Ага, а вот и Туманный лес.)
zts20522e	(О нем что-то было сказано в той книге. Нужно найти место, которое там описывалось.)
zts20523e	(А вот и ангелы из Пещеры памяти.)
zts20524e	(Нужно разобраться со Стражами.)
zts20525e	(Вижу обочину!)
zts20526e	(Такая незаметная. Ладно, можно идти дальше!)
zts20527e	(Я так и заблудиться могу. Надо сконцентрироваться.)
zts20528e	Там ангелы... И демоны с копьями?! Они сражаются? Странно...)
zts20529e	(Фух, это было сложно. Надо побыстрее убираться!)
zts20530e	(Похоже на звуки водопада. Нужно найти его.)
zts20531e	(О, скрытый путь!)
zts20532e	(Кажется, по нему давно никто не ступал. Думаю, я почти на месте.)
zts20533e	(Хмм, место, которое я ищу, должно быть где-то здесь.)
zts20534e	(Так тихо... Жутковато.)
zts20535e	(Я что-то слышу. Но я не понимаю, откуда идет звук.)
zts20536e	Ты служишь ангелам или демонам?
zts20537e	Я никому не служу!
zts20538e	Ни ангелы, ни демоны не решаются приходить сюда. И, конечно же, люди тоже. Как глупо!
zts20539e	Это очень громкие слова для того, кто боится даже показаться.
zts20540e	Ты пытаешься меня провоцировать? Найди меня, когда над землей появится лунный свет.
zts20541e	Хорошо. Это будет проще простого!
zts20542e	Тебе удалось меня найти!
zts20543e	(Эм... Это было просто совпадение.)
zts20544e	Нам следует представиться. Я Мистик.
zts20545e	Приятно познакомиться. А я искатель приключений, которому на глаза случайно попала история мастеров.
zts20546e	Отлично. Ты мой гость, так что входи.
