zts1e	Genel efektler
zts19984e	Aydýnlanma etkinken bir ay ýþýðý serumu kullandýðýnda bu efekti alýrsýn.
zts19985e	Lotus çiçekleriyle sarýlý
zts19986e	Aydýnlanma etkinken bir çiçek duruþunu kullandýðýnda bu efekti alýrsýn.
zts19987e	Göz kamaþtýrýcý
zts19988e	Kýrmýzý burun birden ýþýldar.
zts19989e	Kýrmýzý burun büyüsü
zts19990e	Þifalý kýrmýzý burun büyüsü YP yeniler.
zts19991e	Berserker coþkusu
zts19992e	Kutup Ayýsý Týs'a dönüþ.
zts19993e	Aðýrlýk (F)
zts19994e	Of, kendimi çok güçsüz hissediyorum.
zts19995e	Aðýrlýk (E)
zts19996e	Aðýrlýk (D)
zts19997e	Aðýrlýk (C)
zts19998e	Aðýrlýk (B)
zts19999e	Aðýrlýk (A)
zts20000e	Aðýrlýk (S)
zts20001e	Okçuluk Þampiyonasý (F)
zts20002e	Usta bir okçu ol!
zts20003e	Okçuluk Þampiyonasý (E)
zts20004e	Okçuluk Þampiyonasý (D)
zts20005e	Okçuluk Þampiyonasý (C)
zts20006e	Okçuluk Þampiyonasý (B)
zts20007e	Okçuluk Þampiyonasý (A)
zts20008e	Okçuluk Þampiyonasý (S)
zts20009e	Kalp Sancýsý (F)
zts20010e	Yenileyemiyorum, kalbimin gücü kalmadý.
zts20011e	Kalp Sancýsý (E)
zts20012e	Kalp Sancýsý (D)
zts20013e	Kalp Sancýsý (C)
zts20014e	Kalp Sancýsý (B)
zts20015e	Kalp Sancýsý (A)
zts20016e	Kalp Sancýsý (S)
zts20017e	Amora'nýn Yoldaþý (F)
zts20018e	Amora'nýn Yoldaþý (E)
zts20019e	Amora'nýn Yoldaþý (D)
zts20020e	Amora'nýn Yoldaþý (C)
zts20021e	Amora'nýn Yoldaþý (B)
zts20022e	Amora'nýn Yoldaþý (A)
zts20023e	Amora'nýn Yoldaþý (S)
zts20024e	Saldýrý ve savunma gücünü yükseltir.
zts20025e	Dikkat daðýtma
zts20026e	Para toplamayla o kadar meþgulüm ki savaþa hiç odaklanamýyorum.
zts20027e	Uðurlu týlsým!
zts20028e	Þans Çalýkuyruðu yeteneðiyle uður getirir.
zts20029e	Süper uðurlu týlsým
zts20030e	Süper Þans Çalýkuyruðu yeteneðiyle süper uður getirir.
zts20031e	Düðün güçlendiricisi
zts20032e	Aþkýn gücü...
zts20033e	Konfeti yaðmuru
zts20034e	Misafirlere verilen deðerin güçlendiricisi.
zts20035e	Çýlgýn yumurta bombasý
zts20036e	Bombaya saldýrarak onu hareket ettirebilirsin. Çýlgýn Paskalya tavþanýna hasar verirsen %100 olasýlýkla [baygýnlýk] geçirir.
zts20037e	Yumurtacýk'a dönüþtür
zts20038e	Herkes için "eðlence vakti"! (1. Seviye)
zts20039e	Bu efekt çýlgýn Paskalya tavþanýnýn yakýnýnda ayný anda 3 çýlgýn yumurta bombasý patlarsa gerçekleþir.
zts20040e	Herkes için "eðlence vakti"! (2. Seviye)
zts20041e	Bu efekt çýlgýn Paskalya tavþanýnýn yakýnýnda ayný anda 4 çýlgýn yumurta bombasý patlarsa gerçekleþir.
zts20042e	Herkes için "eðlence vakti"! (3. Seviye)
zts20043e	Bu efekt çýlgýn Paskalya tavþanýnýn yakýnýnda ayný anda 5 çýlgýn yumurta bombasý patlarsa gerçekleþir.
zts20044e	Tavþana enerji verir.
zts20045e	Altýn yün zýrh
zts20046e	Altýn yünden korur.
zts20047e	Þaþkýn ruh (F)
zts20048e	Hedef tuhaf davranýyor çünkü ruhu þaþkýn durumda.
zts20049e	Þaþkýn ruh (E)
zts20050e	Þaþkýn ruh (D)
zts20051e	Þaþkýn ruh (C)
zts20052e	Þaþkýn ruh (B)
zts20053e	Þaþkýn ruh (A)
zts20054e	Þaþkýn ruh (S)
zts20055e	Artýrýlmýþ irade gücü (F)
zts20056e	Artýrýlmýþ irade gücü (E)
zts20057e	Artýrýlmýþ irade gücü (D)
zts20058e	Artýrýlmýþ irade gücü (C)
zts20059e	Artýrýlmýþ irade gücü (B)
zts20060e	Artýrýlmýþ irade gücü (A)
zts20061e	Artýrýlmýþ irade gücü (S)
zts20062e	Bulantý (F)
zts20063e	Bulantý (E)
zts20064e	Bulantý (D)
zts20065e	Bulantý (C)
zts20066e	Bulantý (B)
zts20067e	Bulantý (A)
zts20068e	Bulantý (S)
zts20069e	Evcil hayvanýn þok geçirdiði için 10 dakika boyunca þaþkýn olacak.
zts20070e	Evcil hayvanýn büyük þok geçirdiði için 20 dakika boyunca þaþkýn olacak.
zts20071e	Zýpla
zts20072e	Yere serili
zts20073e	Rakip hareket edemez ve kendini savunamaz.
zts20074e	Nakavtlanmýþ
zts20075e	Rakip hareket edemez ve savaþamaz. Nakavtlanmýþ rakiplere karþý kritik isabet þansý yükselir.
zts20076e	Kutsal enerji
zts20077e	Tüm elementler yükselir ve bedenin tüm kötü efektlerden kurtulur.
zts20078e	Blokla
zts20079e	Rakip saldýrýlarý engelleyebilirsin. Blokla baþarýlý olursa daha fazla Mut puaný alýrsýn.
zts20080e	Sarsýlmaz ruh
zts20081e	Meditasyon ruhla beden uyumlu hale gelir.
zts20082e	Ölümün gölgesi
zts20083e	Rakip ölüme yakýn. [Ölümün gölgesi] etkinken yenilmezse [ölümden kýl payý kurtulmuþ] efektini alýr.
zts20084e	Mutlak aura (1. seviye)
zts20086e	Mutlak aura (2. seviye)
zts20088e	Mutlak aura (3. seviye)
zts20090e	Mutlak dövüþ tarzý
zts20091e	Mut puanýyla Mut becerileri kullanabilirsin.
zts20092e	Savaþ meditasyonu
zts20093e	Bedenin meditasyon yardýmýyla arýnýr ve güçlenir.
zts20094e	Ölümcül yara
zts20095e	Saldýrý gücü, direnç, hýz ve YP düþer.
zts20096e	Ölümden kýl payý kurtulmuþ
zts20097e	Ölümden kurtulduðun için yaþama isteðin güçlenir.
zts20098e	Güçlü ilham
zts20099e	Bu ilham rakibi kýsa süreliðine dövüþemez hale getirir. Efekt sona erdiðinde [ölümcül yara] etkisini alma þansýna sahip olur.
zts20100e	Bu etki, sen bir nihai beceri kullandýktan sonra iþler.
zts20101e	Bu etki, sen iki nihai beceri kullandýktan sonra iþler.
zts20102e	Bu etki, sen üç nihai beceri kullandýktan sonra iþler.
zts20103e	Sýnýrsýz büyülü güç
zts20104e	Ýçinden akan sýnýrsýz büyülü güç, BP'ni sürekli yeniler.
zts20105e	Teþvik et
zts20106e	Eþek Piñata'ya sporlar vererek hareket hýzýný yükseltirsin.
zts20107e	Gökkuþaðý kutsamasý
zts20108e	PvP saldýrý gücü Gökkuþaðý savaþý sýrasýnda %10 daha yüksektir. Hareket hýzý Gökkuþaðý savaþý sýrasýnda 2 yüksektir.
zts20109e	Lanetli Alev (F)
zts20110e	Lanetli Alev (E)
zts20111e	Lanetli Alev (D)
zts20112e	Lanetli Alev (C)
zts20113e	Lanetli Alev (B)
zts20114e	Lanetli Alev (A)
zts20115e	Lanetli Alev (S)
zts20116e	Korlu Zýrh (F)
zts20117e	Korlu Zýrh (E)
zts20118e	Korlu Zýrh (D)
zts20119e	Korlu Zýrh (C)
zts20120e	Korlu Zýrh (B)
zts20121e	Korlu Zýrh (A)
zts20122e	Korlu Zýrh (S)
zts20123e	Eriyen Zýrh (F)
zts20124e	Eriyen Zýrh (E)
zts20125e	Eriyen Zýrh (D)
zts20126e	Eriyen Zýrh (C)
zts20127e	Eriyen Zýrh (B)
zts20128e	Eriyen Zýrh (A)
zts20129e	Eriyen Zýrh (S)
zts20130e	Alevli Zýrh (F)
zts20131e	Alevli Zýrh (E)
zts20132e	Alevli Zýrh (D)
zts20133e	Alevli Zýrh (C)
zts20134e	Alevli Zýrh (B)
zts20135e	Alevli Zýrh (A)
zts20136e	Alevli Zýrh (S)
zts20137e	Tek Kanat Perti Eþliðinde (F)
zts20138e	Tek Kanat Perti Eþliðinde (E)
zts20139e	Tek Kanat Perti Eþliðinde (D)
zts20140e	Tek Kanat Perti Eþliðinde (C)
zts20141e	Tek Kanat Perti Eþliðinde (B)
zts20142e	Tek Kanat Perti Eþliðinde (A)
zts20143e	Tek Kanat Perti Eþliðinde (S)
zts20144e	Lezzetli ton balýðý
zts20145e	Dövüþe en iyi þekilde hazýrlanmak için su samurunun lezzetli ton balýðýný mideye indir.
zts20146e	Donmuþ ton balýðý
zts20147e	Taþ gibi ve buz gibi soðuk.
zts20148e	Su samurunun kutsamasý
zts20149e	Saldýrý ve savunmalarý yükseltir.
zts20150e	Dövüþe hazýr
zts20151e	Su samuru darbe indirmeyi sabýrsýzlýkla bekliyor.
zts20152e	12. yýl dönümü güçlendiricisi
zts20153e	Zayýf kam emiþi
zts20154e	Kan kaybý nedeniyle vücut zayýf düþer.
zts20155e	Yarasa sürüsü
zts20156e	Bir tehlike karþýsýnda yarasa sürüsüne dönüþ.
zts20157e	Gecenin dehþeti
zts20158e	Kurbanýn karanlýktaki dehþeti hissediyor.
zts20159e	Kelepçele
zts20160e	Rakibin kelepçeleniyor.
zts20161e	Çarpýþma
zts20162e	Rakip saldýrýlarý geri yansýtýr.
zts20163e	Yer çekimi gücüne karþý
zts20164e	Havada süzülüyorsun. Paniðe kapýlma olasýlýðýn var.
zts20165e	Þeytani güçler
zts20166e	Þeytani güçler alýyorsun.
zts20168e	Kalp krizi
zts20169e	Rakip sana saldýramaz.
zts20170e	Takla
zts20171e	Rakibi cereyan çarpar.
zts20172e	Þimþek kanatlar
zts20173e	Bu güçlendiriciyi þimþek kanatlarla elde edersin.
zts20174e	Bu hüküm adamýn kalemini kýrar.
zts20175e	Bu hüküm adamýn kalemini kýrar.
zts20176e	Püsküllü tüyler
zts20177e	Alpakanýn püsküllü tüyleri seni korur.
zts20178e	Zehirli duman
zts20179e	Bu duman ormaný zehirledi.
zts20180e	Zehirlenme
zts20181e	Tehlikeli bölgelerde zehirlenebilirsin.
zts20182e	Hafif zehirlenme
zts20183e	Hafif bir zehirlenme. Dikkat, onu bulaþtýrabilirsin. Zehre karþý direnç kazanmak için baðýþýklýk sistemini güçlendir.
zts20184e	Baðýþýklýk sistemini güçlendir
zts20185e	Vücudunu güçlendirir ve Carno'nun zehrine karþý dayanýklý hale getirir.
zts20186e	Ölümcül yaralanma
zts20187e	Carno'nun diþ ve pençeleri derin yaralar açar.
zts20188e	Beden bombasý
zts20189e	Belli bir süre sonra patlar ve sana ve yakýnýndaki müttefiklerine 4.000 hasar verir.
zts20190e	Týka basa tok
zts20191e	Belial yuttuðu ruhlarla güçlenir.
zts20192e	Ruh zayýflatmasý
zts20193e	Belial ruhunu zayýflatýr.
zts20194e	Sürpriz dönüþ
zts20195e	Belial saldýrýlarýný yansýtýr ve böylece müttefiklerine hasar verir.
zts20196e	Dikenli post
zts20197e	Seni koruyan bir güçlendirici saðlar.
zts20198e	Dikenli post +1
zts20199e	Dikenli post +2
zts20200e	Dikenli post +3
zts20201e	Dikenli post +4
zts20202e	Dikenli post +5
zts20203e	Dikenli post +6
zts20204e	Dikenli post +7
zts20205e	Dikenli post +8
zts20206e	Dikenli post +9
zts20207e	Kanlý intikam
zts20208e	Kanlý intikam +1
zts20209e	Kanlý intikam +2
zts20210e	Kanlý intikam +3
zts20211e	Kanlý intikam +4
zts20212e	Kanlý intikam +5
zts20213e	Kanlý intikam +6
zts20214e	Kanlý intikam +7
zts20215e	Kanlý intikam +8
zts20216e	Kanlý intikam +9
zts20217e	Öldürücü isabet
zts20218e	Öldürücü isabet +1
zts20219e	Öldürücü isabet +2
zts20220e	Öldürücü isabet +3
zts20221e	Öldürücü isabet +4
zts20222e	Öldürücü isabet +5
zts20223e	Öldürücü isabet +6
zts20224e	Öldürücü isabet +7
zts20225e	Öldürücü isabet +8
zts20226e	Öldürücü isabet +9
zts20227e	Sinir zehri
zts20228e	Sinir zehri +1
zts20229e	Sinir zehri +2
zts20230e	Sinir zehri +3
zts20231e	Sinir zehri +4
zts20232e	Sinir zehri +5
zts20233e	Sinir zehri +6
zts20234e	Sinir zehri +7
zts20235e	Sinir zehri +8
zts20236e	Sinir zehri +9
zts20237e	Kýyametin gücü (1. basamak)
zts20238e	Kýyametin gücü (2. basamak)
zts20239e	Kýyametin gücü (3. basamak)
zts20240e	Kýyametin gücü (4. basamak)
zts20241e	Kýyametin gücü (5. basamak)
zts20242e	Yansýtmanýn gücü (1. basamak)
zts20243e	Yansýtmanýn gücü (2. basamak)
zts20244e	Yansýtmanýn gücü (3. basamak)
zts20245e	Yansýtmanýn gücü (4. basamak)
zts20246e	Yansýtmanýn gücü (5. basamak)
zts20247e	Kurdun gücü (1. basamak)
zts20248e	Kurdun gücü (2. basamak)
zts20249e	Kurdun gücü (3. basamak)
zts20250e	Kurdun gücü (4. basamak)
zts20251e	Kurdun gücü (5. basamak)
zts20252e	Geri tepiþ gücü (1. basamak)
zts20253e	Geri tepiþ gücü (2. basamak)
zts20254e	Geri tepiþ gücü (3. basamak)
zts20255e	Geri tepiþ gücü (4. basamak)
zts20256e	Geri tepiþ gücü (5. basamak)
zts20257e	Patlamanýn gücü (1. basamak)
zts20258e	Patlamanýn gücü (2. basamak)
zts20259e	Patlamanýn gücü (3. basamak)
zts20260e	Patlamanýn gücü (4. basamak)
zts20261e	Patlamanýn gücü (5. basamak)
zts20262e	Yayýlmanýn gücü (1. basamak)
zts20263e	Yayýlmanýn gücü (2. basamak)
zts20264e	Yayýlmanýn gücü (3. basamak)
zts20265e	Yayýlmanýn gücü (4. basamak)
zts20266e	Yayýlmanýn gücü (5. basamak)
zts20267e	Þimþeðin gücü (1. basamak)
zts20268e	Þimþeðin gücü (2. basamak)
zts20269e	Þimþeðin gücü (3. basamak)
zts20270e	Þimþeðin gücü (4. basamak)
zts20271e	Þimþeðin gücü (5. basamak)
zts20272e	Lanetin gücü (1. basamak)
zts20273e	Lanetin gücü (2. basamak)
zts20274e	Lanetin gücü (3. basamak)
zts20275e	Lanetin gücü (4. basamak)
zts20276e	Lanetin gücü (5. basamak)
zts20277e	Ayýnýn gücü (1. basamak)
zts20278e	Ayýnýn gücü (2. basamak)
zts20279e	Ayýnýn gücü (3. basamak)
zts20280e	Ayýnýn gücü (4. basamak)
zts20281e	Ayýnýn gücü (5. basamak)
zts20282e	Soðuðun gücü (1. basamak)
zts20283e	Soðuðun gücü (2. basamak)
zts20284e	Soðuðun gücü (3. basamak)
zts20285e	Soðuðun gücü (4. basamak)
zts20286e	Soðuðun gücü (5. basamak)
zts20287e	Yýlan Loa'nýn zehri çok güçlüdür.
zts20288e	Yýlan Loa'nýn laneti
zts20289e	Hasar Yýlan Loa'nýn lanetiyle yükselir.
zts20290e	Canavarlar Kralý'nýn güçlendirilmiþ tüyleri
zts20291e	Canavarlar Kralý'nýn tüyleri sertleþir.
zts20292e	Canavarlar Kralý'nýn tüyleri
zts20293e	Canavarlar Kralý'nýn tüyleri çok sýra dýþý.
zts20294e	Canavarlar Kralý'nýn laneti
zts20295e	Canavarlar Kralý seni odak noktasý yapýyor.
zts20296e	Hafif ve soðuk hava akýmý
zts20297e	Soðuðun gücü seni dondurur.
zts20298e	Güçlü ve soðuk hava akýmý
zts20299e	Soðuðun gücü seni üþütür.
zts20300e	Ýblis tanrýsýnýn laneti
zts20301e	Belial'in laneti seni aðýrlaþtýrýr.
zts20302e	Lanetli ok
zts20303e	Hasar lanetli okla yükselir.
zts20304e	Hayaletler Kralý'nýn zehri
zts20305e	Büyü hasarý Hayaletler Kralý'nýn zehri ile yükselir.
zts20306e	Canavarlar Kralý tarafýndan yaralanmýþ
zts20307e	Canavarlar Kralý'nýn açtýðý yaralar genelde öldürücüdür.
zts20308e	Boynuzun laneti
zts20309e	Canavarlar Kralý'nýn boynuzu seni lanetler.
zts20310e	Lanetli kýlýç
zts20311e	Belial'in kýlýcý seni lanetler.
zts20312e	Elementlerin zayýflamasý
zts20313e	Hayaletler Kralý'nýn ateþi uzak mesafe savunmasýný ve tüm elementleri zayýflatýr.
zts20314e	Ayýnýn laneti
zts20315e	Ayý Loa seni lanetliyor.
zts20316e	Saðlýklý yosun.
zts20317e	Yosun püresi gözler için çok faydalýdýr.
zts20318e	Deriyi daha dayanýklý hale getirir ve tüylerin arasýnda dikenler çýkarýr.
zts20319e	Çökmek
zts20320e	Saldýrý gücünü düþürerek savunmayý güçlendirir.
zts20321e	Çökmek +1
zts20322e	Çökmek +2
zts20323e	Çökmek +3
zts20324e	Çökmek +4
zts20325e	Çökmek +5
zts20326e	Çökmek +6
zts20327e	Çökmek +7
zts20328e	Çökmek +8
zts20329e	Çökmek +9
zts20330e	Uyumlu post
zts20331e	Zýrh hasar türüne uyum saðlar.
zts20332e	Uyumlu post +1
zts20333e	Uyumlu post +2
zts20334e	Uyumlu post +3
zts20335e	Uyumlu post +4
zts20336e	Uyumlu post +5
zts20337e	Uyumlu post +6
zts20338e	Uyumlu post +7
zts20339e	Uyumlu post +8
zts20340e	Uyumlu post +9
zts20341e	Ayýnýn dayanýklýlýðý
zts20342e	Ayý Loa'nýn kutsamasý sana daha fazla dayanýklýlýk saðlar.
zts20343e	Ayýnýn dayanýklýlýðý +1
zts20344e	Ayýnýn dayanýklýlýðý +2
zts20345e	Ayýnýn dayanýklýlýðý +3
zts20346e	Ayýnýn dayanýklýlýðý +4
zts20347e	Ayýnýn dayanýklýlýðý +5
zts20348e	Ayýnýn dayanýklýlýðý +6
zts20349e	Ayýnýn dayanýklýlýðý +7
zts20350e	Ayýnýn dayanýklýlýðý +8
zts20351e	Ayýnýn dayanýklýlýðý +9
zts20352e	Kalýn post
zts20353e	Direnci ve zýrhý artýrýr.
zts20354e	Kalýn post +1
zts20355e	Kalýn post +2
zts20356e	Kalýn post +3
zts20357e	Kalýn post +4
zts20358e	Kalýn post +5
zts20359e	Kalýn post +6
zts20360e	Kalýn post +7
zts20361e	Kalýn post +8
zts20362e	Kalýn post +9
zts20363e	Kutsanmýþ post
zts20364e	Ayý Loa'nýn kutsal postu seni kötü efektlerden korur.
zts20365e	Kutsanmýþ post +1
zts20366e	Kutsanmýþ post +2
zts20367e	Kutsanmýþ post +3
zts20368e	Kutsanmýþ post +4
zts20369e	Kutsanmýþ post +5
zts20370e	Kutsanmýþ post +6
zts20371e	Kutsanmýþ post +7
zts20372e	Kutsanmýþ post +8
zts20373e	Kutsanmýþ post +9
zts20374e	Hýzlý savunma
zts20375e	Zýrhý hýzla güçlendirir.
zts20376e	Hýzlý savunma +1
zts20377e	Hýzlý savunma +2
zts20378e	Hýzlý savunma +3
zts20379e	Hýzlý savunma +4
zts20380e	Hýzlý savunma +5
zts20381e	Hýzlý savunma +6
zts20382e	Hýzlý savunma +7
zts20383e	Hýzlý savunma +8
zts20384e	Hýzlý savunma +9
zts20385e	Ayý darbesi
zts20386e	Doðayla uyumlu þekilde yaþamayý bilenler Ayý Loa'nýn gücünü kazanmasýný bilir.
zts20387e	Ayý darbesi +1
zts20388e	Ayý darbesi +2
zts20389e	Ayý darbesi +3
zts20390e	Ayý darbesi +4
zts20391e	Ayý darbesi +5
zts20392e	Ayý darbesi +6
zts20393e	Ayý darbesi +7
zts20394e	Ayý darbesi +8
zts20395e	Ayý darbesi +9
zts20396e	Elementlerin kutsamasý
zts20397e	Tüm elementler güçlenir.
zts20398e	Elementlerin kutsamasý +1
zts20399e	Elementlerin kutsamasý +2
zts20400e	Elementlerin kutsamasý +3
zts20401e	Elementlerin kutsamasý +4
zts20402e	Elementlerin kutsamasý +5
zts20403e	Elementlerin kutsamasý +6
zts20404e	Elementlerin kutsamasý +7
zts20405e	Elementlerin kutsamasý +8
zts20406e	Elementlerin kutsamasý +9
zts20407e	Saldýrý konumu
zts20408e	Savunma gücünü düþürerek saldýrý gücünü artýrýr.
zts20409e	Saldýrý konumu +1
zts20410e	Saldýrý konumu +2
zts20411e	Saldýrý konumu +3
zts20412e	Saldýrý konumu +4
zts20413e	Saldýrý konumu +5
zts20414e	Saldýrý konumu +6
zts20415e	Saldýrý konumu +7
zts20416e	Saldýrý konumu +8
zts20417e	Saldýrý konumu +9
zts20418e	Aslan pençesi
zts20419e	Aslan pençeleri derin yaralar açar.
zts20420e	Aslan pençesi +1
zts20421e	Aslan pençesi +2
zts20422e	Aslan pençesi +3
zts20423e	Aslan pençesi +4
zts20424e	Aslan pençesi +5
zts20425e	Aslan pençesi +6
zts20426e	Aslan pençesi +7
zts20427e	Aslan pençesi +8
zts20428e	Aslan pençesi +9
zts20429e	Güçlendirilmiþ saldýrý
zts20430e	Silahlarýn gücünü artýrýr.
zts20431e	Güçlendirilmiþ saldýrý +1
zts20432e	Güçlendirilmiþ saldýrý +2
zts20433e	Güçlendirilmiþ saldýrý +3
zts20434e	Güçlendirilmiþ saldýrý +4
zts20435e	Güçlendirilmiþ saldýrý +5
zts20436e	Güçlendirilmiþ saldýrý +6
zts20437e	Güçlendirilmiþ saldýrý +7
zts20438e	Güçlendirilmiþ saldýrý +8
zts20439e	Güçlendirilmiþ saldýrý +9
zts20440e	Keskin pençeler
zts20441e	Güçlendirilmiþ saldýrýlar ekstra hasar verir.
zts20442e	Keskin pençeler +1
zts20443e	Keskin pençeler +2
zts20444e	Keskin pençeler +3
zts20445e	Keskin pençeler +4
zts20446e	Keskin pençeler +5
zts20447e	Keskin pençeler +6
zts20448e	Keskin pençeler +7
zts20449e	Keskin pençeler +8
zts20450e	Keskin pençeler +9
zts20451e	Güçlendiren þifa
zts20452e	Becerilerin soðuma süresinin sýfýrlanmasý þansýný verir.
zts20453e	Güçlendiren þifa +1
zts20454e	Güçlendiren þifa +2
zts20455e	Güçlendiren þifa +3
zts20456e	Güçlendiren þifa +4
zts20457e	Güçlendiren þifa +5
zts20458e	Güçlendiren þifa +6
zts20459e	Güçlendiren þifa +7
zts20460e	Güçlendiren þifa +8
zts20461e	Güçlendiren þifa +9
zts20462e	Zayýflýktan faydalan
zts20463e	Rakiplerin zýrhýný deler.
zts20464e	Zayýflýktan faydalan +1
zts20465e	Zayýflýktan faydalan +2
zts20466e	Zayýflýktan faydalan +3
zts20467e	Zayýflýktan faydalan +4
zts20468e	Zayýflýktan faydalan +5
zts20469e	Zayýflýktan faydalan +6
zts20470e	Zayýflýktan faydalan +7
zts20471e	Zayýflýktan faydalan +8
zts20472e	Zayýflýktan faydalan +9
zts20473e	Aslan darbesi
zts20474e	Doðayla uyumlu þekilde yaþamayý bilenler Aslan Loa'nýn gücünü kazanmasýný bilir.
zts20475e	Aslan darbesi +1
zts20476e	Aslan darbesi +2
zts20477e	Aslan darbesi +3
zts20478e	Aslan darbesi +4
zts20479e	Aslan darbesi +5
zts20480e	Aslan darbesi +6
zts20481e	Aslan darbesi +7
zts20482e	Aslan darbesi +8
zts20483e	Aslan darbesi +9
zts20484e	Rüzgar gibi atik
zts20485e	Hareket hýzýný ve kaçýnma deðerini yükseltir.
zts20486e	Rüzgar gibi atik +1
zts20487e	Rüzgar gibi atik +2
zts20488e	Rüzgar gibi atik +3
zts20489e	Rüzgar gibi atik +4
zts20490e	Rüzgar gibi atik +5
zts20491e	Rüzgar gibi atik +6
zts20492e	Rüzgar gibi atik +7
zts20493e	Rüzgar gibi atik +8
zts20494e	Rüzgar gibi atik +9
zts20495e	Delici bakýþlar
zts20496e	Rakibin zayýf yönlerini tespit eder.
zts20497e	Delici bakýþlar +1
zts20498e	Delici bakýþlar +2
zts20499e	Delici bakýþlar +3
zts20500e	Delici bakýþlar +4
zts20501e	Delici bakýþlar +5
zts20502e	Delici bakýþlar +6
zts20503e	Delici bakýþlar +7
zts20504e	Delici bakýþlar +8
zts20505e	Delici bakýþlar +9
zts20506e	Yüksek uçuþ
zts20507e	Zayýf noktalarýný ustaca gizlersin.
zts20508e	Yüksek uçuþ +1
zts20509e	Yüksek uçuþ +2
zts20510e	Yüksek uçuþ +3
zts20511e	Yüksek uçuþ +4
zts20512e	Yüksek uçuþ +5
zts20513e	Yüksek uçuþ +6
zts20514e	Yüksek uçuþ +7
zts20515e	Yüksek uçuþ +8
zts20516e	Yüksek uçuþ +9
zts20517e	Kartal gözler
zts20518e	Saldýrýlarýnýn isabetini artýrýr.
zts20519e	Kartal gözler +1
zts20520e	Kartal gözler +2
zts20521e	Kartal gözler +3
zts20522e	Kartal gözler +4
zts20523e	Kartal gözler +5
zts20524e	Kartal gözler +6
zts20525e	Kartal gözler +7
zts20526e	Kartal gözler +8
zts20527e	Kartal gözler +9
zts20528e	Göze göz
zts20529e	Hasarý rakibe yansýtýr.
zts20530e	Göze göz +1
zts20531e	Göze göz +2
zts20532e	Göze göz +3
zts20533e	Göze göz +4
zts20534e	Göze göz +5
zts20535e	Göze göz +6
zts20536e	Göze göz +7
zts20537e	Göze göz +8
zts20538e	Göze göz +9
zts20539e	Hayatta kalma içgüdüsü
zts20540e	Tehlike durumunda hünerlerin yükselir.
zts20541e	Hayatta kalma içgüdüsü +1
zts20542e	Hayatta kalma içgüdüsü +2
zts20543e	Hayatta kalma içgüdüsü +3
zts20544e	Hayatta kalma içgüdüsü +4
zts20545e	Hayatta kalma içgüdüsü +5
zts20546e	Hayatta kalma içgüdüsü +6
zts20547e	Hayatta kalma içgüdüsü +7
zts20548e	Hayatta kalma içgüdüsü +8
zts20549e	Hayatta kalma içgüdüsü +9
zts20550e	Büyüyen tecrübe
zts20551e	Artan tecrübeyle rakibin zayýf noktalarýný fark etmek sana daha kolay gelecek.
zts20552e	Büyüyen tecrübe +1
zts20553e	Büyüyen tecrübe +2
zts20554e	Büyüyen tecrübe +3
zts20555e	Büyüyen tecrübe +4
zts20556e	Büyüyen tecrübe +5
zts20557e	Büyüyen tecrübe +6
zts20558e	Büyüyen tecrübe +7
zts20559e	Büyüyen tecrübe +8
zts20560e	Büyüyen tecrübe +9
zts20561e	Kartal pençesi
zts20562e	Doðayla uyumlu þekilde yaþamayý bilenler Kartal Loa'nýn gücünü kazanmasýný bilir.
zts20563e	Kartal pençesi +1
zts20564e	Kartal pençesi +2
zts20565e	Kartal pençesi +3
zts20566e	Kartal pençesi +4
zts20567e	Kartal pençesi +5
zts20568e	Kartal pençesi +6
zts20569e	Kartal pençesi +7
zts20570e	Kartal pençesi +8
zts20571e	Kartal pençesi +9
zts20572e	Yýlan zehri
zts20573e	Zehirle güçlenen bir saldýrý.
zts20574e	Yýlan zehri +1
zts20575e	Yýlan zehri +2
zts20576e	Yýlan zehri +3
zts20577e	Yýlan zehri +4
zts20578e	Yýlan zehri +5
zts20579e	Yýlan zehri +6
zts20580e	Yýlan zehri +7
zts20581e	Yýlan zehri +8
zts20582e	Yýlan zehri +9
zts20583e	Saldýrý büyüsü
zts20584e	Saldýrý gücün büyü savunmasýyla artar.
zts20585e	Saldýrý büyüsü +1
zts20586e	Saldýrý büyüsü +2
zts20587e	Saldýrý büyüsü +3
zts20588e	Saldýrý büyüsü +4
zts20589e	Saldýrý büyüsü +5
zts20590e	Saldýrý büyüsü +6
zts20591e	Saldýrý büyüsü +7
zts20592e	Saldýrý büyüsü +8
zts20593e	Saldýrý büyüsü +9
zts20594e	Saldýrý en iyi savunmadýr
zts20595e	Aldýðýn hasar YP'nden deðil BP'nden kesilir.
zts20596e	Saldýrý en iyi savunmadýr +1
zts20597e	Saldýrý en iyi savunmadýr +2
zts20598e	Saldýrý en iyi savunmadýr +3
zts20599e	Saldýrý en iyi savunmadýr +4
zts20600e	Saldýrý en iyi savunmadýr +5
zts20601e	Saldýrý en iyi savunmadýr +6
zts20602e	Saldýrý en iyi savunmadýr +7
zts20603e	Saldýrý en iyi savunmadýr +8
zts20604e	Saldýrý en iyi savunmadýr +9
zts20605e	Lanet
zts20606e	Ýntikam yemini edip rakibi lanetliyorsun.
zts20607e	Lanet +1
zts20608e	Lanet +2
zts20609e	Lanet +3
zts20610e	Lanet +4
zts20611e	Lanet +5
zts20612e	Lanet +6
