zts1e	Nouvel objet
zts21604e	Ragoût d'yeux de roi-araignée et de thon
zts21605e	Ce ragoût huileux est à base d'yeux de roi-araignée et de thon.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21606e	Ce ragoût est à base de viande du roi poulet.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet de fureur de la bête.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21607e	Ces nouilles sont agrémentées de peau de dragon et d'un bouillon d'arowana.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet de faible énergie du dragon.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21608e	Ce plat gastronomique est à base de filet et de nageoires de mégalodon.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet d'énergie du mégalodon.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21609e	Cette soupe de frigus est bien assaisonnée.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet d'énergie du frigus.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21610e	Ragoût de kraken avec un haut degré d'alcool.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet d'énergie du kraken.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21611e	Ce riz est sauté avec de la viande de pikanya et de la méduse.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21612e	C'est une omelette de côtelettes de porc et de mandragore.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21613e	Ce riz sauté à la viande de pikanya est accompagné de baies des falaises.[n][Effet][n]Ce plat augmente les points de satiété.[n]Cet objet rétablit 3 000 HP.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21614e	Omelette aux deux pommes
zts21615e	Cette omelette comprend deux sortes de pommes.[n][Effet][n]Ce plat augmente les points de satiété.[n]Cet objet rétablit 4 000 HP.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21616e	Ce plat de poisson sauté épicé est à base de carpe à lunettes.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21617e	Cette crêpe intègre des étoiles de mer.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21618e	Cette poêlée à base d'épices brulantes et de crapet-soleil rouge est extrêmement piquante.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu régénères 5 000 HP et MP.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21619e	Ces nouilles sont sautées avec des queues de bacoum.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu as 50 % de probabilité que syncope soit supprimé.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21620e	Cette crêpe intègre du porc et du lieu.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21621e	Cette poêlée est composée de diodon et de lieu rouge.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21622e	Ces nouilles sont froides et épicées.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21623e	Cette crêpe de vivaneau fantastique ne refroidira jamais.[n][Effet][n]Ce plat augmente les points de satiété.[n]Gel a une probabilité de 100 % d'être supprimé.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21624e	Ces nouilles sont sautées avec du poisson-brochette et du tétra vampire.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tous les éléments augmentent.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21625e	Ces nouilles manient le chaud et froid de manière très spéciale.[n][Effet][n]Ce plat augmente les points de satiété.[n]Cela peut occasionner un gel léger ou une brulure légère.[n]Toutes les résistances augmentent.[n]Tu peux l'utiliser avec une satiété I ou II.[n]
zts21626e	Une crêpe de raie pastenague des flammes est accompagnée de jus de pommes sucré.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21627e	Ces nouilles sautées sont agrémentées de cœlacanthe et de sang coagulé.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21628e	Ces nouilles sont sautées avec de la raie et du poisson pain.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21629e	Ce plat étrange est le résultat d'une tentative de cuisson qui a échoué.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21630e	C'est une succulente poêlée de poisson-grenouille.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet d'énergie du poisson-grenouille.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21631e	Ce plat parfait est constitué des meilleurs poissons pêchés dans la rivière de Mourice.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet d'énergie de l'alligator noir.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21632e	Poisson-brochette et piranha à la broche
zts21633e	Un poisson-brochette et un piranha sont grillés à la broche.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21634e	Viande grillée en marinade sucrée
zts21635e	De la viande grillée est déposée dans une marinade sucrée.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu peux l'utiliser avec une satiété I.[n]
zts21636e	Entraînement pratique de base pour chef
zts21637e	Tu obtiens cet objet si tu as préparé tous les plats grillés.[n][Effet][n]Toutes les attaques et défenses augmentent de 30.[n]Attention[n]Tu peux l'utiliser à partir du niveau 80.[n]
zts21638e	Barbecue de cœlacanthe
zts21639e	Un cœlacanthe entier est passé au barbecue.[n][Effet][n]Ce plat augmente les points de satiété.[n]Tu obtiens l'effet d'énergie du cœlacanthe.[n]Tu peux l'utiliser avec une satiété I, II ou III.[n]
zts21640e	Crêpe de raie pastenague des flammes
zts21641e	Entraînement pratique avancé pour chef
zts21642e	Tu obtiens cet objet si tu as préparé tous les plats grillés.[n][Effet][n]Toutes les attaques et défenses augmentent de 50.[n]Attention[n]Tu peux l'utiliser à partir du niveau 80.[n]Tu dois déjà avoir appris la compétence précédente.[n]
zts21643e	Entraînement pratique d'expert pour chef
zts21644e	Tu obtiens cet objet si tu as préparé tous les plats à la poêle.[n][Effet][n]Toutes les attaques et défenses augmentent de 100.[n]Attention[n]Tu peux l'utiliser à partir du niveau 80.[n]Tu dois déjà avoir appris la compétence précédente.[n]
zts21645e	Cette viande de porc grillée est agrémentée de légumes.[n]
zts21646e	Un poisson-brochette et un piranha sont grillés à la broche.[n]
zts21647e	Ce hamburger sain est agrémenté d'une galette de soja.[n]
zts21648e	De la viande grillée est déposée dans une marinade sucrée.[n]
zts21649e	Cette brochette de piranhas variés a été grillée à souhait.[n]
zts21650e	Cette carpe a été grillée pour être bien croustillante.[n]
zts21651e	Cette brochette grillée est accompagnée d'une sauce aux étoiles de mer.[n]
zts21652e	C'est une belle côtelette de porc.[n]
zts21653e	Ce hamburger est agrémenté de viande de pied de yak.[n]
zts21654e	C'est un mélange de grillades d'agneau et de loup de mer.[n]
zts21655e	Ce steak est constitué de divers vers comestibles.[n]
zts21656e	C'est une darne de saumon fumé.[n]
zts21657e	Ce plat cinq étoiles est réalisé à partir d'un ingrédient des plus rares : le tyran de lave.[n][Attention][n]L'effet de ce plat prend fin si tu entres dans la Tour céleste ou l'Arène de l'honneur.[n]
zts21658e	C'est un mélange de grillades d'agneau et de lieu.[n]
zts21659e	Ce darne fumé est à base de saumon rouge.[n]
zts21660e	C'est un gros burger avec deux galettes supplémentaires.[n]
zts21661e	Ce barbecue est à base d'un roi poulet entier.[n]
zts21662e	Ce steak provient du cœur puissant de Fafnir.[n]
zts21663e	Un loup de mer géant entier est passé au barbecue.[n]
zts21664e	Ce plat est à base de viande grasse de requin-chocolat.[n]
zts21665e	Un cœlacanthe entier est passé au barbecue.[n]
zts21666e	Ce ragoût à base de viande de piranha est recouvert de fromage.[n]
zts21667e	La bouillie de mousse est emplie d'énergie mystique.[n]
zts21668e	Ce ragoût de viande de hibours et de mousse fraiche est très sain.[n]
zts21669e	Ces nouilles sont agrémentées d'un bouillon de tortue et de poisson.[n]
zts21670e	Ce ragoût de diodon a été détoxifié.[n]
zts21671e	Ce ragoût de poisson est à base de carpe.[n]
zts21672e	Ce ragoût de mousse contient la force runique et l'énergie spirituelle de Mourice.[n]
zts21673e	Ce ragoût a pour ingrédient une puissante fureur.[n]
zts21674e	Ce ragoût épais est à base de viande de loup de mer.[n]
zts21675e	Cette bouillie de mousse est à base de gobie de rivière et de venin de scorpion aux yeux rouges.[n]
zts21676e	Ce ragoût est à base de queues de bacoum.[n]
zts21677e	Ce ragoût froid est fait pour les habitants du désert.[n]
zts21678e	Ce ragoût de thon est gras et épicé.[n]
zts21679e	Ces nouilles sont agrémentées de bouillon de tortue des marais.[n]
zts21680e	Ce ragoût huileux est à base d'yeux de roi-araignée et de thon.[n]
zts21681e	Ce ragoût est à base de viande du roi poulet.[n]
zts21682e	Ces nouilles sont agrémentées de peau de dragon et d'un bouillon d'arowana.[n]
zts21683e	Ce plat gastronomique est à base de filet et de nageoires de mégalodon.[n]
zts21684e	Cette soupe de frigus est bien assaisonnée.[n][Attention][n]L'effet de gain en EXP de ce plat remplace l'effet de la potion d'expérience.[n]
zts21685e	Ragoût de kraken avec un haut degré d'alcool.[n][Attention][n]L'effet de ce plat prend fin si tu entres dans la Tour céleste ou l'Arène de l'honneur.[n]
zts21686e	Ce riz est sauté avec de la viande de pikanya et de la méduse.[n]
zts21687e	C'est une omelette de côtelettes de porc et de mandragore.[n]
zts21688e	Ce riz sauté à la viande de pikanya est accompagné de baies des falaises.[n]
zts21689e	Cette omelette comprend deux sortes de pommes.[n]
zts21690e	Ce plat de poisson sauté épicé est à base de carpe à lunettes.[n]
zts21691e	Cette crêpe est agrémentée d'étoiles de mer.[n]
zts21692e	Cette poêlée à base d'épices brulantes et de crapet-soleil rouge est extrêmement piquante.[n]
zts21693e	Ces nouilles sont sautées avec des queues de bacoum.[n]
zts21694e	Cette crêpe intègre du porc et du lieu.[n]
zts21695e	Cette poêlée est composée de diodon et de lieu rouge.[n]
zts21696e	Ces nouilles sont froides et épicées.[n]
zts21697e	Cette crêpe de vivaneau fantastique ne refroidira jamais.[n]
zts21698e	Ces nouilles sont sautées avec du poisson-brochette et du tétra vampire.[n]
zts21699e	Ces nouilles manient le chaud et froid de manière très spéciale.[n]
zts21700e	Une crêpe de raie pastenague des flammes est accompagnée de jus de pommes sucré.[n]
zts21701e	Ces nouilles sautées sont agrémentées de cœlacanthe et de sang coagulé.[n]
zts21702e	Ces nouilles sont sautées avec de la raie et du poisson pain.[n][Attention][n]L'effet de gain en EXP de ce plat remplace l'effet de la potion d'expérience.[n]
zts21703e	Ce plat étrange est le résultat d'une tentative de cuisson qui a échoué.[n]
zts21704e	C'est une succulente poêlée de poisson-grenouille.[n][Attention][n]L'effet de gain en EXP de ce plat remplace l'effet de la potion d'expérience.[n]
zts21705e	Ce plat parfait est constitué des meilleurs poissons pêchés dans la rivière de Mourice.[n][Attention][n]L'effet de ce plat prend fin si tu entres dans la Tour céleste ou l'Arène de l'honneur.[n]
zts21706e	Planche à découper
zts21707e	C'est une simple planche à découper fabriquée par Ratiflette.[n]Tu ne peux en acheter qu'une certaine quantité par jour.[n]
zts21712e	Ce plat cinq étoiles est réalisé à partir d'un ingrédient des plus rares : le tyran de lave.[n][Attention][n]L'effet de ce plat prend fin si tu entres dans la Tour céleste ou l'Arène de l'honneur.[n]L'effet d'énergie de la lave obtenu grâce à ce plat remplace l'effet d'énergie du kraken.[n]Si tu as l'effet d'énergie de l'alligator noir, seule sa durée est ajustée par l'énergie de la lave.[n]
zts21713e	Ce plat est à base de viande grasse de requin-chocolat.[n][Attention][n]L'effet d'énergie du requin noir de ce plat est supprimé si tu obtiens l'effet d'énergie du cœlacanthe.[n]
zts21714e	Un cœlacanthe entier est passé au barbecue.[n][Attention][n]L'effet d'énergie du cœlacanthe obtenu grâce à ce plat remplace l'effet d'énergie du requin noir.[n]
zts21715e	Ces nouilles sont agrémentées de peau de dragon et d'un bouillon d'arowana.[n][Attention][n]L'effet de soulagement de la douleur grâce à la satiété obtenu grâce à ce plat est supprimé si tu obtiens l'effet d'anesthésiant, de complément protéinique grâce à la satiété (faible) ou de complément protéinique grâce à la satiété.[n]
zts21716e	Ce plat gastronomique est à base de filet et de nageoires de mégalodon.[n][Attention][n]L'effet d'anesthésiant obtenu grâce à ce plat remplace l'effet de soulagement de la douleur grâce à la satiété.[n]Cet effet est supprimé si tu obtiens l'effet de complément protéinique grâce à la satiété (faible) ou de complément protéinique grâce à la satiété.[n]
zts21717e	Ragoût de kraken avec un haut degré d'alcool.[n][Attention][n]L'effet de ce plat prend fin si tu entres dans la Tour céleste ou l'Arène de l'honneur.[n]L'effet d'énergie du kraken de ce plat est supprimé si tu obtiens l'effet d'énergie de l'alligator noir ou d'énergie de la lave.[n]
zts21718e	Une crêpe de raie pastenague des flammes est accompagnée de jus de pommes sucré.[n][Attention][n]L'effet de complément protéinique grâce à la satiété obtenu avec ce plat remplace l'effet de soulagement de la douleur grâce à la satiété, d'anesthésiant et de complément protéinique grâce à la satiété (faible).[n]
zts21719e	Ces nouilles sautées sont agrémentées de cœlacanthe et de sang coagulé.[n][Attention][n]L'effet de complément protéinique grâce à la satiété (faible) obtenu avec ce plat remplace l'effet de soulagement de la douleur grâce à la satiété et d'anesthésiant.[n]Cet effet est supprimé si tu obtiens l'effet de complément protéinique grâce à la satiété.[n]
zts21720e	Ce plat parfait est constitué des meilleurs poissons pêchés dans la rivière de Mourice.[n][Attention][n]L'effet de ce plat prend fin si tu entres dans la Tour céleste ou l'Arène de l'honneur.[n]L'effet d'énergie de l'alligator noir obtenu grâce à ce plat remplace l'effet d'énergie du kraken.[n]Si tu as l'effet d'énergie de la lave, seule sa durée est ajustée par l'énergie de l'alligator.[n]
zts21721e	Florailes
zts21722e	Transforme les ailes de ton spécialiste en florailes.[n][Mode d'emploi][n]1. Change-toi en spécialiste.[n]2. Utilise cet objet pour transformer tes ailes.[n][Effet][n]Si tu attaques, il y a 10 % de probabilité que l'effet du poison floral se déclenche contre la cible.[n]Tu as 10 % de probabilité de ne recevoir aucun effet négatif jusqu'au niveau 4.[n]Vitesse de déplacement +1[n]Toutes les attaques augmentent de 5 %.[n][Attention][n]1. Pour modifier des ailes de spécialiste, tu dois posséder une carte de spécialiste améliorée +1 ou supérieure.[n]2. Les ailes disparaissent si tu places ta carte dans une boîte de spécialiste.[n]
zts21727e	Diablotin effrayant (évènement)
zts21728e	Renard chiroptère
zts21729e	Faburlesque
zts21740e	Joyau du héros orc
zts21741e	Ce joyau te permet d'améliorer quatre cartes de spécialiste du type « héros orc ».[n]
zts21748e	Carte de spécialiste du Druide ardent
zts21749e	Il s'agit d'un druide de l'élément Feu capable de se transformer en ours ou en léopard.[n]« Par le pouvoir du loa ours, je purgerai le mal par les flammes ! »[n]
zts21750e	Carte de spécialiste du Hacheur
zts21751e	Il s'agit d'un combattant de l'élément Eau qui manie une hache terrifiante.[n] « Pas même une chute d'eau ne peut éteindre la fureur qui brûle en moi ! »[n]
zts21752e	Carte de spécialiste du Traqueur solaire
zts21753e	Il s'agit d'un Ranger de l'élément Lumière, toujours accompagné d'un loup.[n]« Personne ne peut se cacher du soleil ! »[n]
zts21754e	Carte de spécialiste du Prêtre vaudou
zts21755e	Il s'agit d'un prêtre de l'élément Obscurité qui répand la douleur et la terreur par ses malédictions.[n]« Quand tu mourras, je m'occuperai de ton âme. »[n]
zts21758e	Âme des vénérables héros
zts21759e	Avec cette âme, le pouvoir des vénérables héros peut être restauré.[n]On dirait qu'elle n'a pas encore été purifiée.[n][Remarque][n]Les parchemins protecteurs pour carte de spécialiste n'ont pas d'effet sur ce matériel.[n]
zts21760e	Âme radieuse des vénérables héros
zts21761e	Avec cette âme, le pouvoir des vénérables héros peut être restauré.[n]Elle est totalement pure.[n][Remarque][n]Les parchemins protecteurs pour carte de spécialiste n'ont pas d'effet sur ce matériel.[n]
zts21762e	Gemme d'âme d'orc
zts21763e	Cette pierre précieuse contient un peu de l'énergie des vénérables héros.[n][Remarque][n]Les parchemins protecteurs pour carte de spécialiste n'ont pas d'effet sur ce matériel.[n]
zts21764e	Coffre d'âme de Paimon ressuscité
zts21765e	Tu peux obtenir cette boîte de raid après une victoire contre Paimon ressuscité.[n]Tu y trouveras du matériel pour améliorer les spécialistes des héros orcs.[n]
zts21766e	Eau minérale de Mourice
zts21767e	Cette eau de source contient des traces de minéraux magiques.[n]Elle pétille encore plus que l'eau gazeuse de Mourice.[n]
zts21768e	Esprit mort-vivant
zts21769e	C'est un esprit vengeur plutôt faible.[n]Il a l'air d'être immortel.[n]
zts21770e	Sang de pikanya
zts21771e	C'est le sang rouge d'un pikanya.[n]
zts21772e	Baies des falaises spéciales
zts21773e	Ce type de baies des falaises est encore plus sucré que d'habitude.[n]
zts21774e	Pomme particulièrement sucrée
zts21775e	Cette pomme est encore plus sucrée que d'habitude, ce qui fait sa rareté.[n]
zts21776e	Breuvage rituel
zts21777e	Cette liqueur rituelle est infusée par les sorciers orcs et utilisée pour entrer en contact avec les loas.[n]Son goût est légèrement sucré.[n]Utilise ce breuvage pour te téléporter dans l'espace-temps « labyrinthe du rêve ».[n][Attention][n]Cet objet disparaît quand l'espace-temps prend fin.[n]
zts21778e	Souvenir magique
zts21779e	Ce parchemin contient un pouvoir magique qui te fera retrouver la mémoire.[n]Tu en auras probablement besoin un jour ou l'autre.[n]
zts21780e	Parchemin de souvenir magique
zts21781e	Cet objet permet de créer un souvenir magique.[n]Tu y trouveras des forces mystérieuses.[n]
zts21782e	Ancienne magie du feu
zts21783e	Ce cristal est empli d'une puissante énergie du Feu.[n]
zts21784e	Ancien grès
zts21785e	Ce grès provient de temps anciens.[n]Tu y trouveras de la lumière solaire.[n]
zts21786e	Ancien fragment d'espace-temps
zts21787e	Cette pierre a été fabriquée par l'alchimiste d'arrière-cour.[n]Elle irradie d'une puissante énergie magique.[n]Utilise cet objet pour te téléporter dans l'espace-temps « souvenirs anciens ».[n][Attention][n]Cet objet disparaît quand l'espace-temps prend fin.[n]
zts21788e	Anneau de la fille
zts21789e	C'est l'anneau de la fille de Thrull.[n]Il contient ses pouvoirs magiques.[n]Utilise cet objet pour te téléporter dans l'« espace-temps fragmenté de Paimon ».[n][Attention][n]Cet objet disparaît quand l'espace-temps prend fin.[n]
zts21790e	Sceau de raid de Paimon ressuscité
zts21791e	Tu peux commencer le raid via le portail dans le Bois des esprits.[n]Niveau de héros recommandé : 10-60[n]Nombre de joueurs minimum : 15[n][Mode d'emploi][n]Cet objet fait de toi le chef du raid.[n]En tant que chef du raid, tu peux cliquer sur d'autres joueurs et les inviter grâce au bouton « Équipe ».[n]Quand tout est prêt, va à l'entrée du raid. Lorsque le chef entre, les autres joueurs le suivent automatiquement.[n][Attention][n]Les joueurs d'un niveau supérieur à celui recommandé peuvent participer au raid, mais ils sont pénalisés [n]et ne peuvent pas recevoir de cœur supplémentaire ou de boîte de raid (et ce, même en cas de réussite).[n]
zts21794e	[Quotidien] terminer 5 fois le raid de Paimon ressuscité
zts21795e	Termine 5x le raid de Paimon ressuscité (1x par jour/joueur).[n]
zts21798e	Makaira surgelé (30 jours)
zts21799e	Grâce à cette apparence, personne ne pourra plus te reprocher que ton poisson n'est pas frais.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Ce poisson au parfum marin est très tranchant et effilé.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21800e	Makaira surgelé (permanent)
zts21801e	Grâce à cette apparence, personne ne pourra plus te reprocher que ton poisson n'est pas frais.[n]Ce poisson au parfum marin est très tranchant et effilé.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21802e	Pince de homard (30 jours)
zts21803e	Cette apparence te permet de transformer tes ennemis en nourriture pour poisson.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Quelqu'un a déjà mangé la chair de cette pince de homard.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21804e	Pince de homard (permanent)
zts21805e	Cette apparence te permet de transformer tes ennemis en nourriture pour poisson.[n]Quelqu'un a déjà mangé la chair de cette pince de homard.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21806e	Arc de kraken (30 jours)
zts21807e	Avec cette apparence, tu as toujours un en-cas sur toi dans le feu du combat.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Cet arc a été fabriqué à partir de tentacules de kraken très souples.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21808e	Arc de kraken (permanent)
zts21809e	Avec cette apparence, tu as toujours un en-cas sur toi dans le feu du combat.[n]Cet arc a été fabriqué à partir de tentacules de kraken très souples.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21810e	Bâton corail (30 jours)
zts21811e	En plus d'être stylée, cette apparence fait très mal.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Attention, les hautes températures risquent de faire pâlir les coraux.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21812e	Bâton corail (permanent)
zts21813e	En plus d'être stylée, cette apparence fait très mal.[n]Attention, les hautes températures risquent de faire pâlir les coraux.[n][Effet][n]Les dégâts en PvP augmentent de 3 %.[n]
zts21814e	Grâce à cette apparence, personne ne pourra plus te reprocher que ton poisson n'est pas frais.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Ce poisson au parfum marin est très tranchant et effilé.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21815e	Grâce à cette apparence, personne ne pourra plus te reprocher que ton poisson n'est pas frais.[n]Ce poisson au parfum marin est très tranchant et effilé.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21816e	Cette apparence te permet de transformer tes ennemis en nourriture pour poisson.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Quelqu'un a déjà mangé la chair de cette pince de homard.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21817e	Cette apparence te permet de transformer tes ennemis en nourriture pour poisson.[n]Quelqu'un a déjà mangé la chair de cette pince de homard.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21818e	Avec cette apparence, tu as toujours un en-cas sur toi dans le feu du combat.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Cet arc a été fabriqué à partir de tentacules de kraken très souples.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21819e	Avec cette apparence, tu as toujours un en-cas sur toi dans le feu du combat.[n]Cet arc a été fabriqué à partir de tentacules de kraken très souples.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21820e	En plus d'être stylée, cette apparence fait très mal.[n]La durée d'utilisation commence dès que tu te sers de l'apparence.[n]Attention, les hautes températures risquent de faire pâlir les coraux.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21821e	En plus d'être stylée, cette apparence fait très mal.[n]Attention, les hautes températures risquent de faire pâlir les coraux.[n][Effet][n]Toutes les attaques augmentent de 3 %.[n]
zts21822e	Costume bzzz (30 jours)
zts21823e	Avec cette tenue chic, tu feras enfin partie de la famille royale bzzz.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Toutes les résistances élémentaires augmentent de 3.[n]Toutes les défenses augmentent de 5 %.[n][Effet de lot][n]Si tu meurs équipé du costume et des ailes bzzz, la quantité de points d'EXP de niveau héroïque perdue est 55 % moins élevée.[n]
zts21824e	Costume bzzz (permanent)
zts21825e	Avec cette tenue chic, tu feras enfin partie de la famille royale bzzz.[n][Effet][n]Toutes les résistances élémentaires augmentent de 3.[n]Toutes les défenses augmentent de 5 %.[n][Effet de lot][n]Si tu meurs équipé du costume et des ailes bzzz, la quantité de points d'EXP de niveau héroïque perdue est 55 % moins élevée.[n]
zts21826e	Couronne bzzz (30 jours)
zts21827e	Avec cette couronne, la foule t'admirera et te craindra à la fois.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Tous les éléments augmentent de 10 %.[n]Toutes les attaques augmentent de 5 %.[n][Effet de lot][n]Quand tu portes la couronne et les ailes bzzz, ta vitesse de déplacement passe à +1.[n]
zts21828e	Couronne bzzz (permanent)
zts21829e	Avec cette couronne, la foule t'admirera et te craindra à la fois.[n][Effet][n]Tous les éléments augmentent de 10 %.[n]Toutes les attaques augmentent de 5 %.[n][Effet de lot][n]Quand tu portes la couronne et les ailes bzzz, ta vitesse de déplacement passe à +1.[n]
zts21830e	Ailes bzzz (30 jours)
zts21831e	Avec ces ailes, à toi la vitesse grisante ![n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]L'élément de la fée équipée augmente de 5.[n][Effet de lot][n]Si tu meurs équipé du costume et des ailes bzzz, la quantité de points d'EXP de niveau héroïque perdue est 55 % moins élevée.[n]Quand tu portes la couronne et les ailes bzzz, ta vitesse de déplacement passe à +1.[n]
zts21832e	Ailes bzzz (permanent)
zts21833e	Lunettes de soleil bzzz (30 jours)
zts21834e	Ces lunettes de soleil stylées sont la touche qu'il manquait à ta tenue d'abeille ![n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Les dégâts subis via des coups critiques diminuent de 7 %.[n]Toutes les résistances élémentaires augmentent de 1.[n]
zts21835e	Lunettes de soleil bzzz (permanent)
zts21836e	Ces lunettes de soleil stylées sont la touche qu'il manquait à ta tenue d'abeille ![n][Effet][n]Les dégâts subis via des coups critiques diminuent de 7 %.[n]Toutes les résistances élémentaires augmentent de 1.[n]
zts21839e	Ensemble bzzz
zts21840e	Dans ce lot, tu trouveras les objets suivants :[n]1x costume bzzz (permanent)[n]1x couronne bzzz (permanent)[n]
zts21841e	Avec ces ailes, à toi la vitesse grisante ![n][Effet][n]L'élément de la fée équipée augmente de 5.[n][Effet de lot][n]Si tu meurs équipé du costume et des ailes bzzz, la quantité de points d'EXP de niveau héroïque perdue est 55 % moins élevée.[n]Quand tu portes la couronne et les ailes bzzz, ta vitesse de déplacement passe à +1.[n]
zts21844e	Costume bzzz (30 jours)
zts21845e	Avec cette tenue chic, tu feras enfin partie de la famille royale bzzz.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Toutes les résistances élémentaires augmentent de 3.[n]Toutes les défenses augmentent de 5 %.[n]La vitesse de déplacement augmente de 1.[n][Effet de lot][n]Quand tu portes le costume et les ailes bzzz, les points d'EXP de niveau héroïque obtenus augmentent de 15 %.[n]
zts21846e	Costume bzzz (permanent)
zts21847e	Couronne bzzz (30 jours)
zts21848e	Avec cette couronne, la foule t'admirera et te craindra à la fois.[n]La durée d'utilisation commence dès que tu t'en sers.[n][Effet][n]Les points d'EXP de niveau héroïque obtenus augmentent de 15 %.[n]Toutes les attaques augmentent de 3 %.[n]Les dégâts subis en PvP diminuent de 3 %.[n][Effet de lot][n]Quand tu portes la couronne et les ailes bzzz, il y a 3 % de probabilité pour que tes attaques provoquent un choc.[n]
zts21849e	Couronne bzzz (permanent)
zts21850e	Avec cette couronne, la foule t'admirera et te craindra à la fois.[n][Effet][n]Les points d'EXP de niveau héroïque obtenus augmentent de 15 %.[n]Toutes les attaques augmentent de 3 %.[n]Les dégâts subis en PvP diminuent de 3 %.[n][Effet de lot][n]Quand tu portes la couronne et les ailes bzzz, il y a 3 % de probabilité pour que tes attaques provoquent un choc.[n]
zts21851e	Ailes bzzz (30 jours)
