zts1e	Отдых
zts2367e	Медитируя, накапливает энергию для следующей атаки.
zts2368e	Быстрые ноги
zts2369e	Может быстрее передвигаться благодаря физической подготовке.
zts2370e	Готовность к бою
zts2371e	Навык можно использовать 3 раза без перезарядки.
zts2372e	Усиленная перчатка Уровень 1
zts2373e	Повышает силу атаки в ближнем бою для базовой атаки.
zts2374e	Специализация в растениях низкого уровня
zts2375e	Повышает силу атаки в ближнем бою против растений низкого уровня.
zts2376e	Взрывной удар
zts2377e	Использует энергию огня на нанесения атаки по противникам.
zts2378e	Усиленная рука
zts2379e	Повышает точность и силу атаки ближнего боя Кулака ярости.
zts2380e	Улучшенный Кулак ярости
zts2381e	Повышает силу атаки в ближнем бою Кулака ярости.
zts2382e	Выявление слабых мест
zts2383e	Повышает шанс нанесения критического урона на некоторое время за счет выявления слабых мест противника.
zts2384e	Нацеливание на слабые места
zts2385e	Повышает урон от критических ударов за счет прицеливания в слабые места противника.
zts2386e	Железная кожа
zts2387e	Полностью отражает атаку противника.
zts2388e	Повышает силу атаки в ближнем бою против монстров низкого уровня.
zts2389e	Нереальный удар
zts2390e	Сбивает противников с толку мощным ударом и накладывает Отключку.
zts2391e	Сильная нога Уровень 1
zts2392e	Повышает точность и силу атаки ближнего боя Ноги ярости.
zts2393e	Улучшенная Нога ярости
zts2394e	Повышает шанс нанесения критического урона Ноги ярости.
zts2395e	Повышает радиус действия Удара с разворота.
zts2396e	Добавляет эффект Отключка к Дробителю лодыжек.
zts2397e	Добавляет эффект Кровотечение к Дробителю лодыжек.
zts2398e	Отбрасывает противников.
zts2399e	Невидимая сила
zts2400e	Высвобождает мощный удар от невидимой энергии.
zts2401e	Повышает радиус действия Ударной волны.
zts2402e	Накапливает больше энергии.
zts2403e	Усиленная перчатка Уровень 2
zts2404e	Усиленный Карате удар
zts2405e	Повышает силу атаки Карате удара.
zts2406e	Сильная нога Уровень 2
zts2407e	Реактивный удар с разворота
zts2408e	Сокращает время перезарядки навыка.
zts2409e	Специализация в животных низкого уровня
zts2410e	Специализация в нежити низкого уровня
zts2411e	Повышает силу атаки в ближнем бою против нежити низкого уровня.
zts2412e	Улучшенные Критические удары Уровень 1
zts2413e	Повышает шанс нанесения критического урона Ударной волны.
zts2414e	Улучшенные Критические удары Уровень 2
zts2415e	Улучшенные Критические удары Уровень 3
zts2416e	Призрак
zts2417e	Проклятие невесты
zts2418e	Удар
zts2419e	Обычный удар без оружия.
zts2420e	Коготь зверя
zts2421e	Атака большими звериными когтями.
zts2422e	Когтевзмах
zts2423e	Резкий взмах звериными когтями.
zts2424e	Когтехват
zts2425e	Схвати соперника острыми звериными когтями.
zts2426e	Энергия хэтэ
zts2427e	Предоставляет энергию хэтэ.
zts2428e	Прыжок хэтэ
zts2429e	Резкий выпад назад.
zts2430e	Мощная атака звериными когтями.
zts2431e	Трансформация
zts2432e	Переключайся между стойками Хэтэ и Драконьей.
zts2433e	Пылающий йо-йо
zts2434e	Огненная атака, похожая на взмах йо-йо.
zts2435e	Удар костяшками
zts2436e	Выбей противника из равновесия, ударив его костяшками.
zts2437e	Огненный взмах
zts2438e	Пламя задерживается в воздухе после взмаха.
zts2439e	Пламя
zts2440e	Огненная атака.
zts2441e	Энергия дракона
zts2442e	Предоставляет энергию дракона.
zts2443e	Прыжок дракона
zts2444e	Быстрый выпад вперед.
zts2445e	Перекрестный огонь
zts2446e	Обрушь на соперника огонь, от которого невозможно спрятаться.
zts2447e	Завершающее пламя
zts2448e	Добей своего соперника пламенем.
zts2455e	Пулемет
zts2456e	Повышает силу атаки в ближнем бою против животных низкого уровня.
zts2457e	Магический световой круг
zts2458e	Кошачьи лапы
zts2459e	Любящее сердце
zts2460e	Удар ладонью
zts2461e	Ударная волна
zts2462e	Невероятно быстрый удар в живот.
zts2463e	Ноги без теней
zts2464e	Телепортирует твоего соперника и вбивает его в грязь.
zts2465e	Шаг в сторону
zts2466e	Позволяет уклониться от атак противника с помощью Шага в сторону.
zts2467e	Лунное поглощение
zts2468e	Если ты используешь навык с положительным эффектом, пока Просветление активно, ты получаешь дополнительный положительный эффект, который повышает силу всех атак на 20%. Восстановление ОМ также повышается на 30.
zts2469e	Сбор лепестков
zts2470e	Если ты используешь навык с положительным эффектом, пока Просветление активно, ты получаешь дополнительный положительный эффект, который повышает силу всех защит на 20%. Также с 30% шансом твой урон повышается на 20%.
zts2471e	Танец полумесяца
zts2472e	Если ты используешь этот навык, пока Возможность атаковать будет активна, с вероятностью в 100% ты получишь Тень полумесяца.
zts2473e	Лунный срез
zts2474e	Если ты используешь этот навык, пока Возможность атаковать будет активна, ты украдешь по 20% ОМ своего соперника за каждый уровень персонажа.
zts2475e	Сдерживание лунным светом
zts2476e	Если ты используешь этот навык, пока Возможность атаковать будет активна, ты снимешь все негативные эффекты ниже 4 уровня.
zts2477e	Лунное затмение
zts2478e	Если ты используешь Лунное затмение, пока Возможность атаковать еще активна, с вероятностью в 100% твой соперник получит Знак полнолуния вместо Знака луны.
zts2479e	Прыжок лотоса
zts2480e	Если ты используешь этот навык, пока Возможность атаковать будет активна, время перезарядки Прыжка лотоса будет сброшено, и ты сможешь использовать его снова.
zts2481e	Семя лотоса
zts2482e	Если ты используешь этот навык, пока Возможность атаковать будет активна, дополнительные Цветки лотоса будут призваны.
zts2483e	Ловушка лотоса
zts2484e	Если ты используешь этот навык, пока Возможность атаковать будет активна, цветки взорвутся по исчезновению и нанесут по 10 единиц дополнительного урона за каждый уровень персонажа.
zts2485e	Цветение
zts2486e	Если ты используешь этот навык, пока Возможность атаковать будет активна, ты повысишь вероятность получения соперником Проклятия лотоса на 50%. Это сработает только если на соперника еще не будет наложен этот негативный эффект. Если Проклятие лотоса уже будет активно, Лепестковый ад будет активирован вновь.
zts2487e	Сопротивление
zts2488e	Если тебя атакуют, когда ты используешь Сопротивление, ты получаешь эффект Возможность атаковать.
zts2493e	Базовая атака ладонью.
zts2494e	Выпад
zts2495e	Ярость берсерка
zts2496e	Сердечная стрела
zts2497e	Выпускает стрелу с наконечником в форме сердца.
zts2498e	Тройная стрела
zts2499e	Выпускает три стрелы одновременно.
zts2500e	Мастер стрельбы из лука
zts2501e	Помогает отточить навыки стрельбы из лука для повышения силы атаки.
zts2502e	Базовая атака
zts2503e	Бросок букета
zts2504e	Предложение
zts2505e	Дождь из конфетти
zts2506e	Поцелуй
zts2507e	Ритм любви
zts2508e	Свадебный танец
zts2509e	Фотосессия
zts2510e	Сердечко из ладоней
zts2511e	Совместное позирование
zts2512e	Поза любви
zts2513e	Положительный эффект сработает только в том случае, если у твоего соперника будет надета Карта специалиста свадебный костюм.
zts2518e	Гнилая яичная бомба
zts2519e	Яичная бомба
zts2520e	Жуткая яичная бомба
zts2521e	Бросок огромной Жуткой яичной бомбы во врагов.
zts2522e	Бросок огромной Гнилой яичной бомбы во врагов.
zts2523e	Непреклонность
zts2524e	Дает эффект, усиливающий игрока и его НосПомощника.
zts2525e	Мощное комбо из разных ударов.
zts2526e	Удар снизу
zts2527e	Стремительный удар ногой.
zts2528e	Удар с воздуха
zts2529e	Ты делаешь кувырок в воздухе и бьешь противника, не успев приземлиться.
zts2530e	Звуковая волна
zts2531e	Ты ударяешь ладони друг о друга, выпуская в противника образовавшуюся звуковую волну.
zts2532e	Превращается в Звуковую волну силы, когда активна Стойка силы.
zts2533e	Требуются 2000 очков силы.
zts2534e	Торнадо удар
zts2535e	Ты вращаешься вокруг своей оси три раза, каждый раз ударяя противника.
zts2536e	Превращается в Торнадо удар силы, когда активна Стойка силы.
zts2537e	Требуется 1000 очков силы.
zts2538e	Апперкот
zts2539e	Ты подпрыгиваешь, и ударяешь противника.
zts2540e	Превращается в Апперкот силы, когда активна Стойка силы.
zts2541e	Требуются 3000 очков силы.
zts2542e	Блок
zts2543e	Ты фокусируешься на блокировании ударов противника.
zts2544e	При получении атаки во время блока, ты получаешь 1000 очков силы.
zts2545e	Вдохновение
zts2546e	Ты излучаешь волны чистой энергии, которые гальванизируют твоих союзников.
zts2547e	Стойка силы
zts2548e	Ты можешь использовать навыки силы, когда находишься в этой стойке.
zts2549e	При использовании этой стойки Звуковая волна, Торнадо удар, Апперкот и Тройное комбо превращаются в их варианты с силой.
zts2550e	Воля искателя истины
zts2551e	Усиливает твой дух медитацией.
zts2552e	Тройное комбо
zts2553e	Ты быстро выполняешь Удар с воздуха, Звуковую волну и Апперкот.
zts2554e	Превращается в Тройное комбо силы, когда активна Стойка силы.
zts2555e	Звуковая волна силы
zts2556e	Торнадо удар силы
zts2557e	Апперкот силы
zts2558e	Тройное комбо силы
zts2559e	Пламенная атака
zts2560e	Пламенная броня
zts2561e	Радужная эмоция (Alt + -)
zts2562e	Чтобы получить возможность использовать эту эмоцию, ее нужно приобрести в Радужном магазине.
zts2563e	Суши-вечеринка
zts2564e	Соблазни врагов вкусными суши.
zts2565e	Шлепок
zts2566e	Этот навык доступен для использования только в течение 10 секунд после использования Суши-вечеринки.
zts2567e	Удар когтем
zts2568e	Яростная атака острыми когтями.
zts2569e	Пикирование
zts2570e	Ты поднимаешься в воздух, бросаешься на противника и атакуешь его своими когтями.
zts2571e	Рой летучих мышей
zts2572e	Ты превращаешься в рой летучих мышей и можешь двигаться быстрее.
zts2573e	Шторм теней
zts2574e	Ты вращаешься по кругу, вызывая летучих мышей, которые атакуют всех противников вокруг тебя.
zts2575e	Демонический огонь
zts2576e	Ты выпускаешь красный луч из глаз.
zts2577e	Двойной удар
zts2578e	Ты ударяешь противника в прыжке и наносишь ему дополнительный удар сразу после этого.
zts2579e	Контркрыло
zts2580e	Ты частично отражаешь урон, наносимый противником, своими крыльями.
zts2581e	Кровавые цепи
zts2582e	Ты выстреливаешь кровавыми цепями, обвивающими твоих противников.
zts2583e	Смерть с небес
zts2584e	Ты атакуешь противников, находящихся на земле, с воздуха.
zts2585e	Демонические силы
zts2586e	Ты делишься демоническими силами с рядом находящимися союзниками.
zts2587e	Приговор Люцифера
zts2588e	Ты взмываешь вверх и выпускаешь мощный луч, находясь в воздухе.
zts2589e	Пикирование демонического воина
zts2590e	Базовая атака Карно
zts2591e	Укус
zts2592e	Возвращение Короля Зверей
zts2593e	Взмах крыла
zts2594e	В ловушке
zts2595e	Дыхание смерти
zts2596e	Колючая кожа
zts2597e	Сфера тьмы
zts2598e	Темный огненный шар
zts2599e	Вуду атака
zts2600e	Базовая атака Киролласа
zts2601e	Огненное извержение
zts2602e	Гром среди ясного неба
zts2603e	Ледяной метеор
zts2604e	Базовая атака Белиала
zts2605e	Землетрясение с адским пламенем
zts2606e	Взрывной порез
zts2607e	Пожиратель душ
zts2608e	Внезапный поворот
zts2609e	Зов Бога Демонов
zts2610e	Магическая закалка
zts2611e	Растягивающаяся шкура
zts2612e	Первый удар
zts2613e	Толстая кожа
zts2614e	Упорство
zts2615e	Молниеносная защита
zts2616e	Медвежий удар
zts2617e	Кровавая месть
zts2618e	Боевая стойка
zts2619e	Львиные когти
zts2620e	Мощная атака
zts2621e	Острые когти
zts2622e	Восстановление сил
zts2623e	Точный удар
zts2624e	Львиный удар
zts2625e	Смертельный удар
zts2626e	Смертельная ловкость
zts2627e	Пророчество
zts2628e	Слишком медленно!
zts2629e	Уклонение и парирование
zts2630e	Инстинкт самосохранения
zts2631e	Растущий опыт
zts2632e	Орлиные когти
zts2633e	Нейротоксин
zts2634e	Тайная мудрость
zts2635e	Первый удар
zts2636e	Проклятие мести
zts2637e	Магическая защита
zts2638e	Живая бомба
zts2639e	Проклятие превращения
zts2640e	Змеиный укус
zts2641e	Ледяной метеор
zts2642e	Метеоритная атака (Тип I)
zts2643e	Метеоритная атака (Тип II)
zts2644e	Взрыв нестабильного голема
zts2645e	Кожа становится тверже и на ней вырастают шипы.
zts2646e	Комок страха
zts2647e	Повышает силу защиты за счет силы атаки.
zts2648e	Броня адаптируется под тип урона.
zts2649e	Медвежья выносливость
zts2650e	Благословение медведя повышает твою выносливость.
zts2651e	Повышает сопротивление и броню.
zts2652e	Благословленная шкура
zts2653e	Святая шкура медведя-лоа защищает тебя от негативных эффектов.
zts2654e	Усиливает твою броню в одно мгновение.
zts2655e	Те, кто знают, как жить в гармонии с природой, могут наполниться силой медведя-лоа.
zts2656e	Благословение элементов
zts2657e	Все элементы усиливаются.
zts2658e	Повышает силу атаки за счет силы защиты.
zts2659e	Львиные когти наносят глубокие раны.
zts2660e	Повышает силу оружия.
zts2661e	Чем сильнее атака, тем больше урона наносится.
zts2662e	Дает шанс на сброс перезарядки навыка.
zts2663e	Пронзает броню противника.
zts2664e	Те, кто знают, как жить в гармонии с природой, могут наполниться силой льва-лоа.
zts2665e	Быстрота ветра
zts2666e	Повышает скорость передвижения и уклонение.
zts2667e	Пронзительный взгляд
zts2668e	Находит слабые места противника.
zts2669e	Полет под облаками
zts2670e	Ты умело скрываешь свои слабые места.
zts2671e	Орлиный глаз
zts2672e	Повышает точность твоих атак.
zts2673e	Глаз за глаз
zts2674e	Отражает урон обратно в противника.
zts2675e	Когда ты в опасности, твоя ловкость повышается.
zts2676e	Чем опытнее ты становишься, тем проще тебе находить слабые места противников.
zts2677e	Те, кто знают, как жить в гармонии с природой, могут наполниться силой орла-лоа.
zts2678e	Яд змеи
zts2679e	Атака, усиленная ядом.
zts2680e	Твоя сила атаки повышается от твоей магической защиты.
zts2681e	При получении тобой урона он вычитается из твоих ОМ вместо ОЗ.
zts2682e	Проклятие
zts2683e	Ты жаждешь мести и проклинаешь своего противника.
zts2684e	Элементальный щит
zts2685e	Получаемый элементальный урон снижен.
zts2686e	Магическая броня
zts2687e	Получаемый урон понижается магическим образом.
zts2688e	Сила твоих элементов повышается, пока на тебе висят негативные эффекты.
zts2689e	Те, кто знают, как жить в гармонии с природой, могут наполниться силой змеи-лоа.
zts2690e	В этой книге содержится сила медведя-лоа.
zts2691e	Количество ОЗ повышается на 7000.
zts2692e	В этой книге содержится сила орла-лоа.
zts2693e	Ловкость повышается на 120.
zts2694e	В этой книге содержится сила змеи-лоа.
zts2695e	Интеллект повышается на 120.
zts2696e	В этой книге содержится сила льва-лоа.
zts2697e	Физическая сила повышается на 120.
zts2698e	В этой книге содержится сила Короля Духов.
zts2699e	Количество ОМ повышается на 7000.
zts2717e	Огненный шар
zts2718e	Ты кидаешь во врагов огненный шар, поджигая их.
zts2721e	Слабое благословение Короля Духов
zts2722e	Король Духов благословляет тебя и находящихся рядом с тобой НосПомощников.
zts2723e	Темная энергия Паймона
zts2724e	Темная сила Паймона проникает в тебя и создает элитного темного рыцаря.
zts2745e	Боевой дух Короля Зверей
zts2746e	Боевой дух Короля Зверей усиливает мораль твоих союзников.
zts2747e	Вой совомедведя
zts2748e	Приказ темного эльфа
zts2749e	Энергия моховой слизи
zts2757e	Призыв первого отряда
zts2758e	Призывает первый отряд в Небесную башню. Если у отряда есть положительный эффект Работа в команде, ты также его получишь.
zts2759e	Призыв второго отряда
zts2760e	Призывает второй отряд в Небесную башню. Если у отряда есть положительный эффект Работа в команде, ты также его получишь.
zts2770e	Призыв третьего отряда
zts2771e	Призывает третий отряд в Небесную башню. Если у отряда есть положительный эффект Работа в команде, ты также его получишь.
zts2772e	Призыв четвертого отряда
zts2773e	Призывает четвертый отряд в Небесную башню. Если у отряда есть положительный эффект Работа в команде, ты также его получишь.
zts2774e	Призыв пятого отряда
zts2775e	Призывает пятый отряд в Небесную башню. Если у отряда есть положительный эффект Работа в команде, ты также его получишь.
zts2779e	Смертельный вихрь
zts2780e	Шепот Анубиса
zts2781e	Спектральная чума
zts2782e	Магический торт
zts2783e	В этом сладком пироге есть что-то особенное.
zts2784e	Атака щитом
zts2785e	Атакует врагов шипастым щитом.
zts2786e	Закинуть удочку
zts2787e	Подсечь
zts2788e	Ловля рыбы с наживкой
zts2789e	Телепортация на место для рыбалки
zts2790e	Ловля рыбы из укрытия
zts2791e	Какая огромная!
zts2792e	Клюет
zts2793e	Рыбный танец
zts2794e	Уход за леской
zts2795e	Закинуть удочку (как профи)
zts2796e	Ты атакуешь, используя свою удочку.
zts2797e	Ты закидываешь удочку.
zts2798e	При ловле рыбы используется наживка.
zts2799e	Ты пытаешься вытащить рыбу из воды.
zts2800e	Ты используешь пластиковую приманку.
zts2801e	Действие эффекта закончится, когда удочка будет закинута.
zts2802e	Ты сохраняешь это место для рыбалки для возвращения сюда с помощью Телепортации на место для рыбалки.
zts2803e	Если ты используешь этот навык второй раз во время действия эффекта Телепортация на место для рыбалки, ты вернешься на то место, которое было выбрано тобой для ловли рыбы ранее.
zts2804e	Монстры не видят тебя.
zts2805e	Ты хвастаешься шикарным уловом.
zts2806e	Ты притягиваешь к себе цель.
zts2807e	Ты получаешь благословение рыбы-лоа с помощью этого танца.
zts2808e	Можно использовать, чтобы сделать леску прочнее и эластичнее.
zts2809e	Вероятность поимки большой рыбы повышается. С 50% вероятностью ты можешь поймать большую рыбу. Вероятность поимки рыбы повышается на 5%.
zts2810e	При ловле рыбы используется наживка.
zts2811e	Возвращает тебя в город после того, как ты сохранишь это место в качестве пункта назначения.
zts2812e	Делает тебя и твоих НосПомощников невидимыми для монстров. Можно использовать только на местах для рыбалки.
zts2813e	Библия рыбалки
zts2814e	Повышает силу всех атак и защит на 50.
zts2815e	Время перезарядки этого эффекта нельзя сократить.
