zts1e	Entraînement pour aventurier novice
zts2621e	Transmets la lettre d'Orus pour Tom à Perkichan au Port de Mourice.
zts2622e	Regarde l'objet que Perkichan t'a donné.
zts2623e	Parfait pour l'entraînement
zts2624e	Attrape des pikanyas pour l'entraînement de la garde.
zts2625e	Rapporte les pikanyas que tu as attrapés à la garde au Village Olorune.
zts2626e	Reconnaissance
zts2627e	Logota a besoin des armes orcs brisées de la Ferme d'Olorune pour prouver sa valeur à son père.
zts2628e	Apporte les armes orcs que tu as récupérées à Logota au Village Olorune.
zts2629e	Convaincre son père
zts2630e	Parle avec le chef Toufle au Village Olorune et montre-lui les armes orcs réparées.
zts2631e	Un demi-compliment
zts2632e	Rapporte à Logota au Village Olorune ce que son père a dit.
zts2633e	Regarde l'objet que Logota t'a donné.
zts2634e	La clé manquante
zts2635e	Irus a l'air de savoir où se trouve la clé du coffre au trésor. Rends-toi à la Plage du nord et demande-le-lui.
zts2636e	Le coffre au trésor étrange
zts2637e	Élimine le grand hydromme dans la grotte à la Plage du sud, puis récupère la clé.
zts2638e	Un résultat insatisfaisant
zts2639e	Apporte la clé à Orus à la Plage du nord.
zts2640e	Regarde l'objet qu'Orus t'a donné.
zts2641e	Genou craquant
zts2642e	Tulito, le doyen du village, a besoin de son médicament. Il dit que la mousse fraiche est bonne pour ses articulations douloureuses.
zts2643e	Bouillie de mousse
zts2644e	Apporte la mousse macérée que Tulito t'a donnée à Rocha au Village Olorune.
zts2645e	De la bouillie de mousse pour des os en mauvais état
zts2646e	Donne la bouillie de mousse à Tulito au Village Olorune.
zts2647e	Une renaissance
zts2648e	Regarde l'objet que Tulito t'a donné.
zts2649e	Une aiguille et de l'encre
zts2650e	Renseigne-toi auprès d'Asgot au Bois contaminé pour savoir quel matériel renforce la puissance des loas.
zts2651e	Cristal de Fernon
zts2652e	Élimine Fernon incomplète dans son raid pour obtenir la poudre magique.
zts2653e	Apporte la poudre magique de Fernon à Asgot au Bois contaminé.
zts2654e	Apporte le cristal magique brut de Fernon à Churigo au Village Olorune.
zts2655e	Hmm, qu'est-ce qu'on peut bien faire avec ce cristal ?
zts2656e	Graver les runes (pour graveur avancé)
zts2657e	Martas cherche du nouveau matériel qu'il pourrait utiliser pour la gravure runique. Va demander conseil au maître sorcier Thrull au Village Olorune.
zts2658e	Le cristal des déesses
zts2659e	Parle avec l'alchimiste Felice à Cylloan pour en savoir plus sur ce matériel.
zts2660e	Élimine Érénia et Zénas dans leurs raids pour obtenir leur poudre magique.
zts2661e	Tu as la poudre magique. Demande à l'alchimiste Felice à Cylloan comment fabriquer le cristal magique.
zts2662e	Un cristal ? Viens vite !
zts2663e	Apporte le cristal des déesses brut à Martas au Village Olorune.
zts2664e	Hmm, qu'est-ce qu'on peut bien faire avec ce cristal ?
zts2665e	Frapper en premier (quête journalière)
zts2666e	Élimine les monstres du Bois contaminé avant qu'ils n'attaquent le village.
zts2667e	Fais ton rapport à Liatiz au Village Olorune concernant le résultat.
zts2668e	Regarde l'objet que Liatiz t'a donné.
zts2669e	Pas de mousse, pas de coup de pouce (quête journalière)
zts2670e	La jeune sorcière Churigo a besoin d'un jus de mousse orc.
zts2671e	Un pont plus loin (quête journalière)
zts2672e	Liatiz rapporte que le pont de la Falaise de la forêt est attaqué. Élimine les monstres responsables de cette attaque.
zts2673e	Fais ton rapport à Liatiz au Village Olorune.
zts2674e	Des spécialités régionales (quête journalière)
zts2675e	Itura, la propriétaire du magasin d'alimentation, t'a demandé de récupérer des pommes sucrées et de la viande de hibours au Chemin de la forêt.
zts2676e	Regarde l'objet qu'Itura t'a donné.
zts2677e	Venin de scorpion (quête journalière)
zts2678e	Récupère du venin de scorpion et apporte-le à Rigtas, car il veut l'utiliser contre les monstres.
zts2679e	Des monstres gémissants (quête journalière)
zts2680e	Rapporte à Tulito du Village Olorune que tu as fait taire les monstres gémissants une bonne fois pour toute.
zts2681e	Du matériel pour un nouvel enchantement (quête journalière)
zts2682e	Récupère des crinières de hibours et du venin de scorpion aux yeux rouges pour confectionner un nouvel enchantement de défense.
zts2683e	Pêcher en paix (quête journalière)
zts2684e	Les monstres qui rôdent sur la plage empêchent les pêcheurs de travailler. Élimine-les et rapporte le poisson qu'ils ont volé.
zts2685e	Confirme à Proga que tu as éliminé les monstres et que tu as ramené le poisson.
zts2686e	Regarde l'objet que Proga t'a donné.
zts2687e	Protège la ferme ! (quête journalière)
zts2688e	Élimine les trolls guerriers et les gobelins patates qui ravagent la ferme.
zts2689e	Confirme à Liatiz que tu as décimé les hordes de monstres.
zts2690e	Chasse aux démons (quête journalière)
zts2691e	Récupère les distinctions du démon et rapporte-les au chef Toufle.
zts2692e	Le 2e combat contre le roi des bêtes (quête journalière)
zts2693e	Utilise le sceau de raid du roi des bêtes corrompu dans la Grotte du roi des bêtes et élimine-le avec tes alliés.
zts2694e	Confirme à Cottari dans la Grotte des bêtes que tu as éliminé Carno.
zts2695e	Regarde le fragment du roi des bêtes.
zts2696e	Le 2e combat contre le roi des esprits (quête journalière)
zts2697e	Utilise le sceau de raid du roi des esprits corrompu dans le Bois du roi des esprits et élimine-le avec tes alliés.
zts2698e	Confirme à Datius dans le Bois des esprits que tu as éliminé Kirollas.
zts2699e	Regarde le fragment du roi des esprits.
zts2700e	Le retour de Bélial (quête journalière)
zts2701e	Tu as éliminé Bélial ! Rapporte la bonne nouvelle au chef Toufle au Village Olorune.
zts2702e	Regarde l'objet que tu as récupéré sur Bélial.
zts2703e	Le cristal magique se forme (quête journalière)
zts2704e	Apporte la poudre magique de Fernon à Asgot au Bois contaminé.
zts2705e	Apporte le cristal magique brut de Fernon à Churigo au Village Olorune.
zts2706e	Le cristal magique des déesses (quête journalière)
zts2707e	Demande à l'alchimiste Felice à Cylloan comment fabriquer le cristal magique.
zts2708e	La magie des déesses
zts2709e	Apporte le cristal des déesses brut à Martas au Village Olorune.
zts2710e	Des bêtes en excès (quête journalière)
zts2711e	La Grotte des bêtes est pleine à craquer. Éclaircis les rangs des monstres qui s'y trouvent.
zts2712e	Confirme à Cottari dans la Grotte des bêtes que tu as décimé les rangs des hordes de monstres.
zts2713e	La fureur des esprits (quête journalière)
zts2714e	Le Bois des esprits est plein à craquer. Éclaircis les rangs des monstres qui s'y trouvent.
zts2715e	Confirme à Datius au Bois des esprits que tu as décimé les hordes de monstres.
zts2716e	Garder les bois bien propres (quête journalière)
zts2717e	Le Bois contaminé est plein à craquer. Éclaircis les rangs des monstres qui s'y trouvent.
zts2718e	Confirme à Asgot au Bois contaminé que tu as décimé les hordes de monstres.
zts2719e	De gros poissons
zts2720e	Entre dans la grotte de la plage et sauve les pêcheurs.
zts2721e	Le frère de Kantrok voulait aller chercher du bois dans le Bois des esprits, mais on ne l'a plus revu depuis. Cherche des traces qui pourraient te mener à lui.
zts2722e	Les traces conduisent profondément dans la forêt. Continue à chercher.
zts2723e	Rends-toi à la grotte dans laquelle rôde l'hydromme géant.
zts2724e	Élimine les monstres gémissants (qui empêchent Tulito de dormir) dans le Bois contaminé.
zts2725e	Utilise le sceau de raid du dieu-démon Bélial dans la Salle du trône de Bélial et élimine-le avec tes alliés.
zts2726e	Le roi des esprits corrompu
zts2727e	Le roi des esprits a été corrompu. Élimine-le pour le libérer. (Rejoins le raid)
zts2728e	Rends-toi à la Grotte du roi des bêtes corrompu. (Mission de raid)
zts2729e	Le rapport disparu (quête journalière)
zts2730e	Récupère les morceaux du rapport sur les Orcs corrompus vaincus.
zts2731e	Apporte les morceaux du rapport à Liatiz au Village Olorune.
zts2732e	Mission terminée avec succès
zts2733e	En quête d'informations (quête journalière)
zts2734e	Apporte les ordres de Bélial à Toufle au Village Olorune. Ses adeptes les portent sur eux.
zts2735e	Troubles à la Tour céleste
zts2736e	Renseigne-toi sur les agents secrets auprès de la garde de la Tour céleste au Village Olorune.
zts2737e	Cherche des indices dans le sous-sol de la Tour céleste.
zts2738e	Élimine les Orcs corrompus et récupère des informations.
zts2739e	Récupère les autres parties du rapport.
zts2740e	Rapport d'espionnage
zts2741e	Apporte les morceaux du rapport à Liatiz au Village Olorune.
zts2742e	Qu'est-ce qui se passe ?
zts2743e	Fais ton rapport à Toufle au Village Olorune sur les évènements de la Tour céleste.
zts2744e	Une nouvelle mission
zts2745e	Dévoile ton amour !
zts2746e	Offre un cadeau de Saint-Valentin à quelqu'un.
zts2747e	Dis à Cupidia que tu as terminé la mission.
zts2748e	Fabriquer des flèches 1
zts2749e	Récupère des cœurs magiques auprès des monstres.
zts2750e	Rapporte les cœurs magiques à Cupidia.
zts2751e	Fabriquer des flèches 2
zts2752e	Récupère du bois rare pour les tiges de flèche.
zts2753e	Fabriquer des flèches 3
zts2754e	Récupère de la poussière de fées des wollets dans l'Érablière.
zts2755e	Rapporte la poussière de fées à Cupidia.
zts2756e	Poussière de fées étincelante
zts2757e	Rapporte les étamines dorées de l'Érablière à Cupidia pour que la poussière de fées retrouve son éclat.
zts2758e	Quête accomplie
zts2759e	Va parler à Théodor Topp quand tu as terminé 3 fois le raid du roi poulet.
zts2760e	La réunion
zts2761e	Les ordres de Bélial ont été décryptés. Va le dire à Toufle.
zts2762e	La descendante du druide du Feu
zts2763e	Va voir Taita à la Falaise de la forêt
zts2764e	Tant de démons !
zts2765e	Élimine les démons des environs.
zts2766e	Demande des informations à Taita concernant la faille dans le ciel.
zts2767e	Le descendant du prince des bêtes
zts2768e	Va voir Cottari dans la Grotte des bêtes.
zts2769e	Des démons déments
zts2770e	Rends-toi à l'endroit où les obélisque du mal ont été construits.
zts2771e	Élimine les démons qui ont construit les obélisques du mal.
zts2772e	Tabou
zts2773e	Demande des informations à Cottari à propos de la faille dans le ciel.
zts2774e	La descendante du prêtre baudou
zts2775e	Va voir Asgot au Bois contaminé.
zts2776e	Des statues de pierre agaçantes
zts2777e	Élimine les statues de pierre et les monstres du Bois contaminé.
zts2778e	Le descendant du Croisé orc
zts2779e	Va voir Datius à la Lisière du Bois des esprits.
zts2780e	Des esprits furieux
zts2781e	Élimine les esprits furieux.
zts2782e	Retourne voir Datius et pose-lui des questions concernant la faille dans le ciel.
zts2783e	L'offrande
zts2784e	Récupère du matériel pour le roi des esprits. Son autel est tout près de l'entrée du raid du roi des esprits.
zts2785e	L'autel du roi des esprits
zts2786e	Apporte les matériels comme offrande sur l'autel du roi des esprits dans le Bois des esprits.
zts2787e	L'épreuve du roi des esprits
zts2788e	Termine l'espace-temps près de l'autel.
zts2789e	Un digne héros
zts2790e	Rends-toi à l'autel du roi des esprits pour y obtenir la tablette.
zts2791e	En avant, aux champs dorés !
zts2792e	Rends-toi à la Cité des aigles du désert pour obtenir d'autres indices.
zts2793e	L'aiguille dans un tas de sable
zts2794e	Parle à Roram à propos de l'aiguille.
zts2795e	Parle aux marchands à propos de l'aiguille.
zts2796e	Paie le prix exorbitant du marchand
zts2797e	Va parler au président Noah au Camp d'Akamur.
zts2798e	Donne les éclats titanesques noirs au président Noah.
zts2799e	Cherche l'arbre dans le Désert du Nord, près duquel l'aiguille a été cachée.
zts2800e	La recherche du fil sacré
zts2801e	Parle avec le Croisé Graham à propos de la volonté divine.
zts2802e	Le fil divin
zts2803e	Rends-toi à la Volonté d'Ancelloan.
zts2804e	Parle du temple abandonné au Croisé de la 6e escouade.
zts2805e	Élimine les esprits maléfiques inconnus.
zts2806e	Fais un rapport au Croisé.
zts2807e	Rends-toi à la Volonté d'Ancelloan 2.
zts2808e	Tu n'as pas eu de chance dans ces ruines.Effectue des recherches dans les ruines suivantes.
zts2809e	Passe à travers le portail pour obtenir le fil.
zts2810e	De fil en aiguille
zts2811e	Tu as trouvé l'aiguille et le fil. Retourne au Village Olorune et parle au chef Toufle.
zts2812e	La fuite hors de la Tour
zts2813e	Parle à Thrull à propos de la Tour céleste.
zts2814e	La solution
zts2815e	Va voir Asgot au Bois contaminé.
zts2816e	Chasse aux monstres à la Tour
zts2817e	Élimine les statues de pierre et les démons au Bois contaminé.
zts2818e	Retourne voir Asgot.
zts2819e	L'obélisque de Lumière
zts2820e	Va voir Datius à la Lisière du Bois des esprits.
zts2821e	Transmission d'énergie
zts2822e	Récupère le matériel au Bois des esprits matériel pour le totem.
zts2823e	Le bon endroit pour le rituel
zts2824e	Récupère d'autres matériels pour le totem.
zts2825e	Rends-toi à l'endroit du rituel.
zts2826e	Le gardien du rituel
zts2827e	Protège l'obélisque de Lumière pendant le rituel.
zts2828e	Parle avec Datius.
zts2829e	Parle du totem à Toufle.
zts2830e	Les niveaux inférieurs
zts2831e	Neutralise le pouvoir du mal avec le totem dans les niveaux inférieurs. (Pour cela, utilise le menu « Le défi de la Tour céleste » auprès du gardien de la Tour.)
zts2832e	Informe Toufle que le pouvoir du mal a été éradiqué dans les niveaux inférieurs.
zts2833e	On continue de monter
zts2834e	Neutralise le pouvoir du mal avec le totem dans les niveaux intermédiaires. (Pour cela, utilise le menu « Le défi de la Tour céleste » auprès du gardien de la Tour.)
zts2835e	Informe Toufle que le pouvoir du mal a été éradiqué dans les niveaux intermédiaires.
zts2836e	Jusqu'au sommet !
zts2837e	Neutralise le pouvoir du mal avec le totem dans les niveaux supérieurs. (Pour cela, utilise le menu « Le défi de la Tour céleste » auprès du gardien de la Tour.)
zts2838e	Informe Toufle que le pouvoir du mal a été éradiqué dans les niveaux supérieurs.
zts2839e	Pour la paix dans le monde
zts2840e	Les défis des héros
zts2841e	Vers la Tour céleste infinie !
zts2842e	Fais ton rapport à Toufle.
zts2843e	Le défi de la Tour céleste (quête journalière)
zts2844e	Nettoie l'intérieur de la Tour céleste (quête de la Tour céleste infinie). Récompenses : expérience héroïque, pièce d'infini
zts2845e	Fais ton rapport à Toufle et récupère ta récompense.
zts2846e	Mission accomplie.
zts2847e	Les monstres de Paimon
zts2848e	Élimine les monstres de Paimon à la Tour (quête de la Tour céleste infinie). Récompenses : sceau de raid de Paimon, réputation
zts2849e	Informe Toufle que les monstres ont été vaincus.
zts2850e	Le nettoyage de la Tour céleste (quête journalière)
zts2851e	Élimine les monstres de Paimon à la Tour (quête de la Tour céleste infinie). Récompenses : sceau de raid de Paimon, réputation
zts2852e	Informe Toufle que les monstres ont été vaincus.
zts2853e	L'ombre de Paimon
zts2854e	Élimine le fantôme de Paimon. Parle au gardien du portail de la Tour céleste si tu veux accéder au raid. Récompenses : croquettes de qualité, pièce d'infini, ticket de réinitialisation de la Tour céleste
zts2855e	Informe Thrull que tu as vaincu Paimon.
zts2856e	La persistance de Paimon (quête journalière)
zts2857e	Élimine le fantôme de Paimon. Parle au gardien du portail de la Tour céleste si tu veux accéder au raid. Récompenses : cristal magique de Fernon, cristal magique des déesses
zts2858e	Informe Thrull que tu as vaincu Paimon.
zts2859e	Des esprits furieux
zts2860e	Termine le raid du roi des esprits, puis retourne voir Datius.
zts2861e	La dernière bataille
zts2862e	Scelle la faille dans le ciel et fais ton rapport à Toufle. (Pour cela, utilise le menu « Le défi de la Tour céleste » auprès du gardien de la Tour.)
zts2863e	La fin de l'horreur
zts2864e	Informe Toufle des derniers évènements.
zts2865e	Relève le défi de la Tour céleste infinie (quête de la Tour céleste infinie). Récompenses : expérience héroïque, médicament pour partenaire, coffre du hasard de la Tour céleste, ticket de réinitialisation de la Tour céleste
zts2866e	La malédiction du 13
zts2867e	Termine 13x les 3 raids d'Halloween.
zts2868e	La malédiction de l'hydromme
zts2869e	Écoute la demande de Walter.
zts2870e	Cherche le poisson le plus délicieux du monde.
zts2871e	On ne discute pas les goûts et les couleurs.
zts2872e	Fais ton rapport à Walter sur ce que tu as découvert.
zts2873e	Du poisson frais ? Beuark !
zts2874e	Demande à Eva Energy si elle aurait de la nourriture gâtée en magasin.
zts2875e	Demande à Mimi Mentor ce qui s'est passé.
zts2876e	Ça pue jusqu'au ciel.
zts2877e	Fais des recherches dans les lieux malodorants.
zts2878e	Rapporte à Mimi Mentor que tu t'es occupé du problème.
zts2879e	Avec des poissons, on attrape des hydrommes.
zts2880e	Apporte la nourriture pourrie à Walter.
zts2881e	Trompe Arku pour sauver Fred.
zts2882e	À nouveau réunis.
zts2883e	Ramène Fredo à son frère.
zts2884e	Bonne pêche !
zts2885e	Un beau jour pour pêcher, pas vrai ? (quête journalière)
zts2886e	Allons pêcher !
zts2887e	Pêcher à NosVille (quête journalière)
zts2888e	Allons pêcher à NosVille ! (Niveau 1)
zts2889e	Pêcher à la Place de Port Alveus (quête journalière)
zts2890e	Allons pêcher à la Place de Port Alveus ! (Niveau 5)
zts2891e	Pêcher à l'Érablière (quête journalière)
zts2892e	Allons pêcher à l'Érablière ! (Niveau 10)
zts2893e	Allons pêcher au Port désertique de Mortaz (quête journalière)
zts2894e	Allons pêcher au Port désertique de Mortaz ! (Niveau 15)
zts2895e	Pêcher à Tart Hapendam (quête journalière)
zts2896e	Allons pêcher à Tart Hapendam ! (Niveau 20)
zts2897e	Pêcher dans l'Oasis (quête journalière)
zts2898e	Allons pêcher dans l'Oasis ! (Niveau 25)
zts2899e	Pêcher dans la Mer tropicale (quête journalière)
zts2900e	Allons pêcher au Port de Mourice ! (Niveau 30)
zts2901e	Pêcher dans le Fleuve tropical (quête journalière)
zts2902e	Allons pêcher au Chemin au chemin de la forêt ! (Niveau 35)
zts2903e	Pêcher dans le Bois contaminé (quête journalière)
zts2904e	Allons pêcher au Bois contaminé ! (Niveau 40)
zts2905e	Pêcher à la Rivière fantôme (quête journalière)
zts2906e	Allons pêcher au Bois des esprits ! (Niveau 45)
zts2907e	Pêcher dans la Région de lave (quête journalière)
zts2908e	Allons pêcher aux Griffes de Valakus, aux Ailes du phénix et à la Route de Katol ! (Niveau 50)
zts2909e	Écoute la demande de Walter. Récompense : carte de spécialiste du pêcheur, 5x appât, 5x ligne de pêche
zts2910e	Attrape le plus grand poisson (1/10)
zts2911e	Commence par attraper le plus grand piranha argenté à NosVille.
zts2912e	Demande la quête de pêche suivante à Walter.
zts2913e	Attrape le plus grand poisson (2/10)
zts2914e	Attrapez la plus grande étoile de mer rouge à la Place de Port Alveus.
zts2915e	Attrape le plus grand poisson (3/10)
zts2916e	Attrape la plus grande carpe à lunettes dans l'Érablière.
zts2917e	Attrape le plus grand poisson (4/10)
zts2918e	Attrape le plus grand lieu des abysses au Port désertique de Mortaz.
zts2919e	Attrape le plus grand poisson (5/10)
zts2920e	Attrape le plus grand poulpe à Tart Hapendam.
zts2921e	Attrape le plus grand poisson (6/10)
zts2922e	Attrape la plus grande tête-de-serpent dans le Camp d'Akamur.
zts2923e	Attrape le plus grand poisson (7/10)
zts2924e	Attrape le plus grand thon dans le Port de Mourice.
zts2925e	Attrape le plus grand poisson (8/10)
zts2926e	C'est parti ! Attrape le plus grand crapet-soleil rouge du Chemin de la forêt !
zts2927e	Attrape le plus grand poisson (9/10)
zts2928e	Attrape la plus grande tête-de-serpent rouge du Bois contaminé.
zts2929e	Attrape le plus grand poisson (10/10)
zts2930e	Attrape le plus grand requin de lave des Griffes de Valakus.
zts2931e	Vante-toi devant Walter avec le plus grand requin de lave.
zts2932e	Découvre le cadeau de Walter.
zts2933e	Récupère le matériel à l'endroit que Mimi Mentor a nommé. (Espace-temps)
zts2934e	Commence par attraper le plus grand piranha argenté à NosVille. Récompense pour avoir terminé une série de quêtes : 2 000 000 pièces d'or, 20 000 de réputation, titre « le plus long »
zts2935e	Commence par attraper le plus grand piranha argenté à NosVille. Récompense pour avoir terminé une série de quêtes : 2 000 000 pièces d'or, 20 000 de réputation, titre « le plus long »
zts2936e	À la recherche de Bigfoot
zts2937e	Termine le raid du bonhomme de neige et le raid contre Maru, le tigre du millénaire, pour obtenir des indices sur Bigfoot. Récompense : titre « Bigfoot »
zts2938e	Des œufs de toutes les couleurs et des jeux de mots
zts2939e	Élimine la reine poule et le lapin de Pâques fou pour devenir le maître des jeux de mots.
zts2940e	La souris qui parle
zts2941e	Écoute la demande de Ratiflette.
zts2942e	Premier ingrédient
zts2943e	Trouve un ingrédient.
zts2944e	Grande laitue
zts2945e	Récolte une grande laitue.
zts2946e	La viande, c'est mes légumes
zts2947e	Apporte divers types de viande à Ratiflette.
zts2948e	Juste ce qu'il y a de meilleur
zts2949e	Demande à Eva Energy où tu pourrais trouver des côtelettes de porc.
zts2950e	Tout est bon dans le cochon
zts2951e	Élimine un cochon pour récupérer une bonne côtelette de porc.
zts2952e	Les bonnes épices
zts2953e	Va à l'Érablière et récupère les épices de Ratiflette.
zts2954e	Rapporte les trois épices à Ratiflette.
zts2955e	Porc grillé
zts2956e	Goûte au porc grillé de Ratiflette.
zts2957e	Service de livraison royal 1
zts2958e	Apporte les plats pour la famille royale de Savourou à Ratiflette. (Récompenses finales) Cuisinier royal honoraire, cristal de feu, médaille d'honneur mystérieuse
zts2959e	Service de livraison royal 2
zts2960e	Apporte les plats pour la famille royale de Savourou à Ratiflette.
zts2961e	Service de livraison royal 3
zts2962e	Service de livraison royal 4
zts2963e	Service de livraison royal 5
zts2964e	Service de livraison royal 6
zts2965e	Service de livraison royal 7
zts2966e	La dernière livraison de repas
zts2967e	Cuisinier royal honoraire
zts2968e	Assistant-cuisinier (grillades)
zts2969e	Prouve tes compétences culinaires pour devenir assistant-cuisinier (grillades).
zts2970e	Je suis assistant-cuisinier (grillades) !
zts2971e	Cuisinier professionnel (grillades)
zts2972e	Prouve tes compétences culinaires pour devenir cuisinier professionnel (grillades).
zts2973e	Je suis cuisinier professionnel (grillades) !
zts2974e	Chef étoilé (grillades)
zts2975e	Prouve tes compétences culinaires pour devenir chef étoilé (grillades).
zts2976e	Je suis chef étoilé (grillades) !
zts2977e	Assistant-cuisinier (ragoûts)
zts2978e	Prouve tes compétences culinaires pour devenir assistant-cuisinier (ragoûts).
zts2979e	Je suis assistant-cuisinier (ragoûts) !
zts2980e	Cuisinier professionnel (ragoûts)
zts2981e	Je suis cuisinier professionnel (ragoûts) !
zts2982e	Chef étoilé (ragoûts)
zts2983e	Prouve tes compétences culinaires pour devenir chef étoilé (ragoûts).
zts2984e	Je suis chef étoilé (ragoûts) !
zts2985e	Assistant-cuisinier (poêlées)
zts2986e	Prouve tes compétences culinaires pour devenir assistant-cuisinier (poêlées).
zts2987e	Je suis assistant-cuisinier (poêlées) !
zts2988e	Cuisinier professionnel (poêlées)
zts2989e	Prouve tes compétences culinaires pour devenir cuisinier professionnel (poêlées).
zts2990e	Je suis cuisinier professionnel (poêlées) !
zts2991e	Chef étoilé (poêlées)
zts2992e	Prouve tes compétences culinaires pour devenir chef étoilé (poêlées).
zts2993e	Je suis chef étoilé (poêlées) !
zts2994e	Entraînement de cuisine (quête journalière)
zts2995e	Prépare 2x porc grillé.
zts2996e	Entraînement aux grillades (quête journalière)
zts2997e	Améliore tes compétences dans la préparation de grillades.
zts2998e	Entraînement de ragoûts (quête journalière)
zts2999e	Améliore tes compétences dans la préparation de ragoûts.
zts3000e	Entraînement de poêlées (quête journalière)
zts3001e	Améliore tes compétences dans la préparation de poêlées.
zts3002e	Plats simples 1 (quête journalière)
zts3003e	Apporte à Ratiflette les grillades simples souhaitées.
zts3004e	Plats simples 2 (quête journalière)
zts3005e	Apporte à Ratiflette les ragoûts simples souhaités.
zts3006e	Plats simples 3 (quête journalière)
zts3007e	Apporte à Ratiflette les poêlées simples souhaitées.
zts3008e	Cuisiner avec style 1 (quête journalière)
zts3009e	Apporte à Ratiflette les grillades de niveau moyen souhaitées.
zts3010e	Cuisiner avec style 2 (quête journalière)
zts3011e	Apporte à Ratiflette les ragoûts de niveau moyen souhaités.
zts3012e	Cuisiner avec style 3 (quête journalière)
zts3013e	Apporte à Ratiflette les poêlées de niveau moyen souhaitées.
zts3014e	Prépare un poisson en filet.
zts3015e	Cuisine d'expert (quotidien)
zts3016e	Apporte à Ratiflette la poêlée étoilée de son choix.
zts3025e	À la recherche des vénérables héros
zts3026e	Thrull doit sûrement en savoir davantage. Va lui parler.
zts3027e	Thrull t'envoie à NosVille pour récupérer davantage d'informations. Tu décides de parler d'abord à Mimi Mentor.
zts3028e	Indice inattendu
zts3029e	Fabian Frost aurait parlé d'une ruine ancienne découverte récemment. Demande-lui ce qu'il en est.
zts3030e	Fabian te dit que c'est le chef de la Couronne de glace qui lui en a parlé. Il devrait en savoir davantage à ce sujet.
zts3031e	À la recherche d'indices
zts3032e	Aurélius te montre le chemin vers les ruines. Vas-y et regarde autour de toi.
zts3033e	Tu te diriges vers les ruines, mais des monstres te barrent la route. Élimine-les pour poursuivre ta mission.
zts3034e	Le problème des monstres a été résolu. Le chemin menant aux ruines est maintenant libre.
zts3035e	Héros du passé
zts3036e	Tu dois entrer en contact avec les vénérables héros.
zts3037e	Demande à Thrull s'il connaît un moyen de le faire.
zts3038e	Double trouble, touille et qu'ça gargouille...
zts3039e	Élimine des monstres et récupère les ingrédients pour l'infusion rituelle.
zts3040e	Récupère des baies pour l'infusion rituelle.
zts3041e	Récupère des fruits pour l'infusion rituelle.
zts3042e	... Flamme qui brûle et chaudron plein d'bulles !
zts3043e	Informe Thrull que tu as tous les ingrédients.
zts3044e	Rêve de héros
zts3045e	Bois le breuvage rituel.
zts3046e	Souvenir du rêve
zts3047e	Tu essaies de te souvenir de ce que tu as vécu dans le rêve.
zts3048e	L'alchimiste
zts3049e	Tu te souviens d'une alchimiste qui vit dans le désert. Demande à Malcolm Mix s'il connaît quelqu'un qui correspond à cette description.
zts3050e	Va à la Cité des aigles du désert et trouve l'alchimiste dont les vénérables héros ont parlé.
zts3051e	Les héros et l'alchimiste
zts3052e	L'alchimiste te fait signe de venir à elle. Va lui parler.
zts3053e	Ancienne magie du feu
zts3054e	Élimine Kertos, Valakus et Grenigas, puis retourne auprès de l'alchimiste d'arrière-cour.
zts3055e	Ancien grès
zts3056e	Récupère des morceaux d'ancien grès sur les géants de sable dans le désert.
zts3057e	Anciens éléments
zts3058e	Apporte les matériaux à l'alchimiste.
zts3059e	Anciens et nouveaux héros
zts3060e	Rencontre les vénérables héros.
zts3061e	L'anneau de la Prêtresse vaudou
zts3062e	Interroge Thrull sur l'anneau de sa fille.
zts3063e	Des Héros et des Assassins
zts3064e	Utilise l'anneau pour sceller Paimon avec les vénérables héros.
zts3065e	Un dernier combat
zts3066e	Informe Thrull de ce qui s'est passé.
zts3067e	Les âmes nobles des héros
zts3068e	Rends visite au chef Toufle et écoute ce qu'il a à dire.
zts3069e	Utilise l'ancien pouvoir des héros.
zts3070e	Le retour du mal (quête journalière)
zts3071e	Affaiblis le pouvoir de Paimon qui a la mainmise sur le Bois des esprits.
zts3072e	La lumière tombée du ciel
zts3073e	Découvre ce que signifie cette lumière.
zts3074e	Le dragon déchu
zts3075e	Trouve un remède pour la jeune fille.
zts3076e	La jeune fille inconnue
zts3077e	Cherche des matériaux pour le remède.
zts3078e	Apporte les matériaux à Carven.
zts3079e	Attends que le remède fasse effet.
zts3080e	Soins de l'âme
zts3081e	Thrull, de l'Île Mourice, sera peut-être de bon conseil.
zts3082e	Récupère le matériel pour Thrull.
zts3083e	Retourne auprès de la jeune fille et procède au rituel.
zts3084e	Retour au bercail
zts3085e	Retourne à l'endroit où tu as trouvé Aéline.
zts3086e	Accompagne Aéline jusque chez elle. C'est dans la maison du chef du Krem.
zts3087e	Présente-toi auprès du maire du Repos du dragon.
zts3088e	Va parler à Émilie Fruiti.
zts3089e	Sécurise la route
zts3090e	Élimine les monstres de la Gorge marine.
zts3091e	Tu as réussi ! Retourne maintenant auprès d'Émilie.
zts3092e	Discussion avec le capitaine
zts3093e	Va parler au capitaine Enrico.
zts3094e	Entraînement des recrues
zts3095e	Rends-toi sur le site de formation.
zts3096e	Entraîne les nouvelles recrues.
zts3097e	Fais ton rapport au capitaine.
zts3098e	Pénurie d'armes
zts3099e	Va trouver le quartier-maître Marto.
zts3100e	Élimine des monstres dans la Gorge des pierrailles et récupère du dratanium.
