zts1e	새로운아이템
zts19560e	매드닥터 보리 레이드 초기화권(이벤트)
zts19561e	매드 닥터 보리 레이드 참여 횟수를 초기화시키는 아이템.[n]더블클릭하여 사용한다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19562e	대자연의 참 패키지
zts19563e	대자연의 참이 들어 있는 패키지[n]사용 시, [대자연의 번개], [대자연의 구름], [대자연의 나무], [대자연의 불] 모두 획득할 수 있다.[n]희박한 확률로 레어 등급의 참으로 획득 할 수 있다.[n]
zts19564e	마녀의 귀중품 상자(이벤트)
zts19565e	마녀 로레나가 잃어버린 지팡이를 되찾아주고, 보답으로 얻은 상자[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19566e	매드닥터 보리의 잡동사니 상자(이벤트)
zts19567e	상자를 열면 매드 닥터 보리가 숨겨놓은 아이템을 찾을 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19568e	저항군의 보급상자(이벤트)
zts19569e	저항세력들이 매드닥터 보리를 지원하기 위해 꾸려놓은 상자[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19570e	마녀 로레나가 사용하던 지팡이[n]매드닥터 보리가 훔쳐서 달아났다[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19571e	밀라노 마을에 있는 버려진 공동묘지를 통해 매드닥터 보리 레이드를 수행할 수 있다.[n]권장레벨 : 20-99[n]참여 가능 인원 : 8명[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람을 클릭한 후 원정대 영입버튼을 누르며 원정대로 가입시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19572e	10주년 랜덤박스(HK)
zts19573e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]블랙드래곤의 그림자 날개 1개[n]골드드래곤의 금빛 날개 1개[n]마법 드래곤 상자 1개[n]예르티란드의 열쇠 1개[n]본 워리어 롤로 카드 1개[n]마법 본 드래곤 상자 1개[n]커리어 우먼 가람 카드 1개[n]구미호 가람 카드 1개[n]이블 도그 구슬 1개[n]펌프킨토리EX 구슬 1개[n]펌프킨 헤드 모자(영구) 1개[n]귀여운 펌프킨헤드 모자(영구) 1개[n]페르논의 저주 부적 1개[n]할로윈 변신 스크롤 10개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 4개[n]안셀로안의 축복 5개[n]수호신의 축복 10개[n]
zts19574e	매드닥터의 할로윈 랜덤박스
zts19575e	신규 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]매드 닥터 보리 구슬 1개[n]해적왕 보리 구슬 1개[n]해군제독 보리 구슬 1개[n]견습기사 보리 구슬 1개[n]마왕지망생 보리 구슬 1개[n]괴도 코스튬 의상(영구) 1개[n]쿨 비치 코스튬 의상(영구) 1개[n]카라반 코스튬 의상(영구) 1개[n]괴도 코스튬 의상(30일) 1개[n]쿨 비치 코스튬 의상(30일) 1개[n]카라반 코스튬 의상(30일) 1개[n]프리미엄 메달(30일) 1개[n]성별 변경 마법 램프 1개[n]펫 슬롯 확장 구슬 1개[n]코스튬 외형 변경권 1개[n]펫 보관 구슬 1개[n]대자연의 참 패키지 1개[n]안셀로안의 축복 5개[n]큰 스페셜 충전제 65개[n]실로안의 샘물 65개[n]
zts19576e	오싹한 할로윈 랜덤 박스
zts19577e	신규 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]매드닥터 보리의 실험체 카드 1개[n]본 워리어 롤로 카드 1개[n]커리어 우먼 가람 카드 1개[n]드라이어드 로라 카드 1개[n]어릿광대 미누 카드 1개[n]노스 폴리스 코스튬 의상(영구) 1개[n]호텔리어 코스튬 의상(영구) 1개[n]무희 코스튬 의상(영구) 1개[n]노스 폴리스 코스튬 의상(30일) 1개[n]호텔리어 코스튬 의상(30일) 1개[n]무희 코스튬 의상(30일) 1개[n]프리미엄 메달(30일) 1개[n]성별 변경 마법 램프 1개[n]파트너 스페셜카드 캐리어 1개[n]파트너 보관 구슬 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]대자연의 참 패키지 1개[n]안셀로안의 축복 5개[n]큰 스페셜 충전제 65개[n]실로안의 샘물 65개[n]
zts19578e	밀라노 마을에 있는 버려진 공동묘지를 통해 매드닥터 보리 레이드를 수행할 수 있다.[n]권장레벨 : 30-99[n]참여 가능 인원 : 8명[n][사용방법][n]사용시 원정대 리더가 될 수 있다.[n]리더가 된 후 다른 사람을 클릭한 후 원정대 영입버튼을 누르며 원정대로 가입시킬 수 있다.[n]원정대원들과 함께 레이드맵 입구로 가서 리더가 입장하면 모두 자동으로 입장하게 된다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19579e	하얀마녀로레나 랜덤박스(TH)
zts19580e	신규 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]로레나의 변장 소품 1개[n]하얀마녀 로레나 카드 1개[n]로레나의 고깔모자 1개[n]로레나의 목걸이 1개[n]로레나의 반지 1개[n]로레나의 팔찌 1개[n]페르논의 저주 부적 1개[n]신화용 지름신의 축복 부적 1개[n]포인트 초기화 물약 1개[n]파트너 스페셜카드 캐리어 1개[n]노스메이트 소환 마법서 1개[n]펫 보관용 구슬 1개[n]파트너 보관 구슬 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]향긋한 향수 20개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]천사의 날개 99개[n]강력한 전체 회복제 99개[n]
zts19581e	매드닥터 보리 랜덤박스(TH)
zts19582e	신규 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]매드닥터 보리 구슬 1개[n]매드닥터 보리의 실험체 카드 1개[n]브리키노이드 구슬 1개[n]페르논의 저주 부적 1개[n]신화용 지름신의 축복 부적 1개[n]포인트 초기화 물약 1개[n]파트너 스페셜카드 캐리어 1개[n]노스메이트 소환 마법서 1개[n]펫 보관용 구슬 1개[n]파트너 보관 구슬 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]향긋한 향수 20개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]천사의 날개 99개[n]강력한 전체 회복제 99개[n]
zts19583e	블랙 드래곤의 선물박스(TH)
zts19584e	신규 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]블랙드래곤의 그림자 날개 1개[n]신화용 레어상승부적 1개[n]페르논의 축복 부적 1개[n]레어상승부적 1개[n]신화용 지름신의 축복 부적 1개[n]페르논의 저주 부적 1개[n]화려한 스페셜 카드 캐리어 1개[n]지름신의 축복 부적 1개[n]노스메이트 소환 마법서 1개[n]라이더 보관 구슬 1개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 20개[n]장비 보호 스크롤 3개[n]수호신의 축복 5개[n]천사의 날개 99개[n]
zts19585e	매직 바이크 랜덤박스(TH)
zts19586e	신규 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]마법 바이크 상자 1개[n]페르논의 축복 부적 1개[n]레어상승부적 1개[n]지나스의 알 1개[n]에레니아의 알 1개[n]신화용 지름신의 축복 부적 1개[n]페르논의 저주 부적 1개[n]지름신의 축복 부적 1개[n]화려한 스페셜 카드 캐리어 1개[n]노스메이트 소환 마법서 1개[n]라이더 보관 구슬 1개[n]마법 라이더 부스터(7일) 1개[n]장비 보호 스크롤 3개[n]안셀로안의 축복 4개[n]수호신의 축복 5개[n]천사의 날개 99개[n]강력한 전체 회복제 99개[n]
zts19587e	레어 버블버블 염색약
zts19588e	투블럭 리젠트 헤어와 히메컷 헤어를 각각 레어 형태의 색상으로 변경시켜 준다.[n][주의 사항][n]한번만 사용 할 수 있다.[n]다른 머리 모양에는 사용 할 수 없다.[n]사용 후, 다른 염색이 불가능해진다.[n]
zts19589e	더블 롤 헤어 왁스
zts19590e	새로운 헤어스타일 [더블 롤]으로 머리모양이 바뀐다.[n][주의사항][n]모험가는 사용할 수 없다.[n]남자 전용.[n]
zts19591e	투블럭 리젠트 헤어 왁스
zts19592e	새로운 헤어스타일 [투블럭 리젠트]로 머리모양이 바뀐다.[n][주의사항][n]모험가는 사용할 수 없다.[n]남자 전용.[n]
zts19593e	차가운 공주 헤어 왁스
zts19594e	새로운 헤어스타일 [차가운 공주]로 머리모양이 바뀐다.[n][주의사항][n]모험가는 사용할 수 없다.[n]여자 전용.[n]
zts19595e	히메컷 헤어 왁스
zts19596e	새로운 헤어스타일 [히메컷]으로 머리모양이 바뀐다.[n][주의사항][n]모험가는 사용할 수 없다.[n]여자 전용.[n]
zts19597e	파트너 스페셜카드를 1장 담을 수 있으며 캐리어에 담는 경우[n]다른 유저와 교환과 거래가 가능해진다.[n][사용방법][n]캐리어를 사용하여 파트너 스페셜리스트 카드를 담는다.[n]꺼낼 때는 캐리어를 더블클릭한다.[n]
zts19598e	로펠로 은행 특별우대 메달(10일)
zts19599e	로펠로 은행 이용 시,[n]즉시 VIP 등급 적용, 수수료가 면제된다.[n][주의사항][n]사용 시, 10일 동안 혜택이 적용된다.[n]
zts19600e	로펠로 은행 특별우대 메달(30일)
zts19601e	로펠로 은행 이용 시,[n]즉시 VIP 등급 적용, 수수료가 면제된다.[n][주의사항][n]사용 시, 30일 동안 혜택이 적용된다.[n]
zts19602e	로펠로 은행 이용 시,[n]즉시 VIP 등급 적용, 수수료가 면제된다.[n][주의사항][n]사용 시, 기간이 적용된다.[n]
zts19603e	남자 헤어 왁스 랜덤박스(TH)
zts19604e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]레어 버블버블 염색약 1개[n]더블 롤 헤어 왁스 1개[n]투블럭 리젠트 헤어 왁스 1개[n]신화용 레어상승부적 1개[n]신화용 지름신의 축복 부적 1개[n]페르논의 저주 부적 1개[n]페르논의 축복 부적 1개[n]화려한 스페셜 카드 캐리어 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 15개[n]안셀로안의 축복 4개[n]수호신의 축복 5개[n]천사의 날개 99개[n]강력한 전체 회복제 99개[n]
zts19605e	여자 헤어 왁스 랜덤박스(TH)
zts19606e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]레어 버블버블 염색약 1개[n]차가운 공주 헤어 왁스 1개[n]히메컷 헤어 왁스 1개[n]신화용 레어상승부적 1개[n]신화용 지름신의 축복 부적 1개[n]페르논의 저주 부적 1개[n]페르논의 축복 부적 1개[n]화려한 스페셜 카드 캐리어 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 15개[n]안셀로안의 축복 4개[n]수호신의 축복 5개[n]천사의 날개 99개[n]강력한 전체 회복제 99개[n]
zts19607e	헤어 왁스 기프트 박스(TH)
zts19608e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]레어 버블버블 염색약 1개[n]더블 롤 헤어 왁스 1개[n]투블럭 리젠트 헤어 왁스 1개[n]차가운 공주 헤어 왁스 1개[n]히메컷 헤어 왁스 1개[n]신화용 지름신의 축복 부적 1개[n]페르논의 저주 부적 1개[n]페르논의 축복 부적 1개[n]화려한 스페셜 카드 캐리어 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 15개[n]안셀로안의 축복 4개[n]수호신의 축복 5개[n]
zts19609e	헤어 랜덤박스(HK)
zts19610e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]레어 버블버블 염색약 1개[n]더블 롤 헤어 왁스 1개[n]투블럭 리젠트 헤어 왁스 1개[n]차가운 공주 헤어 왁스 1개[n]히메컷 헤어 왁스 1개[n]프레이아의 열쇠 1개[n]래그너 롤로의 열쇠 1개[n]바이킹 토리 구슬 1개[n]정령 버블 카드 1개[n]마법 스노우보드 상자 1개[n]프로 엘리먼트 박스(홍콩) 1개[n]신화용 지름신의 축복 부적 1개[n]페르논의 저주 부적 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts19611e	차가운 겨울의 랜덤박스
zts19612e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]레어 버블버블 염색약 1개[n]골드드래곤의 금빛 날개 1개[n]블랙드래곤의 그림자 날개 1개[n]요정의 날개 1개[n]스페셜 웨딩 패키지 1개[n]마법 본 드래곤 상자 1개[n]고양이 분양 상자 1개[n]성별 변경 마법 램프 1개[n]대자연의 참 패키지 3개[n]머시너리 윙 1개[n]스팀펑크 거대 칼날(영구) 1개[n]스팀펑크 태엽 활(영구) 1개[n]스팀펑크 톱니 지팡이(영구) 1개[n]프리미엄 메달 30일 1개[n]특수기동대 토리 구슬 1개[n]안셀로안의 축복 5개[n]화려한 스페셜 카드 캐리어 1개[n]실로안의 샘물 65개[n]큰 스페셜 충전제 65개[n]
zts19613e	고양이 분양 상자
zts19614e	고양이 분양 상자.[n]상자를 열면 아래의 아이템들을 중 한가지를 획득한다.[n][아이템 목록][n]삼총사 보리 구슬 1개[n]견습기사 보리 구슬 1개[n]마왕지망생 보리 구슬 1개[n]해군제독 보리 구슬 1개[n]해적왕 보리 구슬 1개[n]
zts19615e	로펠로 은행 통장
zts19616e	로펠로 은행에서 발급된 통장[n]사용 시,[n]로펠로 은행에 보관되어 있는 고객님의 현재 잔액을 확인하실 수 있습니다.[n][주의사항][n]통장을 잃어버린 고객님께서는,[n]로펠로 은행 직원을 통해 재발급 받으실 수 있습니다.[n]
zts19617e	로펠로 은행 직불카드
zts19618e	로펠로 은행에서 제작된, 자유로운 골드 입출금이 가능한 직불카드[n]사용 시,[n]언제 어디서나 로펠로 은행을 마음껏 이용하실 수 있는[n]신개념 직불 카드입니다.[n][주의사항][n]특정 지역에서는 사용이 안될 수 있습니다.[n]
zts19619e	루돌프 코스튬 모자(30일)
zts19620e	착용 시 루돌프 코스튬 모자를 쓴다.[n]착용시부터 사용기간이 적용된다.[n][착용 효과][n]모든 공격력이 2% 증가한다.[n]모든 방어력이 2% 증가한다.[n]
zts19621e	루돌프 코스튬 모자(영구)
zts19622e	착용 시 루돌프 코스튬 모자를 쓴다.[n][착용 효과][n]모든 공격력이 4% 증가한다.[n]모든 방어력이 4% 증가한다.[n]
zts19623e	루돌프 코스튬 의상(30일)
zts19624e	착용 시 의상이 루돌프  코스튬 의상으로 바뀐다.[n]착용시부터 사용기간이 적용된다.[n][착용 효과][n]물기운에 대한 저항이 2 증가한다.[n]모든 공격에 대해 3%확률로60%의 피해가 감소한다.[n]
zts19625e	루돌프 코스튬 의상(영구)
zts19626e	착용 시 의상이 루돌프  코스튬 의상으로 바뀐다.[n][착용 효과][n]물기운에 대한 저항이 3 증가한다.[n]모든 공격에 대해 5%확률로80%의 피해가 감소한다.[n]
zts19627e	성탄절 트리(30일)
zts19628e	착용 시 무기가 성탄절 트리로 바뀐다.[n]착용시부터 사용기간이 적용된다.[n][착용 효과][n]PvP 공격력 2% 증가[n]
zts19629e	성탄절 캔디 활(30일)
zts19630e	착용 시 무기가 성탄절 캔디 활로 바뀐다.[n]착용시부터 사용기간이 적용된다.[n][착용 효과][n]PvP 공격력 2% 증가[n]
zts19631e	성탄절 구세군 종(30일)
zts19632e	착용 시 무기가 성탄절 구세군 종으로 바뀐다.[n]착용시부터 사용기간이 적용된다.[n][착용 효과][n]PvP 공격력 2% 증가[n]
zts19633e	성탄절 트리(영구)
zts19634e	착용 시 무기가 성탄절 트리로 바뀐다.[n][착용 효과][n]PvP 공격력 2% 증가[n]
zts19635e	성탄절 캔디 활(영구)
zts19636e	착용 시 무기가 성탄절 캔디 활로 바뀐다.[n][착용 효과][n]PvP 공격력 2% 증가[n]
zts19637e	성탄절 구세군 종(영구)
zts19638e	착용 시 무기가 성탄절 구세군 종으로 바뀐다.[n][착용 효과][n]PvP 공격력 2% 증가[n]
zts19639e	하이퍼 머시너리 윙
zts19640e	스페셜리스트의 날개를 하이퍼 머시너리 날개로 바꿔준다[n][사용방법][n]먼저 날개를 바꿀 스페셜리스트로 변신한다[n]그 후 윙 아이템을 사용하면[n]해당 스페셜리스트의 날개가 변경된다[n][특수효과][n]PvP 공격력 +3%[n]이동속도 +1[n][주의사항][n]+1이상 강화한 스페셜 카드만 날개를 바꿀 수 있다[n]스페셜 카드를 캐리어에 넣으면 이 기능은 사라진다[n]특수 효과는 해당 날개를 착용 후[n]스페셜 리스트로 변신 할 경우에만 적용된다[n]변신을 해제할 경우 특수효과는 사라진다.[n]
zts19641e	크리스마스 랜덤박스(HK)
zts19642e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]루돌프 코스튬 모자(영구) 1개[n]루돌프 코스튬 의상(영구) 1개[n]성탄절 트리(영구) 1개[n]성탄절 캔디 활(영구) 1개[n]성탄절 구세군 종(영구) 1개[n]루돌프 코스튬 모자(30일) 1개[n]루돌프 코스튬 의상(30일) 1개[n]성탄절 트리(30일) 1개[n]성탄절 캔디 활(30일) 1개[n]성탄절 구세군 종(30일) 1개[n]노스메이트 소환 마법서 1개[n]로펠로 은행 직불카드 1개[n]로펠로 은행 특별우대 메달(10일) 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts19643e	루돌프 사슴 랜덤박스(TH)
zts19644e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]루돌프 코스튬 모자(영구) 1개[n]루돌프 코스튬 의상(영구) 1개[n]루돌프 코스튬 모자(30일) 1개[n]루돌프 코스튬 의상(30일) 1개[n]신화용 레어상승부적 1개[n]신화용 지름신의 축복 부적 1개[n]대자연의 참 패키지1개[n]장비 보호 스크롤 4개[n]상급 카드 보호스크롤 9개[n]하급 카드 보호스크롤 9개[n]향긋한 향수 30개[n]로펠로 은행 특별우대 메달(10일) 1개[n]로펠로 은행 특별우대 메달(30일) 1개[n]로펠로 은행 직불카드 1개[n]
zts19645e	크리스마스 무기 랜덤박스(TH)
zts19646e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]성탄절 트리(영구) 1개[n]성탄절 캔디 활(영구)1개[n]성탄절 구세군 종(영구)1개[n]성탄절 트리(30일) 1개[n]성탄절 캔디 활(30일) 1개[n]성탄절 구세군 종(30일) 1개[n]신화용 레어상승부적 1개[n]신화용 지름신의 축복 부적 1개[n]대자연의 참 패키지 1개[n]장비 보호 스크롤 4개[n]상급 카드 보호스크롤 9개[n]하급 카드 보호스크롤 9개[n]향긋한 향수 30개[n]로펠로 은행 특별우대 메달(10일) 1개[n]로펠로 은행 특별우대 메달(30일) 1개[n]로펠로 은행 직불카드 1개[n]
zts19647e	하이퍼 머시너리 윙 랜덤박스(TH)
zts19648e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]하이퍼 머시너리 윙 1개[n]블랙드래곤의 그림자 날개 1개[n]골드드래곤의 금빛 날개 1개[n]요정의 날개 1개[n]신화용 레어상승부적 1개[n]신화용 지름신의 축복 부적 1개[n]대자연의 참 패키지 1개[n]장비 보호 스크롤 6개[n]상급 카드 보호스크롤 15개[n]하급 카드 보호스크롤 15개[n]향긋한 향수 50개[n]로펠로 은행 특별우대 메달(10일) 1개[n]로펠로 은행 특별우대 메달(30일) 1개[n]로펠로 은행 직불카드 1개[n]
zts19649e	화려한 크리스마스 랜덤박스
zts19650e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]레어 버블버블 염색약 1개[n]하이퍼 머시너리 윙 1개[n]루돌프 코스튬 모자(영구) 1개[n]루돌프 코스튬 의상(영구) 1개[n]마법 본 드래곤 상자 1개[n]마법 스노우보드 상자 1개[n]마법 스키 상자 1개[n]성탄절 트리(영구) 1개[n]성탄절 캔디 활(영구) 1개[n]성탄절 구세군 종(영구) 1개[n]고양이 분양 상자 1개[n]향긋한 향수 99개[n]장비 보호 스크롤 6개[n]프리미엄 메달(30일) 1개[n]대자연의 참 패키지 3개[n]루돌프 코스튬 모자(30일) 1개[n]루돌프 코스튬 의상(30일) 1개[n]성탄절 트리(30일) 1개[n]성탄절 캔디 활(30일) 1개[n]성탄절 구세군 종(30일) 1개[n]
zts19651e	알쏭달쏭 보물 랜덤상자
zts19652e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]토리토리 스페셜 상자 1개[n]호랑이 코스튬 보물 랜덤상자 1개[n]사막의 찬란한 보물상자 1개[n]리치의 보물상자 1개[n]오싹한 할로윈 랜덤박스 1개[n]시원한 바다의 큰 보물상자 1개[n]소공녀의 큰 보물상자 1개[n]드라이어드의 큰 보물상자 1개[n]어릿광대의 큰 보물상자 1개[n]인현술사의 보물상자 1개[n]여신 에레니아의 보물상자 1개[n]여신 지나스의 보물상자 1개[n]무법자 와플의 보물상자 1개[n]악마의 보물상자 1개[n]차가운 도시의 보물상자 1개[n]정령의 보물상자 1개[n]고대 문명의 낡은 보물상자 1개[n]경찰관의 큰 보물상자 1개[n]공주의 보물상자 1개[n]해적왕의 보물상자 1개[n]
zts19653e	알쏭달쏭 코스튬 랜덤상자
zts19654e	블루마린 코스튬(영구) 1개[n]블루세일러 코스튬(영구) 1개[n]반달곰 옷(영구) 1개[n]북극곰 옷(영구) 1개[n]팬더 옷(영구) 1개[n]곰인형 옷(영구) 1개[n]웨딩 의상(영구) 1개[n]전통 한복(영구) 1개[n]무궁화 한복(영구) 1개[n]화이트 데빌(영구)	1개[n]팅커벨(영구) 1개[n]F4 옷(영구) 1개[n]퓨어라이트 스쿨룩(영구) 1개[n]탐험가 복장(영구) 1개[n]검은 사자 옷(영구) 1개[n]흑색 파마 사자 옷(영구) 1개[n]분홍색 한복(영구) 1개[n]노을빛 한복(영구) 1개[n]멋있는 강아지 옷(영구) 1개[n]롱초롱한 강아지 옷(영구) 1개[n]귀여운 무늬 기모노(영구) 1개[n]큰귀여우 의상(영구) 1개[n]엔젤 매지션 의상(영구) 1개[n]데빌 매지션 의상(영구) 1개[n]산타토리 의상 (영구) 1개[n]스위트 래빗 의상(영구) 1개[n]러블리 래빗 의상(영구) 1개[n]토리토리 의상(검정)(영구) 1개[n]토리토리 의상(파랑)(영구) 1개[n]토리토리 의상(녹색)(영구) 1개[n]토리토리 의상(빨강)(영구) 1개[n]토리토리 의상(분홍)(영구)	1개[n]토리토리 의상(청록)(영구)	1개[n]토리토리 의상(노랑)(영구)	1개[n]클래식 토리토리 의상(영구) 1개[n]해군 의상(영구) 1개[n]아쿠아토리 의상(영구) 1개[n]파티 퀸 드레스 (
zts19655e	노스테일SE 특별 코스튬 의상 랜덤상자![n]모든 코스튬 의상(영구)가 포함되어 있으며,[n]동일한 확률로 53종의 코스튬 의상(영구) 중 1개를 얻을 수 있다.[n]어떤 것이 나올까?[n]
zts19656e	이벤트 아이템[n]황금으로 만들어진 당근으로[n]상점에 팔면 10,000골드를 얻을 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19657e	에릴 카운터의 관란한 상황을 도와주고 받은 선물상자.[n]상자를 열어서 다양한 아이템을 획득할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19658e	스크롤을 사용하면 큐티 레빗 또는,[n]노스테일의 다양한 토리 중 하나로 변신할 수 있다.[n]큐티 레벳으로 변신하면 큰 신년 축복 효과가,[n]다른 토리로 변신하면 신년 축복 효과가 발생된다.[n][변신할 수 있는 토리][n]큐티 레빗[n]토리토리[n]검투사토리[n]블랙토리[n]감기걸린토리[n]아쿠아토리[n]검객토리[n]무에타이토리[n][변신해제 방법][n]변신 상태에서 변신에 사용한 아이템을 다시 사용하면[n]아이템 소모 없이 변신이 해제된다.[n]변신 상태에서 사망하거나 접속을 해제해도 변신이 해제된다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19659e	도둑맞은 선물 주머니(이벤트)
zts19660e	에릴이 찾던 선물 주머니[n]도둑맞은 선물 주머니와 행운의 부적을 각각 5개씩 모아,[n]에릴에게 가져가면 새해맞이 선물상자와 교환할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료 시 사라진다.[n]
zts19661e	도둑맞은 행운의 부적(이벤트)
zts19662e	에릴이 찾던 행운의 부적[n]도둑맞은 선물 주머니와 행운의 부적을 각각 5개씩 모아,[n]에릴에게 가져가면 새해맞이 선물상자와 교환할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19663e	신년의 황금당근(evnet)
zts19664e	evnet 아이템[n]황금으로 만들어진 당근으로[n]상점에 팔면 10,000골드를 얻을 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19665e	상쾌한 당근주스(evnet)
zts19666e	evnet 아이템[n]상쾌한 당근주스[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n]휴식중에 먹을 수 있다[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19667e	맛있는 간이당근(evnet)
zts19668e	evnet 아이템[n]맛있는 간이당근[n]HP와 MP를 서서히 회복시켜준다[n]노스메이트도 같이 회복시켜준다[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19669e	새해맞이 선물상자(evnet)
zts19670e	토리 변신 스크롤(evnet)
zts19671e	기념 고급 보물상자
zts19672e	기념 작은 보물상자
zts19673e	기념 보물상자(이벤트)
zts19674e	기념 보물상자[n]상자를 열어서 다양한 아이템을 획득할 수 있다.[n][주의사항][n]이 아이템은 이벤트 종료시 사라진다.[n]
zts19675e	마법 재규어
zts19676e	아이템 사용시 마법 재규어 라이더로 변신한다.[n]라이더로 변신할 경우 이동속도가 빨라진다.[n]변신 중 아이템을 사용하면 변신이 해제된다.[n]사용 레벨 제한이 없다.[n][라이더 특징][n]기본 이동속도 20[n]사막 및 불타는검 지역 이동속도 +2[n]프로즌 크라운 지역 이동속도 +3[n][라이더 부스터 사용 시][n]4레벨 이하 모든 나쁜 효과를 없애준다.[n]이동속도 +4[n]지속시간 +2[n]라이더 부스터 종료 후, 일정 확률로 [은밀한 움직임] 효과가 발생된다.[n]
zts19677e	마법 재규어 상자
