zts1e	최고의 서비스
zts9529e	커리어 우먼 가람 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]커리어 우먼 가람 카드 1개[n]구미호 가람 카드 1개[n]머시너리 윙 1개[n]마법 UFO 상자 1개[n]마법 빗자루 상자 1개[n]파트너 스페셜 카드 캐리어 1개[n]프리미엄 메달(10일) 1개[n]안셀로안의 축복 3개[n]8Lv 셀론 2개[n]귀여운 펌프킨헤드 모자(영구) 1개[n]클래식 토리토리 모자(영구) 1개[n]클래식 토리토리 의상(영구) 1개[n]배틀태그 아레나 부스트 15개[n]토리토리 허수아비 60개[n]
zts9530e	골드 드래곤의 보물상자
zts9531e	골드 드래곤의 날개와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]골드 드래곤의 금빛 날개 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]배틀태그 아레나 부스트 25개[n]파트너 스킬 랭크 전체 초기화권 5개[n]화려한 스페셜 카드 캐리어 1개[n]성별변경 마법 램프 1개[n]마법 유니콘 상자(화이트) 1개[n]마법 유니콘 상자(블랙) 1개[n]마법 백호 상자 1개[n]8Lv 셀론 4개[n]안셀로안의 축복 5개[n]토리토리 허수아비 99개[n]
zts9532e	정령 버블 카드
zts9533e	정령들이 보물을 모아둔 상자!
zts9534e	정령 버블랜덤 상자(HK)
zts9535e	정령 버블 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]정령 버블 카드 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]바이킹 토리 구슬 1개[n]마법 스노우보드 상자1개[n]마법 지프 상자(블랙) 1개[n]프로 엘리먼트 박스(홍콩) 1개[n]레인보우 토리 박스(홍콩) 1개[n]화려한 스페셜카드 캐리어 1개[n]영혼 부활석 1개[n]포인트 초기화 물약 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호 스크롤 2개[n]하급 카드 보호 스크롤 3개[n]안셀로안의 축복 4개[n]등급고정 해제 스크롤 3개[n]실로안의 샘물 80개[n]천사의 날개 99개[n]
zts9536e	정령 버블 상자(MY)
zts9537e	블랙드래곤 날개 상자(MY)
zts9538e	정령 버블 박스(TH)
zts9539e	블랙드래곤의 날개 상자(TH)
zts9540e	블랙드래곤의 그림자 날개
zts9541e	정령들의 보물을 모아둔 보물상자
zts9542e	정령의 보물상자
zts9543e	정령 버블 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]정령 버블 카드 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]마법 융단 상자 1개[n]마법 빗자루 상자 1개[n]파트너 보관 구슬 1개[n]펫 슬롯 확장구슬 1개[n]프리미엄 메달(10일) 1개[n]성별변경 마법램프 1개[n]안셀로안의 축복 3개[n]당나귀 모자(영구) 1개[n]팅커벨(영구) 1개[n]배틀태그 아레나 부스트 15개[n]토리토리 허수아비 60개[n]
zts9544e	블랙드래곤의 보물상자
zts9545e	블랙드래곤의 그림자 날개와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]블랙드래곤의 그림자 날개1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]머시너리 윙 1개[n]토리토리 모자(검정) 영구 1개[n]토리토리 의상(검정) 영구 1개[n]닌자 토리 구슬 1개[n]특수기동대 토리 구슬 1개[n]라이더 보관 구슬 1개[n]마법 드래곤 상자 1개[n]마법 구름 상자 1개[n]배틀태그 아레나 부스트 25개[n]파트너 스킬 랭크 전체 초기화권 5개[n]드래곤 하트 5개[n]안셀로안의 축복 5개[n]토리토리 허수아비 99개[n]
zts9546e	해적왕 다니엘 카드
zts9547e	얼음공주 엘리자
zts9548e	해적왕이 보물을 숨겨둔 상자
zts9549e	해적왕 다니엘 랜덤 상자(HK)
zts9550e	해적왕 다니엘 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]해적왕 다니엘 카드 1개[n]호랑이 마루 카드 1개[n]귀여운 호랑이 코스튬(영구) 1개[n]귀여운 호랑이 모자(영구) 1개[n]마법 지프 상자(퍼플) 1개[n]마법 스키 상자 1개[n]마법 백호 상자 1개[n]루돌프 토리 구슬 1개[n]산타토리 구슬 1개[n]산타토리 의상 (영구) 1개[n]성별변경 마법램프 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts9551e	공주의 랜덤상자
zts9552e	얼음공주 엘리자 랜덤 상자(HK)
zts9553e	얼음공주 엘리자 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]얼음공주 엘리자 카드 1개[n]호랑이 마루 카드 1개[n]희귀한 백호 코스튬(영구) 1개[n]희귀한 백호 모자(영구) 1개[n]마법 지프 상자(레드) 1개[n]마법 스키 상자 1개[n]마법 스노우보드 상자 1개[n]아이스 아울 구슬 1개[n]산타토리EX 구슬 1개[n]산타토리 모자 (영구) 1개[n]성별변경 마법램프 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts9554e	해적왕 다니엘 상자(MY)
zts9555e	얼음공주 엘리자 상자(MY)
zts9556e	해적왕 다니엘 상자(TH)
zts9557e	얼음공주 엘리자 상자(TH)
zts9558e	해적왕의 보물상자
zts9559e	해적왕 다니엘 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]해적왕 다니엘 카드 1개[n]골드 드래곤의 금빛 날개 1개[n]블랙 드래곤의 그림자 날개 1개[n]타오르는 불꽃 날개 1개[n]마법 스키 상자 1개[n]마법 스노우보드 상자 1개[n]마법 유니콘 상자(화이트) 1개[n]프리미엄 메달(30일) 1개[n]8Lv 셀론 4개[n]9Lv 셀론 2개[n]해군 의상(영구) 1개[n]아쿠아토리 모자(영구) 1개[n]팅커벨 코스튬 세트(영구) 1개[n]안셀로안의 축복 5개[n]토리토리 허수아비 99개[n]
zts9560e	얼음공주의 보물상자
zts9561e	공주의 보물상자
zts9562e	얼음공주 엘리자 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]얼음공주 엘리자 1개[n]골드 드래곤의 금빛 날개 1개[n]블랙 드래곤의 그림자 날개 1개[n]혹한의 불꽃 날개 1개[n]마법 유니콘 상자(블랙) 1개[n]마법 백호 상자 1개[n]프리미엄 메달(30일) 1개[n]8Lv 셀론 4개[n]9Lv 셀론 2개[n]해군 모자(영구) 1개[n]아쿠아토리 의상(영구) 1개[n]팅커벨 코스튬 세트(영구) 1개[n]파티 퀸 코스튬 (러블리 핑크) 세트(영구) 1개[n]안셀로안의 축복 5개[n]토리토리 허수아비 99개[n]
zts9563e	여신 지나스의 보물상자
zts9564e	여신 지나스의 명품 구두와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]여신 지나스의 명품 구두 1개[n]로레나의 고깔모자 1개[n]천사장 루시펠 카드 1개[n]대천사의 날개 1개[n]골드 드래곤의 금빛 날개 1개[n]안셀로안의 무기 도면 1개[n]안셀로안의 보조무기 도면 1개[n]안셀로안의 의상 도면 1개[n]안셀로안의 액세서리 도면 1개[n]8Lv 셀론 4개[n]9Lv 셀론 2개[n]프리미엄 메달(30일) 1개[n]안셀로안의 축복 5개[n]천사의 날개 99개[n]토리토리 허수아비 99개[n]
zts9565e	여신 에레니아의 보물상자
zts9566e	여신 에레니아의 핸드메이드 뿔과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]여신 에레니아의 핸드메이드 뿔 1개[n]카오스의 황금 뿔 1개[n]감독관 아몬 카드 1개[n]마왕의 날개 1개[n]블랙 드래곤의 날개 1개[n]안셀로안의 무기 도면 1개[n]안셀로안의 보조무기 도면 1개[n]안셀로안의 의상 도면 1개[n]안셀로안의 액세서리 도면 1개[n]8Lv 셀론 4개[n]9Lv 셀론 2개[n]프리미엄 메달(30일) 1개[n]안셀로안의 축복 5개[n]천사의 날개 99개[n]토리토리 허수아비 99개[n]
zts9567e	얼음공주 엘리자 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]얼음공주 엘리자 카드 1개[n]골드 드래곤의 금빛 날개 1개[n]블랙 드래곤의 그림자 날개 1개[n]혹한의 불꽃 날개 1개[n]마법 유니콘 상자(블랙) 1개[n]마법 백호 상자 1개[n]프리미엄 메달(30일) 1개[n]8Lv 셀론 4개[n]9Lv 셀론 2개[n]해군 모자(영구) 1개[n]아쿠아토리 의상(영구) 1개[n]팅커벨 코스튬 세트(영구) 1개[n]파티 퀸 코스튬 (러블리 핑크) 세트(영구) 1개[n]안셀로안의 축복 5개[n]토리토리 허수아비 99개[n]
zts9568e	괴도 코스튬 세트(영구)
zts9569e	괴도 코스튬 모자(30일)
zts9570e	괴도 코스튬 의상(30일)
zts9571e	괴도 코스튬 모자(영구)
zts9572e	괴도 코스튬 의상(영구)
zts9573e	구정 랜덤상자 2016
zts9574e	구정 랜덤상자 2016(HK)
zts9575e	다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]마법 드래곤 상자 1개[n]마법 유니콘 상자(화이트) 1개[n]천사장 루시펠 카드 1개[n]골드드래곤의 금빛 날개 1개[n]아이스 아울 구슬 1개[n]복 쥐 구슬 1개[n]큰귀여우 코스튬 박스 1개[n]프로 엘리먼트 박스(홍콩) 1개[n]엘카임 1개[n]라디네 1개[n]테라미크 1개[n]루미니엘 1개[n]세뱃돈 봉투 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 3개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 5개[n]수호신의 축복 10개[n]
zts9576e	괴도 코스튬 랜덤상자
zts9577e	괴도 코스튬 랜덤상자(HK)
zts9578e	괴도 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]괴도 코스튬 모자 (영구) 1개[n]괴도 코스튬 의상 (영구) 1개[n]괴도 코스튬 모자 (30일) 1개[n]괴도 코스튬 의상 (30일) 1개[n]분홍색 한복(영구)
zts9579e	괴도 코스튬 랜덤상자(MY)
zts9580e	괴도 코스튬 상자(TH)
zts9581e	파티 퀸 코스튬 (러블리 핑크) 세트(영
zts9582e	파티 퀸 코스튬 (러블리 핑크) 세트(영구)
zts9583e	파티 퀸 코스튬 (큐티 옐로우) 세트(영
zts9584e	파티 퀸 코스튬 (큐티 옐로우) 세트(영구)
zts9585e	파티 퀸 코스튬 (시크 블루) 세트(영구
zts9586e	파티 퀸 코스튬 (시크 블루) 세트(영구)
zts9587e	명탐정 코스튬 (레드 와인) 세트(영구)
zts9588e	명탐정 코스튬 (머스타드) 세트(영구)
zts9589e	명탐정 코스튬 (다크 브라운) 세트(영구
zts9590e	명탐정 코스튬 (다크 브라운) 세트(영구)
zts9591e	마법 지프 랜덤 박스
zts9592e	괴도가 훔친 보물들을 보관해놓은 상자
zts9593e	괴도의 보물상자
zts9594e	괴도 코스튬 세트와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]괴도 코스튬 세트(영구) 1개[n]괴도 코스튬 모자(30일) 1개[n]괴도 코스튬 의상(30일) 1개[n]괴도 코스튬 모자(영구) 1개[n]괴도 코스튬 의상(영구) 1개[n]리본 머리띠(영구) 1개[n]팅커벨(30일) 1개[n]팅커벨(영구) 1개[n]마법 바이크 상자 1개[n]마법 인라인스케이트 상자 1개[n]캡틴 토리 구슬 1개[n]특수기동대 토리 구슬 1개[n]프리미엄 메달(30일) 1개[n]성별변경 마법램프 1개[n]화려한 스페셜 카드 캐리어 1개[n]안셀로안의 축복 5개[n]토리토리 허수아비 99개[n]
zts9595e	새해맞이 기념 상자!
zts9596e	새해맞이 깜짝 보물상자
zts9597e	무기와 방어구 그리고 스페셜카드를 강화할 수 있는 강화요청권과[n]다양한 아이템이 들어있는 기간 한정 판매 보물상자입니다.[n]다음 아이템들 중 무작위로 한가지를 획득할 수 있습니다.[n][아이템 목록][n]무기 강화 +1 요청권(기간한정) 1개[n]방어구 강화 +1 요청권(기간한정) 1개[n]스페셜카드 강화 +1 요청권(기간한정) 1개[n]마법 빗자루 상자 1개[n]마법 드래곤 상자 1개[n]해군 토리 구슬 1개[n]파이어스톰 구슬 1개[n]토리 코스튬 랜덤세트(영구) 1개[n]바이킹가족 카드 상자 1개[n]페어리 보관 구슬 1개[n]태양신의 무기도면 1개[n]태양신의 보조무기도면 1개[n]태양신의 의상도면 1개[n]머시너리 윙 1개[n]골드드래곤의 금빛날개 1개[n]블랙드래곤의 그림자 날개 1개[n]파트너 스킬랭크 선택 초기화권 2개[n]파트너 스킬랭크 전체 초기화권 2개[n]프리미엄 메달(30일) 1개[n]
zts9598e	인형술사 칼리 카드
zts9599e	인형술사의 보물상자(HK)
zts9600e	인형술사 켈리 랜덤상자(HK)
zts9601e	인형술사 칼리 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]인형술사 칼리 카드 1개[n]삼총사 보리 구슬 1개[n]마법 유니콘 상자(핑크) 1개[n]프로 엘리먼트 박스(홍콩) 1개[n]아메리칸 숏헤어 모자(영구) 1개[n]아메리칸 숏헤어 옷(영구) 1개[n]샴 모자(영구) 1개[n]샴 옷(영구) 1개[n]파트너 스페셜카드 캐리어 1개[n]영혼 부활석 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 6개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts9602e	인형술사 상자(TH)
zts9603e	인형술사의 보물상자
zts9604e	인형술사 칼리 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]인형술사 칼리 카드 1개[n]골드드래곤의 금빛 날개 1개[n]블랙드래곤의 그림자 날개 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]해군 토리 구슬 1개[n]곰인형 모자(영구) 1개[n]곰인형 옷(영구) 1개[n]마법 유니콘 상자(화이트) 1개[n]마법 유니콘 상자(핑크) 1개[n]마법 유니콘 상자(블랙) 1개[n]화려한 스페셜 카드 캐리어 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 2개[n]안셀로안의 축복 5개[n]
zts9605e	어릿광대 미누 카드
zts9606e	어릿광대의 보물상자
zts9607e	어릿광대 미누 랜덤상자(HK)
zts9608e	어릿광대 미누 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]어릿광대 미누 1개[n]도깨비 청비 카드 1개[n]마법 오픈카 상자 1개[n]마법 지프 상자(옐로우) 1개[n]파이어스톰 구슬 1개[n]세라핌 알 1개[n]킹꼬닭 주니어 알 1개[n]스위트 래빗 코스튬 세트(영구) 1개[n]러블리 래빗 코스튬 세트(영구) 1개[n]부활절 푯말 10개[n]성별변경 마법램프 1개[n]파트너 스킬랭크 선택 초기화권 1개[n]지름신의 축복 부적 1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts9609e	사자 코스튬 랜덤 상자
zts9610e	사자 코스튬 랜덤 상자(HK)
zts9611e	사자 코스튬과 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]갈색 파마 사자 모자(영구) 1개[n]황금 사자 모자(영구) 1개[n]갈색 파마 사자 옷(영구) 1개[n]황금 사자 옷(영구) 1개[n]닌자 토리 구슬 1개[n]마법 융단 상자 1개[n]프로 엘리먼트 박스(홍콩) 1개[n]클래식 토리토리 의상(영구)
zts9612e	어릿광대 미누 상자(TH)
zts9613e	어릿광대의 작은 보물상자
zts9614e	어릿광대 미누 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]어릿광대 미누 카드 1개[n]골드드래곤의 금빛 날개 1개[n]블랙드래곤의 그림자 날개 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]그라함의 홀리스톤 1개[n]희귀한 백호 모자(영구) 1개[n]희귀한 백호 코스튬(영구) 1개[n]귀여운 호랑이 모자(영구) 1개[n]귀여운 호랑이 코스튬(영구) 1개[n]마법 백호 상자1개[n]성별변경 마법 램프 1개[n]파트너 스페셜카드 캐리어 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 1개[n]안셀로안의 축복 3개[n]
zts9615e	어릿광대의 큰 보물상자
zts9616e	어릿광대 미누 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]어릿광대 미누 카드 1개[n]골드드래곤의 금빛 날개 1개[n]블랙드래곤의 그림자 날개 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]해군 토리 구슬 1개[n]캡틴 토리 구슬 1개[n]특수기동대 토리 구슬 1개[n]그라함의 홀리스톤 1개[n]희귀한 백호 모자(영구) 1개[n]희귀한 백호 코스튬(영구) 1개[n]귀여운 호랑이 모자(영구) 1개[n]귀여운 호랑이 코스튬(영구) 1개[n]마법 융단 상자1개[n]마법 드래곤 상자 1개[n]성별변경 마법 램프 1개[n]파트너 스페셜카드 캐리어 1개[n]9Lv 셀론 2개[n]안셀로안의 축복 5개[n]
zts9617e	모든 공격력이 5% 증가한다.[n]최대MP가 200 증가한다[n]검사, 궁사, 주술사만 착용이 가능하다.[n]여자전용.[n]착용시부터 사용기간이 적용된다.[n]착용후 거래 불가능.[n]
zts9618e	어릿광대 미누 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]어릿광대 미누 카드 1개[n]골드드래곤의 금빛 날개 1개[n]블랙드래곤의 그림자 날개 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]희귀한 백호 모자(영구) 1개[n]희귀한 백호 코스튬(영구) 1개[n]귀여운 호랑이 모자(영구) 1개[n]귀여운 호랑이 코스튬(영구) 1개[n]마법 백호 상자 1개[n]성별변경 마법 램프 1개[n]파트너 스페셜카드 캐리어 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 1개[n]안셀로안의 축복 3개[n]
zts9619e	어릿광대 미누 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]어릿광대 미누 카드 1개[n]골드드래곤의 금빛 날개 1개[n]블랙드래곤의 그림자 날개 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]해군 토리 구슬 1개[n]캡틴 토리 구슬 1개[n]특수기동대 토리 구슬 1개[n]희귀한 백호 모자(영구) 1개[n]희귀한 백호 코스튬(영구) 1개[n]귀여운 호랑이 모자(영구) 1개[n]귀여운 호랑이 코스튬(영구) 1개[n]마법 융단 상자1개[n]마법 드래곤 상자 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 2개[n]안셀로안의 축복 5개[n]
zts9620e	신화용 레어상승부적
zts9621e	신화용 지름신의 축복 부적
zts9622e	페르논의 축복 부적
zts9623e	페르논의 저주 부적
zts9624e	드라이어드 로라!!
zts9625e	드라이어드 로라 랜덤 상자(HK)
zts9626e	드라이어드 로라 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]드라이어드 로라 카드 1개[n]천사장 루시펠 카드 1개[n]카우보이 토리 구슬1개[n]마법 스쿠터 상자1개[n]프로 엘리먼트 박스(홍콩)1개[n]큰귀여우 모자(영구)1개[n]큰귀여우 의상(영구)1개[n]스페셜 카드 캐리어1개[n]파트너 스킬랭크 선택 초기화권1개[n]지름신의 축복 부적1개[n]장비 보호 스크롤 3개[n]상급 카드 보호스크롤 2개[n]하급 카드 보호스크롤 3개[n]향긋한 향수 5개[n]안셀로안의 축복 4개[n]수호신의 축복 6개[n]천사의 날개 99개[n]
zts9627e	드라이어드 로라 상자(TH)
zts9628e	드라이어드 로라 카드
zts9629e	드라이어드의 작은 보물상자
zts9630e	드라이어드 로라 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]드라이어드 로라 카드 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]해군 토리 구슬 1개[n]닌자 토리 구슬 1개[n]인디언 토리 구슬 1개[n]그레니가스의 진귀한 재료상자(무기)[n]그레니가스의 진귀한 재료상자(보조무기)[n]희귀한 백호 모자(영구) 1개[n]괴도 코스튬 모자(영구) 1개[n]괴도 코스튬 의상(영구) 1개[n]마법 빗자루 상자 1개[n]마법 UFO 상자 1개[n]태양신의 보조무기도면 1개[n]파트너 스페셜카드 캐리어 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 1개[n]드래곤 하트 1개[n]안셀로안의 축복 3개[n]
zts9631e	드라이어드의 큰 보물상자
zts9632e	드라이어드 로라 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]드라이어드 로라 카드 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]그레니가스의 진귀한 재료상자(무기)[n]그레니가스의 진귀한 재료상자(보조무기)[n]해군 토리 구슬 1개[n]캡틴 토리 구슬 1개[n]특수기동대 토리 구슬 1개[n]희귀한 백호 코스튬(영구) 1개[n]괴도 코스튬 모자(영구) 1개[n]괴도 코스튬 의상(영구) 1개[n]마법 백호 상자 1개[n]마법 드래곤 상자 1개[n]태양신의 무기 도면 1개[n]9Lv 셀론 2개[n]드래곤 하트 3개[n]안셀로안의 축복 5개[n]
zts9633e	드라이어드 로라 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]드라이어드 로라 카드 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]해군 토리 구슬 1개[n]닌자 토리 구슬 1개[n]인디언 토리 구슬 1개[n]그레니가스의 진귀한 재료상자(무기)[n]그레니가스의 진귀한 재료상자(보조무기)[n]희귀한 백호 모자(영구) 1개[n]괴도 코스튬 모자(영구) 1개[n]괴도 코스튬 의상(영구) 1개[n]마법 빗자루 상자 1개[n]마법 UFO 상자 1개[n]태양신의 보조무기도면 1개[n]파트너 스페셜카드 캐리어 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 1개[n]드래곤 하트 2개[n]안셀로안의 축복 3개[n]
zts9634e	드라이어드 로라 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]드라이어드 로라 카드 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]해군 토리 구슬 1개[n]닌자 토리 구슬 1개[n]인디언 토리 구슬 1개[n]태양신의 재료상자(보조무기) 1개[n]희귀한 백호 코스튬(영구) 1개[n]괴도 코스튬 모자(영구) 1개[n]괴도 코스튬 의상(영구) 1개[n]마법 빗자루 상자 1개[n]마법 UFO 상자 1개[n]태양신의 보조무기도면 1개[n]파트너 스페셜카드 캐리어 1개[n]스페셜 카드 캐리어 1개[n]9Lv 셀론 1개[n]드래곤 하트 2개[n]안셀로안의 축복 3개[n]
zts9635e	드라이어드 로라 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]드라이어드 로라 카드 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]타오르는 불꽃 날개 1개[n]혹한의 불꽃 날개 1개[n]머시너리 윙 1개[n]태양신의 진귀한 재료상자(주무기) 1개[n]태양신의 재료상자(보조무기) 1개[n]해군 토리 구슬 1개[n]캡틴 토리 구슬 1개[n]특수기동대 토리 구슬 1개[n]희귀한 백호 코스튬(영구) 1개[n]괴도 코스튬 모자(영구) 1개[n]괴도 코스튬 의상(영구) 1개[n]마법 백호 상자 1개[n]마법 드래곤 상자 1개[n]태양신의 무기도면 1개[n]태양신의 보조무기도면 1개[n]9Lv 셀론 2개[n]드래곤 하트 3개[n]안셀로안의 축복 5개[n]
zts9636e	소공녀의 보물상자
zts9637e	소공녀 샛별 랜덤상자(HK)
zts9638e	소공녀 샛별 카드와 다양한 아이템이 들어 있는 상자.[n]상자를 열면 아래의 품목 중 임의의 1종을 획득한다.[n][아이템 목록][n]소공녀 샛별 카드 1개[n]하얀마녀 로레나 카드 1개[n]마법 구름 상자 1개[n]마법 지프 상자(블랙) 1개[n]화려한 스페셜 카드 캐리어 1개[n]대천사의 날개 1개[n]마왕의 날개 1개[n]성별변경 마법램프
zts9639e	소공녀 샛별 카드
zts9640e	소공녀 샛별 상자 (TH)
zts9641e	호두깍이 인형 랜덤상자
zts9642e	호두깍이 인형 랜덤상자(HK)
