zts1e	밀라노 장비상점 (사용)
zts15142e	이건 비싼 럼주잖아. 최고급 럼주. 후하... 이거 나 주는건가? 잘 마시겠네. 자네 꽤 좋은 사람이잖아. 이건 또 뭐야?
zts15143e	[까마귀 머피는 사막도적단 두목의 인장을 내팽겨칩니다.]
zts15144e	이런 것따윈 쓸모 없어. 술값은 전에 아카무르상단에서 받았던 의뢰비가 있어. 받아.
zts15145e	ACT5 불타는 검-지금은 지켜야할 때
zts15146e	무법지대는 데저트이글 시티는 아카무르상단이 도시의 치안과 관리를 담당하고 있지만 무법지대는 하나부터 열까지 주민들 스스로가 해야만 한다네.
zts15147e	그래서 말인데 지금 우리가 치안을 지키는 활동에 인력이 부족한 실정이네. 자네가 그일을 대신해주었으면 하네. 아카무르상단에서 약간의 지원을 받고 있어서 그대에게 지급할 보상은 충분하게 마련해두었네.
zts15148e	지금 무법지대 인근지역과 데이지 언덕에 있는 괴물들을 처치해주게.
zts15149e	어떤가? 치안유지활동은 잘 되어가고 있나?
zts15150e	무법지대의 주민들을 보호하는 것은 우리 무법지대 경비대의 소중한 치안유지 활동이지.
zts15151e	자네는 그 임무를 성실히 수행해 주었네. 자부심을 가져도 좋아.
zts15152e	지금까지 치안이 어려웠던 것이 사막도적단에 의해서 일어난 것이라는 걸 알게 되었네. 나는 그들의 행위를 용서할 수 없다고 판단했지. 그래서 우리 무법지대 경비대는 아카무르상단과 합동으로 사막도적단을 공격하기로 했네.
zts15153e	자네가 해야할 일은 아카무르상단 야영지의 남서쪽에 있는 케루스 야영지로 가서 그곳을 공격하도록 하게. 사막도적단은 물론이고 부대장 케루스까지 처치했으면 하네.
zts15154e	케루스의 야영지는 어떻게 됐나? 그들이 다시는 무법지대를 위협하지 못하도록 해야하네.
zts15155e	만족스러운 활약이었네. 하지만 우리의 치안유지 활동이 끝난 것은 아니야.
zts15156e	다음은 작전수행지역은 가톤의 야영지네. 현재 모르타즈 항구쪽까지 우리가 신경쓸 수 없다는 것은 자네도 잘 알고 있을 거라고 생각하네.
zts15157e	우리는 무법지대를 위협하는 이들을 배제하는 것만 신경쓰는 것이 중요하다고 보네. 파견할 수 있는 인원도 제한되어있으니까.
zts15158e	이전 작전과 마찬가지로 가톤의 야영지에 대한 전면적인 공격을 시작해주게. 부대장 가톤은 그리 만만한 상대가 아니라는 점을 명심하도록.
zts15159e	가톤의 야영지 사막도적단들이 그리 만만한 상대가 아니라는 점은 자네도 잘 알고 있겠지?
zts15160e	이번 작전은 우리로서는 최선의 대책이었다네.
zts15161e	물론 대화를 해보지 않은 것은 아니네. 자네가 임무를 수행하는 도중에도 우리는 평화적인 방법을 고수하고자 노력했지만 그들은 우리의 노력과는 반대로 대응을 해왔지.
zts15162e	자네의 수고는 잊지 않을 것이며 무법지대의 주민들은 자네를 자랑스러워 할것이야.
zts15163e	ACT5 불타는 검-사막도적단의 분열
zts15164e	[찢겨진 부분도 있는 일지입니다. 무언가 쓰여있습니다.]
zts15165e	XX월 XX일
zts15166e	옛 아스터 사원은 사막도적단이 차지하고 있다. 도적단 치고는 의외로 상단과 교류가 있었는지 사막도적단은 아카무르 상단과는 호의적인 관계이다. 이것을 갈라놓아야 할 필요가 있다. 차후에 모험가들의 방해도 생각해둬야 한다.
zts15167e	[반역자 빌리에게 여행자의 일지를 보여주고 무언가 단서를 찾아야 합니다.]
zts15168e	무슨 일이시죠? 그건 뭔가요?
zts15169e	여행자의 일지라니. 처음보는 것이군요.
zts15170e	일지를 쓴 여행자가 사막도적단과 아카무르상단과의 분쟁을 유발하고 있다는 것을 알아냈습니다. 짐작되는 것이 좀 있습니다.
zts15171e	우리 사막도적단은 요정의 가루를 이용해서 불쾌감을 제거합니다. 이를 통해서 난폭한 행동등을 자제하죠. 대부분의 도적들이 이것을 가지고 있습니다. 이것을 도적들이 사용하고 있는지 확인하고 회수해주시기 바랍니다. 요정의 가루를 회수하려면 특별한 주머니가 필요합니다. 주변에서 주머니를 찾은 뒤에 요정의 가루를 회수해주십시오.
zts15172e	요정의 가루는 발견했습니까? 그들이 제대로 사용하고 있는 것이 맞습니까?
zts15173e	그러면 요정의 가루를 아무 곳에나 내버려두고 있단 말인가요?
zts15174e	예상은 했던 일입니다. 놀랄 것도 없지만 현재 제 마음은 혼란스러운 상태입니다. 그렇다면 여행자라는 존재가 우리가 생각했던 것보다 많은 것들 꾸미고 있다는 말이겠죠.
zts15175e	그러면 다음 조사활동을 시작하도록 하죠. 제가 당신을 도와서 조사활동을 하고 싶지만 저는 이렇게 유폐되어있는 상태인데다가 몸도 제대로 가누지 못하고 있습니다. 죄송스럽습니다만 제가 제안하는 조사활동을 대신 수행해주셨으면 합니다.
zts15176e	옛아스터사원 지하에 있는 사막도적단의 정예병들은 다른 동료들보다 두목 이블라힘에 대한 충성도가 높습니다. 그런 그들의 충성을 의심해볼 필요가 있습니다. 그들이 가지고 있을 어떠한 물건이 그들의 충성도를 유지시켜주는 것이 아닐까 생각합니다.
zts15177e	지금부터 당신은 믿을만한 동료들과 함께 주변의 사막도적단 정예병들을 처치해서 그들이 가지고 있는 특별한 물건들을 회수해주시기 바랍니다. 가급적이면 전의 요정의 가죽주머니와 비슷한 물건이 있다면 꼭 가져와주시기 바랍니다.
zts15178e	무언가 발견하셨습니까? 제 예측이 맞다면 무언가 큰일이 벌어지고 있을겁니다.
zts15179e	이겁니다. 저는 이것이 사막도적단 내부를 교란시키고 있다고 생각합니다.
zts15180e	사막도적단 내에는 저와같이 현재의 두목 이블라힘의 지휘를 따를 수 없다고 생각하는 이들이 있습니다.
zts15181e	그중에 대리인 루샬딘님은 사막도적단의 중진으로 칼잡이 벨몬님과 각별하신 사이지요. 이번 조사로 모은 증거들을 그분께 가져다 드리십시오. 그러면 그분도 무언가 생각하신 것이 있으실테고 특별한 결단을 해주실거라고 생각합니다.
zts15182e	어서 이걸 대리인 루샬딘님께 가져가 주십시오.
zts15183e	그대인가? 반역자 빌리와 접촉하고 있다는 자가?
zts15184e	이와 비슷한 것들을 여러차례 보고를 받고 있었지. 일단 잠시 쉬도록 하지. 나도 결심을 해야하는 상황이니까.
zts15185e	자네와 반역자 빌리가 예상하는대로 이것은 환각성분과 쉽게 흥분하게 하는 약이라네. 나도 근래에 들어서 알게되었지.
zts15186e	이걸 우리 사막도적단에게 퍼트린 것은 여행자라고 불리는 자네. 그는 두목 이블라힘과 결탁해서 우리 사막도적단을 배후에서 조종하고 있네. 그래서 나는  이걸보고 결심을 굳혔지. 사막도적단과의 모든 인연을 정리하기로.
zts15187e	하지만 지금은 아니네. 나는 이곳에서 해야할 일이 있지.
zts15188e	자네는 지금 당장 무법지대로가서 내가 쓴 편지와 이 꾸러미들을 가지고 칼잡이 벨몬에게 대화해주게. 내 뜻을 그가 이해해줄 것이네.
zts15189e	자넨가? 그래, 무슨일이지?
zts15190e	대리인 루샬딘이 드디어 결심을 굳혔나보군.
zts15191e	나는 대리인 루샬딘의 친구이네. 그리고 동료였지. 나도 그가 사막도적단에서 떠나는 것을 원하네.
zts15192e	하지만 지금은 아니야. 우리는 사막도적단이 더욱 타락한 세력이 되기 전에 사막도적단과 관련된 자들이 해체를 하도록 해야하네.
zts15193e	이 편지를 까마귀 머피님께 전해드리게. 그분께서 이 사실을 아셔야 하네. 까마귀 머피님은 무법지대의 술집 앞에 계시네.
zts15194e	술말이야. 술 가져온거야?
zts15195e	[편지를 읽는 까마귀 머피의 표정이 일그러집니다.]
zts15196e	쯧... 상황이 안 좋군. 알았으니까. 걱정하지 마라. 나도 결심이 필요한 일이니까. 이걸 여기까지 전해준 네게 고마움을 표해야겠지.
zts15197e	이건 아카무르 상단에서 준 의뢰비의 일부야. 자네가 이곳까지 이번 일을 조사했으니 보상으로 받아주게. 다음에 자네가 필요할지도 모르겠군. 수고했어.
zts15198e	ACT5 불타는 검-원인 없는 결과는 없다
zts15199e	이곳에 갇힌 이후로 사막도적단 소굴이 어떠한 분위기이고 무엇을 준비하고 있는지 알 수 없습니다. 아직 그들이 저에게 직접적인 행동을 취하지 않는 것은 제가 아무것도 할 수 없을 것이라고 믿고 있는 모양이군요.
zts15200e	그래서 드리는 말씀인데 당신이 제 대신 조사를 해주셨으면 합니다.
zts15201e	별것 없습니다. 당신은 그저 소동을 벌이면 됩니다. 사막도적단 소굴에서 밖으로 나가는 쪽의 사막도적단의 도적들을 해치워주시고 그쪽이 어떤 분위기인지 알려주십시오. 천막들 중에 남서쪽을 조사해보는 것이 좋을 것같습니다.
zts15202e	어떻습니까? 아직 안가신겁니까?
zts15203e	좋습니다. 그들이 아카무르상단의 물품으로 기뻐하고 있을 때 우리는 더 많은 조사를 해야합니다. 앞으로 있을 접전을 생각하면 말이지요.
zts15204e	지금의 조사는 앞으로 있을 사막도적단 내부의 저항운동과 관련있는 조사활동입니다.
zts15205e	물론 치밀하게 계획을 하고 준비하고 있죠. 이번엔 사막도적단 소굴에 있는 천막들 중에 남동쪽에 있는 천막을 조사해주십시오. 물론 사막도적단을 처치하는 것도 병행하셔야합니다.
zts15206e	일반 도적이라 당신까지 나설 필요가 없다고 생각하실지도 모르지만 이들은 어디까지나 아카무르상단이나 다른 상인들에게서 약탈한 물건들을 스스로 배분하고 있으니 우리에게는 처치해야하는 적입니다.
zts15207e	제게 부탁할 일이나 하실 말씀이 있으십니까?
zts15208e	좋습니다. 이러한 조사활동이 계속 진행될것입니다. 인내를 가지고 임해주세요.
zts15209e	이번 조사는 이곳 옛아스터사원 지하로 들어오는 입구쪽에서 가까운 곳을 조사해보도록 하죠. 저는 그들이 당신의 난동에 어떻게 반응을 할지 상당히 궁금합니다.
zts15210e	물론 그들도 원숭이가 아닌 이상은 무언가 이상하는 생각을 하겠죠. 계속 그렇게 조사를 해주십시오. 저는 그들이 무언가를 사용하지 않을까 궁금합니다.
zts15211e	이번 조사활동은 정확히 말씀드리면 포로 수용소 근처와 대리인 루샬딘님의 천막 근처를 조사해보는 것이 좋을 거라고 생각합니다.
zts15212e	특별한 행동은 없었습니까?
zts15213e	생각보다 그들이 어떠한 행위를 하기 위한 조건이 충족되지 않았나보군요. 그렇다고 조사활동이 무의미하다는 것은 아니니까 걱정마세요.
zts15214e	저는 당신이 조사활도을 벌일때 다른 모험가들에게 중요한 정보를 얻었습니다.
zts15215e	사막도적단의 고위간부부터 직급이 낮은 하급 부하들도 어떠한 특별한 약을 사용한다는 사실을 알아냈습니다. 사막도적단 소굴의 어딘가에 그 약이 있다는 것도 알아냈고요. 당신이 해야할 일은 그 수상한 약을 찾는 일입니다. 약을 제조하기위한 특별한 장치가 있는 곳을 찾아주십시오.
zts15216e	서둘러야 합니다. 그들이 눈치를 채서는 안됩니다.
zts15217e	수확이 있었습니까?
zts15218e	조금만 차분히 생각해보도록 하죠. 이 수상한 약을 어떤 용도로 사용하고 있었을까요?
zts15219e	저는 이 약을 실험하고 싶습니다. 인체실험이라던가 하는 그런 복잡한 실험이 아닙니다. 그들이 사용하는 약이 어떤 효과를 발휘하는지 알고 싶습니다.
zts15220e	지금 당장 이 수상한 약병을 가져가서 사막도적단 소굴의 곳곳에 쉬고 있는 도적에게 사용해주십시오.
zts15221e	그들이 무언가 반응을 보인다면 제게 말씀해주십시오.
zts15222e	어떻습니까? 그들이 어떤 모습을 보이던가요?
zts15223e	정말입니까? 그들이 이성을 잃고 아무나 공격을 한다는 겁니까?
zts15224e	이 사실을 저는 칼잡이 벨몬님께 알려야 한다고 생각합니다. 사막도적단 내부에서 이 일의 진상을 조사하고 바로잡아야 할 마땅한 인물이 없습니다.
zts15225e	저는 사막도적단의 정보를 한눈에 파악하고 조치를 취할 수 있는 조언을 주실 분이라면 있죠. 바로 대리인 루샬딘님이시죠. 어서 이 조사문서를 대리인 루샬딘님께 전해주십시오.
zts15226e	무슨 일이지? 왜 그렇게 급하게 나를 찾나?
zts15227e	애석하군. 나는 사막도적단의 내부에서 무언가 바뀌길 바라는 사람이었지. 하지만 자네가 가지고온 것들을 보니 그동안 나의 노력이 물거품이 되고 말았다는 사실을 깨달았네.
zts15228e	나는 결심을 했네. 하지만 그것을 지금 당장 하기엔 무리가 있다네. 여기 내가 작성한 전서를 가지고 무법지대에 있는 칼잡이 벨몬에게 가져가게. 그라면 어떠한 지원을 해줄 것이라고 믿네. 서둘러주게.
zts15229e	자네가 무언가를 가지고 왔다는 것을 알고 있네.
zts15230e	사막도적단 내부에서 이런 일이 있었군. 나는 이곳 무법지대의 치안유지활동에 모든 것을 쏟아야되는 상황이야. 어떤 여유도 남아있지 않아.
zts15231e	지금은 사막도적단에 대한 대처를 위해서 데저트이글 시티의 아카무르상단과 접촉을 하고 있네.
zts15232e	일단 자네가 가져온 조사활동에 대한 것들과 대리인 루샬딘의 뜻을 이해했네. 한가지 자네가 해주었으면 하는 일이 있지. 이것을 저기 계신 분께도 알려주게.
zts15233e	나를 비롯한 사막도적단의 많은 이들에게 정신적 지주라고 할 수 있지. 그분도 아셔야할 때가 됐으니까.
zts15234e	[칼잡이 벨몬이 술집에 있는 까마귀 머피를 가리킵니다.]
zts15235e	뭘 들고 왔는지 모르겠지만 중요한 일이 아니면 다음에 해줬으면 하는데.
zts15236e	나같은 술주정뱅이가 무엇을 할 수 있다는건가?
zts15237e	옛부하들이 위태로우니 쫓겨난 내가 무언가를 하라는 건가? 나를 내버려두란 말이야. 나는 아무것도 할 수 없다고. 귀찮으니까.
zts15238e	이걸 받고 내게서 사라져!
zts15239e	ACT5 불타는 검-사막도적단을 치유하라
zts15240e	이 약병은 무언가 특별한 것이 담겨 있을 것으로 보입니다. 아마도 사막도적단이 아카무르상단에 적대적인 행동을 하게 된 원인일지도 모른다는 생각이 듭니다. 옛아스터사원 지하에 있는 반역자 빌리가 이것에 대해서 알고 있을것같습니다.
zts15241e	무언가 가져오신 것같은데 제게 보여주시겠습니까?
zts15242e	이걸 찾고 있었습니다. 제가 가지고 있는 것은 아주 약한 것이지요.
zts15243e	이것에 대해서 많이 궁금하실거라고 생각합니다. 이것은 사막도적단이 어떤 여행자에 의해서 농락당했다는 증거입니다. 이걸 복용한 사막도적단의 대부분의 도적들은 난폭해지고 두목 이블라힘에 무조건적인 충성을 보이게 되죠.
zts15244e	저는 이것을 증오합니다. 이걸로 저희는 꿈을 잃었고 소중한 두목을 잃었습니다. 씻을 수 없는 잘못을 저지르고야 말았죠. 이것의 효과를 풀 수 있는 방법을 찾아야 합니다. 이대로는 모두 무사할 수 없습니다.
zts15245e	이걸가지고 사막도적단 소굴에 있는 대리인 루샬딘님께 가져가십시오. 그분은 남동쪽의 절벽근처 천막에 계십니다.
zts15246e	이것이군. 나는 그동안 사막도적단의 중진으로 있으면서 무언가 이상하다는 기분이 들었네.
zts15247e	그동안 항상 후회하고 있었다네. 예전 두목이 쫓겨났을때도, 칼잡이 벨몬이 이곳에서 떠났을 때도 자리를 지키고 있었네. 사막도적단은 그만큼 내게 소중한 곳이었고 이곳을 지켜야한다는 생각이 들었으니까.
zts15248e	하지만 지금은 생각이 바뀌었지. 이제 내 행동은 바꿔야한다는 것을 깨달았네. 자네가 가져온 현혹의 약 견본과 내 편지를 칼잡이 벨몬에게 가져가주게. 그라면 이 약의 중독을 풀 방법을 알고 있을지도 모르네.
zts15249e	칼잡이 벨몬은 무법지대 경비대에서 젊은이들을 훈련시키는 일을 하고 있다고 들었네.
zts15250e	무슨 일인가? 경비대에 입대하려고 온건가?
zts15251e	근래에 들어서 입대 지원자가 줄어서 걱정이네. 이건 대리인 루샬딘이 보낸 것이군.
zts15252e	그러니까 이야기를 종합하면 사막도적단이 이 현혹의 약때문에 그렇게 됐다는 것이군. 어떠한 대책을 세워야겠군.
zts15253e	한시가 급해. 그렇다고 무법지대 경비대의 일을 내버려둘수는 없지. 자네가 이번 일들을 해결해줘야겠어.
zts15254e	일단 이번 사안은 중요하니 까마귀 머피님과 이야기를 해보는게 좋을거야. 그분이라면 해결책을 제시해줄테니까.
zts15255e	요새 왜 이렇게 나를 찾는 녀석들이 많은거야?
zts15256e	아직 술기운이 가시지 않았어. 머리가 울리니까 천천히 이야기를 하지.
zts15257e	어째서 나와 이 이야기를 해야하는지 궁금할 걸세.
zts15258e	하지만 궁금증은 그대로 내버려두게. 알아봐야 나나 자네나 그다지 이로울 것은 없으니까. 위화감만 늘어날뿐이니까. 이제 해결책을 모색해보자고.
zts15259e	일단 자네를 보낸 대리인 루샬딘은 이걸로 치료제를 만들었으면 좋겠다는 생각일거야. 그러니까 치료제를 만들 수 있는 사람을 찾는 것이 먼저겠지. 내가 편지를 써줄테니까 현혹의 약 견본을 가지고 데저트이글 시티에 있는 아스터사원으로 가보게. 그곳에 대사제 엘라딘님이 있을걸세. 그분이라면 이 약을 해독할 방법을 찾아주실테니까.
zts15260e	태양신의 축복이 함께하길... 그래 무슨 일인가?
zts15261e	사막도적단에 대한 문제로군. 그들이 우리 아스터사원에 피해를 입힌 것이 조금 있네만 그런 사연이 있을줄은 생각지도 못했군.
zts15262e	나는 아스터사원의 대사제이기에 곤경에 빠진 이를 외면할 수 없다네. 성직자라는 직업은 그런 것이지. 그리고 까마귀 머피와는 예전부터 잘 알고지낸 사이기도 하고 그에게 도움이 될 수 있다면 나로서도 기쁘네.
zts15263e	다시 현혹의 약에 대해서 이야기를 해보도록 하지. 이것은 마법물품이네. 이것을 해독하기 위해선 마법재료가 필요하네. 해당 마법재료는 우리 아스터사원에도 여유분을 준비해야하는 품목이지. 아카무르상단에 주문을 해두었는데 이것이 아직 도착하지 않았네. 아카무르상단 본점으로 가서 재료들의 입고되었는지 확인을 해주게.
zts15264e	무슨 일로 오셨나요? 분실물이나 주문하신 품목이 도착하지 않으셨나요?
zts15265e	아스터사원이라... 잠시 목록을 확인해보겠습니다.
zts15266e	아스터사원의 주문품목을 확인했습니다. 사막도적단에 의해서 탈취당한 것으로 보이네요. 저희 아카무르상단에서는 해당품목을 회수하기위해서 인력을 파견했는데 아직 회수가 되지 않았네요. 급하신 것이라면 직접 찾아오셔도 됩니다만...
zts15267e	해당 품목은 케루스의 야영지와 가톤의 야영지에 있는걸로 확인되었습니다.
zts15268e	마법재료를 가져왔는가?
zts15269e	일단 시급하니 정화제를 준비하도록 하겠네.
zts15270e	그대가 말하는 이가 대리인 루샬딘이라는 자인가? 사막도적단 내부에 있는 사람이라고 했던 것으로 기억하는데. 그가 과연 자신이 생각한 일을 잘 해결할지 모르겠군.
zts15271e	어떤 조직에서 무언가 조직의 다수에서 하는 일에 반대를 하게되면 받을 불이익은 크다고 할 수 있네. 하지만 현재의 상황을 지켜보지 않고 개선해나겠다는 의지는 높이 평가하네. 여기 정화제를 받도록 하게. 이것이 옳은 일에 사용한다면 좋겠군.
zts15272e	사막도적단 소굴에 있는 대리인 루샬딘에게 아스터사원의 대사제 엘라딘이 축복을 빈다고 전해주게.
zts15273e	이제 왔는가? 정화제는 어떻게 됐나?
zts15274e	다행이군. 이걸로 우리는 옳바른 방향으로 나갈 수 있겠어.
zts15275e	자네는 어서 이 정화제를 가지고 사막도적단 소굴에서 쉬고 있는 도적에게 정화제를 사용해주게.
zts15276e	이건 상당히 중요한 일일세. 정화제의 성능을 확인할 수 있고 앞으로 사막도적단의 변화를 일으킬걸세.
zts15277e	어떤가? 도적들은 제정신으로 돌아왔는가?
zts15278e	첫번재 결과는 성공이군.
zts15279e	한번의 성공이 다음번에도 계속되라는 법은 없다네. 우리는 좀더 신중해질 필요가 있다고 생각하네. 여러번의 성공이 계속되면 비로소 성공이라고 말할 수 있겠지.
zts15280e	정화제가 제대로 듣는지 사막도적단 소굴의 다른 도적들에게도 사용해보게.
zts15281e	아직인가? 우리에겐 그리 시간이 많지 않다네.
zts15282e	이번에도 성공이군.
zts15283e	신중해서 나쁠 것은 없지만 이것은 신속하게 진행해야하는 일일세. 이번의 정화제 사용이 성공한다면 나는 새로운 결의를 해야만 하네. 자네에게 모험가로서 큰 위업이 될거야.
zts15284e	그러니까 자네와 나에겐 매우 중요한 일이라는 거지. 준비가 되었으면 출발하도록 하게.
zts15285e	어떤가? 마지막까지 괜찮은건가?
zts15286e	이정도면 충분하네.
zts15287e	자네가 이번 임무를 수행하는동안 나는 수많은 고민을 했다네. 그건 사막도적단에서 내가 무엇을 해야할지에 대한 고민이었지. 사막도적단내에서 불합리에 굴복하는 것이나 이곳에서 몸을 피한다던가 하는 그런 것이지. 하지만 그 무엇도 내게 용납할 수 없는 것들이었지. 그래서 사막도적단 내부에서 변화를 시도하려고 하네.
zts15288e	이건 내 생각을 담은 결의서네. 이것을 옛아스터사원 지하에 있는 반역자 빌리에게 전해주도록 하게. 이제 그에게 협조를 할 생각이네.
zts15289e	대리인 루샬딘님께서는 어떤 생각을 가지고 계시던가요?
zts15290e	이겁니다. 저는 이것을 기다리고 있었습니다.
zts15291e	저희가 새로운 사막도적단으로 바꾸겠다는 결의를 한다고 해도. 옛 두목님이 없으면 의미가 없습니다. 그래서야 다른 이들에게 우리는 명분을 얻을 수 없습니다.
zts15292e	그래서 저의 의견에 동의를 표한 다른 동지들의 결의서를 모았습니다. 이것을 무법지대에 계신 칼잡이 벨몬님께 전해주십시오. 그분이라면 옛두목님이 계신 곳을 알고 계실테고 설득하실 수 있다고 생각합니다.
zts15293e	저희의 새로운 사막도적단에게 다시 일어설 기회를 주신 당신에게 저와 다른 동지들은 감사하고 있습니다.
zts15294e	그대는 요즘 자주 보게 되는군. 그래 무슨 볼일이라도 있나?
zts15295e	그들의 생각도 존중해줄 필요가 있네만. 나는 그들이 있는 곳으로 돌아가고 싶은 생각은 없다네. 이곳의 생활은 충분히 만족하니 말일세.
zts15296e	나는 예전에 사막도적단의 일원이었고 부대장이라고 불렸네. 하지만 이미 지난 일이지.
zts15297e	사막도적단에서 쫓겨나 무법지대에 오게 된 이후 나는 의무감과 책임감에 넘치는 활동을 하고 있네. 더이상 사막도적단이 아니고 무법지대 주민들과 함께 살고 있지. 주민들은 나를 신뢰하고 있다네. 내게는 이걸 받을 이유가 없네. 물론 까마귀 머피님도 말이지. 그분도 어엿한 이곳의 주민이니까.
zts15298e	하지만 진실을 알아야만 할 의무가 나와 까마귀 머피님은 있다네. 이걸 그분게 전해드리게.
zts15299e	왜 이렇게 쓸데없이 내게 볼일이 있는 녀석이 늘어난건가?
zts15300e	이 결의서는 내게 아무런 의미가 없어. 이것으로 무엇을 할 수 있다는 건가? 나는 그들을 지휘할만한 역량이 없다네. 내 과거가 어쨌든 그것은 과거지.
zts15301e	하지만 자네가 이 결의서를 전해오기까지 노력은 인정해줘야겠지. 보상은... 아카무르상단에게서 받은 것과 칼잡이 벨몬에게 받은 술값으로 주도록 하지.
zts15302e	ACT5 불타는 검-사막도적단의 두목찾기
zts15303e	사막도적단은 새로운 단체로 거듭나야합니다. 그러기 위해서는 우리 사막도적단이 가장 활발한 활동을 했을 때의 옛 두목님께서 되돌아오셔야 합니다. 지금의 두목인 이블라힘이 아닙니다. 옛두목님이 되돌아오시면 사막도적단도 본래의 정의로운 단체로 거듭날 것이라고 생각합니다.
zts15304e	우리의 정보력으로는 옛두목님을 찾는 것은 어렵습니다. 그렇다면 모르타즈 사막에 흩어져 있는 각 부대장의 야영지의 정보력을 이용해보도록 하죠. 두목 이블라힘은 분명히 옛두목님의 흔적을 찾고 있을겁니다. 그걸 이용하자는 겁니다. 각 야영지의 부대장들을 처치해서 정보를 찾아보도록 하죠.
zts15305e	부대장들의 야영지는 어떻습니까? 쓸만한 정보는 있습니까?
zts15306e	옛두목님께서 무법지대에 계실 것이라는 말입니까? 이제 이걸로 조금씩 옛두목의 흔적을 찾을 수 있었습니다. 하지만 무언가 부족합니다.
zts15307e	조사 내용에 대해서 무언가 부족하다는 생각을 해봤습니다. 그건 아마도 부대장들의 정보에 결함이 있다는 점이 신경이 쓰였습니다. 옛두목님이 무법지대에 있다는 것에 대해서 쓰여있지만 정작 어떤 작전을 시행할지에 대해서는 알 수가 없습니다. 그래서 추가 정보를 알아내야할 필요가 있습니다.
zts15308e	추가정보를 알고 있는 자는 아마도 옛아스터사원 지하에 있을 부대장 쇼란과 부대장 쎄이일 겁니다. 그들을 처치해서 추가정보를 획득해주십시오.
zts15309e	부대장 쇼란과 부대장 쎄이에게서 어떤 정보를 획득했습니까?
zts15310e	무법지대에 대한 공작활동에 대해서 쓰여있군요. 어떤 정보인지 확인을 해보겠습니다.
zts15311e	지금까지 취합한 정보에 따르면 사막도적단에서는 옛두목이 있는 장소를 찾고 그곳에서 정착할 수 없게 위급한 상황을 만들고자 하는 내용입니다. 괴물들을 유인한다던가 하는 공작활동말입니다.
zts15312e	이번 조사활동으로 옛두목님께서 무법지대에 계시다는 것과 위험한 상황일지도 모른다는 이야기겠지요. 그래서 저는 이 위급함을 그분께 전달해야한다고 생각합니다. 얼마전에 대리인 루샬딘님이 무법지대에 지인이 있다는 말을 들었습니다.
zts15313e	대리인 루샬딘님께 이 정보를 전해드리고 옛두목님께도 알려드려야 합니다.
zts15314e	내가 대리인 루샬딘이긴 하네만. 그대는 반역자 빌리가 보내서 온 자인가?
zts15315e	솔직히 말해서 그대에게 칼잡이 벨몬에게 소개를 시켜도 좋을 자인지 확인이 서지 않지만 반역자 빌리에게 도움을 줬다면 신용해도 괜찮겠지.
zts15316e	좋네. 무법지대에 있는 칼잡이 벨몬에게 가서 자네가 알아낸 사실에 대해서 이야기를 해주게.
zts15317e	그렇다면 옛두목에 대한 이야기를 해줄걸세.
zts15318e	그대가 대리인 루샬딘이 보낸 사자인가?
zts15319e	솔직히 말하도록 하지. 지금 자네가 찾고 있는 사막도적단의 옛두목님은 가까운 곳에 계시네.
zts15320e	하지만 그분의 상태는 이전에 반역자 빌리가 기억하는 그 모습이 아니지. 패배감과 좌절에 젖어계신다네. 나로서도 그분의 모습을 보는 것이 슬프네만 기어이 자신의 눈으로 확인해야 한다면 말리지 않겠네.
zts15321e	저쪽에 술집 앞에 계신다네.
zts15322e	요즘 들어서 내게 볼일이 있는 녀석이 왜 이렇게 많아?
zts15323e	이봐, 내게 그런 말을 한들 나는 이제 아무것도 할 수 없어. 내 앞에서 사라지란 말이다. 어서!
zts15324e	네가 원하는 것이 이런 내 모습을 보는 것이란 말이냐?
zts15325e	이걸 가지고 사라져. 그깟 보상 내가 줄 수 있단 말이야!
zts15326e	ACT5 불타는 검-빼앗긴 상품 회수
zts15327e	이곳에서 상인으로 활동한지 수십년이 되었습니다. 그런데 근래에 들어서 사막도적단의 횡포는 처음 겪어보는군요. 모르타즈 사막의 밖에서 상품들을 수입해 오는데 정작 수송을 맡은 아카무르상단에서는 아무런 대책도 취하지 않고 있습니다.
zts15328e	제게 하는 말이라고는 순서를 기다리라고 하면서 모험가를 파견했다고 합니다. 급해서 기다릴 수 없다면 직접 찾으라는 말을 합니다. 말이 됩니까? 저희는 수수료를 지불하고 의뢰를 했다고요.
zts15329e	더이상 기다릴 수 없습니다. 당신이 제 상품들을 되찾아주십시오. 아카무르상단에서 알려준 장소는 케루스의 야영지와 가톤의 야영지. 그리고 사막도적단 소굴과 그 안에 있는 옛아스터사원 지하입니다.
zts15330e	어째서 쉬고 계신겁니까? 저는 한시가 급하다고요.
zts15331e	수고하셨습니다. 이제 한숨돌렸습니다. 수고하신 보상은 아카무르상단에 지불한 수수료보다 더 많이 드리겠습니다.
zts15332e	ACT5 불타는 검-빼앗긴 것은 되찾아야 한다.
zts15333e	소문에 의하면 당신이 사막도적단을 상대하는데 능숙하다고 들었습니다. 그래서 말인데. 당신이 제 상품을 되찾아주셨으면 합니다.
