zts1e	Milano Tool Shop (Use)
zts7031e	no. you will be absorbed by the back draft.
zts7032e	I have made up my mind.
zts7033e	the praising song of life is winding everywhere, Hope is growing from the dirt. The ideal is felt by everyone, sacred spirits blessing me. This is the will of the Latheore, it unifies with mine. All of my power shall come from him..
zts7034e	what are you doing? Erie, are you also corrupted? Stop it. Your action is not justified. Latheore will punish you.
zts7035e	Your match is me. Look at me!
zts7036e	(Erie also absorbed to the pupa just like Rect)
zts7037e	(It is not too late. I need to save the both. Move, move, please)
zts7038e	(He crawled to the pupa. At that time, a shining flash light comes out of the pupa)
zts7039e	This is the ring of the Radal?
zts7040e	That is distilled heritage of Angelloan?
zts7041e	that is surely parts of real Latheore, sealed by Ginas. How come he has them?
zts7042e	Please, Please save Rect and Erie!!
zts7043e	(The intensive light inside the pupa reacts with Radal's ring, the light slowly absorbed into the ring. It was apparent that it reacts to the perfectly refined Angelloan's Heritage)
zts7044e	What is. this?
zts7045e	Lv.67 Everybody looks strange
zts7046e	Lv.70 Mysterious Ore
zts7047e	Lv.66 Investigation of Fastone Lab
zts7048e	Charlotte Main Quest
zts7049e	Lv.72 Peober is a hyper risky creature?
zts7050e	Rectrart Main Quest
zts7051e	Lv.75 Where is the truth.
zts7052e	Erie Main Quest
zts7053e	Lv.78 The Choice of Erie and Rect
zts7054e	That place has smells of the dead only. I don't want to go.
zts7055e	But if you don't go there, Sandra will not leave you alone. There is no other option.
zts7056e	then I need to prepare, you depart first.
zts7057e	Player: I will see you at the 2nd level of this building
zts7058e	Alex: OK.
zts7059e	I picked up strange ring, I need someone who can tell me about this.
zts7060e	Can you show me?
zts7061e	here you go.
zts7062e	(Showed the Radal's Ring)
zts7063e	wow. A ring with blue and red. Is this a pair?
zts7064e	I think so.
zts7065e	Celloin would be glad to see those rare stuff. Once I have seen him joyful as he saw rare jewelries
zts7066e	Hi
zts7067e	yes? Ah, Charlotte and Patrisha? They were complaining a lot about Koarens in Mt. Krem.
zts7068e	They said they need to find a new place.. I think I heard they are going to Fir Woods.
zts7069e	No. it is not what I am saying. It is just to prevent the monsters. you need a special element to open the seal. The legend says if you put cold heart, pure wild flower, and passion flower to the mouth of the statue, then the door would open.
zts7070e	Don't be boasting around. This time is zombies. Off you go.
zts7071e	I am healthy as always.. but.. there is something strange.
zts7072e	I have encountered lizard on my walk, but they ran away as they saw me
zts7073e	I was surprised. I didn't noticed but I was wearing a hat made of Racoony tail. Racoony birds pecked on me so I got a little scars.
zts7074e	Is this someone secretly gave to me?
zts7075e	(I was impressed about what you did to Wood zombies after hearing my story about them.)
zts7076e	(Celloin is pleasantly surprised about you as I thought you were just an intelligent person.)
zts7077e	(Hoho I will be waiting for you at the place that Sellbig promised. By Celloin.)
zts7078e	(PS: I can't wait till I see the proposal event.)
zts7079e	Hi, I got a good news. Celloins said she might marrying Sellbig. I think that is great.
zts7080e	I am working on a special order under the guidance of high rank people. You will be able to meet my assistant while you are working on Jack's request. His name is Erie Windsphere, and has big javelin. Try not to fight when you meet.
zts7081e	Tri Trikung used to be the woodkeeper. can't believe he is now a monster. Anyway, now Tri Trikung is gone, so deers should comeback. Thanks. You did a great job. Ah, Rodi wants to see you. He would like to find out what he asked to you the other day.
zts7082e	the underground tunnel is north side of the Fir Woods. I can't believe that is the source of ore. We will find out more details.
zts7083e	yes. She went to watermill. The water mill is in Maple Woods.
zts7084e	The 3rd material I need is to be used for maintaining the volume of the product. the liver of the Kelberos, the trihead evil dog? Where can I find this? Hm.. there must be someone knows about this.. no, no. there is actually only one person. I don't want to ask anymore to him..
zts7085e	thanks much. Haha. The black evil dog is hiding deep inside. Look closely into the northeast of the Fir Woods. Come to me anytime you need my help. And don't forget the money, too.
zts7086e	I will stand at the front next time.
zts7087e	Production
zts7088e	Patrisha
zts7089e	Give a gift 'cake'
zts7090e	If you give me 20 red cookies, I will give you 'Magical darling' as a present.
zts7091e	Yes, trade them.
zts7092e	No, I will do next time.
zts7093e	If you give me 20 red cakes, I will give you 'Magical darling' as a present.
zts7094e	Golden soul stone
zts7095e	I am wrapped up in holy light.
zts7096e	I become calm because the warm energy spreads out whole my body.
zts7097e	Guardian of light - Quest
zts7098e	It is the soul stone where Swordsman is able to get a Crusader card, Archer can get a Destroyer card and Sorcerer can get a Blue magician card.
zts7099e	High personages who sacrificed themselves for saving their valued friends take their last sleep here.
zts7100e	Stop! Don't move. This is the world of dead man.
zts7101e	You are not man.
zts7102e	What? I am surely man.
zts7103e	Why do I feel demon's spirit from you?
zts7104e	Because I had fought them before.
zts7105e	Do demons come back?
zts7106e	It is a problem. In my eyes, your talent is not enough to stop them if they start the war again.
zts7107e	Yep, there is the way.
zts7108e	I had defeated demons in ancient war with my fellows. However I lost my power, so I am not able to make you strong.
zts7109e	My fellows could help you to become stronger. But. they are not here because they already fulfilled their duties.
zts7110e	There is a way. If you collect their valuable mementoes, I will make you a chance to meet them.
zts7111e	The first is 'Rebecca's jewel belt.'
zts7112e	Blue magician received it from his fiancee. He treasured it in his life.
zts7113e	I will give you the note about the belt. You will ask someone who knows jewel very well about it.
zts7114e	(Celloin looks at the note.)
zts7115e	It is 'Rebecca's jewel belt.' It has an inside story.
zts7116e	You are lucky. I have it.
zts7117e	But, jewel which is in the middle of the belt was broken.
zts7118e	I heard the jewel was broken by itself when the owner's fiance had died.
zts7119e	The jewel is 'Bloody stone.' It is very rare thing. So it isn't easy to get it again.
zts7120e	Tell me. I will get it.
zts7121e	I heard Monsters in cave of Mt. Krem have similar things. Bring them as many as possible. I will work them to fit the belt.
zts7122e	Good job. Please wait just for a while.
zts7123e	(Soon after, Celloin brings the belt.)
zts7124e	It is the most similar to the real one.
zts7125e	But it isn't the real. Don't expect too much of it.
zts7126e	Skid treasured it very much. He brought it at all time.
zts7127e	Skid?
zts7128e	It is blue magician's name. He looked cold but he had warm heart.
zts7129e	The next is 'Piena's diary.'
zts7130e	It was left by his childhood friend.
zts7131e	You will ask someone who knows books very well.
zts7132e	Do you happen to know 'Piena's diary?'
zts7133e	Piena's diary is.
zts7134e	Ah, I saw it from where. Um, I remember seeing it in Lopello library.
zts7135e	Do I have to go the library?
zts7136e	But, I heard it is missing.
zts7137e	Why?
zts7138e	Librarians put the books in order during the war against Kovolts. At that time, Kovolts brought it because they thought it was a treasure.
zts7139e	What can I do for returning it?
zts7140e	I think Kovolts are not interested in books. So they don't have it.
zts7141e	The diary has some miraculous magical power. Perhaps Dustdeaths at Mt. Krem bring it.
zts7142e	As I expected, it doesn't get damaged without tearing a page because of magic. Give me a while. I will recover it like original.
zts7143e	(After a while, he gives the diary.)
zts7144e	Here it is.
zts7145e	Skid told me he had come back his home for reading the diary.
zts7146e	He frequently said he didn't have the past. But after reading the diary, he didn't say that anymore.
zts7147e	Anyway, you are able to get a chance to meet my fellow Blue magician 'Skid Frozenheart.'
zts7148e	Say hello to him.
zts7149e	Some voice is heard when I recovered my senses.
zts7150e	You look safe. Skid also fancies you.
zts7151e	This time, you bring 'Ruddy's handkerchief' to me.
zts7152e	It is Destroyer's. She treasured it uniquely. She received it as a birthday present from her old playfellow.
zts7153e	I explain 'Ruddy's handkerchief' to Vellochika.
zts7154e	I saw it once.
zts7155e	Vellochika enters her house and brings something. Then she hides it behind her.
zts7156e	I can't show the handkerchief.. He, he..
zts7157e	I tried to wipe out a stain, but it is still a little dirty.
zts7158e	I think I need special bleach for washing it. I should tend my store so. please bring it.
zts7159e	I tell you materials of bleach.
zts7160e	I need bean hull, special water bottle and flint. Monsters at Mt. Krem have them. So you are easily able to get them. Monsters in cave of Mt. Krem have some. You will look for them carefully.
zts7161e	Ah! I need special bleach recipe also. Don't forget foggy giant have the recipe.
zts7162e	Here it is. Perhaps the receiver likes it.
zts7163e	Daisy was a hussy.
zts7164e	My fellows and I called her 'Destroyer.'
zts7165e	Then it became her nickname. She pretty liked it
zts7166e	But she became lovely mediocre girl when she held the handkerchief in her hand. What a marvelous handkerchief it was. She was looked as if she fell into magic.
zts7167e	The next is 'The elementary book of adventure.' It had influence on her to become a destroyer.
zts7168e	Is it dangerous? No. It was well known book to adventurers as a textbook in those days. It is not dangerous what you expected.
zts7169e	The great danger was Daisy herself. Hahaha.
zts7170e	Do you know 'The elementary book of adventure?'
zts7171e	Hey, you know the book. You have an appreciative eye. You are lucky.
zts7172e	I have it.
zts7173e	It is first-edition of The great adventurer 'Indicluto.' It is very valuable!
zts7174e	Would you give me the book?
zts7175e	One million gold.
zts7176e	What? Pardon?
zts7177e	I will sell it at one million gold.
zts7178e	What? Why is it expensive?
zts7179e	It is worth over 10 million gold. It is very cheap. I am obliged to sell it because I don't have a way to save up installment saving in this month. T-T
zts7180e	Iron lady is crying.
zts7181e	But it is acting.
zts7182e	Thanks to you, I come out the red.
zts7183e	It is a great. Do you read it? I think it is the most valuable passage in this book.
zts7184e	The ruins are the gift to the moderners from the ancients for showing their life. We talk to the ancients through the ruins.
zts7185e	Do you also make a venture for meeting someone?
zts7186e	It's time to meet destroyer 'Daisy.' If she doesn't like you, don't give up. She is a warm-hearted person, even if she outwardly grumbles.
zts7187e	Whoosh~
zts7188e	Doesn't she throw a bomb at you?
zts7189e	You seemed to have a hard time. Ha ha ha.
zts7190e	You should look for 'Necklace of lucky stone' from now on.
zts7191e	Crusader treasured it as an amulet. She held it customarily when she prayed.
zts7192e	Have you ever heard 'Necklace of lucky stone?'
zts7193e	Oh! How do you know I have it?
zts7194e	Just feeling!
zts7195e	I have it what you said.
zts7196e	But I inherit the necklace from my ancestors.
zts7197e	I heard it belonged to some well-know crusader when angels and demons fought each other
zts7198e	However it is breaking. I guess lucky stone lost effect because a long time has passed.
zts7199e	I should pour holy water to it for protecting the necklace from breaking.
zts7200e	If you bring the water, I will give you the necklace. You are able to get the water in the end of Vertical Cave.
zts7201e	Good job.
zts7202e	(Holy water is poured to the lucky stone. The lucky stone's crack disappears amazingly.)
zts7203e	It is lucky not to break the stone. You brought right water.
zts7204e	Do you know the story of the necklace?
zts7205e	The crusader was received it from her fiance.
zts7206e	Fiance?
zts7207e	The crusader was a girl.
zts7208e	At that time, to become crusader was very difficult to woman. But she became a head of crusader.
zts7209e	She saved cities from the war and became a national heroine.
zts7210e	Great.
zts7211e	I had thought she was a rough, but she was also a girl. So I have it with care.
zts7212e	Anyway, it is time to be left from me.
zts7213e	Take it.
zts7214e	Originally the lucky stone was a pebble. It became a lucky stone because of her true heart prayer. Did you depend on something to realize your desire?
zts7215e	You should seek for 'Justine's portrait.'
zts7216e	It is easier than 'Necklace of lucky stone.'
zts7217e	Justine's portrait' is explained.
zts7218e	I am sorry. I don't have the portrait.
zts7219e	I put the portrait into a small safe. But the small safe was stolen with a key.
zts7220e	I can't step out now. But I know where the safe and key are.
zts7221e	I will look for it. Tell me.
zts7222e	I know Kovolts brought them, but Catcies snatched them from Kovolts.
zts7223e	So Caticies at Shanera Dungeon have the key.
zts7224e	How about the safe?
zts7225e	The safe is small but very heavy. They can't hold it.
zts7226e	Torturers in labyrinth of pain keep it in custody. They don't know PIN number so they couldn't remove the portrait.
zts7227e	If you bring the safe and key, I will open the safe and give you the portrait.
zts7228e	Here the portrait is.
zts7229e	It is..
zts7230e	It is Berserker's portrait. Are you disappointed?
zts7231e	No, I don't know why my friend wants it.
zts7232e	It is the portrait of the well-known Berserker. He saved cities in angel and demon's war. In those days, people brought his portrait as an amulet.
zts7233e	To get it was very hard to even me.
zts7234e	Can you give me such a valuable thing?
zts7235e	Yes, it's yours. I decided to give you it since you had told me you looked for it.
zts7236e	Good bye. Did you say someone seeks for it?
zts7237e	Thanks.
zts7238e	Crusader 'Seina' was introvert. So she didn't want to show other people the portrait.
zts7239e	She believed the berserker gave her courage.
zts7240e	Now, it is time to meet my last fellow crusader 'Seina.' Your choice decides whether she admits you or not.
zts7241e	Don't forget. If justice is in you, she will know your heart.
zts7242e	How was your meeting with Seina?
zts7243e	Skid, Daisy and Seina. Why did they sacrifice themselves?
zts7244e	With smile.
zts7245e	How did they laugh like that? They went dying.
zts7246e	Love. Because of love. They were able to die for people whom they loved.
zts7247e	I can't understand.
zts7248e	It can't be understood by mind but felt by heart.
zts7249e	Congratulation! You passed my fellows' tests.
zts7250e	But the test is not yet finished. The last test. You can't get a real power what you want unless you will pass the test I give.
zts7251e	The test is you defeat Archtheridon who is the strongest demon in Hellord's other selves.
zts7252e	It is the reason I gave you the previous tests. I want to know whether you can defeat him.
zts7253e	Using them you brought, I will bring you to the past when I fought Archtheridon. I hope you will defeat him.
zts7254e	Finally you defeated him! You clear my old score.
zts7255e	The real enemy is not him but another!
zts7256e	The real enemy is also judged by you adventurers.
zts7257e	Your future is looked rough.
zts7258e	I will give this in which my fellows' and my powers fill to you who passed all tests. Please use it for judgment.
zts7259e	Thank you.
zts7260e	The guardian of light - Time-space
zts7261e	[shrieking]
zts7262e	A shriek is heard from where.
zts7263e	Is Skid there?
zts7264e	Die!
zts7265e	Why?
zts7266e	Yech, I have a splitting headache.
zts7267e	I was mesmerized by a demon.
zts7268e	Who are you?
zts7269e	I say. I am a passing adventurer. What happen?
zts7270e	I don't know why. Demons attacked this small village.
zts7271e	I don't know.
zts7272e	I have a favor to ask of you. Would you do my favor?
zts7273e	I am going to go to defeat the head of demons.
zts7274e	You mean I will go with you?
zts7275e	Don't go ahead. It is a different thing. It is.
zts7276e	Tell me.
zts7277e	I had my friend's diary stolen to a demon. I hope you to take back it from him. He is a huge so it is easy to find him. Please.
zts7278e	Here it is.
zts7279e	You take it and this belt also. If a girl looks for me, please give them to her.
zts7280e	Why? They are your valuable things, Skid.
zts7281e	You know my name.
zts7282e	I don't have a reason to explain to you.
zts7283e	Take care of them.
zts7284e	What will you do?
zts7285e	You already know.
zts7286e	Lots of demons are coming from a distance.
zts7287e	Step back. If you come to me close, you will be swept by my magic.
zts7288e	I don't forgive who plays with food!
zts7289e	What?
zts7290e	Daisy suddenly falls down.
zts7291e	Poison.
zts7292e	Someone put poison into food.
zts7293e	I need.. an antidote.
zts7294e	Did you put poison into Daisy's food?
zts7295e	Give me an antidote!
zts7296e	Is she poisoning?
zts7297e	Didn't you?
zts7298e	She is my friend. I don't have a reason to do.
zts7299e	Tell me about her symptoms.
zts7300e	Whitney listens to Daisy's symptoms.
zts7301e	It needs two materials for neutralizing the poison. I have one of them and another one was stolen by demons. I give you the material I have. You will obtain anther one from demons and neutralize the poison.
zts7302e	How about you?
zts7303e	I have to do something. And.. I can't see her.
zts7304e	Please don't tell her about me.
zts7305e	Thanks.
zts7306e	I am sorry, but I have a favor to ask of you.
zts7307e	(Daisy gives a small bag.)
zts7308e	Please transmit it to my father.
zts7309e	(The temple's ceiling is collapsing.)
zts7310e	Please. I should look for my friend.
zts7311e	Who is your father?
zts7312e	Stand back, Demon!
zts7313e	Justine is waiting for me. If I don't go, he will die.
zts7314e	I am not a demon.
zts7315e	You are cowardly. Don't escape.
zts7316e	[shrieking]
zts7317e	Seina falls down holding her head in her arms as if she has a headache.
zts7318e	A demon looks her from far away.
zts7319e	The demon certainly controlled her.
zts7320e	Seina! Are you ok?
zts7321e	I am fine. I lost my senses for a while.
zts7322e	Who are you? How do you know my name?
zts7323e	Justine is in danger. We should go to him fast.
zts7324e	Seina helps Justine who is falling down.
zts7325e	A fool thing. You are stubborn.
zts7326e	Seina?
zts7327e	Demons are coming out of time-space.
zts7328e	Stand away! I will enter time-space and keep off them.
zts7329e	Take a rest.
zts7330e	Seina sprinkles sleeping powder on Justine. Justine falls down.
zts7331e	You.
zts7332e	Seina kisses him with smile.
zts7333e	Please live long instead of me.
zts7334e	Adventurer, I will go time-space and keep off demons.
zts7335e	Seina!
zts7336e	Please take care of Justine. Thank you for helping me.
zts7337e	Mind your eye!
zts7338e	Wake up!
zts7339e	Skid, Seina and Daisy. All you are safe.
zts7340e	What are you saying? We are waiting because of you.
zts7341e	(We hear a loud voice reverberated over the wall.)
zts7342e	Blast it! Echekarue!!
zts7343e	What a dreadful thing you are!
zts7344e	The day I recover. You will die. I will also destroy Eastmile.
zts7345e	I pledge my name 'Archtheridon.'
zts7346e	Archtheridon?
zts7347e	Archtheridon is the strongest demon in Hellord's other selves.
zts7348e	It is the reason demons bring about the war in our world.
zts7349e	What will you do next? Do you let them do what they want?
zts7350e	Of course, guard against them.
zts7351e	Go fast.
zts7352e	Archtheridon makes his followers stand in the middle of the road.
zts7353e	You defeated my followers and come to me.
zts7354e	A fool thing.
zts7355e	We can't see let you destroy our world.
zts7356e	I should revenge. You are not able to make me stop.
zts7357e	This world is where people I loved lived. I have a responsibility to saving the world.
zts7358e	The name of light, I will defeat you.
zts7359e	[Shouting] You are little things, make me stop my revenge. I won't fall down. I will come back.
zts7360e	Fight is finished.
zts7361e	Kaboom.
zts7362e	The remainder of Archtheridon's power will be exploding.
zts7363e	What do we do?
zts7364e	We can prevent the exploding.
zts7365e	Do fast.
zts7366e	We have a problem.
zts7367e	What is it? We don't have much time.
zts7368e	I can cast protect magic upon only one person.
zts7369e	The remainders will die.
zts7370e	Yes.
zts7371e	What's there to be worried about?
zts7372e	You.
zts7373e	Me? I can't do that. I will do with you.
zts7374e	Don't be stubborn. You help us so much. We can come here because of you.
zts7375e	We decide.
zts7376e	We hope you to live from among. You are important and needed in the future war against demons.
zts7377e	We always thank you.
zts7378e	Please protect the world we don't exist.
zts7379e	(It is a heavy explosion beyond protection.)
zts7380e	Echekarue: There is not an obstacle.
zts7381e	Echekarue: Disappear, Archtheridon
zts7382e	Echekarue: I remember your anger and grudge.
zts7383e	Spend reserves
zts7384e	Reserves, which you received after buying Nosmall items, can be exchanged for gift boxes. You can exchange 90 points for 1 gift box, and randomly receive one of 8 items from the gift box.
zts7385e	Yes, trade them.
zts7386e	No, I will do next time.
zts7387e	Dr.W event
zts7388e	Exchanging chewing gum
zts7389e	Exchanging airwave
zts7390e	Exchanging signboard of airwave
zts7391e	Snowman event
zts7392e	Hahaha! Surprise~! Cool~event in the summer~!
zts7393e	Bring me Colorful socks, Decoration star and Snow bells, then I will give you a special present. Hahaha.
zts7394e	Exchange for Snow festival gift box.
zts7395e	Exchange for Snowman raid seal.
zts7396e	Hahaha. If you give me 5 Colorful socks, 5 Decoration star and 5 Snow bell, I will give you Snow festival gift box.
zts7397e	If fortune smiles upon you, you can get a Santa bush tail as a pet. Otherwise you can receive other items. Hahaha.
zts7398e	Hahaha. If you give me 8 Colorful socks, 8 Decoration stars and 8 Snow bells, I will give you Snowman raid seal.
zts7399e	If you win the battle against Huge Snowman, you may get something good. Hahahaha!
zts7400e	Talk with Vellochika Tier
zts7401e	Madam and gentleman. There are good things today!
zts7402e	Milano mart has all food from general to pet's food.
zts7403e	I guarantee freshness, or my name is not Vellochika Tier.
zts7404e	Talk with Sandra Brake
zts7405e	Welcome. This is the Mt. Krem branch of Noscamp. I am Sandra Brake, the manager of the branch.
zts7406e	If you have any question, ask me. However service charge is required. Hohoho.
zts7407e	Talk with Alex Riff
zts7408e	I am Alex Riff. I help adventurers to train themselves.
zts7409e	How do you introduce yourself so badly? Tell again!
zts7410e	Hum. Nice to meet you.
zts7411e	Talk in Clang Clang Construction
zts7412e	I sell all sorts of structures. Do you want to buy?
zts7413e	Talk in Super Sale Shop
zts7414e	I sell old rare things I had gotten on the road. Are you interested?
zts7415e	Talk in Pick-up shop
zts7416e	Talk in Mary's Luxuries
zts7417e	People should dress up well because it is manners towards the others. If you don't, you are impolite. Understand?
zts7418e	Talk with Kum Carven
zts7419e	I don't talk with a fledgling. If you want me to admit you, find out a task you can do.
zts7420e	Talk with UrrKoaren
zts7421e	I am UrrKoaren, the chief of Koaren town.
zts7422e	I have heard about your courageous action. However don't forget fame demands responsibility and duty.
zts7423e	Hero, welcome to Korean town.
zts7424e	Talk with Quickie Collin
zts7425e	The spirit Keeps you!
zts7426e	Always keep your hear clean!
zts7427e	Talk with Rody Windsinger
zts7428e	Nice to meet you. I am Rody Windsinger. I come here under the orders of my boss.
zts7429e	I hope you are always with the spirit of justice.
zts7430e	Talk with Jack Lumbermeal
zts7431e	I am Jack Lumbermeal. My family run Lumber mill for 3 generations. Anyway, didn't you see a pretty deer on the way?
zts7432e	Talk with Erie Windspear
zts7433e	Hi, I am Erie Windspear.
zts7434e	I come here for the first time, and It looks very a nice place. There are grass' fresh smell and beautiful flowers.
zts7435e	Your smile is so sweet. You seem a nice company. Hehe.
zts7436e	Talk with Sotty Bystander
zts7437e	Hi, I am Sotty Bystander. I come here because of the orders of a faultfinder.
zts7438e	How annoying! But I should do I have to, shouldn't I?
zts7439e	Talk with Rect Lat
zts7440e	I am Rect Lat. I am investigating something under the orders of Sotty. My task doesn't regard you at all, so don't care about it.
zts7441e	Haven't you adventured your life on something?
zts7442e	Of cause, you haven't. If you find the meaning of life, you can do.
zts7443e	Talk with Charlotte
zts7444e	My knight~ I miss you so so much.
zts7445e	Don't you miss me?
zts7446e	Talk with Patrisha
zts7447e	Hi, long time no see.
zts7448e	Ah, I have to say something to you.
zts7449e	I prepare to make some new design accessories, will you join with me?
zts7450e	Official
zts7451e	It is very fine and so good to go an adventure?
zts7452e	Why don't you go an adventure with your close follows today?
zts7453e	It is quite fun.
zts7454e	Butler. HamaKung
zts7455e	I am the butler of the great Lopello.
zts7456e	My master was a famous adventurer in his young days. I have not seen yet the adventurer better than my master.
zts7457e	Maybe, dare you think you are better than my master?
zts7458e	The chef
zts7459e	Don't forget you should prepare food when you make a venture.
zts7460e	Even though you have good arms and defensive weapon, if you don't have any food, you can't put out your strength. Your partner and pet also need enough food.
zts7461e	There is tasty food copiously, so you will choose something.
zts7462e	Fashion designer
zts7463e	Why do you wear the poor accessory?
zts7464e	I am so sad. Dignity is important to even an adventurer.
zts7465e	I prepare lots of things for valuable you. There are many accessories to make you look gorgeous.
zts7466e	Product producer
zts7467e	Making something and using that are very fruitful.
zts7468e	Please make something by yourself and use that. It is so fun.
zts7469e	Magical goods seller
zts7470e	Danger is the best friend of adventure. Of cause, it is not a welcome friend.
zts7471e	If you are the great adventurer, you will agree to my opinion. To protect yourself from your best friend 'Danger,' you need magical goods.
zts7472e	I will show you cheap things, but the effects are great.
zts7473e	Person in charge of Nosmate/Mini Home
zts7474e	These days, there are many construction sites because of increasing population.
zts7475e	Therefore, people are well-off as compared with before.
zts7476e	Ah, new structures come. If you need something, please tell me.
zts7477e	Defensive weapon seller
zts7478e	Hey, you! What the poorest armor you wear!!
zts7479e	That armor can't be defended from even wooly's attack. I tell only you, I have a legendary defensive weapon. It can defend you against a dragon's breathing.
zts7480e	It is a little expensive but it is very cheaper than the value of your life.
zts7481e	Arms seller
zts7482e	My brother hasn't seen a dragon. So he can't verify if his weapons can defend against a dragon's breathing or not.
zts7483e	However my arms are different from his. They can cut through the dragon's thick skin.
zts7484e	Of cause, I also haven't seen a dragon.
zts7485e	Gray soul stone
zts7486e	Strong dark spirit flows out from it.
zts7487e	I can feel angry when I touch it. What did happen?
zts7488e	Dark revenger &#8211; Quest
zts7489e	It is the soul stone where Swordsman is able to get a Berserker card, Archer can get a Wild keeper card and Sorcerer can get Dark gunner card.
zts7490e	(Some parts of the soul stone are broken.)
zts7491e	What happened?
zts7492e	Someone had broken my memory.
zts7493e	Who? Why?!
zts7494e	I don't know. If the fragments of memory don't come back.
zts7495e	This place can go out of your sight.
zts7496e	I can't find my follows' successors yet.
zts7497e	Hey, will you help me?
zts7498e	Who, me?
zts7499e	Here you are. It is the sample fragment of memory. I hope you will find the same thing like this.
zts7500e	What brings you here today?
zts7501e	(I show the sample fragment of memory to Sotty Bystander.)
zts7502e	Do you know about it?
zts7503e	You bring an interesting thing.
zts7504e	Is it a fragment of memory? Very old memories are put in this fragment.
zts7505e	(When Sotty Bystander touches the fragment, it turns violet for a little while.)
zts7506e	What is the meaning?
zts7507e	I think it means you will search a violet fragment of memory.
zts7508e	Is it a sample?
zts7509e	I think it has some information about the violet fragment of memory.
zts7510e	Ok, I will read the memories in the fragment. Bring that.
zts7511e	Here you are.
zts7512e	You found it easily.
zts7513e	Wait a minute. I will make it as a fragment of memory.
zts7514e	(Her hands are shining and the fragment of memory turns violet.)
zts7515e	Great! How do you make it?
zts7516e	It was actually the fragment of memory. So it returned to the old figure.
zts7517e	(I put the fragment on the broken part of the gray soul stone. The fragment is absorbed in an instant.)
zts7518e	I have a question.
zts7519e	What memory is in?
zts7520e	Whitney Catherine, it has the memories about her.
zts7521e	She is one of my follows, and an able Dark gunner.
zts7522e	What happened?
zts7523e	Strange.. I can't remember anything about her.
zts7524e	How come? Does the fragment have any problem?
zts7525e	Oh dear, someone rigged it.
zts7526e	Adventurer.
zts7527e	Find the clues about the fabricator with using the fragment.
zts7528e	(I explain to the ancient soul what happened in time-space.)
zts7529e	I see. So the clue is 'Angel.'
zts7530e	Why did Whitney make a contract with Archtheridon? It was not reasonable.
zts7531e	She had no choice except that.
zts7532e	Because she was dying under a curse.
zts7533e	Anyway, you should find the other fragments.
zts7534e	This sample fragment of memory will help to find them.
zts7535e	Eri, please see this.
zts7536e	What? Ah, it is a fragment of memory?!
zts7537e	(When Erie touches that, it becomes green.)
zts7538e	I can see something.
zts7539e	I will tell you what I see, so look for it.
zts7540e	(Erie holds the necklace and the doll mildly.)
zts7541e	(The things become the fragment of memory with green color.)
zts7542e	It is the green fragment of memory. I can feel something warm.
zts7543e	I am so happy to help you. He, he..
zts7544e	(The green fragment is put on the broken part of the gray soul stone. It is absorbed in an instant.)
zts7545e	It has Kupei's memory.
zts7546e	Kupei had a strong sense of responsibility as a wild keeper and she was scanty of words.
zts7547e	I miss her. The adventures I had gone with her are as if I did yesterday.
zts7548e	You can gain the other clues by going back her memory.
zts7549e	Can you do?
zts7550e	Did you gain some clues?
zts7551e	(I explain to him what happened in time-space.)
zts7552e	The king of angels.. It is sure that angels made up.
zts7553e	What is the 'Relic' Kupei was looking for?
zts7554e	It is the thing the king of angels is sealed.
zts7555e	It calls Ancelloan's Relic and its power is stronger than Time-space.
zts7556e	It is same as the bomb nobody knows when it explodes.
zts7557e	Why did Kupei watch the dangerous thing?
zts7558e	Because she was the 'Relic' guarder. It was her duty.
zts7559e	Angel, The king of angels. Clues are collected little by little. If you get more the fragments of memory, it will be clear. Ok, please get the next fragment of memory.
zts7560e	I want to know about this fragment of memory.
zts7561e	It is easy. Will you give it to me?
zts7562e	(It turns red when it is touched with Rect's hand.)
zts7563e	I feel anger and fury.
zts7564e	Well, there is something unbecoming.
zts7565e	I will tell you, so you will search for it.
zts7566e	(When I give Crystal of demon and Ring of Seina, Rect hesitates for a little while.)
zts7567e	(It is. the crystal which can distinguish a demon. Why?)
zts7568e	(Rect snatches the crystal quickly and breaks it by grip.)
zts7569e	Feel at ease. For making a fragment of memory easily, I broke it.
zts7570e	(Rect makes the red fragment of memory with using Crystal of demon and Ring of Seina.)
zts7571e	Here you are. You always put me to annoyance.
zts7572e	No. Don't mind.
zts7573e	(When the red fragment of memory touches the gray soul stone, it becomes dust and is absorbed.)
zts7574e	It is about Justine.
zts7575e	Justine Darkflame. It is berserker's name.
zts7576e	Justine had lost his sweetheart because of an affair. He had searched for her far and wide but he couldn't find her.
zts7577e	Unfortunately, he knew she had killed by Archtheridon.
zts7578e	He heard Archtheridon had adventures with a girl, so he ran after Archtheridon.
zts7579e	So did he give chase to Whitney?
zts7580e	Find out that through the fragment of memory by yourself. You will get some important clues.
zts7581e	(I explain to the ancient soul what happened in Time-space.)
zts7582e	Justine may not want to be revenged.
zts7583e	What is the meaning?
zts7584e	He reproached himself because he couldn't protect Seina. So he looked for the place where he died.
zts7585e	That is the berserker's destiny. Berserker can't live with right mind.
zts7586e	Anyway, the clues are clear. Look out for the last fragment of memory.
zts7587e	(Rodie touches a fragment of memory, it is shining in white.)
zts7588e	It is..
zts7589e	Can you see something?
zts7590e	No, nothing.
